Date,Open,High,Low,Close,Volume,stock_id
2013-10-02,12.421,12.421,12.421,12.421,116,337
2013-10-03,12.879,12.879,12.879,12.879,166,337
2013-10-04,13.339,15.547,13.339,15.477,1307,337
2013-10-07,16.24,18.603,16.24,18.603,1410,337
2013-10-08,20.241,43.24,20.241,41.4,11099,337
2013-10-09,43.24,75.717,43.24,75.717,5984,337
2013-10-10,77.742,77.742,36.8,36.8,3697,337
2013-10-11,47.013,59.975,17.526,23.894,18863,337
2013-10-14,22.707,22.707,14.72,16.551,28822,337
2013-10-15,15.229,15.64,12.879,12.889,25404,337
2013-10-16,13.974,13.974,12.474,12.605,6226,337
2013-10-17,12.789,12.789,12.465,12.789,4159,337
2013-10-18,12.835,12.835,11.27,11.96,10560,337
2013-10-21,11.087,12.465,11.087,11.646,3809,337
2013-10-22,11.593,11.951,11.499,11.499,7588,337
2013-10-23,11.555,12.357,11.463,12.191,8697,337
2013-10-24,11.832,12.329,11.832,12.247,1467,337
2013-10-25,11.96,12.411,11.96,12.411,5055,337
2013-10-28,12.329,12.329,12.098,12.164,650,337
2013-10-29,11.796,12.319,11.796,12.319,2805,337
2013-10-30,12.191,12.191,11.869,12.191,2392,337
2013-10-31,11.832,12.182,11.593,12.182,4239,337
2013-11-01,11.96,12.145,11.913,12.145,2233,337
2013-11-04,12.329,12.329,11.913,11.96,3970,337
2013-11-05,11.96,12.052,11.96,11.97,4883,337
2013-11-06,11.96,12.052,11.96,12.008,867,337
2013-11-07,11.913,12.008,11.913,11.942,2884,337
2013-11-08,11.922,11.96,11.593,11.729,6293,337
2013-11-11,11.951,11.96,11.951,11.96,1304,337
2013-11-12,11.951,11.96,11.362,11.96,5739,337
2013-11-13,11.612,11.96,11.612,11.96,6283,337
2013-11-14,11.97,12.105,11.97,12.105,816,337
2013-11-15,12.191,12.329,11.777,11.998,1304,337
2013-11-18,12.008,12.008,12.008,12.008,116,337
2013-11-19,12.329,12.411,12.062,12.062,2346,337
2013-11-20,12.062,12.062,11.895,11.96,9400,337
2013-11-22,11.96,11.96,11.96,11.96,815,337
2013-11-25,11.841,11.913,11.787,11.787,6479,337
2013-11-26,11.913,12.052,11.913,11.922,1056,337
2013-11-27,12.145,12.145,12.062,12.062,1186,337
