Date,Open,High,Low,Close,Volume,stock_id
2005-02-25,18.4,18.51,18.24,18.4,17648,5363
2005-02-28,18.25,18.25,17.76,17.81,3258,5363
2005-03-01,17.59,17.92,17.59,17.79,6704,5363
2005-03-02,17.65,18.08,17.65,17.9,19843,5363
2005-03-03,17.7,17.8,17.56,17.79,4439,5363
2005-03-04,17.91,18.01,17.56,18.01,7910,5363
2005-03-07,17.87,18.25,17.39,17.46,9047,5363
2005-03-08,17.99,17.99,17.13,17.19,12278,5363
2005-03-09,17.01,17.21,16.75,16.87,16553,5363
2005-03-10,16.96,17.0,16.76,17.0,7258,5363
2005-03-11,17.06,17.06,16.5,16.52,7373,5363
2005-03-14,16.69,16.73,16.51,16.6,37079,5363
2005-03-15,16.7,16.83,16.39,16.39,30821,5363
2005-03-16,16.4,16.56,16.4,16.42,3299,5363
2005-03-17,16.54,16.97,16.15,16.96,14148,5363
2005-03-18,17.15,17.15,16.01,16.65,40724,5363
2005-03-21,16.01,16.74,16.01,16.39,5008,5363
2005-03-22,16.5,16.95,16.5,16.69,4760,5363
2005-03-23,16.58,16.58,15.92,15.92,7114,5363
2005-03-24,16.32,16.32,16.01,16.01,4076,5363
2005-03-28,16.25,16.38,15.99,16.1,17872,5363
2005-03-29,16.21,16.5,16.03,16.12,8599,5363
2005-03-30,16.22,16.73,16.22,16.6,6011,5363
2005-03-31,16.76,17.64,16.4,16.97,30119,5363
2005-04-01,17.12,17.32,16.7,17.2,13133,5363
2005-04-04,17.25,17.3,17.01,17.09,14906,5363
2005-04-05,15.68,15.68,15.0,15.25,132212,5363
2005-04-06,14.95,15.14,14.12,14.19,83696,5363
2005-04-07,14.1,14.15,13.23,13.82,172029,5363
2005-04-08,14.03,14.1,13.85,13.85,17983,5363
2005-04-11,14.02,14.06,13.51,13.54,157783,5363
2005-04-12,13.5,13.65,13.11,13.46,47108,5363
2005-04-13,13.3,13.74,13.3,13.55,11251,5363
2005-04-14,13.69,13.72,13.15,13.2,16787,5363
2005-04-15,13.35,13.37,13.1,13.15,23386,5363
2005-04-18,13.01,13.25,12.86,13.07,64812,5363
2005-04-19,12.75,13.07,12.6,12.8,29341,5363
2005-04-20,12.86,13.08,12.86,12.88,14389,5363
2005-04-21,12.82,13.5,12.82,13.5,10784,5363
2005-04-22,13.52,13.53,13.15,13.45,13311,5363
2005-04-25,13.51,13.61,13.33,13.38,11063,5363
2005-04-26,13.5,13.67,13.46,13.5,24027,5363
2005-04-27,13.64,13.87,13.29,13.56,23797,5363
2005-04-28,13.83,13.83,13.62,13.64,35458,5363
2005-04-29,13.64,13.7,13.47,13.69,15931,5363
2005-05-02,13.75,13.75,13.51,13.7,14367,5363
2005-05-03,13.7,13.7,13.59,13.65,17410,5363
2005-05-04,13.7,13.7,13.6,13.67,32298,5363
2005-05-05,13.7,13.89,13.48,13.71,79331,5363
2005-05-06,13.89,14.12,13.69,13.95,28097,5363
2005-05-09,14.0,14.38,14.0,14.12,21115,5363
2005-05-10,14.22,14.23,14.0,14.05,19665,5363
2005-05-11,13.84,14.01,13.57,13.57,11214,5363
2005-05-12,13.56,13.73,13.4,13.62,12055,5363
2005-05-13,13.7,13.79,12.72,12.84,22708,5363
2005-05-16,12.69,13.15,12.66,12.86,27493,5363
2005-05-17,12.74,13.01,12.68,12.98,8493,5363
2005-05-18,12.99,13.02,12.67,12.89,21088,5363
2005-05-19,12.72,13.09,12.67,13.09,17833,5363
2005-05-20,13.43,13.43,13.22,13.28,18890,5363
2005-05-23,13.16,13.43,13.05,13.36,22580,5363
2005-05-24,13.24,13.24,13.09,13.1,5485,5363
2005-05-25,13.23,13.45,13.05,13.09,12396,5363
2005-05-26,13.05,13.55,12.81,12.92,29109,5363
2005-05-27,12.8,13.52,12.8,13.3,30210,5363
2005-05-31,13.22,13.65,13.22,13.4,14801,5363
2005-06-01,13.44,13.59,13.24,13.59,17805,5363
2005-06-02,13.52,13.78,13.25,13.78,39394,5363
2005-06-03,14.0,14.0,13.78,13.91,13998,5363
2005-06-06,14.0,14.19,13.7,14.0,20631,5363
