Date,Open,High,Low,Close,Volume,stock_id
2011-07-05,10.484,10.484,10.301,10.42,322382,2928
2011-07-06,10.429,10.429,10.206,10.291,510138,2928
2011-07-07,10.263,10.365,10.253,10.357,376586,2928
2011-07-08,10.225,10.357,10.225,10.318,316440,2928
2011-07-11,10.253,10.374,10.225,10.374,315163,2928
2011-07-12,10.301,10.393,10.273,10.357,279381,2928
2011-07-13,10.393,10.393,10.318,10.374,163622,2928
2011-07-14,10.328,10.348,10.206,10.338,156812,2928
2011-07-15,10.348,10.357,10.253,10.291,372441,2928
2011-07-18,10.273,10.291,10.253,10.291,122916,2928
2011-07-19,10.253,10.301,10.235,10.291,86097,2928
2011-07-20,10.235,10.301,10.206,10.282,189731,2928
2011-07-21,10.301,10.328,10.282,10.318,174377,2928
2011-07-22,10.301,10.338,10.291,10.338,86162,2928
2011-07-25,10.338,10.374,10.301,10.309,120300,2928
2011-07-26,10.301,10.348,10.301,10.328,68914,2928
2011-07-27,10.338,10.374,10.318,10.348,95508,2928
2011-07-28,10.301,10.374,10.301,10.348,91326,2928
2011-07-29,10.297,10.344,10.297,10.306,80372,2928
2011-08-01,10.374,10.383,10.301,10.365,87077,2928
2011-08-02,10.374,10.383,10.301,10.365,90461,2928
2011-08-03,10.263,10.374,10.263,10.357,175889,2928
2011-08-04,10.309,10.348,10.168,10.206,262808,2928
2011-08-05,10.253,10.291,10.159,10.282,386943,2928
2011-08-08,10.069,10.151,9.854,10.021,207863,2928
2011-08-09,9.844,10.04,9.844,10.021,201289,2928
2011-08-10,9.975,10.106,9.883,9.975,192201,2928
2011-08-11,9.975,10.04,9.594,10.04,231291,2928
2011-08-12,10.133,10.133,9.864,9.985,135467,2928
2011-08-15,10.021,10.021,9.753,9.902,52027,2928
2011-08-16,9.893,9.893,9.604,9.743,81706,2928
2011-08-17,9.753,9.753,9.652,9.743,89142,2928
2011-08-18,9.566,9.689,9.557,9.671,83314,2928
2011-08-19,9.547,9.652,9.547,9.604,78824,2928
2011-08-22,9.557,9.652,9.557,9.594,158826,2928
2011-08-23,9.604,9.733,9.502,9.604,206988,2928
