Date,Open,High,Low,Close,Volume,stock_id
2005-02-25,131.16,133.2,128.52,132.24,43195,3797
2005-02-28,134.04,136.8,129.6,129.6,59601,3797
2005-03-01,129.84,142.56,129.12,142.2,140459,3797
2005-03-02,142.2,144.72,138.6,141.0,132249,3797
2005-03-03,141.48,142.56,135.0,135.12,65930,3797
2005-03-04,135.12,140.4,133.2,136.56,55555,3797
2005-03-07,137.16,139.2,133.08,134.28,59438,3797
2005-03-08,135.6,144.6,134.04,135.6,132245,3797
2005-03-09,135.6,144.6,135.36,138.48,155929,3797
2005-03-10,141.72,142.56,126.72,127.56,130181,3797
2005-03-11,127.2,129.0,123.84,126.24,71003,3797
2005-03-14,125.88,129.12,122.16,125.28,49889,3797
2005-03-15,125.28,127.08,122.64,123.0,42255,3797
2005-03-16,123.24,128.76,121.56,123.6,59896,3797
2005-03-17,122.4,128.64,121.56,124.44,60734,3797
2005-03-18,124.8,125.76,120.0,122.4,56273,3797
2005-03-21,122.16,124.68,120.72,123.84,46483,3797
2005-03-22,123.6,126.0,119.76,121.56,31097,3797
2005-03-23,120.72,126.6,120.0,120.6,46705,3797
2005-03-24,120.6,122.28,117.12,119.28,81414,3797
2005-03-28,120.0,121.68,118.8,120.12,52590,3797
2005-03-29,119.4,119.88,114.12,114.84,51475,3797
2005-03-30,116.04,117.6,114.24,115.2,39094,3797
2005-03-31,116.4,120.0,114.12,119.76,67941,3797
2005-04-01,120.96,121.44,115.44,118.08,42932,3797
2005-04-04,118.32,120.6,115.8,119.4,37368,3797
2005-04-05,118.8,120.0,114.48,115.2,35341,3797
2005-04-06,115.68,116.88,111.24,113.16,39531,3797
2005-04-07,114.48,115.2,110.52,114.24,40680,3797
2005-04-08,114.0,115.8,110.16,110.76,25829,3797
2005-04-11,109.92,112.08,108.0,108.12,33408,3797
2005-04-12,107.64,111.72,105.6,109.56,56065,3797
2005-04-13,109.56,113.76,107.52,108.0,48395,3797
2005-04-14,107.64,109.68,103.92,104.52,43896,3797
2005-04-15,105.12,107.88,92.52,94.44,162236,3797
2005-04-18,95.4,97.8,93.72,97.44,214114,3797
2005-04-19,98.16,99.36,95.88,96.6,113512,3797
2005-04-20,98.04,99.72,96.84,98.04,86464,3797
2005-04-21,98.4,101.88,97.68,101.04,39493,3797
2005-04-22,100.56,102.6,97.8,97.92,78435,3797
2005-04-25,99.0,101.4,97.92,100.32,33743,3797
2005-04-26,100.44,102.36,99.0,99.0,61199,3797
2005-04-27,99.0,99.0,94.92,95.04,97693,3797
2005-04-28,96.0,96.48,94.8,95.4,46781,3797
2005-04-29,96.48,97.08,94.68,96.0,31483,3797
2005-05-02,96.24,96.24,94.68,95.52,63219,3797
2005-05-03,95.52,96.84,93.72,94.2,118876,3797
2005-05-04,94.8,96.12,94.68,95.52,39003,3797
2005-05-05,96.0,96.0,94.32,95.52,27503,3797
2005-05-06,95.76,96.0,94.68,94.8,16938,3797
2005-05-09,95.64,98.4,95.28,96.96,63992,3797
2005-05-10,97.2,97.68,94.68,95.04,41474,3797
2005-05-11,94.92,96.12,94.92,95.76,37932,3797
2005-05-12,96.24,96.24,94.68,95.16,49680,3797
2005-05-13,95.4,96.0,94.8,95.64,47908,3797
2005-05-16,95.04,96.12,94.8,95.52,32186,3797
2005-05-17,95.04,96.0,89.52,90.0,103295,3797
2005-05-18,90.6,90.96,84.6,88.32,108002,3797
2005-05-19,88.8,89.28,87.0,87.6,56435,3797
2005-05-20,87.72,87.84,85.68,86.28,44228,3797
2005-05-23,86.52,87.0,86.28,87.0,41230,3797
2005-05-24,87.24,92.52,87.12,91.92,58667,3797
2005-05-25,91.2,94.56,89.4,93.96,69656,3797
2005-05-26,94.32,97.68,93.12,96.12,90081,3797
2005-05-27,97.44,98.04,94.32,97.2,51682,3797
2005-05-31,96.72,97.8,96.0,97.8,25462,3797
2005-06-01,99.36,102.0,97.8,99.84,55214,3797
2005-06-02,100.8,101.76,99.36,99.96,28644,3797
2005-06-03,100.8,100.8,97.32,97.92,42368,3797
2005-06-06,97.92,98.4,92.28,94.68,75152,3797
2005-06-07,94.8,97.68,94.8,96.36,45068,3797
2005-06-08,97.32,99.36,92.88,95.04,45210,3797
2005-06-09,95.52,102.12,93.6,100.44,97088,3797
2005-06-10,100.44,104.88,97.8,99.12,72373,3797
2005-06-13,97.2,104.4,96.84,103.56,59529,3797
2005-06-14,104.4,111.96,103.56,109.56,117140,3797
2005-06-15,111.24,111.96,105.96,111.12,146218,3797
2005-06-16,111.0,112.8,108.72,110.64,79273,3797
2005-06-17,111.24,115.32,109.8,114.36,93748,3797
2005-06-20,120.0,123.96,119.64,122.28,235943,3797
2005-06-21,123.96,124.8,115.44,120.48,141352,3797
2005-06-22,126.0,126.36,121.92,123.36,140248,3797
2005-06-23,123.0,123.6,116.28,116.64,127679,3797
2005-06-24,118.92,118.92,114.0,114.24,154870,3797
2005-06-27,114.0,116.04,108.6,113.16,79310,3797
2005-06-28,111.96,125.16,111.6,124.8,154825,3797
2005-06-29,124.32,124.8,120.0,121.32,104245,3797
2005-06-30,124.8,125.88,121.92,122.52,84088,3797
2005-07-01,123.12,124.68,120.6,121.08,43588,3797
2005-07-05,122.4,123.0,120.84,122.28,47953,3797
2005-07-06,122.4,125.04,121.8,124.44,60677,3797
2005-07-07,123.12,129.24,121.92,124.68,87109,3797
2005-07-08,123.84,128.4,123.84,126.0,91327,3797
2005-07-11,127.8,131.16,126.48,129.48,82707,3797
2005-07-12,130.08,131.16,128.52,129.84,56496,3797
2005-07-13,130.68,131.28,124.44,125.76,41331,3797
2005-07-14,126.12,128.52,121.2,121.92,76284,3797
2005-07-15,122.16,123.84,120.36,120.96,42815,3797
2005-07-18,121.2,121.8,118.8,120.0,53278,3797
2005-07-19,119.4,123.96,119.4,123.36,48534,3797
2005-07-20,123.24,128.4,122.04,127.68,106238,3797
2005-07-21,127.8,128.28,121.2,121.68,57022,3797
2005-07-22,121.32,126.24,121.2,126.12,52073,3797
2005-07-25,126.0,127.56,121.8,121.92,40583,3797
2005-07-26,121.8,126.24,121.8,125.04,39952,3797
2005-07-27,126.12,127.8,124.56,125.76,55198,3797
2005-07-28,126.96,127.08,122.16,122.52,64224,3797
2005-07-29,123.0,124.08,118.8,118.8,89331,3797
2005-08-01,118.8,123.0,118.2,119.28,48614,3797
2005-08-02,119.16,120.48,115.92,116.4,73017,3797
2005-08-03,118.32,120.24,116.4,116.64,93432,3797
2005-08-04,115.2,119.4,115.2,115.92,76460,3797
2005-08-05,115.92,117.0,111.24,113.64,66482,3797
2005-08-08,113.52,116.76,112.8,115.2,78711,3797
2005-08-09,117.24,120.72,117.12,120.72,81786,3797
2005-08-10,121.2,123.24,116.4,117.36,56520,3797
2005-08-11,118.08,122.16,117.12,120.96,38807,3797
2005-08-12,120.0,120.6,117.6,118.68,31060,3797
2005-08-15,119.28,121.08,118.2,119.4,22152,3797
2005-08-16,118.8,120.6,117.0,117.6,27102,3797
2005-08-17,117.84,120.24,116.52,117.24,26071,3797
2005-08-18,117.0,117.48,115.08,115.32,25141,3797
2005-08-19,114.72,117.84,114.72,115.8,20149,3797
2005-08-22,115.8,117.48,114.6,116.88,23581,3797
