Date,Open,High,Low,Close,Volume,stock_id
2013-09-23,10.885,10.885,10.885,10.885,9033,704
2013-09-25,10.835,10.835,10.835,10.835,3051,704
2013-09-26,10.96,10.96,10.96,10.96,10324,704
2013-09-30,10.96,10.96,10.96,10.96,24088,704
2013-10-02,10.646,10.646,10.646,10.646,401,704
2013-10-03,10.546,10.546,10.546,10.546,7829,704
2013-10-04,10.656,10.656,10.656,10.656,3814,704
2013-10-08,10.586,10.586,10.586,10.586,1489,704
2013-10-10,10.462,10.462,10.462,10.462,30014,704
2013-10-11,10.213,10.213,10.213,10.213,10318,704
2013-10-14,10.163,10.163,10.163,10.163,1156,704
2013-10-15,9.963,9.963,9.963,9.963,3003,704
2013-10-16,9.963,9.963,9.963,9.963,2132,704
2013-10-17,9.963,9.963,9.963,9.963,12044,704
2013-10-18,10.462,10.462,10.462,10.462,11902,704
2013-10-21,10.462,10.462,10.462,10.462,8726,704
2013-10-22,10.462,10.462,10.462,10.462,3631,704
2013-10-24,10.81,10.81,10.81,10.81,6257,704
2013-10-30,10.462,10.462,10.462,10.462,9718,704
2013-10-31,10.586,10.586,10.586,10.586,2593,704
2013-11-04,10.835,10.835,10.835,10.835,15165,704
2013-11-05,10.96,10.96,10.96,10.96,713,704
2013-11-13,10.586,10.586,10.586,10.586,713,704
2013-11-14,10.462,10.462,10.462,10.462,602,704
2013-11-20,10.686,10.686,10.686,10.686,6423,704
2013-11-22,10.586,10.586,10.586,10.586,359,704
2013-11-25,10.706,10.706,10.706,10.706,2451,704
2013-11-27,10.287,10.287,10.287,10.287,1126,704
2013-12-04,10.287,10.287,10.287,10.287,2208,704
2013-12-06,10.287,10.287,10.287,10.287,301,704
2013-12-09,10.711,10.711,10.711,10.711,7325,704
2013-12-11,10.287,10.287,10.287,10.287,707,704
2013-12-13,10.362,10.362,10.362,10.362,391,704
2013-12-16,10.636,10.636,10.636,10.636,1867,704
2013-12-17,10.76,10.76,10.76,10.76,1961,704
2013-12-18,10.711,10.711,10.711,10.711,2108,704
2013-12-20,10.96,10.96,10.96,10.96,5520,704
2013-12-23,10.835,10.835,10.835,10.835,4745,704
2013-12-24,11.333,11.333,11.333,11.333,7885,704
2013-12-27,11.084,11.084,11.084,11.084,75685,704
2013-12-30,11.209,11.209,11.209,11.209,20124,704
2013-12-31,10.99,10.99,10.99,10.99,28059,704
2014-01-02,11.01,11.01,11.01,11.01,1206,704
2014-01-03,11.458,11.458,11.458,11.458,680,704
2014-01-06,11.383,11.383,11.383,11.383,21398,704
2014-01-08,11.308,11.308,11.308,11.308,41980,704
2014-01-09,11.333,11.333,11.333,11.333,17179,704
2014-01-10,11.234,11.234,11.234,11.234,933,704
2014-01-13,11.333,11.333,11.333,11.333,1827,704
2014-01-15,11.239,11.239,11.239,11.239,5912,704
2014-01-16,11.308,11.308,11.308,11.308,1068,704
2014-01-17,11.323,11.323,11.323,11.323,731,704
2014-01-22,11.926,11.926,11.926,11.926,14294,704
2014-01-24,11.896,11.896,11.896,11.896,3107,704
2014-01-27,11.956,11.956,11.956,11.956,1951,704
2014-01-28,12.454,12.454,12.454,12.454,929,704
2014-01-29,12.664,12.664,12.664,12.664,15557,704
2014-01-30,11.981,11.981,11.981,11.981,317,704
2014-02-06,12.649,12.649,12.649,12.649,10934,704
2014-02-07,11.956,11.956,11.956,11.956,17139,704
2014-02-10,11.931,11.931,11.931,11.931,6144,704
2014-02-12,11.458,11.458,11.458,11.458,803,704
2014-02-13,11.184,11.184,11.184,11.184,4338,704
2014-02-14,11.458,11.458,11.458,11.458,2208,704
2014-02-20,11.458,11.458,11.458,11.458,3326,704
2014-02-21,11.313,11.313,11.313,11.313,1957,704
2014-02-24,11.807,11.807,11.807,11.807,703,704
2014-02-28,11.463,11.463,11.463,11.463,1756,704
