Date,Open,High,Low,Close,Volume,stock_id
2005-02-25,13.852,14.148,13.852,14.104,11966581,3667
2005-02-28,14.104,14.122,13.818,13.979,10855808,3667
2005-03-01,13.936,13.988,13.778,13.911,11662312,3667
2005-03-02,14.029,14.248,13.954,14.113,14312637,3667
2005-03-03,14.113,14.608,14.104,14.516,38309483,3667
2005-03-04,14.684,14.811,14.616,14.759,11862301,3667
2005-03-07,14.684,14.785,14.66,14.742,10773672,3667
2005-03-08,14.667,14.735,14.508,14.549,7313987,3667
2005-03-09,14.541,14.541,14.407,14.457,11381970,3667
2005-03-10,14.363,14.608,14.363,14.516,16639886,3667
2005-03-11,14.575,14.675,14.457,14.475,7846338,3667
2005-03-14,14.449,14.583,14.449,14.566,9996930,3667
2005-03-15,14.566,14.811,14.558,14.616,14542624,3667
2005-03-16,14.508,14.608,14.457,14.583,9687305,3667
2005-03-17,14.701,14.936,14.675,14.843,21840780,3667
2005-03-18,14.995,15.203,14.869,15.122,27759012,3667
2005-03-21,15.314,15.323,14.995,15.027,55464101,3667
2005-03-22,14.953,15.003,14.675,14.675,13423996,3667
2005-03-23,14.66,14.709,14.508,14.541,12118833,3667
2005-03-24,14.541,14.634,14.457,14.475,6691642,3667
2005-03-28,14.492,14.651,14.347,14.372,8713907,3667
2005-03-29,14.372,14.398,14.139,14.178,13680054,3667
2005-03-30,14.283,14.433,14.148,14.407,17660301,3667
2005-03-31,14.321,14.449,14.162,14.213,10891999,3667
2005-04-01,14.3,14.407,14.156,14.239,9028654,3667
2005-04-04,13.928,14.475,13.903,14.003,17958620,3667
2005-04-05,14.029,14.113,13.963,14.087,13965991,3667
2005-04-06,14.096,14.13,13.996,14.053,16008733,3667
2005-04-07,14.113,14.283,13.945,14.283,12885693,3667
2005-04-08,14.274,14.363,14.113,14.13,9412678,3667
2005-04-11,14.23,14.23,14.02,14.113,3243388,3667
2005-04-12,14.029,14.239,13.894,14.148,5965139,3667
2005-04-13,14.104,14.148,13.911,13.996,9540051,3667
2005-04-14,13.778,13.885,13.683,13.683,14527266,3667
2005-04-15,13.861,13.861,13.442,13.442,13604105,3667
2005-04-18,13.357,13.55,13.348,13.524,8669623,3667
2005-04-19,13.516,13.567,13.239,13.49,7056503,3667
2005-04-20,13.298,13.442,13.266,13.4,7104714,3667
2005-04-21,13.474,13.727,13.442,13.658,6700571,3667
2005-04-22,13.592,13.635,13.231,13.4,8270839,3667
2005-04-25,13.55,13.55,13.257,13.339,17254729,3667
2005-04-26,13.171,13.339,13.045,13.105,12266205,3667
2005-04-27,13.045,13.14,12.971,13.004,8918896,3667
2005-04-28,13.004,13.012,12.685,12.853,17363058,3667
2005-04-29,12.776,12.887,12.609,12.836,18954157,3667
2005-05-02,12.92,13.037,12.836,12.971,7939429,3667
2005-05-03,12.895,13.037,12.818,12.936,13763859,3667
2005-05-04,13.113,13.357,12.995,13.298,13858378,3667
2005-05-05,13.298,13.442,13.089,13.131,13732789,3667
2005-05-06,13.314,13.314,12.853,12.853,9608500,3667
2005-05-09,13.298,13.305,13.105,13.231,6404992,3667
