Date,Open,High,Low,Close,Volume,stock_id
2016-07-15,12.25,13.7,12.25,13.26,96839,6213
2016-07-18,13.5,13.5,12.75,13.0,13872,6213
2016-07-19,12.9,12.9,12.8,12.82,5940,6213
2016-07-20,12.57,13.0,12.57,12.78,14012,6213
2016-07-21,12.75,12.79,12.75,12.756,7470,6213
2016-07-22,12.57,12.85,12.57,12.75,13808,6213
2016-07-25,12.75,12.75,12.571,12.58,1025,6213
2016-07-26,12.57,12.58,12.5,12.5,2650,6213
2016-07-27,12.2701,12.29,12.25,12.27,4000,6213
2016-07-28,12.27,12.4801,12.27,12.4791,11404,6213
2016-07-29,12.4019,12.4019,12.35,12.35,528,6213
2016-08-01,12.4,12.5,12.4,12.4001,3016,6213
2016-08-02,12.3722,12.3999,12.35,12.3753,2728,6213
2016-08-03,12.35,12.42,12.35,12.4,5599,6213
2016-08-04,12.4,12.4421,12.4,12.4,928,6213
2016-08-05,12.45,12.47,12.4,12.4,4504,6213
2016-08-08,12.4,12.4,12.37,12.37,8678,6213
2016-08-09,12.38,12.4,12.365,12.38,9400,6213
2016-08-10,12.3501,12.38,12.3501,12.38,610,6213
2016-08-11,12.38,12.38,12.3501,12.38,900,6213
2016-08-12,12.38,12.4,12.38,12.4,1400,6213
2016-08-15,12.3992,12.3992,12.38,12.38,4000,6213
2016-08-16,12.5,12.5,12.3801,12.43,11924,6213
2016-08-17,12.6942,12.6942,12.6942,12.6942,252,6213
2016-08-18,12.7,12.7,12.3801,12.45,12640,6213
2016-08-19,12.555,12.6,12.505,12.505,900,6213
2016-08-22,12.52,12.5999,12.43,12.43,3060,6213
2016-08-24,12.5,12.5999,12.5,12.55,9277,6213
2016-08-25,12.55,12.64,12.55,12.64,7828,6213
2016-08-26,12.51,12.65,12.51,12.65,200,6213
2016-08-29,12.5219,12.6196,12.5219,12.6196,1428,6213
2016-08-30,12.5196,12.5196,12.5196,12.5196,653,6213
2016-08-31,12.5237,12.5237,12.5,12.5001,736,6213
2016-09-01,12.51,12.51,12.26,12.4,2100,6213
2016-09-02,12.499,12.5,12.4,12.41,9318,6213
2016-09-06,12.35,12.6,12.35,12.59,9569,6213
2016-09-07,12.45,12.55,12.3,12.55,3076,6213
2016-09-09,12.57,12.57,12.41,12.54,1500,6213
2016-09-12,12.33,12.55,12.33,12.48,1021,6213
2016-09-13,12.41,12.5,12.4,12.45,5500,6213
2016-09-14,12.54,12.55,12.41,12.41,3219,6213
2016-09-15,12.5,12.6,12.5,12.58,5173,6213
2016-09-16,12.59,12.7,12.41,12.41,20394,6213
2016-09-19,12.65,12.65,12.5988,12.643,1000,6213
2016-09-20,12.51,12.6287,12.51,12.6287,700,6213
2016-09-22,12.6376,12.65,12.6001,12.65,6486,6213
2016-09-23,12.65,12.65,12.64,12.64,700,6213
2016-09-26,12.575,12.575,12.575,12.575,451,6213
2016-09-28,12.6,12.6,12.45,12.59,4291,6213
2016-09-29,12.5858,12.5999,12.5858,12.5999,940,6213
2016-10-03,12.51,12.53,12.5,12.53,1054,6213
2016-10-05,12.5,12.51,12.5,12.51,686,6213
2016-10-06,12.555,12.6,12.555,12.58,2200,6213
2016-10-10,12.6,12.6,12.6,12.6,100,6213
2016-10-12,12.6,12.6,12.57,12.57,4500,6213
2016-10-13,12.51,12.51,12.51,12.51,100,6213
2016-10-14,12.5017,12.6,12.5,12.57,3200,6213
2016-10-17,12.56,12.56,12.56,12.56,100,6213
2016-10-18,12.56,12.56,12.56,12.56,100,6213
2016-10-19,12.57,12.57,12.55,12.57,2024,6213
2016-10-20,12.57,12.6,12.5699,12.6,3889,6213
2016-10-21,12.56,12.6,12.56,12.6,2271,6213
2016-10-24,12.6,12.6,12.59,12.59,2100,6213
2016-10-25,12.6,12.6,12.6,12.6,126,6213
2016-10-26,12.5585,12.6,12.5585,12.6,5085,6213
2016-10-27,12.59,12.7501,12.5712,12.7501,11792,6213
2016-10-28,12.8057,13.0,12.8057,13.0,1356,6213
2016-11-01,13.24,13.24,13.24,13.24,100,6213
2016-11-03,13.184,13.184,13.184,13.184,120,6213
2016-11-04,13.05,13.2307,13.05,13.2307,439,6213
2016-11-07,13.2442,13.4099,13.22,13.35,3964,6213
2016-11-08,13.14,13.14,13.12,13.12,211,6213
2016-11-09,13.3,13.3001,13.3,13.3001,1104,6213
2016-11-10,13.4298,13.45,13.4298,13.45,1688,6213
2016-11-11,13.45,13.6304,13.45,13.5874,2800,6213
2016-11-14,13.68,13.6906,13.68,13.69,2469,6213
2016-11-15,13.75,13.85,13.7302,13.7302,2450,6213
2016-11-17,13.8499,13.8499,13.8499,13.8499,150,6213
2016-11-18,13.84,14.32,13.7,14.32,16696,6213
2016-11-21,14.35,14.65,14.35,14.5558,9046,6213
2016-11-22,14.55,14.89,14.55,14.6,5991,6213
2016-11-23,14.2807,14.46,14.2807,14.46,258,6213
2016-11-25,14.5,14.5,14.5,14.5,102,6213
2016-11-28,14.5,14.5,14.35,14.38,1057,6213
2016-11-29,14.45,14.45,14.16,14.33,3650,6213
2016-11-30,14.35,14.3677,14.3,14.3677,9325,6213
2016-12-01,14.36,14.36,14.21,14.25,4846,6213
2016-12-02,14.3074,14.3074,14.2001,14.23,15361,6213
2016-12-05,14.25,14.25,14.21,14.25,9442,6213
2016-12-06,14.25,14.89,14.18,14.18,5000,6213
2016-12-07,14.25,14.9,14.0,14.9,9043,6213
2016-12-08,14.58,14.9,14.2974,14.9,3649,6213
2016-12-12,14.54,14.54,14.1807,14.24,5173,6213
2016-12-13,14.5,14.5,14.5,14.5,1000,6213
2016-12-14,14.5,14.5,14.5,14.5,1170,6213
2016-12-15,14.51,14.51,14.2897,14.2897,600,6213
2016-12-16,14.49,14.49,14.14,14.41,1042,6213
2016-12-19,14.4,14.48,14.4,14.48,1592,6213
2016-12-20,14.51,14.51,14.3,14.3,5567,6213
2016-12-21,14.8177,14.85,14.59,14.59,842,6213
2016-12-22,14.6,14.6,14.6,14.6,106,6213
2016-12-23,14.53,14.53,14.5,14.5,811,6213
2016-12-27,14.55,14.55,14.3,14.4,1231,6213
2016-12-28,14.4,14.4,14.32,14.32,877,6213
2016-12-29,14.8277,14.8416,14.2,14.2,1028,6213
2016-12-30,14.26,14.5527,14.2,14.2,1430,6213
2017-01-03,13.9714,14.12,13.9714,14.0421,2158,6213
2017-01-04,14.1563,14.251,13.99,13.99,1592,6213
2017-01-06,14.02,14.5779,14.01,14.4011,852,6213
2017-01-09,14.45,14.45,14.4,14.4,1620,6213
2017-01-10,14.31,14.31,14.28,14.29,2555,6213
2017-01-12,14.19,14.2,14.19,14.2,5725,6213
2017-01-13,14.3001,14.32,14.3001,14.32,567,6213
2017-01-17,14.3,14.32,14.3,14.32,2696,6213
2017-01-19,14.2,14.2,14.11,14.11,2652,6213
2017-01-20,14.2,14.2,14.09,14.09,2156,6213
2017-01-23,14.1,14.1,13.97,13.97,7707,6213
2017-01-24,14.0,14.0,14.0,14.0,2098,6213
2017-01-25,14.14,14.15,14.0,14.15,4408,6213
2017-01-26,14.13,14.14,14.05,14.14,1001,6213
2017-01-27,14.14,14.14,14.14,14.14,827,6213
2017-01-31,14.15,14.1501,14.15,14.1501,3002,6213
2017-02-01,14.18,14.18,14.16,14.16,2392,6213
2017-02-02,14.177,14.22,14.177,14.2,3303,6213
2017-02-03,14.25,14.25,14.24,14.24,11613,6213
2017-02-06,14.25,14.35,14.2275,14.35,2170,6213
2017-02-09,14.35,14.35,14.35,14.35,391,6213
2017-02-10,14.35,14.35,14.29,14.29,4420,6213
2017-02-13,14.35,14.35,14.34,14.35,7407,6213
2017-02-14,14.35,14.35,14.3425,14.35,7450,6213
2017-02-15,14.35,14.3605,14.33,14.33,1451,6213
2017-02-16,14.34,14.35,14.3399,14.3448,3116,6213
2017-02-17,14.3,14.32,14.2833,14.31,3465,6213
2017-02-21,14.31,14.34,14.2476,14.28,14879,6213
2017-02-22,14.32,14.32,14.22,14.23,2234,6213
2017-02-23,14.2968,14.3499,14.2968,14.3499,285,6213
2017-02-24,14.2415,14.2415,14.2415,14.2415,504,6213
2017-02-27,14.2414,14.2414,14.1476,14.1476,1746,6213
2017-03-01,14.2697,14.32,14.2697,14.3013,1235,6213
2017-03-02,14.213,14.24,14.2,14.24,4600,6213
2017-03-03,14.3274,14.3274,14.201,14.201,1473,6213
2017-03-06,14.3115,14.3115,14.3115,14.3115,2967,6213
2017-03-07,14.2,14.3397,14.1999,14.3397,7596,6213
2017-03-09,14.3432,14.3432,14.3432,14.3432,686,6213
2017-03-10,14.31,14.31,14.31,14.31,194,6213
2017-03-13,14.35,14.35,14.3094,14.3499,5117,6213
2017-03-14,14.35,14.35,14.3499,14.3499,2111,6213
2017-03-15,14.511,14.511,14.511,14.511,576,6213
2017-03-17,14.84,14.84,14.84,14.84,265,6213
2017-03-20,14.83,14.83,14.6884,14.6884,215,6213
2017-03-23,14.44,14.44,14.3781,14.3993,1200,6213
2017-03-24,14.62,14.62,14.6,14.6,200,6213
2017-03-27,14.6255,14.6255,14.6,14.6,1219,6213
2017-03-28,14.68,14.68,14.6683,14.6683,906,6213
2017-03-29,14.6,14.6,14.6,14.6,230,6213
2017-04-03,14.6072,14.6505,14.5801,14.65,2711,6213
2017-04-06,14.21,14.2101,14.21,14.2101,1532,6213
2017-04-10,14.31,14.31,14.31,14.31,139,6213
2017-04-12,14.4001,14.5,14.4001,14.5,780,6213
2017-04-17,14.5141,14.5141,14.5141,14.5141,508,6213
2017-04-18,14.601,14.601,14.51,14.51,9560,6213
2017-04-19,14.5937,14.5937,14.59,14.59,2011,6213
2017-04-20,14.699,14.7,14.66,14.7,10916,6213
2017-04-21,14.69,14.95,14.6782,14.95,8537,6213
2017-04-27,14.9627,14.9627,14.95,14.95,687,6213
2017-04-28,14.81,15.0,14.8,15.0,3842,6213
2017-05-01,14.8649,14.9729,14.8649,14.9501,1203,6213
2017-05-02,14.9627,14.98,14.95,14.98,2604,6213
2017-05-03,14.999,15.0,14.85,14.85,3892,6213
2017-05-04,14.9842,15.0,14.9842,14.99,973,6213
2017-05-05,15.1,15.1,15.0,15.02,1835,6213
2017-05-08,15.0,15.0,14.975,14.975,1401,6213
2017-05-09,14.9,15.0,14.9,15.0,5110,6213
2017-05-10,15.0,15.0,15.0,15.0,4401,6213
2017-05-11,14.9216,14.94,14.9216,14.94,1508,6213
2017-05-12,14.9351,14.9351,14.9,14.9,1141,6213
2017-05-15,14.9,14.9,14.9,14.9,772,6213
2017-05-16,14.95,14.95,14.95,14.95,301,6213
2017-05-17,14.9149,14.9149,14.9149,14.9149,549,6213
2017-05-19,14.9432,14.9432,14.9255,14.9255,327,6213
2017-05-22,14.95,14.95,14.9447,14.9447,261,6213
2017-05-23,15.0,15.0,14.99,15.0,415,6213
2017-05-24,15.0,15.0,15.0,15.0,1111,6213
2017-05-26,14.967,14.967,14.967,14.967,220,6213
2017-05-30,14.9,14.9,14.9,14.9,108,6213
2017-05-31,14.9424,14.9424,14.9424,14.9424,451,6213
2017-06-01,14.9,14.9,14.85,14.85,1065,6213
2017-06-02,14.9073,14.9848,14.9073,14.9848,1009,6213
2017-06-05,14.925,14.925,14.925,14.925,318,6213
2017-06-07,14.8501,14.8501,14.85,14.85,263,6213
2017-06-08,14.85,14.87,14.85,14.87,240,6213
2017-06-12,14.87,14.87,14.87,14.87,640,6213
2017-06-13,14.81,14.81,14.81,14.81,110,6213
2017-06-14,14.8398,14.85,14.8398,14.85,3498,6213
2017-06-15,14.81,14.81,14.8,14.8,423,6213
2017-06-19,14.8,14.8,14.7875,14.7875,1050,6213
2017-06-21,14.7501,14.76,14.72,14.72,1000,6213
2017-06-23,14.7965,14.7965,14.7965,14.7965,308,6213
2017-06-30,14.73,14.75,14.73,14.75,1010,6213
2017-07-03,14.7172,14.7172,14.69,14.69,223,6213
2017-07-05,14.61,14.61,14.6,14.6,716,6213
2017-07-06,14.658,14.672,14.65,14.6502,5704,6213
2017-07-07,14.66,14.695,14.65,14.69,6712,6213
2017-07-10,14.8,14.99,14.8,14.95,14252,6213
2017-07-11,15.0,15.1,15.0,15.1,5761,6213
2017-07-12,15.01,15.1,14.999,15.0626,5346,6213
2017-07-13,15.05,15.05,15.05,15.05,982,6213
2017-07-14,14.84,15.05,14.84,15.0,2454,6213
2017-07-17,15.01,15.1,14.95,15.0,21376,6213
2017-07-18,14.85,15.0,14.85,15.0,3475,6213
2017-07-19,15.0,15.09,14.96,15.06,56519,6213
2017-07-20,14.95,15.0175,14.95,15.0175,857,6213
2017-07-21,15.05,15.0646,15.0,15.0,6884,6213
2017-07-24,15.0,15.02,15.0,15.02,515,6213
2017-07-25,15.1,15.15,15.09,15.1,7232,6213
2017-07-26,15.1,15.1,15.1,15.1,428,6213
2017-07-28,15.1,15.2,15.1,15.2,915,6213
2017-07-31,15.2,15.25,15.1908,15.2,9503,6213
2017-08-01,15.25,15.4,15.245,15.4,12803,6213
2017-08-02,15.3156,15.3156,15.3156,15.3156,300,6213
2017-08-03,15.3,15.33,15.3,15.3,4331,6213
2017-08-04,15.3,15.4,15.3,15.33,5896,6213
2017-08-07,15.33,15.37,15.33,15.37,580,6213
2017-08-08,15.3862,15.3862,15.3862,15.3862,207,6213
2017-08-09,15.3,15.3,15.3,15.3,6887,6213
2017-08-10,15.3,15.3636,15.3,15.3635,3332,6213
2017-08-11,15.33,15.353,15.3,15.3,8501,6213
2017-08-14,15.3,15.3,15.3,15.3,1829,6213
2017-08-15,15.39,15.39,15.3,15.36,834,6213
2017-08-16,15.3,15.4,15.3,15.39,4016,6213
2017-08-17,15.3,15.3,15.2625,15.3,67304,6213
2017-08-18,15.0,15.25,15.0,15.15,10200,6213
2017-08-21,15.06,15.25,15.02,15.25,643,6213
2017-08-22,15.05,15.25,15.05,15.25,6422,6213
2017-08-23,15.25,15.25,15.25,15.25,100,6213
2017-08-24,15.1201,15.25,15.1201,15.25,9891,6213
2017-08-25,15.25,15.3,15.101,15.3,20121,6213
2017-08-29,15.25,15.25,15.25,15.25,100,6213
2017-08-30,15.1151,15.25,15.11,15.25,5332,6213
2017-08-31,15.22,15.22,15.12,15.12,2819,6213
2017-09-05,15.24,15.25,15.12,15.12,6548,6213
2017-09-06,15.25,15.25,15.17,15.2,8314,6213
2017-09-07,15.2,15.4,15.1,15.2,16487,6213
2017-09-08,15.16,15.3,15.16,15.3,74439,6213
2017-09-11,15.36,15.36,15.25,15.3,6089,6213
2017-09-12,15.2071,15.4,15.09,15.4,20346,6213
2017-09-13,15.24,16.23,15.24,15.66,3500,6213
2017-09-14,15.62,16.22,15.62,15.83,4800,6213
2017-09-15,16.0,16.0,15.2,15.2,33834,6213
2017-09-18,15.33,15.99,15.27,15.27,2774,6213
2017-09-19,15.26,15.34,15.25,15.25,1886,6213
2017-09-20,15.25,15.44,15.25,15.44,5321,6213
2017-09-22,15.45,15.9,15.45,15.86,4699,6213
2017-09-25,15.86,15.9112,15.86,15.86,875,6213
2017-09-26,15.95,16.3,15.95,16.12,9580,6213
2017-09-27,16.0,16.25,15.9656,16.25,6093,6213
2017-09-29,16.5701,16.72,16.5701,16.6,1550,6213
2017-10-02,16.72,16.72,16.72,16.72,100,6213
2017-10-03,16.45,16.45,16.45,16.45,162,6213
2017-10-04,16.29,16.29,16.29,16.29,100,6213
2017-10-05,15.5,16.24,15.3,16.24,5037,6213
2017-10-06,16.1,16.42,15.772,16.42,6576,6213
2017-10-09,16.04,16.42,15.9109,16.42,4477,6213
2017-10-10,16.1459,16.42,16.1459,16.42,601,6213
2017-10-11,16.19,16.42,16.19,16.42,1571,6213
2017-10-12,16.39,16.39,16.27,16.27,930,6213
2017-10-13,16.37,16.37,16.37,16.37,113,6213
2017-10-16,15.57,15.91,15.57,15.91,414,6213
2017-10-17,16.1371,16.1371,16.1371,16.1371,504,6213
2017-10-18,16.18,16.38,16.18,16.38,1054,6213
2017-10-19,16.6944,16.6944,16.6944,16.6944,200,6213
2017-10-20,16.5681,16.6101,16.45,16.45,1186,6213
2017-10-24,16.45,16.45,16.45,16.45,100,6213
2017-10-27,16.65,16.698,16.65,16.69,3267,6213
2017-10-31,16.6706,16.695,16.6706,16.695,617,6213
2017-11-02,16.65,16.65,16.65,16.65,168,6213
2017-11-03,16.6501,16.6501,16.6501,16.6501,215,6213
2017-11-06,16.77,16.77,16.77,16.77,767,6213
2017-11-07,16.77,16.77,16.41,16.41,6540,6213
2017-11-08,16.2966,16.2966,16.25,16.25,566,6213
2017-11-09,16.15,16.15,16.15,16.15,311,6213
