Date,Open,High,Low,Close,Volume,stock_id
2005-03-15,197.2,197.2,197.2,197.2,0,4254
2005-03-24,197.2,197.2,197.2,197.2,0,4254
2005-03-31,394.48,394.48,394.48,394.48,0,4254
2005-04-01,197.2,197.2,197.2,197.2,1,4254
2005-04-29,276.16,276.16,276.16,276.16,0,4254
2005-06-27,355.04,355.04,355.04,355.04,8,4254
2005-06-28,315.6,355.04,315.6,355.04,6,4254
2005-07-14,315.6,315.6,236.72,236.72,3,4254
2005-08-11,355.04,355.04,355.04,355.04,0,4254
2005-08-23,295.84,295.84,295.84,295.84,0,4254
2005-11-01,355.04,710.08,355.04,710.08,6,4254
2005-11-02,710.08,710.08,433.92,433.92,15,4254
2005-11-04,433.92,512.8,394.48,512.8,26,4254
2005-11-07,414.16,512.8,414.16,512.8,0,4254
2005-11-10,394.48,394.48,315.6,315.6,7,4254
2005-11-22,591.68,591.68,591.68,591.68,3,4254
2005-11-28,552.24,591.68,552.24,591.68,3,4254
2005-11-29,355.04,355.04,355.04,355.04,6,4254
2005-12-08,315.6,315.6,295.84,295.84,8,4254
2005-12-12,236.72,236.72,236.72,236.72,3,4254
2005-12-13,157.76,197.2,157.76,197.2,15,4254
2005-12-22,157.76,157.76,118.32,118.32,2,4254
2005-12-30,284.0,394.48,276.16,394.48,3,4254
2006-01-03,355.04,355.04,355.04,355.04,0,4254
2006-01-13,201.68,201.68,201.68,201.68,13,4254
2006-01-20,315.6,315.6,315.6,315.6,3,4254
2006-02-01,236.72,236.72,236.72,236.72,3,4254
2006-02-02,201.68,236.72,201.68,236.72,3,4254
2006-02-06,236.72,236.72,236.72,236.72,0,4254
2006-02-13,236.72,236.72,236.72,236.72,1,4254
2006-02-22,236.72,236.72,236.72,236.72,1,4254
2006-02-27,236.72,236.72,236.72,236.72,0,4254
2006-03-09,236.72,236.72,236.72,236.72,0,4254
2006-03-27,201.68,201.68,201.68,201.68,3,4254
2006-04-05,201.68,201.68,201.68,201.68,3,4254
2006-05-05,236.72,236.72,236.72,236.72,10,4254
2006-06-08,197.2,197.2,197.2,197.2,1,4254
2006-07-11,197.2,197.2,197.2,197.2,0,4254
2006-07-17,157.76,157.76,157.76,157.76,5,4254
2006-07-18,118.32,118.32,118.32,118.32,3,4254
2006-07-19,118.32,118.32,118.32,118.32,1,4254
2006-07-20,78.88,197.2,78.88,78.88,8,4254
2006-07-27,78.88,78.88,59.2,78.88,7,4254
2006-08-04,78.88,78.88,78.88,78.88,1,4254
2006-08-16,98.64,315.6,98.64,197.2,29,4254
2006-08-18,236.72,236.72,236.72,236.72,3,4254
2006-08-22,197.2,197.2,197.2,197.2,1,4254
2006-08-23,157.76,157.76,157.76,157.76,1,4254
2006-08-24,157.76,157.76,157.76,157.76,4,4254
2006-09-15,157.76,157.76,157.76,157.76,1,4254
2006-09-21,157.76,157.76,157.76,157.76,1,4254
2006-11-03,157.76,157.76,157.76,157.76,1,4254
2006-12-06,157.76,157.76,78.88,78.88,1,4254
2006-12-12,78.88,78.88,78.88,78.88,1,4254
2006-12-14,78.88,78.88,78.88,78.88,0,4254
2006-12-20,197.2,197.2,197.2,197.2,6,4254
2006-12-21,197.2,197.2,197.2,197.2,0,4254
2006-12-26,118.32,138.08,118.32,138.08,102,4254
2006-12-29,130.16,130.16,130.16,130.16,8,4254
2007-01-25,130.16,130.16,118.32,130.16,130,4254
2007-01-29,138.08,138.08,118.32,118.32,14,4254
2007-02-01,138.08,138.08,138.08,138.08,3,4254
2007-02-02,118.32,118.32,118.32,118.32,1,4254
2007-02-07,118.32,118.32,118.32,118.32,7,4254
2007-02-12,98.64,98.64,39.44,55.2,80,4254
2007-02-26,71.04,78.88,71.04,78.88,2,4254
2007-03-16,82.88,82.88,78.88,78.88,8,4254
2007-03-20,78.88,78.88,78.88,78.88,3,4254
2007-03-21,59.2,59.2,59.2,59.2,3,4254
2007-04-24,43.36,43.36,43.36,43.36,0,4254
2007-05-11,90.72,90.72,90.72,90.72,0,4254
2007-05-14,90.72,90.72,90.72,90.72,0,4254
2007-05-16,90.72,90.72,90.72,90.72,2,4254
2007-05-17,90.72,90.72,90.72,90.72,0,4254
2007-05-18,118.32,118.32,78.88,78.88,13,4254
2007-05-29,78.88,236.72,78.88,110.48,178,4254
2007-05-30,110.48,110.48,78.88,78.88,8,4254
2007-05-31,110.48,138.08,110.48,118.32,27,4254
2007-06-01,118.32,118.32,118.32,118.32,6,4254
2007-06-04,126.24,126.24,118.32,118.32,3,4254
2007-06-06,122.32,122.32,122.32,122.32,2,4254
2007-06-07,138.08,138.08,138.08,138.08,2,4254
2007-06-08,134.16,138.08,122.32,138.08,3,4254
2007-06-18,126.24,126.24,126.24,126.24,0,4254
2007-06-21,138.08,149.92,134.16,149.92,103,4254
2007-06-22,138.08,138.08,118.32,134.16,83,4254
2007-06-27,118.32,118.32,118.32,118.32,5,4254
2007-06-28,145.92,145.92,145.92,145.92,0,4254
2007-06-29,157.76,157.76,157.76,157.76,22,4254
2007-07-02,177.52,236.72,177.52,216.96,31,4254
2007-07-03,216.96,216.96,216.96,216.96,2,4254
2007-07-05,256.4,256.4,236.72,236.72,1,4254
2007-07-06,197.2,197.2,197.2,197.2,6,4254
2007-07-09,236.72,236.72,197.2,236.72,4,4254
2007-07-10,236.72,236.72,236.72,236.72,1,4254
2007-07-11,236.72,236.72,236.72,236.72,0,4254
2007-07-13,256.4,256.4,236.72,236.72,8,4254
2007-07-16,236.72,236.72,236.72,236.72,0,4254
2007-07-17,236.72,236.72,236.72,236.72,0,4254
2007-07-19,216.96,236.72,216.96,236.72,2,4254
2007-07-20,236.72,236.72,236.72,236.72,1,4254
2007-07-26,236.72,236.72,216.96,216.96,1,4254
2007-07-31,216.96,216.96,216.96,216.96,8,4254
2007-08-01,197.2,197.2,197.2,197.2,1,4254
2007-08-02,197.2,197.2,197.2,197.2,1,4254
2007-08-03,197.2,197.2,157.76,157.76,9,4254
2007-08-07,197.2,197.2,157.76,157.76,21,4254
2007-08-08,177.52,185.44,138.08,138.08,35,4254
2007-08-15,138.08,138.08,138.08,138.08,1,4254
2007-09-10,138.08,138.08,138.08,138.08,0,4254
2007-09-13,138.08,138.08,118.32,118.32,6,4254
2007-09-14,118.32,118.32,118.32,118.32,4,4254
2007-09-17,98.64,98.64,98.64,98.64,1,4254
2007-10-02,98.64,98.64,98.64,98.64,0,4254
2007-10-09,98.64,98.64,98.64,98.64,3,4254
2007-10-25,82.88,98.64,82.88,98.64,11,4254
2007-10-26,118.32,118.32,118.32,118.32,1,4254
2007-10-29,118.32,118.32,94.64,94.64,5,4254
2007-10-31,118.32,118.32,118.32,118.32,1,4254
2007-11-02,118.32,118.32,118.32,118.32,1,4254
2007-11-05,118.32,118.32,118.32,118.32,0,4254
2007-11-13,118.32,118.32,118.32,118.32,1,4254
2007-11-23,118.32,118.32,118.32,118.32,0,4254
2007-11-26,98.64,118.32,98.64,118.32,2,4254
2007-11-30,98.64,98.64,98.64,98.64,1,4254
2007-12-05,118.32,118.32,118.32,118.32,1,4254
2007-12-10,98.64,98.64,98.64,98.64,1,4254
2007-12-14,94.64,94.64,94.64,94.64,1,4254
2007-12-18,118.32,118.32,118.32,118.32,1,4254
2007-12-19,90.72,90.72,90.72,90.72,1,4254
2007-12-27,90.72,90.72,90.72,90.72,1,4254
