Date,Open,High,Low,Close,Volume,stock_id
2013-07-03,18.399,18.452,18.367,18.411,3850,2315
2013-07-05,18.391,18.43,18.391,18.43,15736,2315
2013-07-08,18.467,18.467,18.391,18.431,9329,2315
2013-07-09,18.399,18.399,18.281,18.391,33018,2315
2013-07-10,18.355,18.355,18.252,18.319,7853,2315
2013-07-11,18.32,18.385,18.319,18.379,8594,2315
2013-07-12,18.467,18.467,18.43,18.459,1355,2315
2013-07-15,18.467,18.467,18.391,18.391,6182,2315
2013-07-16,18.467,18.467,18.281,18.341,13510,2315
2013-07-17,18.341,18.414,18.341,18.355,15165,2315
2013-07-18,18.391,18.652,18.319,18.399,8006,2315
2013-07-22,18.467,18.532,18.43,18.467,11374,2315
2013-07-23,18.539,18.539,18.43,18.436,3560,2315
2013-07-24,18.467,18.476,18.43,18.467,7621,2315
2013-07-25,18.43,18.43,18.43,18.43,1894,2315
2013-07-26,18.532,18.642,18.43,18.43,3439,2315
2013-07-29,18.391,18.642,18.391,18.607,6662,2315
2013-07-30,18.539,18.539,18.539,18.539,1355,2315
2013-07-31,18.442,18.563,18.442,18.503,9989,2315
2013-08-01,18.503,18.576,18.503,18.539,1082,2315
2013-08-02,18.503,18.503,18.503,18.503,269,2315
2013-08-07,18.539,18.642,18.539,18.642,6093,2315
2013-08-08,18.666,18.666,18.666,18.666,2437,2315
2013-08-09,18.666,18.666,18.652,18.652,1217,2315
2013-08-12,18.667,18.667,18.539,18.666,1355,2315
2013-08-13,18.539,18.539,18.539,18.539,1355,2315
2013-08-14,18.539,18.539,18.391,18.43,15379,2315
2013-08-15,18.43,18.615,18.355,18.615,6891,2315
2013-08-16,18.532,18.616,18.476,18.539,6751,2315
2013-08-19,18.556,18.556,18.539,18.539,6504,2315
2013-08-20,18.467,18.506,18.467,18.479,3884,2315
2013-08-21,18.476,18.476,18.467,18.467,1623,2315
2013-08-22,18.467,18.467,18.467,18.467,1355,2315
2013-08-23,18.43,18.43,18.399,18.43,2168,2315
2013-08-26,18.616,18.616,18.616,18.616,1312,2315
2013-08-27,18.616,18.616,18.6,18.616,1217,2315
2013-08-28,18.576,18.577,18.576,18.577,1082,2315
2013-08-29,18.636,18.642,18.476,18.476,5221,2315
2013-08-30,18.879,19.039,18.864,19.039,2915,2315
2013-09-03,18.607,18.616,18.539,18.539,2302,2315
2013-09-04,18.723,18.723,18.723,18.723,541,2315
2013-09-06,18.687,18.723,18.673,18.723,5201,2315
2013-09-10,18.754,18.762,18.754,18.762,1355,2315
2013-09-11,18.933,18.948,18.933,18.933,2519,2315
2013-09-13,19.075,19.075,19.007,19.075,2691,2315
2013-09-16,18.933,18.933,18.933,18.933,1605,2315
2013-09-17,19.046,19.075,18.797,19.046,12250,2315
2013-09-18,19.007,19.227,18.864,19.196,3313,2315
2013-09-19,19.211,19.234,18.948,18.955,10142,2315
2013-09-20,18.864,18.864,18.864,18.864,662,2315
2013-09-24,19.053,19.234,19.053,19.234,3976,2315
2013-09-25,19.234,19.234,19.046,19.046,3448,2315
2013-09-26,19.053,19.159,19.007,19.159,5966,2315
2013-09-27,18.902,18.933,18.902,18.933,1325,2315
2013-09-30,19.219,19.219,18.924,19.03,2255,2315
2013-10-01,18.97,18.97,18.97,18.97,277,2315
2013-10-02,19.016,19.016,19.016,19.016,333,2315
2013-10-03,18.948,19.046,18.857,19.046,6099,2315
2013-10-04,19.021,19.159,18.933,19.159,7823,2315
2013-10-07,18.933,18.933,18.933,18.933,538,2315
2013-10-08,18.91,19.113,18.857,19.113,8618,2315
2013-10-09,18.933,18.984,18.872,18.969,1591,2315
2013-10-10,19.046,19.046,19.046,19.046,1857,2315
2013-10-11,19.046,19.159,19.046,19.159,2652,2315
2013-10-14,19.099,19.159,19.099,19.099,1325,2315
2013-10-15,19.007,19.067,18.933,18.933,3581,2315
2013-10-16,19.075,19.075,19.075,19.075,768,2315
2013-10-17,19.046,19.082,19.007,19.082,1062,2315
2013-10-18,19.082,19.159,19.046,19.159,3713,2315
2013-10-21,19.189,19.189,19.189,19.189,264,2315
2013-10-22,19.128,19.159,19.128,19.159,3846,2315
2013-10-23,19.159,19.159,19.053,19.137,1591,2315
2013-10-24,19.06,19.075,19.06,19.075,662,2315
2013-10-25,19.15,19.15,19.15,19.15,927,2315
2013-10-28,19.067,19.234,19.046,19.234,8221,2315
2013-10-29,19.227,19.272,19.227,19.272,3448,2315
2013-10-30,19.241,19.241,19.234,19.234,2519,2315
