Date,Open,High,Low,Close,Volume,stock_id
2005-02-25,20.47,20.8,20.16,20.16,17299,2600
2005-02-28,20.29,20.55,20.16,20.16,9500,2600
2005-03-01,20.45,20.75,20.0,20.16,12625,2600
2005-03-02,20.2,20.37,20.02,20.14,8819,2600
2005-03-03,20.25,20.6,20.25,20.38,6513,2600
2005-03-04,20.58,20.65,20.58,20.65,1600,2600
2005-03-07,20.65,20.89,20.62,20.89,1100,2600
2005-03-08,20.95,20.95,20.55,20.83,1800,2600
2005-03-09,20.75,20.75,20.51,20.71,5497,2600
2005-03-10,20.81,20.85,20.51,20.51,35049,2600
2005-03-11,20.66,20.9,20.5,20.55,9501,2600
2005-03-14,20.5,20.5,20.39,20.39,800,2600
2005-03-15,20.1,20.32,20.1,20.1,3300,2600
2005-03-16,20.4,20.4,20.13,20.13,1000,2600
2005-03-17,20.15,20.49,20.15,20.15,2750,2600
2005-03-18,20.5,20.5,20.05,20.05,1925,2600
2005-03-21,20.05,20.61,20.05,20.5,1930,2600
2005-03-22,20.21,20.47,20.05,20.15,2045,2600
2005-03-23,20.1,20.31,20.05,20.31,1500,2600
2005-03-24,20.5,20.5,20.0,20.21,6466,2600
2005-03-28,20.26,20.26,20.03,20.03,2800,2600
2005-03-29,20.0,20.2,20.0,20.0,5035,2600
2005-03-30,20.0,20.23,20.0,20.2,2123,2600
2005-03-31,20.1,20.18,20.0,20.15,4050,2600
2005-04-01,20.19,20.19,19.85,20.1,3300,2600
2005-04-04,19.84,20.08,19.66,20.08,2829,2600
2005-04-05,20.09,20.3,20.09,20.3,5638,2600
2005-04-06,19.91,20.08,19.91,20.06,3065,2600
2005-04-07,20.0,20.3,19.9,20.05,5320,2600
2005-04-08,20.21,20.21,20.21,20.21,600,2600
2005-04-11,20.3,20.3,20.06,20.1,1385,2600
2005-04-12,20.0,20.06,19.9,19.9,1490,2600
2005-04-13,20.0,20.0,19.71,19.89,3330,2600
2005-04-14,19.71,20.14,19.71,19.88,4621,2600
2005-04-15,20.1,20.25,19.6,19.83,2076,2600
2005-04-18,19.5,19.71,19.0,19.05,21362,2600
2005-04-19,19.4,19.45,18.94,19.1,12936,2600
2005-04-20,19.35,19.5,19.01,19.36,12143,2600
2005-04-21,19.0,19.31,19.0,19.05,4490,2600
2005-04-22,19.03,19.7,19.03,19.7,6040,2600
2005-04-25,19.1,19.57,19.0,19.55,2358,2600
2005-04-26,19.21,19.77,19.21,19.77,7200,2600
2005-04-27,19.66,19.76,19.51,19.51,660,2600
2005-04-28,19.08,19.83,19.08,19.83,2900,2600
2005-04-29,19.85,19.98,19.85,19.98,700,2600
2005-05-02,20.0,20.0,19.35,19.35,2963,2600
2005-05-03,19.56,20.0,19.54,19.7,1457,2600
2005-05-04,20.0,20.0,19.46,19.46,475,2600
2005-05-05,19.53,19.53,19.53,19.53,1000,2600
2005-05-06,20.0,20.0,19.72,20.0,1351,2600
2005-05-09,20.0,20.0,20.0,20.0,906,2600
2005-05-10,19.4,20.0,19.4,20.0,2067,2600
2005-05-11,19.7,19.9,19.4,19.9,1827,2600
2005-05-13,19.4,19.4,19.4,19.4,200,2600
2005-05-16,19.4,19.9,19.4,19.9,450,2600
2005-05-17,19.9,20.0,19.57,19.79,11873,2600
2005-05-18,19.99,20.23,19.99,20.23,2529,2600
2005-05-19,19.45,20.25,19.45,20.2,3101,2600
2005-05-23,20.25,20.25,19.45,19.9,2200,2600
2005-05-24,19.62,20.14,19.62,20.14,1900,2600
2005-05-25,20.06,20.06,19.51,19.77,2800,2600
2005-05-26,19.6,20.19,19.6,20.19,1210,2600
2005-05-31,20.2,20.25,20.2,20.24,906,2600
2005-06-01,19.86,20.24,19.7,20.16,1130,2600
2005-06-03,20.24,20.25,19.81,20.25,4350,2600
2005-06-06,20.04,20.21,19.7,20.19,4379,2600
2005-06-07,20.0,20.1,20.0,20.1,2100,2600
2005-06-08,20.0,20.01,19.91,19.92,3007,2600
2005-06-09,20.24,20.24,20.24,20.24,100,2600
2005-06-13,20.0,20.15,20.0,20.15,1359,2600
2005-06-14,20.25,20.25,19.89,19.89,1662,2600
2005-06-15,20.09,20.09,20.09,20.09,100,2600
2005-06-16,19.87,20.2,19.87,20.2,355,2600
2005-06-17,20.0,20.0,20.0,20.0,500,2600
2005-06-20,19.85,19.86,19.85,19.86,205,2600
2005-06-21,19.85,20.2,19.85,19.85,3250,2600
2005-06-23,20.0,20.0,20.0,20.0,1353,2600
2005-06-24,19.85,19.85,19.28,19.63,32815,2600
2005-06-27,19.9,19.98,19.86,19.98,3358,2600
2005-06-28,19.83,19.9,19.8,19.9,1600,2600
2005-06-29,20.0,20.0,19.67,19.68,3310,2600
2005-06-30,20.0,20.03,19.9,20.03,2076,2600
2005-07-01,20.0,20.1,20.0,20.0,4622,2600
2005-07-05,20.0,20.2,20.0,20.2,9975,2600
2005-07-08,20.03,20.03,20.03,20.03,586,2600
2005-07-11,20.0,20.25,19.6,20.05,3539,2600
2005-07-12,20.06,20.25,19.78,20.25,3671,2600
2005-07-13,20.25,20.25,20.25,20.25,100,2600
2005-07-14,20.01,20.25,20.01,20.24,3871,2600
2005-07-15,20.0,20.14,20.0,20.14,1600,2600
2005-07-18,20.0,20.12,20.0,20.01,3600,2600
2005-07-20,20.1,20.46,20.0,20.26,6145,2600
2005-07-21,20.01,20.25,20.0,20.2,4000,2600
2005-07-22,20.03,20.26,19.95,20.26,4498,2600
2005-07-25,20.34,20.34,20.23,20.25,2400,2600
2005-07-26,19.95,20.02,19.95,20.0,873,2600
2005-07-27,20.25,20.4,20.25,20.39,6702,2600
2005-07-28,20.45,20.5,20.26,20.38,3165,2600
2005-07-29,20.25,20.5,20.25,20.5,5390,2600
2005-08-01,20.8,20.85,20.25,20.35,2903,2600
2005-08-02,20.27,20.52,20.25,20.25,39684,2600
2005-08-03,20.3,22.0,20.3,20.5,24225,2600
2005-08-04,20.35,20.66,20.2,20.36,8369,2600
2005-08-05,20.2,20.3,19.66,20.3,3992,2600
2005-08-08,20.5,20.5,20.18,20.37,900,2600
2005-08-09,20.2,20.25,20.0,20.03,1200,2600
2005-08-10,20.12,20.32,20.0,20.02,1413,2600
2005-08-11,20.13,20.15,20.05,20.05,2026,2600
2005-08-12,20.0,20.0,19.85,19.85,9519,2600
2005-08-15,19.9,20.17,19.9,19.91,1845,2600
2005-08-16,19.9,19.9,19.72,19.9,6918,2600
2005-08-17,19.9,19.9,19.9,19.9,3354,2600
2005-08-18,19.8,20.3,19.8,20.0,14826,2600
2005-08-19,20.0,20.0,19.9,19.9,1727,2600
2005-08-22,20.0,20.21,19.85,20.21,5421,2600
2005-08-23,19.89,20.19,19.89,20.19,1200,2600
2005-08-24,19.8,19.8,19.8,19.8,100,2600
2005-08-26,19.8,20.05,19.8,20.05,300,2600
2005-08-29,20.0,20.0,19.93,19.93,1582,2600
2005-08-30,20.0,20.0,19.8,19.8,953,2600
2005-08-31,19.72,19.89,19.72,19.89,379,2600
2005-09-01,20.16,20.3,19.91,20.02,1323,2600
2005-09-02,20.0,20.0,20.0,20.0,700,2600
2005-09-06,19.9,19.9,19.9,19.9,113,2600
2005-09-08,19.75,19.75,19.75,19.75,100,2600
2005-09-09,19.79,19.79,19.79,19.79,1000,2600
2005-09-12,19.72,19.72,18.81,19.53,11338,2600
2005-09-13,19.4,20.15,19.4,20.15,6805,2600
2005-09-14,20.15,20.15,20.15,20.15,800,2600
2005-09-15,20.15,20.15,20.15,20.15,900,2600
