Date,Open,High,Low,Close,Volume,stock_id
2016-09-28,24.166,24.266,24.166,24.266,29586,3985
2016-09-29,24.32,24.32,23.912,24.236,39523,3985
2016-09-30,24.338,24.338,24.138,24.256,19599,3985
2016-10-03,24.348,24.417,24.166,24.32,10202,3985
2016-10-04,24.377,24.617,24.157,24.387,38547,3985
2016-10-05,24.475,24.512,24.171,24.236,16521,3985
2016-10-06,24.491,24.503,24.236,24.328,27954,3985
2016-10-07,24.328,24.456,24.157,24.33,23506,3985
2016-10-10,24.285,24.466,24.237,24.427,3533,3985
2016-10-11,24.285,24.328,24.236,24.236,6651,3985
2016-10-12,24.246,24.246,24.094,24.103,9409,3985
2016-10-13,24.138,24.214,24.094,24.122,20201,3985
2016-10-14,24.19,24.32,24.19,24.233,2917,3985
2016-10-17,24.285,24.285,24.227,24.227,1494,3985
2016-10-18,24.302,24.302,24.103,24.196,6865,3985
2016-10-19,24.324,24.469,24.131,24.36,13410,3985
2016-10-20,24.287,24.351,24.208,24.3,4377,3985
2016-10-21,24.43,24.45,24.238,24.38,3020,3985
2016-10-24,24.287,24.311,24.238,24.296,1985,3985
2016-10-25,24.43,24.469,24.38,24.38,2335,3985
2016-10-26,24.43,24.43,24.168,24.238,13216,3985
2016-10-27,24.427,24.43,24.208,24.25,4648,3985
2016-10-28,24.213,24.497,24.213,24.218,2429,3985
2016-10-31,24.228,24.44,24.218,24.31,5045,3985
2016-11-01,24.438,24.444,24.433,24.444,1400,3985
2016-11-02,24.365,24.372,24.258,24.258,4768,3985
2016-11-03,24.361,24.361,24.287,24.331,2093,3985
2016-11-04,24.238,24.331,24.188,24.272,25349,3985
2016-11-07,24.219,24.39,24.218,24.315,17033,3985
2016-11-08,24.43,24.43,24.315,24.43,11165,3985
2016-11-09,24.238,24.479,24.238,24.305,12950,3985
2016-11-10,24.268,24.622,24.188,24.226,6974,3985
2016-11-11,24.188,24.479,23.996,24.443,4662,3985
2016-11-14,24.612,24.622,24.186,24.622,11013,3985
2016-11-15,24.414,24.434,24.359,24.434,1803,3985
2016-11-16,24.359,24.359,24.121,24.273,29485,3985
2016-11-17,24.166,24.507,24.166,24.507,785,3985
2016-11-18,24.224,24.264,24.215,24.264,4915,3985
2016-11-21,24.329,24.359,24.147,24.147,9440,3985
2016-11-22,24.166,24.266,24.121,24.147,13630,3985
2016-11-23,24.121,24.384,24.121,24.379,6879,3985
2016-11-28,24.216,24.558,24.216,24.558,4561,3985
2016-11-29,24.461,24.461,24.285,24.309,7131,3985
2016-11-30,24.314,24.506,24.157,24.186,6685,3985
2016-12-01,24.294,24.398,24.147,24.237,6011,3985
