Date,Open,High,Low,Close,Volume,stock_id
2005-02-25,4.9277,5.0452,4.9041,5.0137,60637,3553
2005-02-28,5.0137,5.0922,4.9824,5.0137,122474,3553
2005-03-01,5.0372,5.0687,5.0216,5.0608,53839,3553
2005-03-02,5.0137,5.0294,4.9354,4.959,29452,3553
2005-03-03,4.9746,5.0294,4.8727,4.959,44777,3553
2005-03-04,4.9354,4.951,4.9197,4.9277,51041,3553
2005-03-07,4.9277,4.9746,4.9277,4.9746,26388,3553
2005-03-08,5.006,5.0452,4.959,4.9746,29718,3553
2005-03-09,4.9982,5.0294,4.9668,4.9668,24258,3553
2005-03-10,4.9277,4.9433,4.912,4.9433,11062,3553
2005-03-11,4.9668,5.006,4.9277,4.9824,20255,3553
2005-03-14,4.9824,4.9824,4.8569,4.8569,36380,3553
2005-03-15,4.7553,4.7553,4.622,4.669,59037,3553
2005-03-16,4.7004,4.716,4.6377,4.669,24258,3553
2005-03-17,4.6377,4.6534,4.5907,4.6455,49444,3553
2005-03-18,4.622,4.669,4.622,4.669,26522,3553
2005-03-21,4.7004,4.7553,4.6142,4.6455,26253,3553
2005-03-22,4.6847,4.7395,4.6534,4.6534,25455,3553
2005-03-23,4.6065,4.6299,4.528,4.528,36913,3553
2005-03-24,4.528,4.6142,4.528,4.5985,19189,3553
2005-03-28,4.669,4.669,4.5672,4.5749,31317,3553
2005-03-29,4.6065,4.6065,4.528,4.5359,27587,3553
2005-03-30,4.528,4.5829,4.528,4.5515,11993,3553
2005-03-31,4.5045,4.5515,4.5045,4.5359,22121,3553
2005-04-01,4.5829,4.6377,4.5438,4.5515,22922,3553
2005-04-04,4.724,4.724,4.6299,4.6377,42112,3553
2005-04-05,4.7395,4.7866,4.7004,4.716,16790,3553
2005-04-06,4.7395,4.8022,4.7395,4.7945,37981,3553
2005-04-07,4.7553,4.8258,4.7395,4.7395,11728,3553
2005-04-08,4.8415,4.8492,4.669,4.6847,35315,3553
2005-04-11,4.5438,4.6142,4.5438,4.5907,84623,3553
