Date,Open,High,Low,Close,Volume,stock_id
2016-08-23,24.964,25.037,24.964,25.008,3936,6061
2016-08-25,24.654,24.654,24.654,24.654,808,6061
2016-08-29,24.771,24.841,24.731,24.841,1718,6061
2016-08-30,25.234,25.234,24.779,24.779,5517,6061
2016-08-31,25.234,25.234,25.234,25.234,212,6061
2016-09-01,24.681,24.691,24.622,24.622,2325,6061
2016-09-02,24.691,24.691,24.642,24.642,208,6061
2016-09-07,25.136,25.145,24.973,25.145,1597,6061
2016-09-08,24.998,24.998,24.998,24.998,100,6061
2016-09-09,24.959,24.959,24.413,24.413,4851,6061
2016-09-12,24.433,24.473,24.391,24.473,1140,6061
2016-09-13,24.542,24.542,24.453,24.453,404,6061
2016-09-14,24.434,24.532,24.403,24.403,1212,6061
2016-09-15,24.731,24.731,24.731,24.731,1182,6061
2016-09-16,24.596,24.616,24.596,24.616,577,6061
2016-09-20,24.642,24.642,24.642,24.642,100,6061
2016-09-21,24.692,24.929,24.692,24.908,2431,6061
2016-09-22,25.116,25.136,25.077,25.136,505,6061
2016-09-23,25.058,25.068,24.939,25.009,1111,6061
2016-09-26,24.642,24.642,24.642,24.642,404,6061
2016-09-27,24.831,24.929,24.831,24.929,930,6061
2016-09-29,24.979,24.979,24.741,24.741,1315,6061
2016-09-30,24.949,24.949,24.9,24.9,414,6061
2016-10-06,24.893,24.903,24.893,24.903,637,6061
2016-10-10,24.789,24.817,24.789,24.794,505,6061
2016-10-19,24.794,24.794,24.794,24.794,100,6061
2016-10-20,24.664,24.664,24.664,24.664,100,6061
2016-10-24,24.913,24.913,24.913,24.913,163,6061
2016-10-25,24.734,24.734,24.734,24.734,100,6061
2016-10-26,24.645,24.645,24.645,24.645,100,6061
2016-10-27,24.446,24.446,24.446,24.446,171,6061
2016-10-28,24.466,24.466,24.376,24.376,404,6061
2016-11-03,24.031,24.031,24.005,24.005,302,6061
2016-11-08,24.376,24.376,24.376,24.376,100,6061
2016-11-09,24.405,24.465,24.396,24.465,1227,6061
2016-11-10,24.189,24.189,24.189,24.189,198,6061
2016-11-14,24.041,24.08,24.041,24.08,7486,6061
2016-11-17,24.645,24.645,24.645,24.645,229,6061
2016-11-18,24.664,24.664,24.555,24.555,577,6061
2016-11-21,24.585,24.684,24.585,24.684,1581,6061
2016-11-23,24.744,24.744,24.744,24.744,100,6061
2016-11-28,24.774,24.774,24.774,24.774,202,6061
2016-11-29,24.655,24.655,24.655,24.655,160,6061
2016-11-30,24.551,24.551,24.551,24.551,121,6061
2016-12-05,24.466,24.466,24.466,24.466,100,6061
2016-12-07,24.893,24.893,24.893,24.893,114,6061
2016-12-09,25.002,25.002,24.645,24.948,3927,6061
2016-12-13,25.002,25.002,25.002,25.002,110,6061
2016-12-15,24.803,24.803,24.766,24.766,403,6061
2016-12-16,25.043,25.043,25.043,25.043,100,6061
2016-12-21,24.806,24.836,24.806,24.836,487,6061
2016-12-23,24.796,24.796,24.796,24.796,223,6061
2016-12-27,24.676,24.719,24.676,24.719,286,6061
2016-12-28,24.75,24.75,24.75,24.75,141,6061
2016-12-29,24.764,24.77,24.764,24.77,303,6061
2017-01-03,24.636,24.636,24.636,24.636,202,6061
2017-01-04,24.958,24.958,24.958,24.958,1007,6061
2017-01-05,24.869,24.869,24.869,24.869,147,6061
2017-01-06,24.978,24.978,24.978,24.978,108,6061
2017-01-09,25.097,25.137,25.097,25.137,1197,6061
2017-01-10,25.077,25.216,25.077,25.167,783,6061
2017-01-11,25.187,25.187,25.177,25.187,765,6061
2017-01-19,25.216,25.216,25.182,25.182,272,6061
2017-01-20,25.117,25.117,25.115,25.115,1298,6061
2017-01-24,25.296,25.515,25.296,25.515,696,6061
2017-01-25,25.664,25.664,25.664,25.664,150,6061
2017-01-30,25.365,25.365,25.365,25.365,402,6061
2017-01-31,25.326,25.326,25.257,25.257,202,6061
2017-02-01,25.375,25.375,25.375,25.375,150,6061
2017-02-03,25.485,25.495,25.485,25.495,303,6061
2017-02-06,25.407,25.407,25.407,25.407,100,6061
2017-02-07,25.445,25.445,25.445,25.445,280,6061
2017-02-09,25.753,25.772,25.753,25.772,764,6061
2017-02-13,25.852,25.872,25.852,25.872,784,6061
2017-02-14,25.699,25.699,25.699,25.699,100,6061
2017-02-15,25.931,25.931,25.931,25.931,202,6061
2017-02-17,25.981,26.045,25.981,26.045,454,6061
2017-02-21,26.25,26.279,26.25,26.279,2014,6061
2017-02-22,26.221,26.221,26.221,26.221,113,6061
2017-02-23,26.09,26.113,26.07,26.07,1461,6061
2017-02-27,26.14,26.16,26.14,26.16,889,6061
2017-03-06,25.961,25.961,25.961,25.961,100,6061
2017-03-07,25.964,25.964,25.964,25.964,402,6061
2017-03-10,26.24,26.24,26.24,26.24,126,6061
2017-03-17,26.646,26.646,26.646,26.646,100,6061
2017-03-21,26.716,26.716,26.716,26.716,230,6061
2017-03-30,26.686,26.686,26.686,26.686,139,6061
2017-04-05,26.439,26.499,26.439,26.469,1960,6061
2017-04-06,26.37,26.417,26.32,26.32,1438,6061
2017-04-10,26.374,26.374,26.374,26.374,173,6061
2017-04-11,26.221,26.315,26.221,26.315,234,6061
2017-04-12,26.479,26.561,26.449,26.449,752,6061
2017-04-18,26.499,26.499,26.392,26.392,578,6061
2017-04-25,27.414,27.434,27.222,27.434,1105,6061
2017-04-27,27.533,27.533,27.533,27.533,993,6061
2017-05-02,27.732,27.762,27.712,27.712,402,6061
2017-05-04,27.692,27.692,27.608,27.618,452,6061
2017-05-05,27.791,27.791,27.791,27.791,125,6061
2017-05-09,28.12,28.149,28.008,28.008,2222,6061
2017-05-10,28.082,28.082,28.082,28.082,100,6061
2017-05-11,28.14,28.309,28.14,28.309,554,6061
2017-05-12,28.349,28.349,28.349,28.349,125,6061
2017-05-16,28.657,28.697,28.587,28.677,1661,6061
2017-05-17,28.398,28.398,28.169,28.169,301,6061
2017-05-18,27.782,27.782,27.782,27.782,128,6061
2017-05-22,28.697,28.697,28.697,28.697,264,6061
2017-05-23,28.753,28.767,28.691,28.691,777,6061
2017-05-24,29.333,29.333,28.756,28.763,2061,6061
2017-05-25,28.915,28.935,28.915,28.935,402,6061
2017-05-26,28.577,28.863,28.577,28.863,665,6061
2017-05-30,28.915,28.915,28.81,28.81,1531,6061
2017-05-31,28.751,28.806,28.567,28.567,2898,6061
2017-06-06,29.303,29.303,29.202,29.202,877,6061
2017-06-09,29.114,29.114,28.842,28.842,495,6061
2017-06-13,29.035,29.035,28.975,29.005,885,6061
2017-06-15,28.727,28.727,28.637,28.637,277,6061
2017-06-16,28.836,28.856,28.766,28.856,835,6061
2017-06-26,29.243,29.243,29.243,29.243,507,6061
2017-07-05,28.857,28.857,28.857,28.857,100,6061
2017-07-06,28.509,28.574,28.509,28.574,401,6061
2017-07-11,28.983,29.087,28.953,28.953,611,6061
2017-07-13,29.676,29.676,29.456,29.456,7535,6061
2017-07-14,29.616,29.965,29.616,29.825,30396,6061
2017-07-17,29.895,30.045,29.756,29.795,29485,6061
2017-07-18,29.736,29.736,29.736,29.736,131,6061
2017-07-19,30.015,30.324,30.015,30.045,602,6061
2017-07-20,30.384,30.384,30.354,30.354,606,6061
2017-07-21,30.234,30.234,30.184,30.224,813,6061
2017-07-24,30.224,30.444,30.224,30.444,2016,6061
2017-07-25,30.424,30.424,30.424,30.424,602,6061
2017-07-27,30.648,30.648,30.648,30.648,100,6061
2017-07-28,30.539,30.713,30.539,30.713,770,6061
2017-07-31,30.553,30.553,30.434,30.464,1926,6061
2017-08-01,30.471,30.579,30.471,30.579,662,6061
2017-08-02,30.414,30.414,30.283,30.283,406,6061
2017-08-03,30.513,30.513,30.384,30.414,6278,6061
2017-08-04,30.513,30.513,30.425,30.425,545,6061
2017-08-07,30.633,30.664,30.633,30.664,960,6061
2017-08-08,30.902,30.952,30.892,30.892,323,6061
2017-08-09,30.434,30.434,30.434,30.434,225,6061
2017-08-11,29.942,29.942,29.942,29.942,501,6061
2017-08-14,30.528,30.528,30.528,30.528,150,6061
2017-08-15,30.372,30.372,30.372,30.372,109,6061
2017-08-17,30.085,30.085,30.085,30.085,100,6061
2017-08-18,30.085,30.234,30.085,30.194,502,6061
2017-08-21,30.03,30.03,30.03,30.03,281,6061
2017-08-22,30.421,30.421,30.421,30.421,100,6061
2017-08-23,30.344,30.425,30.344,30.425,673,6061
2017-08-25,30.336,30.336,30.336,30.336,188,6061
2017-08-28,30.155,30.155,30.155,30.155,131,6061
2017-08-29,30.214,30.254,30.214,30.254,282,6061
2017-08-30,30.164,30.354,30.164,30.344,606,6061
2017-09-01,30.982,30.982,30.917,30.917,362,6061
2017-09-06,30.852,30.852,30.843,30.843,302,6061
2017-09-12,31.182,31.182,31.182,31.182,501,6061
2017-09-13,31.202,31.203,31.201,31.203,1121,6061
2017-09-14,31.249,31.249,31.122,31.122,262,6061
2017-09-15,31.333,31.333,31.333,31.333,321,6061
2017-09-19,31.456,31.511,31.456,31.511,352,6061
2017-09-20,31.56,31.58,31.56,31.58,276,6061
2017-09-21,31.401,31.401,31.281,31.281,622,6061
2017-09-22,31.361,31.361,31.361,31.361,272,6061
2017-09-26,31.151,31.151,30.803,30.803,1302,6061
2017-09-27,30.978,31.137,30.978,31.071,426,6061
2017-09-29,31.471,31.478,31.312,31.447,1744,6061
2017-10-02,31.56,31.569,31.56,31.56,1636,6061
2017-10-03,31.8,31.8,31.77,31.77,2234,6061
2017-10-04,31.7,31.7,31.5301,31.6343,889,6061
2017-10-05,31.7143,31.89,31.7143,31.89,1230,6061
2017-10-06,31.85,31.92,31.7772,31.91,1068,6061
2017-10-10,32.11,32.11,31.9825,32.0281,1260,6061
2017-10-11,32.08,32.21,32.0433,32.21,1214,6061
2017-10-12,32.19,32.19,32.19,32.19,328,6061
2017-10-13,32.529,32.529,32.295,32.4242,718,6061
2017-10-16,32.43,32.4916,32.43,32.4916,584,6061
2017-10-17,32.37,32.38,32.2,32.2,926,6061
2017-10-18,32.4,32.4,32.27,32.3095,2721,6061
2017-10-19,32.08,32.08,31.86,31.89,1587,6061
2017-10-20,32.23,32.29,32.191,32.25,1559,6061
2017-10-23,32.2,32.2,32.06,32.06,1078,6061
2017-10-24,32.05,32.08,32.025,32.05,3800,6061
2017-10-25,31.9,31.9,31.6,31.64,652,6061
2017-10-26,31.7,31.7,31.5883,31.62,1738,6061
2017-10-27,31.7691,31.85,31.7691,31.85,300,6061
2017-10-30,31.85,31.975,31.85,31.975,272,6061
2017-10-31,32.07,32.21,32.07,32.19,1571,6061
2017-11-01,32.33,32.33,32.1076,32.12,1027,6061
2017-11-06,32.7,32.7,32.7,32.7,234,6061
2017-11-07,32.64,32.64,32.35,32.35,510,6061
2017-11-08,32.3724,32.3724,32.3724,32.3724,204,6061
2017-11-09,32.36,32.36,32.36,32.36,149,6061
2017-11-10,32.41,32.54,32.41,32.525,753,6061
