Date,Open,High,Low,Close,Volume,stock_id
2005-02-25,4.6667,4.6811,4.6109,4.6152,260620,1557
2005-02-28,4.5734,4.6667,4.5734,4.6575,311038,1557
2005-03-01,4.6483,4.7141,4.6483,4.7048,631480,1557
2005-03-02,4.7704,4.8634,4.6857,4.8025,2382365,1557
2005-03-03,4.7981,4.8025,4.723,4.7792,452886,1557
2005-03-04,4.8401,5.2151,4.8167,5.0884,1092058,1557
2005-03-07,5.1299,5.1773,5.0692,5.1299,569102,1557
2005-03-08,5.1821,5.2338,5.1159,5.1349,445199,1557
2005-03-09,5.1398,5.1729,5.1209,5.1209,772475,1557
2005-03-10,5.1159,5.1159,4.9719,5.0089,466566,1557
2005-03-11,4.9951,5.0417,4.9719,5.0322,528087,1557
2005-03-14,5.0322,5.0322,5.0138,5.0186,346077,1557
2005-03-15,5.0322,5.0507,5.004,5.0089,183716,1557
2005-03-16,5.0089,5.0089,4.9389,4.9573,136713,1557
2005-03-17,4.962,4.9719,4.9291,4.948,372567,1557
2005-03-18,4.948,5.0138,4.9389,4.9861,524669,1557
2005-03-21,4.9861,5.0186,4.9861,5.0089,212773,1557
2005-03-22,5.0186,5.0459,4.9861,5.0089,321297,1557
2005-03-23,4.9812,4.9861,4.9291,4.9573,166625,1557
2005-03-24,4.9573,5.0272,4.9573,4.9812,792983,1557
2005-03-28,5.0417,5.0884,4.9148,4.9246,656259,1557
2005-03-29,4.948,4.9719,4.9291,4.9291,451185,1557
2005-03-30,4.9433,4.9719,4.9099,4.9099,540048,1557
2005-03-31,4.9291,4.9719,4.9291,4.9719,787004,1557
2005-04-01,5.004,5.0089,4.8911,4.9099,346077,1557
2005-04-04,4.9099,4.9099,4.7981,4.8634,530648,1557
2005-04-05,4.8678,5.004,4.8678,4.9995,1250142,1557
2005-04-06,5.2847,5.3602,5.1821,5.294,5268886,1557
2005-04-07,5.3131,5.4301,5.262,5.4162,2190958,1557
2005-04-08,5.4162,5.4769,5.4069,5.4536,1437282,1557
2005-04-11,5.4769,5.4769,5.2751,5.3173,1497093,1557
2005-04-12,5.3131,5.3738,5.3131,5.3602,652839,1557
2005-04-13,5.4259,5.4301,5.3319,5.369,870741,1557
2005-04-14,5.369,5.369,5.1398,5.1679,1892733,1557
2005-04-15,5.0931,5.1398,5.0835,5.0972,642589,1557
2005-04-18,5.0931,5.1159,5.0507,5.1066,551158,1557
2005-04-19,5.1066,5.2378,5.1066,5.2201,453742,1557
2005-04-20,5.2338,5.2476,5.2151,5.2338,810073,1557
2005-04-21,5.2521,5.2521,5.1489,5.1538,245246,1557
2005-04-22,5.1538,5.2201,5.1299,5.2053,396494,1557
2005-04-25,5.2053,5.2378,5.1209,5.1209,368297,1557
2005-04-26,5.1209,5.1209,5.0367,5.0602,399057,1557
2005-04-27,5.0507,5.0507,4.9573,4.9951,688730,1557
2005-04-28,4.9861,4.9861,4.948,4.948,915174,1557
2005-04-29,4.9669,4.9812,4.8911,4.9433,761368,1557
2005-05-02,4.9433,4.9904,4.9389,4.9764,505865,1557
2005-05-03,4.9764,5.0652,4.9764,5.0652,779312,1557
2005-05-04,5.0741,5.2102,5.0741,5.1773,610975,1557
