Date,Open,High,Low,Close,Volume,stock_id
2005-03-01,1.25,1.25,1.25,1.25,3000,155
2005-03-02,1.3,1.3,1.3,1.3,2000,155
2005-03-03,1.3,1.4,1.3,1.4,14000,155
2005-03-04,1.4,1.4,1.3,1.3,3100,155
2005-03-09,1.3,1.3,1.3,1.3,1000,155
2005-03-10,1.3,1.3,1.3,1.3,1000,155
2005-03-14,1.32,1.32,1.3,1.3,4000,155
2005-03-15,1.3,1.3,1.12,1.12,38300,155
2005-03-16,1.12,1.12,1.12,1.12,1000,155
2005-03-17,1.2,1.2,1.2,1.2,2000,155
2005-03-18,1.2,1.2,1.2,1.2,1500,155
2005-03-21,1.3,1.3,1.3,1.3,6500,155
2005-03-22,1.25,1.3,1.25,1.3,2500,155
2005-03-23,1.3,1.3,1.3,1.3,750,155
2005-03-24,1.2,1.2,1.2,1.2,2000,155
2005-03-28,1.2,1.2,1.2,1.2,1000,155
2005-03-29,1.13,1.13,1.13,1.13,6000,155
2005-03-30,1.17,1.17,1.13,1.13,7400,155
2005-04-01,1.13,1.22,1.13,1.22,6600,155
2005-04-05,1.13,1.13,1.13,1.13,1156,155
2005-04-06,1.14,1.14,1.14,1.14,500,155
2005-04-08,1.22,1.22,1.22,1.22,1000,155
2005-04-12,1.22,1.22,1.22,1.22,1000,155
2005-04-13,1.15,1.15,1.15,1.15,3000,155
2005-04-14,1.15,1.15,1.15,1.15,1000,155
2005-04-15,1.13,1.15,1.1,1.1,4500,155
2005-04-18,1.1,1.1,1.03,1.03,9000,155
2005-04-19,1.1,1.1,1.1,1.1,1000,155
2005-04-20,1.02,1.15,1.02,1.15,3100,155
2005-04-21,1.1,1.1,1.05,1.05,9500,155
2005-04-22,1.05,1.09,1.02,1.05,5000,155
2005-04-25,1.1,1.1,1.1,1.1,500,155
2005-04-26,1.15,1.17,1.1,1.17,8000,155
2005-04-27,1.1,1.1,1.1,1.1,3000,155
2005-05-02,1.1,1.15,1.1,1.15,2000,155
2005-05-03,1.25,1.3,1.25,1.3,4000,155
2005-05-04,1.33,1.5,1.25,1.25,7275,155
2005-05-06,1.5,1.75,1.4,1.5,18000,155
2005-05-09,1.5,1.75,1.5,1.5,2700,155
2005-05-10,1.5,1.8,1.5,1.7,9700,155
2005-05-11,1.7,1.7,1.7,1.7,175,155
2005-05-12,1.78,1.88,1.78,1.8,21650,155
2005-05-16,1.8,1.8,1.65,1.65,3500,155
2005-05-18,1.5,1.5,1.35,1.35,3100,155
2005-05-23,1.3,1.3,1.25,1.25,4000,155
2005-05-24,1.25,1.25,1.17,1.17,6150,155
2005-05-25,1.16,1.16,1.15,1.15,3000,155
2005-05-27,1.15,1.15,1.1,1.1,9000,155
2005-05-31,1.15,1.16,1.15,1.16,3500,155
2005-06-03,1.25,1.25,1.25,1.25,2500,155
2005-06-07,1.25,1.25,1.25,1.25,2500,155
2005-06-08,1.25,1.25,1.25,1.25,100,155
2005-06-09,1.25,1.25,1.22,1.25,4500,155
2005-06-10,1.2,1.2,1.09,1.09,2900,155
2005-06-13,1.09,1.09,1.09,1.09,2000,155
2005-06-14,1.09,1.09,1.09,1.09,100,155
2005-06-15,1.1,1.1,0.98,0.98,8000,155
2005-06-16,0.98,1.1,0.98,1.1,2500,155
2005-06-20,1.05,1.05,1.05,1.05,1000,155
2005-06-21,1.05,1.1,1.01,1.1,5000,155
2005-06-22,1.1,1.1,1.1,1.1,3500,155
2005-06-23,1.05,1.15,1.05,1.15,6700,155
2005-06-28,1.18,1.23,1.18,1.23,1500,155
2005-06-30,1.23,1.23,1.23,1.23,1500,155
2005-07-07,1.15,1.15,1.1,1.1,35000,155
2005-07-08,1.1,1.1,1.05,1.08,16150,155
2005-07-11,0.9,1.01,0.9,1.01,13950,155
2005-07-12,1.01,1.01,0.95,0.95,8350,155
2005-07-14,0.9,0.9,0.9,0.9,500,155
2005-07-15,1.01,1.01,1.01,1.01,2000,155
2005-07-18,1.02,1.02,0.95,0.95,21000,155
2005-07-19,1.05,1.05,1.05,1.05,3000,155
2005-07-21,1.05,1.05,1.05,1.05,1000,155
2005-07-27,0.92,0.95,0.9,0.9,15000,155
2005-07-28,1.0,1.0,0.9,0.9,10000,155
2005-08-01,1.01,1.12,0.95,1.09,67500,155
2005-08-02,1.12,1.12,1.12,1.12,3000,155
2005-08-03,1.25,1.25,1.2,1.25,5500,155
2005-08-04,1.3,1.3,1.17,1.17,21150,155
2005-08-05,1.12,1.12,1.0,1.05,4400,155
2005-08-09,1.1,1.1,1.1,1.1,1000,155
