Date,Open,High,Low,Close,Volume,stock_id
2010-11-09,88.758,88.758,80.71,81.255,72075,4600
2010-11-10,81.701,84.263,80.124,84.263,31802,4600
2010-11-11,85.303,85.506,82.839,84.563,14188,4600
2010-11-12,83.97,84.71,80.466,81.897,13796,4600
2010-11-15,82.19,82.19,80.515,80.759,6920,4600
2010-11-16,80.962,80.962,76.418,76.913,32749,4600
2010-11-17,78.791,80.417,77.946,79.677,6612,4600
2010-11-18,82.043,82.043,81.101,81.255,9736,4600
2010-11-19,82.344,82.344,80.215,81.946,4576,4600
2010-11-22,79.873,83.035,79.873,82.979,13001,4600
2010-11-23,82.93,82.93,80.417,81.946,7255,4600
2010-11-24,83.181,83.425,82.637,83.083,15355,4600
2010-11-26,81.897,83.132,81.897,83.083,3526,4600
2010-11-29,82.686,84.905,82.043,84.905,15082,4600
2010-11-30,85.645,87.725,85.554,87.572,17743,4600
2010-12-01,88.856,89.798,87.076,88.36,30292,4600
2010-12-02,89.449,90.936,88.612,89.994,22507,4600
2010-12-03,90.392,91.425,90.392,91.124,13461,4600
2010-12-06,91.473,93.002,91.473,93.002,14513,4600
2010-12-07,95.229,95.229,90.44,90.782,20024,4600
2010-12-08,89.156,89.742,87.027,88.807,19072,4600
2010-12-09,89.847,89.994,88.27,88.312,12785,4600
2010-12-10,88.27,88.954,86.734,88.905,12526,4600
2010-12-13,90.336,91.774,90.336,90.489,13821,4600
2010-12-14,91.076,91.376,90.091,90.44,12514,4600
2010-12-15,89.254,90.44,88.27,88.758,9431,4600
2010-12-16,87.97,88.563,86.978,88.165,11599,4600
2010-12-17,86.685,89.945,86.685,88.856,4719,4600
2010-12-20,89.554,90.58,88.563,90.14,4688,4600
2010-12-21,89.847,90.636,89.554,90.336,6895,4600
2010-12-22,91.376,91.376,88.116,88.27,6864,4600
2010-12-23,88.709,90.392,87.865,89.303,2583,4600
2010-12-27,90.043,90.043,89.107,89.596,8958,4600
2010-12-28,93.791,93.791,90.734,93.198,8613,4600
2010-12-29,93.791,94.384,92.269,92.311,6033,4600
2010-12-30,91.522,92.953,91.425,91.669,7613,4600
2010-12-31,92.807,94.286,92.311,93.791,7860,4600
2011-01-03,95.62,95.62,93.295,93.295,17587,4600
2011-01-04,92.807,92.807,87.676,89.498,13712,4600
2011-01-05,88.36,89.254,87.23,88.954,7377,4600
2011-01-06,88.905,88.905,85.596,85.896,8034,4600
2011-01-07,85.15,86.441,84.312,85.205,20186,4600
2011-01-10,85.596,86.587,84.514,86.092,4550,4600
2011-01-11,87.383,88.856,87.027,87.865,3875,4600
2011-01-12,88.758,89.449,87.865,89.058,7682,4600
2011-01-13,89.847,89.847,86.483,86.587,4226,4600
