Date,Open,High,Low,Close,Volume,stock_id
2005-02-28,0.28,0.32,0.28,0.28,35500,476
2005-03-01,0.33,0.33,0.33,0.33,2000,476
2005-03-09,0.4,0.4,0.4,0.4,1000,476
2005-03-28,0.4,0.4,0.4,0.4,2000,476
2005-03-31,0.4,0.4,0.4,0.4,1000,476
2005-05-12,0.4,0.4,0.4,0.4,3000,476
2005-05-27,0.38,0.38,0.38,0.38,2000,476
2005-06-22,0.4,0.4,0.4,0.4,15000,476
2005-06-27,0.37,0.39,0.37,0.37,3500,476
2005-07-11,0.42,0.42,0.41,0.42,12000,476
2005-07-27,0.41,0.41,0.41,0.41,3000,476
2005-08-02,0.47,0.47,0.47,0.47,1000,476
2005-08-03,0.45,0.45,0.45,0.45,1000,476
2005-08-09,0.47,0.47,0.45,0.47,15000,476
2005-08-10,0.45,0.45,0.41,0.45,21000,476
2005-08-15,0.45,0.45,0.45,0.45,4500,476
2005-08-29,0.43,0.43,0.43,0.43,1000,476
2005-09-09,0.4,0.4,0.4,0.4,5300,476
2005-09-12,0.43,0.43,0.43,0.43,5300,476
2005-09-16,0.48,0.48,0.48,0.48,3000,476
2005-09-19,0.51,0.51,0.51,0.51,2000,476
2005-09-21,0.46,0.46,0.46,0.46,500,476
2005-09-22,0.47,0.47,0.47,0.47,1000,476
2005-09-26,0.52,0.54,0.52,0.52,170000,476
2005-09-27,0.55,0.55,0.55,0.55,1000,476
2005-10-03,0.52,0.52,0.52,0.52,29000,476
2005-10-04,0.46,0.51,0.46,0.46,10200,476
2005-10-05,0.5,0.5,0.5,0.5,4000,476
2005-10-06,0.55,0.55,0.55,0.55,10700,476
2005-10-21,0.51,0.51,0.49,0.51,1500,476
2005-10-25,0.5,0.53,0.5,0.5,18000,476
2005-10-27,0.54,0.54,0.54,0.54,10000,476
2005-10-28,0.52,0.52,0.52,0.52,2000,476
2005-10-31,0.54,0.54,0.54,0.54,15000,476
2005-11-01,0.56,0.56,0.56,0.56,6800,476
2005-11-02,0.57,0.57,0.56,0.57,4000,476
2005-11-03,0.55,0.57,0.55,0.55,10000,476
2005-11-04,0.58,0.58,0.58,0.58,3000,476
2005-11-07,0.58,0.58,0.55,0.58,25500,476
2005-11-09,0.59,0.59,0.57,0.59,21000,476
2005-11-10,0.58,0.58,0.58,0.58,1000,476
2005-11-16,0.55,0.55,0.55,0.55,1000,476
2005-11-17,0.56,0.56,0.55,0.56,40000,476
2005-11-18,0.55,0.55,0.55,0.55,3000,476
2005-11-21,0.57,0.57,0.57,0.57,5000,476
2005-11-22,0.55,0.55,0.55,0.55,28000,476
2005-11-28,0.55,0.55,0.55,0.55,6000,476
2005-11-29,0.55,0.55,0.55,0.55,1750,476
2005-11-30,0.51,0.51,0.51,0.51,4500,476
2005-12-01,0.65,0.73,0.57,0.65,173500,476
2005-12-02,0.69,0.73,0.65,0.69,348545,476
2005-12-05,0.73,0.77,0.64,0.73,231890,476
2005-12-06,0.83,0.87,0.78,0.83,143533,476
2005-12-07,0.84,0.95,0.82,0.84,117615,476
2005-12-08,0.83,0.9,0.77,0.83,41100,476
2005-12-09,0.79,0.83,0.79,0.79,34100,476
2005-12-12,0.78,0.85,0.73,0.78,44680,476
2005-12-13,0.77,0.77,0.72,0.77,42000,476
2005-12-14,0.78,0.78,0.75,0.78,7200,476
2005-12-15,0.77,0.77,0.77,0.77,1500,476
2005-12-16,0.9,0.9,0.82,0.9,9100,476
2005-12-19,0.94,0.98,0.92,0.94,43745,476
2005-12-20,0.9,0.94,0.85,0.9,11752,476
2005-12-21,0.8,0.84,0.8,0.8,38500,476
2005-12-22,0.83,0.83,0.81,0.83,13000,476
2005-12-23,0.84,0.9,0.83,0.84,34750,476
2005-12-28,0.93,0.93,0.84,0.93,65100,476
2005-12-29,0.97,1.18,0.95,0.97,6800,476
2005-12-30,0.97,1.02,0.95,0.97,66925,476
2006-01-03,0.97,1.04,0.96,0.97,70900,476
2006-01-04,0.99,0.99,0.93,0.99,57150,476
2006-01-05,0.92,0.97,0.91,0.92,40100,476
2006-01-06,0.95,0.96,0.88,0.95,57000,476
2006-01-09,0.99,1.01,0.86,0.99,55275,476
2006-01-10,0.9,0.98,0.87,0.9,28200,476
2006-01-11,0.9,0.91,0.85,0.9,26000,476
2006-01-12,0.86,0.88,0.84,0.86,43400,476
2006-01-13,0.79,0.85,0.79,0.79,10500,476
2006-01-17,0.78,0.82,0.68,0.78,148095,476
2006-01-18,0.8,0.87,0.76,0.8,66800,476
2006-01-19,0.84,0.88,0.78,0.84,21460,476
2006-01-20,0.86,0.92,0.81,0.86,30525,476
2006-01-23,0.79,0.88,0.75,0.79,10120,476
2006-01-24,0.79,0.81,0.73,0.79,22200,476
2006-01-25,0.84,0.86,0.8,0.84,17900,476
2006-01-26,0.88,0.88,0.81,0.88,39400,476
2006-01-27,0.94,0.97,0.88,0.94,172250,476
2006-01-30,1.01,1.01,0.93,1.01,83446,476
2006-01-31,1.01,1.05,0.97,1.01,125771,476
2006-02-01,0.89,1.0,0.89,0.89,33350,476
2006-02-02,0.97,0.97,0.93,0.97,12600,476
2006-02-03,0.95,0.96,0.89,0.95,32750,476
2006-02-06,0.96,0.97,0.89,0.96,90580,476
2006-02-07,0.88,0.9,0.85,0.88,54800,476
2006-02-08,0.88,0.89,0.82,0.88,25400,476
2006-02-09,0.91,0.93,0.88,0.91,60900,476
2006-02-10,0.86,0.9,0.84,0.86,12700,476
2006-02-13,0.85,0.91,0.84,0.85,21500,476
2006-02-14,0.85,0.86,0.8,0.85,8500,476
2006-02-15,0.84,0.87,0.83,0.84,23900,476
2006-02-16,0.83,0.83,0.82,0.83,2200,476
2006-02-17,0.86,0.93,0.82,0.86,9139,476
2006-02-21,1.02,1.02,0.96,1.02,98500,476
2006-02-22,1.0,1.03,0.97,1.0,12734,476
2006-02-23,1.01,1.01,0.94,1.01,37600,476
2006-02-24,0.93,1.03,0.93,0.93,21300,476
2006-02-27,1.01,1.02,0.95,1.01,36907,476
2006-02-28,1.01,1.01,0.98,1.01,22000,476
2006-03-01,1.07,1.07,0.99,1.07,13000,476
2006-03-02,1.22,1.23,1.11,1.22,38700,476
2006-03-03,1.25,1.34,1.2,1.25,154700,476
2006-03-06,1.23,1.35,1.07,1.23,41810,476
2006-03-07,1.13,1.15,1.08,1.13,6652,476
2006-03-08,1.05,1.08,0.94,1.05,335648,476
2006-03-09,1.01,1.06,0.98,1.01,16200,476
2006-03-10,1.04,1.04,1.0,1.04,18000,476
2006-03-13,1.1,1.13,1.04,1.1,144032,476
2006-03-14,1.13,1.16,1.1,1.13,85600,476
2006-03-15,1.14,1.16,1.08,1.14,77685,476
2006-03-16,1.1,1.16,1.07,1.1,24700,476
2006-03-17,1.1,1.15,1.06,1.1,11300,476
2006-03-20,1.06,1.15,1.04,1.06,30200,476
2006-03-21,1.07,1.07,0.95,1.07,44390,476
2006-03-22,1.18,1.18,1.12,1.18,25000,476
2006-03-23,1.18,1.22,1.12,1.18,105400,476
2006-03-24,1.17,1.2,1.15,1.17,75400,476
2006-03-27,1.32,1.36,1.17,1.32,157975,476
2006-03-28,1.38,1.4,1.3,1.38,52525,476
2006-03-29,1.47,1.5,1.45,1.47,111900,476
2006-03-30,1.47,1.48,1.4,1.47,49800,476
2006-03-31,1.6,1.62,1.45,1.6,71800,476
2006-04-03,1.89,1.98,1.8,1.89,244250,476
2006-04-04,2.0,2.05,1.91,2.0,200534,476
2006-04-05,1.93,2.03,1.86,1.93,113200,476
2006-04-06,1.91,1.98,1.9,1.91,87050,476
2006-04-07,1.91,1.95,1.83,1.91,31600,476
2006-04-10,1.74,1.99,1.38,1.74,271416,476
2006-04-11,1.55,1.74,1.55,1.55,91550,476
2006-04-12,1.64,1.72,1.56,1.64,69540,476
