Date,Open,High,Low,Close,Volume,stock_id
2005-02-25,29.099,29.125,28.602,28.999,36438,665
2005-02-28,28.77,28.948,27.977,28.407,36374,665
2005-03-01,28.021,29.436,27.951,29.429,33814,665
2005-03-02,29.521,29.721,28.788,29.189,19442,665
2005-03-03,29.586,29.866,29.393,29.578,14375,665
2005-03-04,29.807,29.858,29.521,29.721,9370,665
2005-03-07,29.319,29.858,29.319,29.699,19183,665
2005-03-08,29.521,29.738,29.207,29.348,34886,665
2005-03-09,29.158,29.479,28.821,28.821,12040,665
2005-03-10,28.929,29.367,28.542,28.837,20761,665
2005-03-11,28.576,29.108,28.576,29.108,26546,665
2005-03-14,29.108,29.512,29.081,29.488,16789,665
2005-03-15,29.613,29.849,29.393,29.445,16838,665
2005-03-16,29.284,29.327,28.911,29.099,47198,665
2005-03-17,29.15,29.521,28.736,28.939,82324,665
2005-03-18,29.225,29.225,27.159,27.791,80877,665
2005-03-21,27.462,27.621,26.989,27.031,47290,665
2005-03-22,27.031,27.462,26.989,27.066,31265,665
2005-03-23,26.989,27.167,25.385,25.776,40332,665
2005-03-24,25.65,26.146,25.64,25.86,9951,665
2005-03-28,26.146,26.198,25.556,25.624,12409,665
2005-03-29,25.393,25.926,25.27,25.314,19299,665
2005-03-30,25.884,26.907,25.474,26.676,22228,665
2005-03-31,26.88,27.48,26.65,27.385,58806,665
2005-04-01,27.621,27.765,26.341,26.341,29465,665
2005-04-04,26.35,26.773,26.095,26.474,22142,665
2005-04-05,26.676,27.96,26.676,27.673,34367,665
2005-04-06,27.699,27.825,26.954,26.954,16827,665
2005-04-07,26.989,27.867,26.712,27.548,20999,665
2005-04-08,27.435,27.48,26.712,26.803,10787,665
2005-04-11,27.1,27.183,25.665,25.851,23576,665
2005-04-12,25.732,25.893,24.882,25.893,37181,665
2005-04-13,25.877,25.877,25.136,25.261,9539,665
2005-04-14,25.532,25.809,25.305,25.314,30951,665
2005-04-15,25.377,25.464,24.458,24.628,52030,665
2005-04-18,24.753,25.032,23.996,24.612,56899,665
2005-04-19,24.957,25.305,24.948,25.305,30501,665
2005-04-20,24.89,25.305,24.882,25.103,31026,665
2005-04-21,25.261,25.385,24.915,25.103,20483,665
2005-04-22,25.199,25.65,24.402,24.45,28110,665
2005-04-25,24.839,25.006,24.475,24.78,27831,665
2005-04-26,24.586,25.127,24.45,24.45,19367,665
2005-04-27,24.315,25.16,23.996,24.79,14388,665
2005-04-28,24.79,24.948,24.332,24.332,14019,665
2005-04-29,24.475,24.671,24.165,24.409,35435,665
2005-05-02,24.493,24.873,24.28,24.745,19633,665
2005-05-03,24.419,24.882,24.28,24.409,23782,665
2005-05-04,24.249,24.798,24.249,24.712,26064,665
2005-05-05,24.745,24.864,24.257,24.636,16776,665
2005-05-06,24.873,24.89,24.332,24.332,10813,665
2005-05-09,24.265,24.923,24.265,24.923,18340,665
2005-05-10,24.51,24.729,24.289,24.484,26880,665
2005-05-11,24.644,24.753,24.341,24.465,21337,665
2005-05-12,24.771,24.932,24.28,24.298,13496,665
2005-05-13,24.409,24.628,24.122,24.241,19387,665
2005-05-16,24.402,24.695,24.138,24.35,11210,665
2005-05-17,24.419,25.279,24.419,25.006,9345,665
2005-05-18,25.289,26.028,25.006,25.877,81627,665
