Date,Open,High,Low,Close,Volume,stock_id
2007-03-28,5.5,5.5,5.5,5.5,0,4208
2007-03-29,5.5,5.5,5.0,5.29,1327564,4208
2007-03-30,5.18,5.29,5.05,5.25,243919,4208
2007-04-02,5.26,5.29,5.01,5.1,63095,4208
2007-04-03,5.15,5.16,5.01,5.04,29580,4208
2007-04-04,5.19,5.2,5.04,5.08,23610,4208
2007-04-05,5.19,5.46,5.02,5.26,166180,4208
2007-04-09,5.5,5.5,5.11,5.3,30422,4208
2007-04-10,5.27,5.38,5.16,5.3,8690,4208
2007-04-11,5.26,5.26,5.15,5.24,22070,4208
2007-04-12,5.11,5.3,5.11,5.3,23680,4208
2007-04-13,5.34,5.95,5.3,5.74,477070,4208
2007-04-16,5.81,5.97,5.65,5.8,238496,4208
2007-04-17,5.82,5.99,5.75,5.78,136734,4208
2007-04-18,5.91,5.95,5.63,5.66,94821,4208
2007-04-19,5.69,5.69,5.46,5.47,50005,4208
2007-04-20,5.05,5.47,5.05,5.34,241271,4208
2007-04-23,5.3,5.33,5.24,5.3,36250,4208
2007-04-24,5.25,5.5,5.24,5.43,43182,4208
2007-04-25,5.45,5.59,5.33,5.51,55459,4208
2007-04-26,5.6,5.6,5.5,5.5,52200,4208
2007-04-27,5.5,5.56,5.5,5.51,12950,4208
2007-04-30,5.54,5.55,5.4,5.4,15100,4208
2007-05-01,5.4,5.6,5.24,5.25,20896,4208
2007-05-02,5.24,5.39,5.03,5.3,16005,4208
2007-05-03,5.3,5.47,5.16,5.47,11363,4208
2007-05-04,5.48,5.5,5.32,5.37,12100,4208
2007-05-07,5.46,5.49,5.35,5.36,13837,4208
2007-05-08,5.35,5.36,5.35,5.36,696,4208
2007-05-09,5.5,5.8,5.46,5.46,31385,4208
2007-05-10,5.48,5.74,5.38,5.38,13365,4208
2007-05-11,5.42,5.56,5.35,5.49,524827,4208
2007-05-14,5.64,5.81,5.37,5.68,26884,4208
2007-05-15,5.6,5.8,5.47,5.62,11274,4208
2007-05-16,5.67,5.81,5.56,5.79,7920,4208
