Date,Open,High,Low,Close,Volume,stock_id
2005-02-25,1.72,1.83,1.7,1.74,49700,3061
2005-02-28,1.73,1.77,1.67,1.67,123200,3061
2005-03-01,1.77,1.95,1.76,1.8,453200,3061
2005-03-02,1.85,1.92,1.81,1.92,6766100,3061
2005-03-03,1.95,1.99,1.72,1.82,234400,3061
2005-03-04,1.87,1.87,1.8,1.85,26300,3061
2005-03-07,1.85,1.95,1.85,1.94,14900,3061
2005-03-08,1.95,1.99,1.9,1.92,23200,3061
2005-03-09,1.91,2.02,1.76,1.84,434900,3061
2005-03-10,1.84,1.88,1.8,1.85,36300,3061
2005-03-11,1.85,1.85,1.77,1.77,20500,3061
2005-03-14,1.78,1.81,1.76,1.81,9000,3061
2005-03-15,1.82,1.92,1.82,1.85,5500,3061
2005-03-16,2.0,2.0,1.9,1.9,46700,3061
2005-03-17,1.85,1.85,1.8,1.8,50800,3061
2005-03-18,1.77,1.83,1.75,1.83,21700,3061
2005-03-21,1.77,1.77,1.67,1.69,72800,3061
2005-03-22,1.7,1.7,1.5,1.69,65800,3061
2005-03-23,1.7,1.7,1.66,1.66,23400,3061
2005-03-24,1.6,1.7,1.5,1.6,48200,3061
2005-03-28,1.62,1.8,1.61,1.7,80800,3061
2005-03-29,1.7,1.82,1.65,1.69,34300,3061
2005-03-30,1.71,1.75,1.71,1.75,10800,3061
2005-03-31,1.75,1.75,1.63,1.64,25700,3061
2005-04-01,1.65,1.79,1.63,1.73,85900,3061
2005-04-04,1.65,1.72,1.65,1.67,33900,3061
2005-04-05,1.72,1.74,1.72,1.74,6100,3061
2005-04-06,1.73,1.84,1.73,1.8,90700,3061
2005-04-07,1.8,1.89,1.75,1.77,43100,3061
2005-04-08,1.87,1.87,1.75,1.75,104800,3061
2005-04-11,1.7,1.77,1.67,1.75,18400,3061
2005-04-12,1.78,1.8,1.75,1.75,6700,3061
2005-04-13,1.8,1.8,1.65,1.66,25200,3061
2005-04-14,1.74,1.75,1.65,1.65,24000,3061
2005-04-15,1.65,1.69,1.62,1.63,42200,3061
2005-04-18,1.65,1.65,1.6,1.6,51700,3061
2005-04-19,1.7,1.77,1.61,1.76,76200,3061
2005-04-20,1.75,1.82,1.71,1.71,129600,3061
2005-04-21,1.71,1.75,1.7,1.72,17800,3061
2005-04-22,1.75,1.76,1.73,1.74,150500,3061
2005-04-25,1.71,1.76,1.65,1.76,46500,3061
2005-04-26,1.7,1.77,1.63,1.63,46300,3061
2005-04-27,1.67,1.79,1.66,1.7,19000,3061
2005-04-28,1.7,1.7,1.67,1.7,1900,3061
2005-04-29,1.72,1.75,1.7,1.75,16400,3061
2005-05-02,1.65,1.7,1.65,1.7,60500,3061
2005-05-03,1.7,1.7,1.69,1.7,21200,3061
2005-05-04,1.7,1.7,1.63,1.65,13500,3061
2005-05-05,1.67,1.69,1.6,1.66,17100,3061
2005-05-06,1.7,1.7,1.65,1.65,63500,3061
2005-05-09,1.69,1.98,1.69,1.92,138600,3061
2005-05-10,1.95,1.99,1.92,1.95,130100,3061
2005-05-11,1.95,1.99,1.9,1.95,63300,3061
2005-05-12,1.92,1.95,1.87,1.87,18800,3061
2005-05-13,1.88,1.91,1.84,1.84,20300,3061
2005-05-16,1.85,1.98,1.8,1.8,34900,3061
2005-05-17,1.82,1.82,1.76,1.76,5700,3061
2005-05-18,1.77,1.8,1.75,1.8,330100,3061
2005-05-19,1.88,1.9,1.8,1.81,31300,3061
2005-05-20,1.86,1.96,1.83,1.86,9100,3061
2005-05-23,1.91,1.99,1.87,1.96,74600,3061
2005-05-24,1.88,1.99,1.88,1.96,64500,3061
2005-05-25,1.95,1.95,1.9,1.95,36000,3061
2005-05-26,1.95,2.1,1.94,1.99,259700,3061
2005-05-27,1.99,2.05,1.98,2.04,117400,3061
2005-05-31,2.04,2.04,2.0,2.01,39800,3061
2005-06-01,2.04,2.15,1.85,2.02,88000,3061
2005-06-02,2.03,2.03,1.96,2.0,8200,3061
2005-06-03,2.0,2.05,1.99,2.01,46200,3061
2005-06-06,2.0,2.03,1.92,2.0,15800,3061
2005-06-07,2.0,2.05,1.99,1.99,15900,3061
2005-06-08,2.0,2.0,1.99,2.0,7200,3061
2005-06-09,1.99,2.0,1.85,1.9,37000,3061
2005-06-10,1.88,1.9,1.76,1.84,155400,3061
2005-06-13,1.78,1.78,1.7,1.7,89400,3061
2005-06-14,1.69,1.79,1.69,1.77,51600,3061
2005-06-15,1.75,1.89,1.75,1.85,37800,3061
2005-06-16,1.83,1.83,1.75,1.79,50500,3061
2005-06-17,1.81,1.85,1.75,1.78,23400,3061
2005-06-20,1.79,1.84,1.78,1.79,27400,3061
2005-06-21,1.79,1.84,1.79,1.81,18200,3061
2005-06-22,1.85,1.86,1.77,1.79,41200,3061
2005-06-23,1.79,1.79,1.77,1.77,10500,3061
2005-06-24,1.8,1.84,1.75,1.77,9500,3061
2005-06-27,1.76,1.76,1.72,1.72,49600,3061
2005-06-28,1.72,1.8,1.69,1.79,32400,3061
2005-06-29,1.84,1.84,1.69,1.75,26200,3061
2005-06-30,1.78,1.84,1.78,1.84,17700,3061
2005-07-01,1.79,1.79,1.68,1.71,40000,3061
2005-07-05,1.73,1.8,1.71,1.79,17500,3061
2005-07-06,1.79,1.79,1.7,1.72,31400,3061
2005-07-07,1.71,1.84,1.7,1.75,40300,3061
2005-07-08,1.71,1.79,1.69,1.74,72500,3061
2005-07-11,1.73,1.81,1.66,1.8,88900,3061
2005-07-12,1.83,1.84,1.73,1.8,83200,3061
2005-07-13,1.8,1.8,1.72,1.8,42400,3061
2005-07-14,1.8,1.8,1.7,1.7,5200,3061
2005-07-15,1.75,1.75,1.75,1.75,500,3061
2005-07-18,1.75,1.75,1.69,1.75,47300,3061
2005-07-19,1.67,1.73,1.67,1.71,15200,3061
2005-07-20,1.71,1.74,1.67,1.72,23900,3061
2005-07-21,1.72,1.74,1.69,1.74,9300,3061
2005-07-22,1.76,1.76,1.7,1.75,14000,3061
2005-07-25,1.74,1.74,1.72,1.72,53100,3061
2005-07-26,1.73,1.73,1.68,1.7,58400,3061
2005-07-27,1.7,1.76,1.7,1.7,56100,3061
2005-07-28,1.7,1.7,1.69,1.7,20100,3061
2005-07-29,1.7,1.7,1.69,1.7,9300,3061
2005-08-01,1.68,1.75,1.68,1.7,266000,3061
2005-08-02,1.7,1.71,1.65,1.7,71000,3061
2005-08-03,1.67,1.69,1.67,1.69,6700,3061
2005-08-04,1.68,1.69,1.65,1.65,2800,3061
2005-08-05,1.66,1.68,1.6,1.67,16600,3061
2005-08-08,1.67,1.7,1.67,1.67,9500,3061
2005-08-09,1.7,1.7,1.67,1.67,16300,3061
2005-08-10,1.68,1.68,1.68,1.68,5200,3061
2005-08-11,1.67,1.75,1.67,1.75,59700,3061
2005-08-12,1.75,1.75,1.69,1.75,92700,3061
2005-08-15,1.7,1.75,1.66,1.69,33300,3061
2005-08-16,1.68,1.74,1.68,1.74,6400,3061
2005-08-17,1.72,1.74,1.72,1.74,3500,3061
2005-08-18,1.74,1.74,1.69,1.69,58100,3061
2005-08-19,1.7,1.7,1.69,1.7,13400,3061
2005-08-22,1.7,1.7,1.68,1.68,42000,3061
2005-08-23,1.66,1.78,1.66,1.73,144000,3061
2005-08-24,1.69,1.78,1.69,1.78,99500,3061
2005-08-25,1.78,1.98,1.78,1.91,94300,3061
2005-08-26,1.93,1.99,1.9,1.98,45200,3061
2005-08-29,1.99,2.05,1.98,2.0,116500,3061
2005-08-30,1.98,2.05,1.81,1.9,76600,3061
2005-08-31,1.89,2.0,1.81,2.0,53700,3061
2005-09-01,1.85,1.94,1.81,1.92,33700,3061
2005-09-02,1.89,1.9,1.89,1.9,4300,3061
2005-09-06,1.9,1.9,1.85,1.88,20200,3061
2005-09-07,1.87,1.95,1.87,1.95,33100,3061
2005-09-08,1.9,2.0,1.9,1.93,40900,3061
2005-09-09,1.94,1.94,1.8,1.83,68000,3061
2005-09-12,1.85,1.86,1.8,1.86,65200,3061
2005-09-13,1.9,1.95,1.9,1.93,10400,3061
2005-09-14,1.9,2.0,1.9,1.94,61400,3061
2005-09-15,1.94,2.02,1.92,1.99,148100,3061
2005-09-16,2.0,2.02,1.94,1.94,63200,3061
2005-09-19,1.98,1.98,1.98,1.98,12000,3061
2005-09-20,1.96,2.04,1.96,1.99,83800,3061
2005-09-21,2.0,2.0,1.98,1.99,34300,3061
2005-09-22,2.0,2.02,1.98,2.0,84600,3061
2005-09-23,2.0,2.23,2.0,2.2,297300,3061
2005-09-26,2.14,2.14,1.85,1.94,141600,3061
2005-09-27,2.0,2.03,2.0,2.02,112900,3061
2005-09-28,2.04,2.04,2.0,2.02,23400,3061
2005-09-29,2.01,2.05,2.01,2.04,17000,3061
2005-09-30,2.03,2.12,2.03,2.12,41800,3061
2005-10-03,2.18,2.36,2.17,2.19,226200,3061
2005-10-04,2.2,2.22,2.15,2.16,76600,3061
2005-10-05,2.16,2.19,2.12,2.19,22300,3061
2005-10-06,2.18,2.18,2.0,2.0,47300,3061
2005-10-07,2.07,2.09,2.06,2.06,6600,3061
2005-10-10,2.08,2.09,2.03,2.04,27500,3061
2005-10-11,2.05,2.05,1.98,1.99,283300,3061
2005-10-12,2.02,2.04,1.91,1.91,31300,3061
2005-10-13,1.99,1.99,1.9,1.93,24000,3061
2005-10-14,1.98,1.98,1.93,1.94,22200,3061
2005-10-17,1.92,1.93,1.92,1.93,2800,3061
2005-10-18,1.94,1.95,1.88,1.89,27800,3061
2005-10-19,1.92,1.92,1.88,1.88,4900,3061
2005-10-20,1.88,1.88,1.8,1.8,37500,3061
2005-10-21,1.81,1.81,1.75,1.76,5700,3061
2005-10-24,1.78,1.78,1.76,1.78,4900,3061
2005-10-25,1.77,1.77,1.72,1.72,67400,3061
2005-10-26,1.76,1.85,1.71,1.71,58700,3061
2005-10-27,1.71,1.76,1.7,1.75,39900,3061
2005-10-28,1.77,1.79,1.74,1.77,42600,3061
2005-10-31,1.79,1.8,1.79,1.79,16000,3061
2005-11-01,1.8,1.8,1.78,1.78,13900,3061
2005-11-02,1.78,1.79,1.75,1.75,11400,3061
2005-11-03,1.74,1.77,1.71,1.77,28300,3061
2005-11-04,1.72,1.79,1.72,1.79,27600,3061
2005-11-07,1.79,1.9,1.77,1.84,87400,3061
2005-11-08,1.84,1.84,1.82,1.83,8300,3061
2005-11-09,1.83,1.84,1.8,1.82,7900,3061
2005-11-10,1.8,1.83,1.8,1.81,27700,3061
2005-11-11,1.85,1.85,1.76,1.82,56400,3061
2005-11-14,1.83,1.83,1.8,1.83,10800,3061
2005-11-15,1.84,1.85,1.81,1.83,62600,3061
2005-11-16,1.84,1.84,1.83,1.84,7200,3061
2005-11-17,1.83,1.83,1.81,1.81,26200,3061
2005-11-18,1.81,1.83,1.8,1.8,48000,3061
2005-11-21,1.8,1.8,1.71,1.75,43100,3061
2005-11-22,1.75,1.85,1.75,1.81,41700,3061
2005-11-23,1.82,1.85,1.82,1.85,19500,3061
2005-11-25,1.84,1.85,1.84,1.85,1100,3061
2005-11-28,1.85,1.85,1.83,1.84,47200,3061
2005-11-29,1.85,1.87,1.83,1.83,112400,3061
2005-11-30,1.81,1.81,1.77,1.81,121900,3061
2005-12-01,1.83,1.83,1.79,1.8,53700,3061
2005-12-02,1.81,1.84,1.76,1.77,66900,3061
2005-12-05,1.87,2.15,1.82,2.05,1080100,3061
2005-12-06,2.04,2.08,1.9,1.96,361700,3061
2005-12-07,1.97,2.0,1.95,2.0,248200,3061
2005-12-08,2.0,2.05,1.98,2.02,119600,3061
2005-12-09,2.0,2.23,2.0,2.16,152600,3061
2005-12-12,2.17,2.24,2.12,2.18,53300,3061
2005-12-13,2.09,2.09,1.82,1.9,710100,3061
2005-12-14,1.9,1.9,1.83,1.83,67400,3061
2005-12-15,1.84,1.84,1.8,1.83,74800,3061
2005-12-16,1.81,1.83,1.81,1.82,124000,3061
2005-12-19,1.82,1.83,1.8,1.81,90400,3061
2005-12-20,1.81,1.81,1.77,1.78,90500,3061
2005-12-21,1.78,1.83,1.78,1.81,54000,3061
2005-12-22,1.81,1.82,1.78,1.82,70500,3061
2005-12-23,1.77,1.79,1.72,1.77,155200,3061
2005-12-27,1.76,1.77,1.75,1.77,37300,3061
2005-12-28,1.77,1.78,1.75,1.75,62600,3061
2005-12-29,1.77,1.8,1.75,1.79,115300,3061
2005-12-30,1.79,1.84,1.79,1.82,284100,3061
2006-01-03,1.82,1.88,1.82,1.88,119800,3061
2006-01-04,1.88,1.92,1.85,1.92,144600,3061
2006-01-05,1.92,1.92,1.83,1.91,214800,3061
2006-01-06,1.9,1.93,1.87,1.91,160900,3061
2006-01-09,1.93,1.95,1.87,1.94,166100,3061
2006-01-10,1.94,1.96,1.92,1.95,182300,3061
2006-01-11,1.95,1.96,1.94,1.95,116400,3061
2006-01-12,1.95,1.95,1.92,1.94,196400,3061
2006-01-13,1.94,1.96,1.92,1.95,101700,3061
2006-01-17,1.96,1.97,1.93,1.96,102100,3061
2006-01-18,1.93,2.05,1.93,1.93,161100,3061
