Date,Open,High,Low,Close,Volume,stock_id
2013-12-11,3.9,3.9,3.55,3.56,13509,3197
2013-12-12,3.72,3.75,3.35,3.49,49781,3197
2013-12-13,3.6799,3.68,3.4,3.51,21588,3197
2013-12-16,3.4,3.499,3.4,3.4,13074,3197
2013-12-17,3.4,3.52,3.4,3.5,87449,3197
2013-12-18,3.51,3.59,3.5,3.57,20631,3197
2013-12-19,3.5343,3.57,3.5343,3.57,5022,3197
2013-12-20,3.46,3.52,3.41,3.52,49303,3197
2013-12-23,3.57,3.74,3.56,3.74,12635,3197
2013-12-24,3.45,3.75,3.41,3.4601,13422,3197
2013-12-26,3.6001,3.74,3.6,3.74,16312,3197
2013-12-27,3.74,3.75,3.6,3.74,15358,3197
2013-12-30,3.75,3.8,3.65,3.79,33052,3197
2013-12-31,3.8,3.88,3.8,3.86,6681,3197
2014-01-02,3.85,4.41,3.85,4.15,113494,3197
2014-01-03,4.18,4.4,4.03,4.4,74648,3197
2014-01-06,4.51,5.1,4.4,4.85,73942,3197
2014-01-07,4.95,4.95,4.8304,4.8304,25071,3197
2014-01-08,4.811,4.9,4.4499,4.75,62364,3197
2014-01-09,4.52,4.55,4.11,4.55,31666,3197
2014-01-10,4.6001,4.74,4.4111,4.74,25006,3197
2014-01-13,4.99,4.99,4.55,4.7,34721,3197
2014-01-14,4.57,4.74,4.5,4.5,13216,3197
2014-01-15,4.55,4.75,4.43,4.47,72702,3197
2014-01-16,4.49,4.71,4.35,4.49,22439,3197
2014-01-17,4.4,4.49,4.4,4.41,5400,3197
2014-01-21,4.55,4.6,4.4152,4.59,20725,3197
2014-01-22,4.67,4.6999,4.401,4.5,8949,3197
2014-01-23,4.49,4.49,4.2,4.28,20902,3197
2014-01-24,4.36,4.36,4.07,4.07,22140,3197
2014-01-27,4.07,4.3,3.81,4.26,83227,3197
2014-01-28,4.15,4.15,3.46,3.79,30131,3197
2014-01-29,3.41,3.82,3.41,3.8099,23394,3197
2014-01-30,3.62,3.9,3.62,3.8,14950,3197
2014-01-31,3.79,3.95,3.79,3.95,10269,3197
2014-02-03,3.92,4.1501,3.8,4.13,45080,3197
2014-02-04,4.15,4.39,4.05,4.05,14159,3197
2014-02-05,4.28,4.28,4.04,4.21,8760,3197
2014-02-06,4.28,4.539,4.03,4.04,19927,3197
2014-02-07,4.25,4.25,4.07,4.24,15645,3197
2014-02-10,4.3,4.5,4.2,4.37,42991,3197
2014-02-11,4.49,4.5,4.16,4.2514,21838,3197
2014-02-12,4.5,4.5,4.4323,4.44,971,3197
2014-02-13,4.44,4.51,4.39,4.51,16386,3197
2014-02-14,4.45,4.47,4.45,4.47,216,3197
2014-02-18,4.47,4.79,4.47,4.57,10686,3197
2014-02-19,4.47,4.69,4.47,4.69,12645,3197
2014-02-20,4.7399,4.7399,4.48,4.55,34227,3197
2014-02-21,4.5,4.79,4.5,4.51,13212,3197
2014-02-24,4.5,4.68,4.25,4.62,7449,3197
2014-02-25,4.52,4.5904,4.49,4.5904,82420,3197
2014-02-26,4.45,4.69,4.45,4.52,9555,3197
2014-02-27,4.5,4.57,4.5,4.52,24082,3197
2014-02-28,4.54,4.69,4.5,4.54,23902,3197
2014-03-03,4.5,4.7,4.5,4.6,45880,3197
2014-03-04,4.65,4.73,4.5504,4.71,19868,3197
2014-03-05,4.72,4.82,4.6107,4.82,12912,3197
2014-03-06,4.72,4.8,4.72,4.8,17954,3197
2014-03-07,4.7899,5.3,4.7899,5.15,46698,3197
2014-03-10,5.0,5.15,4.76,5.08,60677,3197
2014-03-11,5.08,5.08,4.9,5.05,41115,3197
2014-03-12,5.0,5.04,4.9,5.04,49121,3197
2014-03-13,4.89,5.0,4.87,4.97,49198,3197
2014-03-14,4.92,5.05,4.5127,4.98,24149,3197
2014-03-17,4.9608,4.9608,4.76,4.85,78462,3197
2014-03-18,4.95,5.12,4.91,5.02,67184,3197
2014-03-19,4.9,5.3,4.84,5.1,35501,3197
2014-03-20,5.14,5.23,4.995,5.21,42336,3197
2014-03-21,5.01,5.3,4.87,5.16,364778,3197
2014-03-24,5.07,5.19,4.97,4.97,25296,3197
2014-03-25,5.02,5.11,4.92,4.97,6752,3197
2014-03-26,4.94,5.0,4.75,4.75,29400,3197
2014-03-27,4.75,5.0,4.56,4.79,18331,3197
2014-03-28,4.7,4.79,4.53,4.66,13599,3197
2014-03-31,4.57,4.84,4.53,4.58,20378,3197
2014-04-01,4.51,4.62,4.5,4.52,54892,3197
2014-04-02,4.51,4.89,4.5,4.73,81207,3197
