Date,Open,High,Low,Close,Volume,stock_id
2007-05-24,13.269,13.269,13.269,13.269,0,4251
2007-05-25,13.269,13.291,13.269,13.269,277106,4251
2007-05-29,13.269,13.296,13.269,13.291,43514,4251
2007-05-30,13.269,13.351,13.218,13.325,50486,4251
2007-05-31,13.325,13.351,13.269,13.296,32404,4251
2007-06-01,13.281,13.351,13.269,13.281,31463,4251
2007-06-04,13.296,13.37,13.296,13.37,19402,4251
2007-06-05,13.351,13.351,13.343,13.351,10736,4251
2007-06-06,13.351,13.366,13.269,13.281,44642,4251
2007-06-07,13.269,13.287,13.269,13.287,13943,4251
2007-06-08,13.281,13.287,13.275,13.287,16768,4251
2007-06-11,13.281,13.281,13.269,13.269,7158,4251
2007-06-12,13.269,13.275,13.269,13.275,10736,4251
2007-06-13,13.275,13.275,13.269,13.269,574,4251
2007-06-14,13.269,13.275,13.269,13.275,43702,4251
2007-06-15,13.269,13.275,13.269,13.269,21104,4251
2007-06-18,13.275,13.275,13.269,13.269,3392,4251
2007-06-19,13.269,13.275,13.269,13.275,1884,4251
2007-06-20,13.269,13.275,13.269,13.275,16201,4251
2007-06-21,13.269,13.275,13.269,13.275,107001,4251
2007-06-22,13.275,13.275,13.269,13.269,14502,4251
2007-06-25,13.275,13.275,13.032,13.275,224552,4251
2007-06-26,13.269,13.275,13.269,13.269,98712,4251
2007-06-27,13.269,13.269,13.269,13.269,35039,4251
2007-06-28,13.269,13.269,13.269,13.269,20157,4251
2007-06-29,13.269,13.269,13.269,13.269,55010,4251
2007-07-02,13.269,13.275,13.269,13.269,40312,4251
2007-07-03,13.269,13.269,13.269,13.269,30140,4251
2007-07-05,13.269,13.269,13.165,13.165,18839,4251
2007-07-06,13.165,13.165,13.11,13.132,79122,4251
2007-07-09,13.105,13.11,12.954,13.086,37860,4251
2007-07-10,13.1,13.1,13.049,13.049,35606,4251
2007-07-11,13.018,13.138,13.018,13.086,15260,4251
2007-07-12,13.06,13.105,13.018,13.018,26564,4251
2007-07-13,13.023,13.138,13.018,13.086,43323,4251
2007-07-16,13.086,13.218,13.086,13.218,24483,4251
2007-07-17,13.165,13.218,13.11,13.169,14694,4251
2007-07-18,13.123,13.192,13.086,13.086,18081,4251
2007-07-19,13.138,13.18,13.138,13.165,2821,4251
2007-07-20,13.186,13.186,13.1,13.1,4518,4251
2007-07-23,13.123,13.123,12.883,12.928,34659,4251
2007-07-24,12.912,12.912,12.686,12.686,45019,4251
2007-07-25,12.634,12.634,12.474,12.474,19402,4251
2007-07-26,12.474,12.474,11.706,11.943,63482,4251
2007-07-27,11.981,12.06,11.787,12.06,25808,4251
2007-07-30,12.049,12.187,11.97,12.185,26564,4251
2007-07-31,12.211,12.373,12.074,12.252,51807,4251
2007-08-01,12.263,12.448,12.199,12.422,23731,4251
2007-08-02,12.474,12.474,12.29,12.29,4897,4251
2007-08-03,12.263,12.29,12.168,12.168,9227,4251
