Date,Open,High,Low,Close,Volume,stock_id
1986-11-12,1.5033,1.5112,1.4953,1.5033,238619,3294
1986-11-13,1.4953,1.4953,1.448,1.448,544980,3294
1986-11-14,1.4399,1.448,1.424,1.424,390284,3294
1986-11-17,1.4163,1.4321,1.4163,1.4321,191093,3294
1986-11-18,1.4321,1.4321,1.3531,1.3611,541948,3294
1986-11-19,1.3531,1.424,1.3531,1.4163,421626,3294
1986-11-20,1.424,1.4953,1.424,1.4953,505551,3294
1986-11-21,1.5033,1.5033,1.4716,1.4875,524759,3294
1986-11-24,1.4953,1.5033,1.4875,1.4953,446907,3294
1986-11-25,1.5033,1.5033,1.4875,1.5033,554082,3294
1986-11-26,1.4953,1.5033,1.4799,1.5033,179977,3294
1986-11-28,1.6221,1.63,1.5665,1.5904,4502404,3294
1986-12-01,1.5982,1.5982,1.535,1.5508,4876509,3294
1986-12-02,1.5508,1.5587,1.535,1.5508,1193091,3294
1986-12-03,1.5587,1.5665,1.5508,1.5587,1901871,3294
1986-12-04,1.5587,1.5665,1.5508,1.5508,1353856,3294
1986-12-05,1.5508,1.5587,1.543,1.5508,2469095,3294
1986-12-08,1.5508,1.5587,1.5195,1.5508,538913,3294
1986-12-09,1.543,1.5508,1.5033,1.5033,539926,3294
1986-12-10,1.5112,1.5269,1.4953,1.5195,633958,3294
1986-12-11,1.5195,1.5195,1.4799,1.4875,550036,3294
1986-12-12,1.4799,1.4875,1.448,1.4636,410503,3294
1986-12-15,1.4399,1.448,1.4321,1.4399,643057,3294
1986-12-16,1.4558,1.4558,1.4163,1.4399,527788,3294
1986-12-17,1.4321,1.4321,1.4163,1.424,606658,3294
1986-12-18,1.424,1.4321,1.3689,1.3689,1457997,3294
1986-12-19,1.3766,1.4321,1.3766,1.4321,1142538,3294
1986-12-22,1.4321,1.4321,1.4082,1.4321,543970,3294
1986-12-23,1.4321,1.4399,1.4006,1.4082,649125,3294
1986-12-24,1.4163,1.424,1.4082,1.4163,445892,3294
1986-12-26,1.4163,1.4399,1.4082,1.4163,159752,3294
1986-12-29,1.424,1.424,1.3847,1.3847,946385,3294
1986-12-30,1.3924,1.4006,1.3847,1.3924,538913,3294
1986-12-31,1.4006,1.4082,1.3847,1.4006,576328,3294
1987-01-02,1.4006,1.4716,1.4006,1.4636,188063,3294
