Date,Open,High,Low,Close,Volume,stock_id
2005-02-25,15.826,16.239,15.826,16.076,238379,4776
2005-02-28,15.836,16.441,15.404,16.009,148007,4776
2005-03-01,16.057,16.104,15.673,16.018,426209,4776
2005-03-02,15.788,15.989,15.501,15.798,181304,4776
2005-03-03,16.22,16.22,15.759,15.903,87077,4776
2005-03-04,16.316,16.431,16.018,16.086,107915,4776
2005-03-07,16.2,16.508,16.076,16.162,114357,4776
2005-03-08,16.316,16.527,16.076,16.124,83926,4776
2005-03-09,16.316,16.316,16.018,16.152,95754,4776
2005-03-10,16.393,16.441,15.788,16.095,87657,4776
2005-03-11,16.124,16.46,16.086,16.345,76195,4776
2005-03-14,16.46,16.527,16.316,16.421,117708,4776
2005-03-15,16.536,16.959,16.469,16.671,138691,4776
2005-03-16,16.412,16.95,16.412,16.45,98809,4776
2005-03-17,16.623,16.882,16.393,16.787,88143,4776
2005-03-18,16.815,17.122,16.508,16.632,177714,4776
2005-03-21,16.757,17.006,16.307,16.623,70517,4776
2005-03-22,16.777,16.777,16.047,16.325,78884,4776
2005-03-23,16.489,16.556,15.692,15.989,148280,4776
2005-03-24,15.913,16.287,15.798,16.009,78354,4776
2005-03-28,15.98,16.882,15.961,16.652,183474,4776
2005-03-29,16.489,16.795,16.412,16.652,92874,4776
2005-03-30,16.546,16.795,16.258,16.277,102061,4776
2005-03-31,16.239,16.498,16.104,16.403,157432,4776
2005-04-01,16.287,16.652,15.557,16.057,217224,4776
2005-04-04,16.277,16.277,15.423,15.644,105540,4776
2005-04-05,15.798,16.086,15.587,15.971,62973,4776
2005-04-06,16.134,16.172,15.481,15.577,121074,4776
2005-04-07,15.72,15.72,15.27,15.471,76886,4776
2005-04-08,15.634,15.884,14.972,15.241,111450,4776
2005-04-11,15.116,15.501,14.963,15.202,114725,4776
2005-04-12,15.011,15.74,14.953,15.587,52256,4776
2005-04-13,15.73,15.941,15.212,15.328,38974,4776
2005-04-14,15.404,15.404,14.569,14.598,130010,4776
2005-04-15,14.598,14.761,14.291,14.32,54616,4776
2005-04-18,14.329,14.569,14.262,14.406,199454,4776
2005-04-19,14.55,14.675,14.253,14.598,49815,4776
2005-04-20,14.646,14.991,14.559,14.694,56546,4776
2005-04-21,14.675,14.915,14.617,14.684,88884,4776
2005-04-22,14.569,14.742,14.329,14.589,58773,4776
2005-04-25,14.521,14.78,14.406,14.684,33656,4776
2005-04-26,14.761,14.924,14.3,14.3,72998,4776
2005-04-27,14.262,14.483,14.118,14.329,98754,4776
2005-04-28,14.223,14.223,13.331,13.331,100886,4776
2005-04-29,13.437,13.475,12.678,13.235,340038,4776
2005-05-02,13.293,13.523,13.283,13.437,70215,4776
2005-05-03,13.437,13.514,13.082,13.273,39600,4776
2005-05-04,13.341,13.532,13.139,13.178,113810,4776
2005-05-05,13.178,14.434,13.178,14.291,209068,4776
2005-05-06,14.396,14.694,14.223,14.253,85402,4776
2005-05-09,14.32,15.077,14.214,15.077,183545,4776
2005-05-10,15.183,15.423,14.982,15.289,229335,4776
2005-05-11,15.174,15.461,14.818,15.289,101676,4776
2005-05-12,15.26,15.596,14.828,14.876,104344,4776
2005-05-13,14.713,15.039,13.725,13.964,132583,4776
2005-05-16,14.127,14.454,13.216,13.84,179717,4776
2005-05-17,13.437,14.521,13.321,14.358,487112,4776
2005-05-18,14.607,14.809,14.272,14.473,162184,4776
2005-05-19,14.589,14.637,14.396,14.569,118942,4776
2005-05-20,14.569,14.569,14.157,14.406,61313,4776
2005-05-23,14.396,14.396,13.849,13.974,117362,4776
2005-05-24,13.907,14.08,13.466,13.907,111477,4776
2005-05-25,13.705,14.953,13.705,14.378,458948,4776
2005-05-26,14.55,15.116,14.329,14.896,231322,4776
2005-05-27,15.116,15.25,14.905,15.039,110607,4776
2005-05-31,14.972,15.73,14.972,15.366,298350,4776
2005-06-01,15.337,15.845,15.337,15.673,251970,4776
2005-06-02,15.654,15.845,15.356,15.529,86442,4776
2005-06-03,15.501,15.557,15.366,15.452,92733,4776
2005-06-06,15.471,15.596,14.742,15.491,186322,4776
2005-06-07,15.461,15.73,15.28,15.461,173093,4776
2005-06-08,15.471,15.471,14.742,14.809,217676,4776
2005-06-09,14.809,14.809,14.617,14.703,104409,4776
2005-06-10,14.598,15.155,14.502,14.838,96380,4776
2005-06-13,14.876,15.26,14.569,15.25,103608,4776
2005-06-14,15.25,15.461,15.212,15.404,127807,4776
2005-06-15,15.328,15.328,14.78,14.915,109136,4776
2005-06-16,14.886,15.193,14.79,15.059,137143,4776
2005-06-17,15.116,15.183,14.905,15.069,162289,4776
2005-06-20,15.107,15.212,14.886,15.164,202425,4776
2005-06-21,15.183,15.289,15.116,15.232,314112,4776
2005-06-22,15.308,15.414,14.713,14.886,334299,4776
2005-06-23,14.848,15.001,14.78,14.848,145540,4776
2005-06-24,14.924,14.953,14.233,14.589,90743,4776
2005-06-27,14.579,14.8,14.291,14.78,58002,4776
2005-06-28,14.8,14.866,14.358,14.703,77416,4776
2005-06-29,14.742,14.742,14.291,14.291,53516,4776
2005-06-30,14.54,15.298,14.54,14.963,374743,4776
2005-07-01,14.991,15.107,14.742,14.876,127423,4776
2005-07-05,14.915,15.077,14.886,14.982,219938,4776
2005-07-06,14.809,15.337,14.809,15.298,247592,4776
2005-07-07,15.069,15.116,14.915,15.021,109175,4776
2005-07-08,15.039,15.308,15.039,15.289,141406,4776
2005-07-11,15.212,15.634,15.135,15.404,200103,4776
2005-07-12,15.375,15.501,15.202,15.222,102100,4776
2005-07-13,15.212,15.692,15.097,15.539,123317,4776
2005-07-14,15.644,15.644,15.308,15.375,183372,4776
2005-07-15,15.28,15.539,15.232,15.509,256223,4776
2005-07-18,15.481,15.481,15.164,15.356,165220,4776
2005-07-19,15.318,16.498,15.059,16.383,350502,4776
2005-07-20,16.412,17.372,16.2,17.305,405319,4776
2005-07-21,17.324,17.727,17.151,17.698,253249,4776
2005-07-22,17.89,18.812,17.737,18.754,445544,4776
2005-07-25,18.754,18.821,18.332,18.485,335754,4776
2005-07-26,18.398,18.734,18.216,18.734,319704,4776
2005-07-27,19.099,19.675,18.888,19.234,686464,4776
2005-07-28,18.965,20.107,18.965,20.002,319793,4776
2005-07-29,20.002,20.107,19.57,19.944,223144,4776
2005-08-01,20.136,20.327,19.282,20.279,271761,4776
2005-08-02,20.327,20.798,20.251,20.654,228474,4776
2005-08-03,20.779,20.779,20.213,20.596,194470,4776
2005-08-04,20.51,20.538,20.193,20.271,209977,4776
2005-08-05,20.241,20.789,19.666,20.299,234609,4776
2005-08-08,20.098,20.5,19.992,20.136,217703,4776
2005-08-09,20.03,21.191,19.963,21.115,248356,4776
2005-08-10,21.22,21.816,20.962,21.537,196543,4776
2005-08-11,21.489,21.816,21.201,21.786,138459,4776
2005-08-12,21.565,21.902,21.316,21.499,209971,4776
2005-08-15,21.605,21.643,21.249,21.595,254898,4776
2005-08-16,21.623,21.671,21.211,21.345,154715,4776
2005-08-17,20.962,21.921,20.769,21.691,155260,4776
2005-08-18,21.508,22.516,21.009,22.314,274756,4776
