Date,Open,High,Low,Close,Volume,stock_id
2005-02-25,5.867,5.9192,5.8148,5.896,57735,1650
2005-02-28,5.896,5.948,5.867,5.896,162147,1650
2005-03-01,5.9192,6.0005,5.867,5.948,137851,1650
2005-03-02,5.9192,6.0005,5.896,5.948,85217,1650
2005-03-03,5.948,5.9716,5.896,5.948,81602,1650
2005-03-04,5.9716,5.9716,5.896,5.9716,74876,1650
2005-03-07,5.9192,6.0005,5.896,5.948,224016,1650
2005-03-08,5.948,5.9716,5.896,5.9716,69487,1650
2005-03-09,5.9192,5.9716,5.8382,5.867,126476,1650
2005-03-10,5.8382,5.9192,5.8148,5.9192,110683,1650
2005-03-11,5.8382,5.948,5.7858,5.8382,67007,1650
2005-03-14,5.8148,5.8382,5.71,5.71,119853,1650
2005-03-15,5.6578,5.7624,5.5766,5.629,207587,1650
2005-03-16,5.629,5.629,5.472,5.5534,156794,1650
2005-03-17,5.5243,5.629,5.472,5.6055,75621,1650
2005-03-18,5.6055,5.629,5.5012,5.5534,115850,1650
2005-03-21,5.5012,5.5766,5.1063,5.42,259081,1650
2005-03-22,5.3154,5.472,5.292,5.4488,114505,1650
2005-03-23,5.4488,5.4488,5.2108,5.3154,124178,1650
2005-03-24,5.2629,5.3154,5.1874,5.292,204360,1650
2005-03-28,5.2398,5.3966,5.0826,5.1874,113546,1650
2005-03-29,5.1583,5.2629,5.1583,5.2629,119116,1650
2005-03-30,5.1874,5.292,5.1583,5.292,141031,1650
2005-03-31,5.292,5.3673,5.2398,5.3673,72183,1650
2005-04-01,5.3673,5.5243,5.292,5.3966,151806,1650
2005-04-04,5.3966,5.5012,5.3443,5.4488,66303,1650
2005-04-05,5.3673,5.4488,5.3154,5.42,95877,1650
2005-04-06,5.3966,5.4488,5.3673,5.4488,52843,1650
2005-04-07,5.4488,5.472,5.3966,5.42,106608,1650
2005-04-08,5.3966,5.4488,5.3673,5.3966,111775,1650
2005-04-11,5.3673,5.3966,5.2629,5.3966,89783,1650
2005-04-12,5.3154,5.4488,5.2629,5.42,77951,1650
2005-04-13,5.3673,5.3673,5.2629,5.3673,47805,1650
2005-04-14,5.3443,5.3966,5.2398,5.3154,48803,1650
2005-04-15,5.2629,5.3154,5.2398,5.292,123048,1650
2005-04-18,5.2108,5.3673,5.1874,5.2629,90493,1650
2005-04-19,5.2398,5.3443,5.2165,5.292,44988,1650
2005-04-20,5.292,5.3443,5.2398,5.2629,82914,1650
2005-04-21,5.2398,5.2629,5.1874,5.2629,54686,1650
2005-04-22,5.2108,5.292,5.1874,5.292,42788,1650
2005-04-25,5.2398,5.292,5.2108,5.2629,75544,1650
2005-04-26,5.2629,5.292,5.2398,5.292,79909,1650
2005-04-27,5.2629,5.292,5.2108,5.2629,63540,1650
2005-04-28,5.2629,5.292,5.2398,5.292,72646,1650
2005-04-29,5.3154,5.3154,5.2398,5.3154,64039,1650
2005-05-02,5.3154,5.3443,5.2398,5.292,106468,1650
2005-05-03,5.292,5.3443,5.2398,5.3443,35349,1650
2005-05-04,5.3443,5.3673,5.292,5.3673,54082,1650
2005-05-05,5.3443,5.42,5.3154,5.3443,96162,1650
2005-05-06,5.3673,5.3673,5.292,5.3673,67395,1650
2005-05-09,5.3154,5.3966,5.292,5.3673,65425,1650
2005-05-10,5.3443,5.3673,5.3154,5.3673,65305,1650
2005-05-11,5.3154,5.3673,5.3154,5.3673,66131,1650
2005-05-12,5.3673,5.3966,5.3443,5.3673,54858,1650
2005-05-13,5.3443,5.3673,5.3154,5.3443,65385,1650
2005-05-16,5.3443,5.3673,5.292,5.3443,71301,1650
2005-05-17,5.3154,5.3673,5.2629,5.3154,93825,1650
2005-05-18,5.292,5.3673,5.2629,5.3673,90949,1650
2005-05-19,5.3443,5.3673,5.292,5.3673,45618,1650
2005-05-20,5.3673,5.42,5.3154,5.3673,34851,1650
2005-05-23,5.3673,5.3673,5.3154,5.3673,42039,1650
2005-05-24,5.3443,5.3673,5.3154,5.3443,43280,1650
2005-05-25,5.3673,5.3673,5.3154,5.3443,44939,1650
2005-05-26,5.3154,5.3966,5.3154,5.3966,69597,1650
2005-05-27,5.3966,5.3966,5.3443,5.3966,47170,1650
2005-05-31,5.3966,5.4488,5.3443,5.42,55501,1650
2005-06-01,5.42,5.5243,5.3966,5.4488,94174,1650
2005-06-02,5.42,5.5243,5.3966,5.5012,50788,1650
2005-06-03,5.5243,5.5766,5.5012,5.5243,78169,1650
2005-06-06,5.5012,5.6055,5.472,5.5766,77254,1650
2005-06-07,5.5243,5.6055,5.5012,5.5766,71370,1650
2005-06-08,5.5534,5.6055,5.5534,5.5766,45476,1650
2005-06-09,5.5534,5.5766,5.5012,5.5766,86067,1650
2005-06-10,5.5766,5.6055,5.5243,5.6055,41616,1650
2005-06-13,5.5766,5.629,5.5534,5.629,54686,1650
2005-06-14,5.6055,5.629,5.5534,5.629,77254,1650
2005-06-15,5.6055,5.6578,5.5243,5.5243,63791,1650
2005-06-16,5.6055,5.6578,5.5012,5.5243,62795,1650
2005-06-17,5.5012,5.5534,5.472,5.5534,63108,1650
2005-06-20,5.5243,5.6578,5.5012,5.6578,82348,1650
2005-06-21,5.5766,5.681,5.5243,5.5766,81004,1650
2005-06-22,5.5243,5.629,5.5243,5.629,70026,1650
2005-06-23,5.5766,5.629,5.5534,5.629,51985,1650
2005-06-24,5.629,5.681,5.5534,5.5766,87024,1650
2005-06-27,5.5534,5.629,5.5534,5.6055,113797,1650
2005-06-28,5.6055,5.681,5.5534,5.6055,60812,1650
2005-06-29,5.5534,5.6055,5.5534,5.6055,67186,1650
2005-06-30,5.6055,5.6055,5.5534,5.5534,42754,1650
2005-07-01,5.5534,5.6578,5.5534,5.6055,69882,1650
2005-07-05,5.6055,5.6578,5.5766,5.6578,68324,1650
2005-07-06,5.629,5.6578,5.6055,5.6578,53555,1650
2005-07-07,5.629,5.71,5.6055,5.71,58298,1650
2005-07-08,5.71,5.7624,5.6578,5.7624,62372,1650
2005-07-11,5.7337,5.7624,5.6578,5.7337,103173,1650
2005-07-12,5.7624,5.7858,5.681,5.7624,70267,1650
2005-07-13,5.71,5.7624,5.6578,5.7337,77812,1650
2005-07-14,5.7624,5.7624,5.681,5.7337,47283,1650
2005-07-15,5.7624,5.7624,5.681,5.7337,65731,1650
2005-07-18,5.7624,5.7858,5.681,5.681,80439,1650
2005-07-19,5.681,5.7337,5.629,5.71,52209,1650
2005-07-20,5.681,5.7337,5.6578,5.681,57838,1650
2005-07-21,5.681,5.71,5.6578,5.71,53154,1650
2005-07-22,5.6578,5.7624,5.629,5.7624,51461,1650
2005-07-25,5.7624,5.7624,5.6872,5.7337,38928,1650
2005-07-26,5.7337,5.7624,5.6578,5.681,71221,1650
2005-07-27,5.681,5.7858,5.681,5.7624,100692,1650
2005-07-28,5.7624,5.7858,5.71,5.7858,45445,1650
2005-07-29,5.7858,5.8148,5.7337,5.7624,74623,1650
2005-08-01,5.7624,5.8148,5.7337,5.7624,70166,1650
2005-08-02,5.7624,5.7858,5.7337,5.7858,57873,1650
2005-08-03,5.7624,5.7858,5.7337,5.7858,39702,1650
2005-08-04,5.7858,5.8148,5.7394,5.8148,80439,1650
2005-08-05,5.7858,5.8439,5.7337,5.8148,69204,1650
2005-08-08,5.8382,5.867,5.7337,5.7624,52310,1650
2005-08-09,5.7858,5.867,5.71,5.867,69666,1650
2005-08-10,5.867,5.896,5.7858,5.867,75437,1650
2005-08-11,5.8382,5.867,5.8148,5.867,69882,1650
2005-08-12,5.8382,5.896,5.8148,5.867,72111,1650
2005-08-15,5.8382,5.867,5.7858,5.8148,67007,1650
2005-08-16,5.8148,5.8382,5.7624,5.7858,53021,1650
2005-08-17,5.7858,5.8382,5.71,5.8148,85142,1650
2005-08-18,5.7624,5.867,5.7624,5.8382,92334,1650
2005-08-19,5.8148,5.896,5.7858,5.896,58653,1650
2005-08-22,5.867,5.896,5.8148,5.867,70941,1650
2005-08-23,5.867,5.867,5.7337,5.7858,76045,1650
2005-08-24,5.7858,5.8148,5.7337,5.7624,67222,1650
2005-08-25,5.7858,5.8148,5.7337,5.8148,42394,1650
2005-08-26,5.8148,5.8148,5.71,5.7624,65639,1650
