Date,Open,High,Low,Close,Volume,stock_id
2005-02-25,3.5435,3.62,3.5385,3.6153,3600540,2006
2005-02-28,3.6658,3.7242,3.6658,3.6901,4678989,2006
2005-03-01,3.6901,3.6901,3.6104,3.6658,3296711,2006
2005-03-02,3.7098,3.7308,3.5794,3.5794,6815621,2006
2005-03-03,3.6167,3.6185,3.5665,3.5827,7156893,2006
2005-03-04,3.6167,3.6265,3.5794,3.5827,4836737,2006
2005-03-07,3.6087,3.6167,3.5564,3.5763,2959125,2006
2005-03-08,3.5516,3.5564,3.3954,3.4017,5127678,2006
2005-03-09,3.4621,3.4654,3.348,3.3644,4653820,2006
2005-03-10,3.3644,3.3889,3.2828,3.3235,3285668,2006
2005-03-11,3.3318,3.3626,3.3318,3.356,7091824,2006
2005-03-14,3.3365,3.3659,3.3334,3.3383,3596240,2006
2005-03-15,3.356,3.4215,3.3398,3.3838,2856613,2006
2005-03-16,3.3856,3.4458,3.348,3.3838,4345081,2006
2005-03-17,3.405,3.4718,3.3626,3.4391,3747240,2006
2005-03-18,3.5027,3.5763,3.4946,3.5323,23315755,2006
2005-03-21,3.5337,3.5466,3.4409,3.4799,6914442,2006
2005-03-22,3.3889,3.4783,3.356,3.3889,9840430,2006
2005-03-23,3.3805,3.3823,3.2959,3.2991,7843116,2006
2005-03-24,3.2991,3.3416,3.291,3.3416,5093917,2006
2005-03-28,3.3644,3.3675,3.2584,3.2697,3331085,2006
2005-03-29,3.1607,3.216,3.0549,3.0744,7810587,2006
2005-03-30,3.1004,3.2095,3.0954,3.1885,3628780,2006
2005-03-31,3.2748,3.3758,3.26,3.3758,7769464,2006
2005-04-01,3.5435,3.5435,3.3789,3.3805,3546528,2006
2005-04-04,3.3986,3.405,3.3057,3.3235,5442549,2006
2005-04-05,3.304,3.3593,3.304,3.3155,2709306,2006
2005-04-06,3.3318,3.3789,3.3235,3.356,5407565,2006
2005-04-07,3.3074,3.3644,3.2323,3.3365,2160577,2006
2005-04-08,3.335,3.3675,3.2584,3.2877,1880677,2006
2005-04-11,3.2454,3.2469,3.1655,3.1755,3878595,2006
