Date,Open,High,Low,Close,Volume,stock_id
2005-02-25,13.213,13.258,13.024,13.084,484639,4006
2005-02-28,13.068,13.284,13.068,13.19,367718,4006
2005-03-01,13.19,13.36,13.102,13.102,288154,4006
2005-03-02,13.13,13.13,12.868,12.878,274257,4006
2005-03-03,12.868,12.868,12.699,12.758,270466,4006
2005-03-04,12.803,12.843,12.473,12.645,343824,4006
2005-03-07,12.597,12.792,12.56,12.724,570516,4006
2005-03-08,12.699,12.707,12.5,12.551,373395,4006
2005-03-09,12.481,12.587,12.361,12.432,192167,4006
2005-03-10,12.397,12.63,12.371,12.481,557151,4006
2005-03-11,12.528,12.655,12.457,12.603,464115,4006
2005-03-14,12.603,12.748,12.542,12.748,231113,4006
2005-03-15,12.699,12.938,12.587,12.863,305728,4006
2005-03-16,12.852,12.959,12.783,12.868,284675,4006
2005-03-17,12.792,12.888,12.776,12.863,157337,4006
2005-03-18,12.836,12.836,12.699,12.707,306249,4006
2005-03-21,12.622,12.645,12.578,12.63,264259,4006
2005-03-22,12.622,12.663,12.597,12.645,299200,4006
2005-03-23,12.645,12.663,12.613,12.622,182276,4006
2005-03-24,12.603,12.724,12.603,12.699,128921,4006
2005-03-28,12.672,12.724,12.597,12.707,96296,4006
2005-03-29,12.699,12.748,12.655,12.707,241528,4006
2005-03-30,12.707,12.868,12.707,12.809,183647,4006
2005-03-31,12.828,12.868,12.699,12.732,317935,4006
2005-04-01,12.724,12.903,12.724,12.843,124288,4006
2005-04-04,12.776,12.836,12.707,12.809,125339,4006
2005-04-05,12.776,12.868,12.699,12.852,146179,4006
2005-04-06,12.852,13.042,12.809,13.042,212062,4006
2005-04-07,12.959,13.095,12.932,12.974,83246,4006
2005-04-08,12.982,13.033,12.888,12.938,90509,4006
2005-04-11,12.938,12.938,12.5,12.707,287103,4006
2005-04-12,12.663,12.742,12.613,12.699,137656,4006
2005-04-13,12.655,12.672,12.49,12.528,123763,4006
2005-04-14,12.528,12.542,12.421,12.467,99032,4006
2005-04-15,12.467,12.528,12.388,12.388,119549,4006
2005-04-18,12.301,12.551,12.301,12.388,117552,4006
2005-04-19,12.381,12.397,12.327,12.347,83873,4006
2005-04-20,12.327,12.337,12.052,12.097,81035,4006
2005-04-21,12.136,12.337,12.052,12.252,232899,4006
