Date,Open,High,Low,Close,Volume,stock_id
2005-10-26,9.714,9.714,9.714,9.714,0,2709
2005-10-27,9.714,9.714,9.714,9.714,989225,2709
2005-10-28,9.714,9.714,9.714,9.714,456982,2709
2005-10-31,9.714,9.714,9.714,9.714,117172,2709
2005-11-01,9.714,9.714,9.714,9.714,141154,2709
2005-11-02,9.714,9.714,9.714,9.714,63363,2709
2005-11-03,9.714,9.714,9.714,9.714,38211,2709
2005-11-04,9.714,9.714,9.714,9.714,54397,2709
2005-11-07,9.714,9.714,9.714,9.714,61022,2709
2005-11-08,9.714,9.714,9.714,9.714,81493,2709
2005-11-09,9.714,9.714,9.714,9.714,150701,2709
2005-11-10,9.714,9.714,9.714,9.714,154409,2709
2005-11-11,9.714,9.714,9.714,9.714,88320,2709
2005-11-14,9.714,9.714,9.714,9.714,97866,2709
2005-11-15,9.714,9.714,9.714,9.714,54197,2709
2005-11-16,9.714,9.714,9.714,9.714,84027,2709
2005-11-17,9.714,9.714,9.714,9.714,178192,2709
2005-11-18,9.714,9.714,9.714,9.714,150312,2709
2005-11-21,9.714,9.714,9.714,9.714,296534,2709
2005-11-22,9.714,9.714,8.7907,8.9867,723107,2709
2005-11-23,8.8633,8.935,8.5983,8.9247,258908,2709
2005-11-25,8.7953,9.106,8.7953,9.106,48934,2709
2005-11-28,9.058,9.106,9.0074,9.0806,54005,2709
2005-11-29,8.91,8.9774,8.8541,8.8936,138032,2709
2005-11-30,8.8633,8.9604,8.7761,8.8798,104889,2709
2005-12-01,8.8982,8.9774,8.7907,8.8633,122240,2709
2005-12-02,8.8798,8.9046,8.7907,8.7907,83636,2709
2005-12-05,8.8633,8.8936,8.8064,8.889,76419,2709
2005-12-06,8.8679,8.889,8.7761,8.8853,110738,2709
2005-12-07,8.8936,8.9247,8.764,8.8853,96112,2709
2005-12-08,8.8733,8.9046,8.7207,8.8256,134327,2709
2005-12-09,8.7402,8.7834,8.7153,8.7457,148558,2709
2005-12-12,8.7457,8.7706,8.66,8.7036,192228,2709
2005-12-13,8.7091,8.7091,8.5617,8.5983,160259,2709
2005-12-14,8.5001,8.66,8.4775,8.6367,281907,2709
