Date,Open,High,Low,Close,Volume,stock_id
2005-02-25,9.548,9.597,9.512,9.59,24809,5924
2005-02-28,9.562,9.609,9.527,9.562,30691,5924
2005-03-01,9.527,9.554,9.4976,9.554,39290,5924
2005-03-02,9.4897,9.52,9.4897,9.505,14768,5924
2005-03-03,9.505,9.527,9.4897,9.527,19502,5924
2005-03-04,9.534,9.582,9.52,9.582,42306,5924
2005-03-07,9.548,9.597,9.548,9.597,29397,5924
2005-03-08,9.609,9.609,9.562,9.609,43448,5924
2005-03-09,9.597,9.602,9.4897,9.539,35420,5924
2005-03-10,9.4827,9.527,9.4613,9.4897,46315,5924
2005-03-11,9.4534,9.527,9.4405,9.4757,19790,5924
2005-03-14,9.505,9.505,9.3681,9.4613,42874,5924
2005-03-15,9.4192,9.4534,9.3799,9.3945,43734,5924
2005-03-16,9.3995,9.4325,9.3799,9.3799,66249,5924
2005-03-17,9.4192,9.4405,9.3799,9.4256,36714,5924
2005-03-18,9.4405,9.4534,9.4054,9.4192,18071,5924
2005-03-21,9.4192,9.4256,9.311,9.3534,82029,5924
2005-03-22,9.3462,9.3866,9.2597,9.2597,40437,5924
2005-03-23,9.2374,9.252,9.1288,9.1843,84469,5924
2005-03-24,9.1945,9.2157,9.1222,9.1707,41582,5924
2005-03-28,9.2157,9.2157,9.1572,9.1572,33411,5924
2005-03-29,9.15,9.1793,9.1425,9.1793,34705,5924
2005-03-30,9.1133,9.165,9.1133,9.15,85900,5924
2005-03-31,9.15,9.2302,9.15,9.208,68978,5924
2005-04-01,9.2157,9.3179,9.208,9.252,30978,5924
2005-04-04,9.1843,9.2374,9.1843,9.2374,28970,5924
2005-04-05,9.1945,9.2685,9.189,9.2374,19502,5924
2005-04-06,9.2374,9.2374,9.1945,9.2374,10325,5924
2005-04-07,9.2021,9.2374,9.1945,9.2302,33846,5924
2005-04-08,9.1945,9.2157,9.189,9.1945,19213,5924
2005-04-11,9.2157,9.252,9.1843,9.208,21366,5924
2005-04-12,9.2374,9.2374,9.1843,9.2302,69409,5924
2005-04-13,9.2302,9.2965,9.2302,9.2761,29256,5924
2005-04-14,9.2302,9.2761,9.2223,9.2597,14055,5924
2005-04-15,9.2829,9.311,9.2685,9.311,26957,5924
2005-04-18,9.3325,9.3462,9.2898,9.3394,24091,5924
2005-04-19,9.3534,9.4123,9.3394,9.3462,67972,5924
2005-04-20,9.3462,9.4054,9.311,9.3462,41008,5924
2005-04-21,9.3257,9.3799,9.2685,9.2685,40150,5924
2005-04-22,9.3035,9.3602,9.3035,9.3257,27532,5924
2005-04-25,9.3462,9.3866,9.3179,9.3462,40297,5924
2005-04-26,9.374,9.3799,9.311,9.3602,38285,5924
2005-04-27,9.3799,9.3995,9.3681,9.3995,50335,5924
2005-04-28,9.4192,9.4192,9.3681,9.4192,37001,5924
2005-04-29,9.4405,9.4464,9.4192,9.4256,11899,5924
2005-05-02,9.4123,9.4613,9.3995,9.4123,42587,5924
2005-05-03,9.4054,9.505,9.4054,9.4534,48612,5924
2005-05-04,9.4192,9.4405,9.3945,9.4256,38431,5924
2005-05-05,9.3995,9.4325,9.3995,9.3995,25094,5924
2005-05-06,9.3945,9.3995,9.374,9.374,25240,5924
2005-05-09,9.374,9.4677,9.3462,9.3681,27677,5924
2005-05-10,9.3681,9.4192,9.3681,9.4123,48897,5924
2005-05-11,9.4123,9.4464,9.3799,9.4123,32981,5924
2005-05-12,9.4123,9.4827,9.4054,9.4677,26815,5924
2005-05-13,9.4827,9.554,9.4534,9.505,35704,5924
2005-05-16,9.4534,9.534,9.4534,9.527,27966,5924
2005-05-17,9.52,9.562,9.4897,9.505,29833,5924
2005-05-18,9.539,9.597,9.505,9.527,36282,5924
2005-05-19,9.548,9.727,9.548,9.597,147415,5924
2005-05-20,9.621,9.621,9.4613,9.4757,86616,5924
2005-05-23,9.527,9.539,9.4405,9.539,42306,5924
2005-05-24,9.539,9.576,9.534,9.576,29110,5924
2005-05-25,9.597,9.597,9.512,9.569,22516,5924
2005-05-26,9.527,9.569,9.4976,9.562,20216,5924
2005-05-27,9.576,9.576,9.527,9.576,11759,5924
2005-05-31,9.569,9.609,9.569,9.597,45460,5924
2005-06-01,9.539,9.645,9.539,9.615,22081,5924
2005-06-02,9.52,9.621,9.52,9.621,45601,5924
2005-06-03,9.659,9.659,9.582,9.63,33697,5924
2005-06-06,9.562,9.59,9.562,9.576,57644,5924
2005-06-07,9.548,9.609,9.548,9.609,37142,5924
2005-06-08,9.59,9.645,9.59,9.597,42306,5924
2005-06-09,9.582,9.621,9.582,9.621,27821,5924
2005-06-10,9.59,9.621,9.576,9.576,21509,5924
2005-06-13,9.597,9.652,9.59,9.637,34562,5924
2005-06-14,9.645,9.645,9.602,9.621,24809,5924
2005-06-15,9.652,9.659,9.602,9.652,39866,5924
2005-06-16,9.714,9.714,9.659,9.673,39148,5924
2005-06-17,9.707,9.707,9.637,9.659,12762,5924
2005-06-20,9.748,9.748,9.652,9.652,44602,5924
2005-06-21,9.652,9.735,9.652,9.673,35704,5924
2005-06-22,9.673,9.685,9.597,9.678,29110,5924
2005-06-23,9.666,9.727,9.659,9.714,29110,5924
2005-06-24,9.685,9.72,9.673,9.72,16348,5924
2005-06-27,9.691,9.735,9.691,9.727,31835,5924
2005-06-28,9.691,9.748,9.691,9.735,24809,5924
2005-06-29,9.691,9.769,9.659,9.741,27821,5924
2005-06-30,9.776,9.801,9.72,9.763,42306,5924
2005-07-01,9.72,9.727,9.615,9.652,71847,5924
2005-07-05,9.637,9.735,9.63,9.652,28826,5924
2005-07-06,9.615,9.714,9.582,9.691,55638,5924
2005-07-07,9.72,9.72,9.645,9.645,40297,5924
2005-07-08,9.652,9.698,9.652,9.691,20363,5924
2005-07-11,9.652,9.72,9.652,9.72,13194,5924
2005-07-12,9.735,9.735,9.691,9.727,35849,5924
2005-07-13,9.685,9.735,9.666,9.72,22803,5924
2005-07-14,9.666,9.735,9.666,9.691,44456,5924
2005-07-15,9.666,9.735,9.666,9.698,23086,5924
2005-07-18,9.698,9.698,9.554,9.582,34562,5924
2005-07-19,9.621,9.659,9.562,9.645,59935,5924
2005-07-20,9.666,9.685,9.59,9.673,27821,5924
2005-07-21,9.735,9.735,9.659,9.678,43879,5924
2005-07-22,9.666,9.741,9.666,9.735,83745,5924
2005-07-25,9.769,9.776,9.666,9.678,49473,5924
2005-07-26,9.666,9.72,9.666,9.72,20363,5924
2005-07-27,9.714,9.714,9.678,9.691,23372,5924
2005-07-28,9.685,9.769,9.685,9.72,21078,5924
2005-07-29,9.72,9.82,9.72,9.813,35564,5924
2005-08-01,9.834,9.904,9.801,9.875,37998,5924
2005-08-02,9.875,9.92,9.776,9.889,28253,5924
2005-08-03,9.804,9.866,9.776,9.792,21656,5924
2005-08-04,9.827,9.889,9.757,9.827,19645,5924
2005-08-05,9.827,9.845,9.685,9.685,34271,5924
2005-08-08,9.698,9.707,9.637,9.652,36282,5924
2005-08-09,9.659,9.707,9.63,9.698,14768,5924
2005-08-10,9.673,9.727,9.673,9.691,13625,5924
2005-08-11,9.678,9.72,9.666,9.685,14197,5924
2005-08-12,9.698,9.714,9.678,9.678,11759,5924
2005-08-15,9.685,9.748,9.659,9.673,32548,5924
2005-08-16,9.666,9.757,9.666,9.735,44021,5924
2005-08-17,9.763,9.776,9.714,9.735,27244,5924
2005-08-18,9.801,9.827,9.698,9.714,51197,5924
2005-08-19,9.714,9.741,9.707,9.707,11759,5924
2005-08-22,9.769,9.776,9.714,9.757,23804,5924
2005-08-23,9.757,9.769,9.714,9.735,20363,5924
2005-08-24,9.673,9.748,9.673,9.698,46030,5924
2005-08-25,9.741,9.763,9.735,9.757,18358,5924
2005-08-26,9.763,9.763,9.735,9.757,6451,5924
2005-08-29,9.757,9.769,9.72,9.735,40297,5924
2005-08-30,9.735,9.792,9.707,9.776,33697,5924
2005-08-31,9.776,9.804,9.741,9.757,19790,5924
2005-09-01,9.757,9.852,9.741,9.834,41732,5924
2005-09-02,9.801,9.86,9.784,9.827,42163,5924
2005-09-06,9.845,9.882,9.801,9.875,28253,5924
2005-09-07,9.896,9.896,9.776,9.776,39722,5924
2005-09-08,9.776,9.813,9.735,9.763,51769,5924
2005-09-09,9.741,9.827,9.741,9.827,27966,5924
2005-09-12,9.852,9.852,9.792,9.834,23086,5924
2005-09-13,9.792,9.875,9.792,9.852,19930,5924
2005-09-14,9.82,9.82,9.801,9.801,31835,5924
2005-09-15,9.801,9.82,9.763,9.804,22081,5924
2005-09-16,9.769,9.834,9.769,9.792,23086,5924
2005-09-19,9.776,9.776,9.691,9.735,20216,5924
2005-09-20,9.792,9.792,9.727,9.735,33846,5924
2005-09-21,9.852,9.852,9.748,9.769,57508,5924
2005-09-22,9.769,9.84,9.769,9.784,23948,5924
2005-09-23,9.776,9.804,9.685,9.707,59086,5924
2005-09-26,9.735,9.748,9.685,9.691,12617,5924
2005-09-27,9.735,9.741,9.63,9.673,15916,5924
2005-09-28,9.707,9.735,9.602,9.602,37142,5924
2005-09-29,9.609,9.659,9.562,9.659,39148,5924
2005-09-30,9.59,9.659,9.576,9.597,51769,5924
2005-10-03,9.602,9.602,9.582,9.582,10901,5924
2005-10-04,9.569,9.621,9.548,9.609,40871,5924
2005-10-05,9.554,9.59,9.534,9.576,12187,5924
2005-10-06,9.534,9.59,9.527,9.562,30256,5924
2005-10-07,9.562,9.597,9.562,9.59,26099,5924
2005-10-10,9.602,9.615,9.554,9.562,8027,5924
2005-10-11,9.562,9.576,9.4897,9.527,31695,5924
2005-10-12,9.4677,9.505,9.3995,9.3995,30542,5924
2005-10-13,9.4325,9.4325,9.3394,9.374,24524,5924
2005-10-14,9.3945,9.3945,9.311,9.3602,13194,5924
2005-10-17,9.311,9.3257,9.2761,9.3257,24667,5924
2005-10-18,9.3394,9.3462,9.2685,9.3257,31976,5924
2005-10-19,9.3602,9.4123,9.3257,9.3681,65959,5924
2005-10-20,9.3995,9.4325,9.3799,9.3995,30115,5924
2005-10-21,9.4827,9.4827,9.3866,9.4613,31551,5924
2005-10-24,9.505,9.512,9.4613,9.4827,13481,5924
2005-10-25,9.512,9.527,9.4405,9.4464,19358,5924
2005-10-26,9.4256,9.4256,9.3799,9.4123,26241,5924
2005-10-27,9.4054,9.4054,9.374,9.3945,11185,5924
2005-10-28,9.4256,9.4757,9.3945,9.4757,12334,5924
2005-10-31,9.3945,9.4613,9.3945,9.4613,14197,5924
2005-11-01,9.4677,9.4897,9.4677,9.4897,14343,5924
2005-11-02,9.4123,9.4677,9.3394,9.4405,38860,5924
2005-11-03,9.4613,9.4613,9.3681,9.3945,17208,5924
2005-11-04,9.4054,9.4256,9.3866,9.4123,7601,5924
2005-11-07,9.4256,9.4256,9.3945,9.4256,11331,5924
2005-11-08,9.3799,9.4256,9.3681,9.3681,27244,5924
2005-11-09,9.3995,9.3995,9.3179,9.3602,15339,5924
2005-11-10,9.3602,9.3602,9.2761,9.3257,28826,5924
2005-11-11,9.374,9.374,9.3394,9.3602,21225,5924
2005-11-14,9.3799,9.3799,9.1843,9.2597,37998,5924
2005-11-15,9.208,9.3534,9.208,9.2685,43879,5924
2005-11-16,9.2965,9.3534,9.2965,9.311,25529,5924
2005-11-17,9.3462,9.3945,9.3462,9.3945,23231,5924
2005-11-18,9.3602,9.3799,9.3035,9.3257,12475,5924
2005-11-21,9.3945,9.3945,9.3035,9.3462,26241,5924
2005-11-22,9.3534,9.374,9.3462,9.3681,9604,5924
2005-11-23,9.3799,9.3799,9.2021,9.3035,53489,5924
2005-11-25,9.2829,9.3035,9.2374,9.3035,20508,5924
2005-11-28,9.2302,9.3602,9.2157,9.3602,33983,5924
2005-11-29,9.3179,9.3945,9.252,9.3534,72132,5924
2005-11-30,9.3462,9.3681,9.2898,9.2898,21793,5924
2005-12-01,9.3257,9.3257,9.2597,9.2761,17923,5924
2005-12-02,9.311,9.311,9.2157,9.2829,41582,5924
2005-12-05,9.2597,9.2597,9.1793,9.252,47613,5924
2005-12-06,9.2441,9.3179,9.2441,9.3179,27532,5924
2005-12-07,9.3325,9.3325,9.2441,9.3035,36857,5924
2005-12-08,9.2965,9.3257,9.2374,9.3257,38144,5924
2005-12-09,9.252,9.3325,9.252,9.311,40150,5924
2005-12-12,9.3179,9.3534,9.2829,9.3462,46894,5924
2005-12-13,9.3325,9.3602,9.2829,9.3602,34562,5924
2005-12-14,9.3534,9.3945,9.3325,9.3602,32415,5924
2005-12-15,9.4256,9.4325,9.311,9.3799,41732,5924
2005-12-16,9.4192,9.4534,9.374,9.3995,22081,5924
2005-12-19,9.3602,9.4827,9.3462,9.4464,55499,5924
2005-12-20,9.4192,9.4677,9.311,9.4325,85900,5924
2005-12-21,9.3866,9.4534,9.3602,9.4054,50193,5924
2005-12-22,9.4405,9.4897,9.4192,9.4677,70696,5924
2005-12-23,9.4757,9.4757,9.3866,9.4464,27966,5924
2005-12-27,9.554,9.597,9.4256,9.4827,37861,5924
2005-12-28,9.52,9.52,9.4405,9.4534,6022,5924
2005-12-29,9.4325,9.582,9.4325,9.582,35420,5924
2005-12-30,9.512,9.609,9.512,9.609,26528,5924
2006-01-03,9.609,9.652,9.609,9.615,34705,5924
2006-01-04,9.576,9.576,9.4897,9.569,52629,5924
2006-01-05,9.59,9.59,9.534,9.569,25529,5924
2006-01-06,9.569,9.569,9.52,9.562,48756,5924
2006-01-09,9.59,9.609,9.512,9.597,35849,5924
2006-01-10,9.582,9.621,9.548,9.59,34418,5924
2006-01-11,9.59,9.59,9.527,9.534,24091,5924
2006-01-12,9.582,9.621,9.512,9.621,77293,5924
2006-01-13,9.597,9.666,9.597,9.666,45885,5924
2006-01-17,9.678,9.769,9.621,9.741,61515,5924
2006-01-18,9.741,9.813,9.714,9.776,52484,5924
2006-01-19,9.804,9.928,9.804,9.852,33558,5924
2006-01-20,9.784,9.845,9.784,9.834,18640,5924
2006-01-23,9.904,9.913,9.776,9.896,67260,5924
2006-01-24,9.866,9.866,9.845,9.86,16200,5924
2006-01-25,9.763,9.875,9.763,9.813,45460,5924
2006-01-26,9.84,9.866,9.784,9.866,24091,5924
2006-01-27,9.92,9.92,9.792,9.86,40437,5924
2006-01-30,9.904,9.935,9.834,9.86,28826,5924
2006-01-31,9.86,9.904,9.852,9.904,26957,5924
2006-02-01,9.957,9.995,9.84,9.91,33127,5924
2006-02-02,9.904,9.935,9.86,9.889,23086,5924
2006-02-03,9.889,9.889,9.866,9.889,23804,5924
2006-02-06,9.889,9.896,9.866,9.889,20508,5924
2006-02-07,9.957,9.957,9.852,9.91,25957,5924
2006-02-08,9.935,9.935,9.875,9.875,34133,5924
2006-02-09,9.875,9.928,9.84,9.882,29833,5924
2006-02-10,10.001,10.001,9.84,9.882,39437,5924
2006-02-13,9.813,9.904,9.804,9.904,53063,5924
2006-02-14,9.84,9.896,9.82,9.845,68978,5924
2006-02-15,9.904,9.928,9.875,9.91,37286,5924
2006-02-16,9.949,9.949,9.852,9.852,49188,5924
2006-02-17,9.91,9.92,9.866,9.91,33558,5924
2006-02-21,9.935,9.935,9.86,9.904,70411,5924
2006-02-22,9.91,9.913,9.845,9.896,50769,5924
2006-02-23,9.852,9.852,9.813,9.845,39004,5924
2006-02-24,9.882,9.896,9.834,9.834,41582,5924
2006-02-27,9.827,9.866,9.82,9.834,67260,5924
2006-02-28,9.834,9.852,9.834,9.852,35849,5924
2006-03-01,9.813,9.813,9.769,9.804,45027,5924
2006-03-02,9.769,9.827,9.763,9.769,65829,5924
2006-03-03,9.804,9.804,9.735,9.748,95505,5924
2006-03-06,9.735,9.735,9.666,9.72,35564,5924
2006-03-07,9.727,9.727,9.645,9.714,32415,5924
2006-03-08,9.707,9.776,9.691,9.776,26383,5924
2006-03-09,9.801,9.82,9.741,9.82,30404,5924
2006-03-10,9.757,9.813,9.757,9.776,28103,5924
2006-03-13,9.784,9.82,9.769,9.776,36426,5924
2006-03-14,9.792,9.801,9.741,9.801,36714,5924
2006-03-15,9.727,9.801,9.691,9.698,43164,5924
2006-03-16,9.763,9.792,9.707,9.776,60799,5924
2006-03-17,9.801,9.813,9.748,9.801,40871,5924
2006-03-20,9.804,9.827,9.792,9.827,19930,5924
2006-03-21,9.827,9.834,9.801,9.82,33697,5924
2006-03-22,9.748,9.86,9.748,9.86,50479,5924
2006-03-23,9.813,9.896,9.813,9.896,52192,5924
2006-03-24,9.896,9.904,9.813,9.834,36714,5924
2006-03-27,9.896,9.904,9.813,9.813,34562,5924
2006-03-28,9.972,9.972,9.852,9.852,39004,5924
2006-03-29,9.896,9.913,9.827,9.86,38285,5924
2006-03-30,9.852,9.904,9.834,9.834,37998,5924
2006-03-31,9.845,9.904,9.792,9.904,25381,5924
2006-04-03,9.91,9.92,9.866,9.889,17633,5924
2006-04-04,9.866,9.913,9.866,9.91,47613,5924
2006-04-05,9.875,9.913,9.845,9.866,22375,5924
2006-04-06,9.866,9.98,9.84,9.92,37577,5924
