Date,Open,High,Low,Close,Volume,stock_id
2017-08-11,6.0,6.0,6.0,6.0,200,1073
2017-08-14,6.4,6.5,6.4,6.5,425,1073
2017-08-15,6.7,6.7,6.7,6.7,1575,1073
2017-08-16,6.75,6.75,6.75,6.75,822,1073
2017-08-17,6.75,6.75,6.75,6.75,907,1073
2017-08-18,6.85,6.85,6.85,6.85,562,1073
2017-08-21,6.95,6.95,6.95,6.95,700,1073
2017-08-22,7.0,7.0,7.0,7.0,406,1073
2017-08-24,7.0,7.0,7.0,7.0,510,1073
2017-08-25,7.1,7.1,7.1,7.1,1000,1073
2017-08-28,7.2,7.2,7.2,7.2,1301,1073
2017-08-29,7.2,7.2,7.2,7.2,300,1073
2017-08-30,7.2,7.2,7.2,7.2,319,1073
2017-09-01,7.35,7.35,7.35,7.35,515,1073
2017-09-05,7.35,7.35,7.35,7.35,301,1073
2017-09-06,7.35,7.35,7.35,7.35,309,1073
2017-09-07,7.5,7.5,7.5,7.5,243,1073
2017-09-08,7.5,7.5,7.5,7.5,540,1073
2017-09-12,7.65,7.65,7.65,7.65,821,1073
2017-09-14,7.75,7.75,7.75,7.75,1117,1073
2017-09-15,8.03,8.03,7.4999,7.4999,2539,1073
2017-09-20,7.34,7.9,7.34,7.9,458,1073
2017-09-21,7.95,7.95,7.95,7.95,322,1073
2017-09-26,7.5,7.5,7.5,7.5,200,1073
2017-10-04,7.5,7.5,7.5,7.5,1142,1073
2017-10-06,7.12,7.12,7.12,7.12,106,1073
