Date,Open,High,Low,Close,Volume,stock_id
2016-10-14,23.661,23.661,23.566,23.613,7103,6457
2016-10-17,23.661,23.804,23.45,23.45,11183,6457
2016-10-18,23.517,23.661,23.517,23.661,12133,6457
2016-10-19,23.566,23.661,23.566,23.661,8819,6457
2016-10-21,23.613,23.613,23.441,23.441,524,6457
2016-10-24,23.613,23.613,23.517,23.517,5482,6457
2016-10-25,23.566,23.566,23.517,23.517,1889,6457
2016-10-26,23.46,23.47,23.46,23.47,2825,6457
2016-10-27,23.517,23.517,23.326,23.45,6559,6457
2016-10-28,23.45,23.47,23.422,23.47,7453,6457
2016-10-31,23.47,23.47,23.375,23.422,2964,6457
2016-11-01,22.982,23.326,22.944,23.316,5316,6457
2016-11-02,23.326,23.9,23.326,23.413,21141,6457
2016-11-03,23.422,23.422,23.422,23.422,2746,6457
2016-11-04,23.422,23.422,23.061,23.422,5278,6457
2016-11-07,23.47,23.47,23.182,23.182,2477,6457
2016-11-08,21.242,22.667,21.242,22.533,9624,6457
2016-11-09,22.944,23.9,22.944,23.661,908,6457
2016-11-10,23.705,23.705,23.705,23.705,353,6457
2016-11-11,23.308,23.919,21.632,23.919,8751,6457
2016-11-14,23.783,23.783,23.549,23.783,4132,6457
2016-11-15,23.734,24.219,23.734,23.977,18222,6457
2016-11-16,23.783,23.783,22.608,23.559,3347,6457
2016-11-17,23.297,23.637,23.297,23.54,12181,6457
2016-11-18,23.54,23.54,23.394,23.394,2369,6457
2016-11-21,23.54,23.588,23.471,23.588,8032,6457
2016-11-23,23.753,23.783,23.743,23.783,974,6457
2016-11-25,24.268,24.268,24.268,24.268,412,6457
2016-11-28,23.879,23.879,23.879,23.879,162,6457
2016-11-29,23.977,23.977,23.545,23.545,4428,6457
2016-11-30,23.399,23.399,23.394,23.394,824,6457
2016-12-01,23.54,23.54,23.54,23.54,1905,6457
2016-12-02,23.588,23.637,23.553,23.637,3889,6457
2016-12-05,23.394,23.783,23.394,23.783,1159,6457
2016-12-06,23.753,23.879,23.737,23.86,5543,6457
