Date,Open,High,Low,Close,Volume,stock_id
2017-08-21,9.81,9.81,9.7,9.7,58682,3601
2017-08-22,9.7,9.7,9.7,9.7,27295,3601
2017-08-24,9.7,9.7,9.7,9.7,10025,3601
2017-08-25,9.7,9.7131,9.7,9.7131,29800,3601
2017-08-28,9.72,9.72,9.71,9.71,9277,3601
2017-08-29,9.71,9.72,9.71,9.72,150000,3601
2017-08-30,9.72,9.72,9.72,9.72,1700,3601
2017-09-01,9.7299,9.7299,9.7299,9.7299,925,3601
2017-09-05,9.7299,9.83,9.7299,9.75,12700,3601
2017-09-06,9.73,9.73,9.73,9.73,500,3601
2017-09-07,9.73,9.74,9.72,9.72,102000,3601
2017-09-08,9.73,9.73,9.72,9.72,251000,3601
2017-09-11,9.7354,9.76,9.7291,9.76,199250,3601
2017-09-12,9.76,9.76,9.7583,9.76,301,3601
2017-09-13,9.65,9.79,9.65,9.77,800,3601
2017-09-14,9.74,9.74,9.74,9.74,500,3601
2017-09-15,9.77,9.78,9.72,9.78,121583,3601
2017-09-18,9.7799,9.7799,9.73,9.76,832,3601
2017-09-19,9.73,9.74,9.73,9.73,16976,3601
2017-09-20,9.79,9.79,9.73,9.7356,23950,3601
2017-09-21,9.73,9.731,9.73,9.73,6278,3601
2017-09-22,9.752,9.752,9.73,9.73,401,3601
2017-09-25,9.73,9.74,9.73,9.74,5699,3601
2017-09-26,9.73,9.73,9.73,9.73,4900,3601
2017-09-27,9.73,9.75,9.7284,9.75,63554,3601
2017-09-28,9.74,9.79,9.74,9.78,67188,3601
2017-10-02,9.79,9.79,9.7705,9.7705,800,3601
2017-10-03,9.77,9.77,9.76,9.76,200,3601
2017-10-09,9.76,9.76,9.75,9.75,2150,3601
2017-10-10,9.75,9.75,9.75,9.75,2557,3601
2017-10-11,9.74,9.78,9.74,9.76,452575,3601
2017-10-12,9.77,9.772,9.77,9.772,500,3601
2017-10-13,9.77,9.77,9.77,9.77,1100,3601
2017-10-16,9.7654,9.7654,9.7654,9.7654,400,3601
2017-10-17,9.76,9.76,9.74,9.76,6100,3601
2017-10-19,9.74,9.81,9.74,9.76,248201,3601
2017-10-20,9.75,9.8058,9.75,9.8058,52382,3601
2017-10-23,9.75,9.8,9.75,9.75,101200,3601
2017-10-24,9.74,9.8,9.74,9.8,1400,3601
2017-10-25,9.74,9.8,9.74,9.8,50100,3601
2017-10-26,9.76,9.78,9.74,9.74,106100,3601
2017-10-27,9.7365,9.75,9.73,9.7416,10850,3601
2017-10-30,9.75,9.75,9.7207,9.75,2800,3601
2017-10-31,9.72,9.75,9.71,9.75,319800,3601
2017-11-01,9.73,9.73,9.73,9.73,2000,3601
2017-11-02,9.7311,9.7311,9.7311,9.7311,100,3601
2017-11-03,9.7307,9.7307,9.7307,9.7307,700,3601
2017-11-06,9.72,9.72,9.72,9.72,100000,3601
2017-11-07,9.72,9.72,9.72,9.72,1741,3601
2017-11-08,9.73,9.73,9.71,9.71,70900,3601
2017-11-09,9.71,9.71,9.7,9.7052,197475,3601
2017-11-10,9.69,9.715,9.69,9.71,30200,3601
