Date,Open,High,Low,Close,Volume,stock_id
2005-02-25,5.4807,5.5069,5.4633,5.5069,101931,3812
2005-02-28,5.5069,5.6031,5.5069,5.5943,104332,3812
2005-03-01,5.6031,5.6818,5.5943,5.6293,71501,3812
2005-03-02,5.6293,5.6381,5.6118,5.6118,33862,3812
2005-03-03,5.6293,5.6818,5.6118,5.6468,80995,3812
2005-03-04,5.6993,5.778,5.6556,5.7429,102046,3812
2005-03-07,5.6818,5.7517,5.6556,5.7517,77908,3812
2005-03-08,5.7167,5.8042,5.6993,5.7342,50565,3812
2005-03-09,5.7517,5.8042,5.7254,5.7254,57315,3812
2005-03-10,5.7604,5.7604,5.673,5.6993,35465,3812
2005-03-11,5.7167,5.7693,5.6905,5.7604,41184,3812
2005-03-14,5.6381,5.6905,5.6031,5.6205,66925,3812
2005-03-15,5.6205,5.6644,5.5943,5.6205,45646,3812
2005-03-16,5.6381,5.673,5.5943,5.5943,31003,3812
2005-03-17,5.5943,5.6205,5.5682,5.5682,12584,3812
2005-03-18,5.6118,5.6205,5.5943,5.6031,18190,3812
2005-03-21,5.6205,5.6468,5.5943,5.6118,33862,3812
2005-03-22,5.6118,5.6205,5.5245,5.5507,23565,3812
2005-03-23,5.5507,5.5769,5.5156,5.5507,38095,3812
2005-03-24,5.5245,5.5507,5.5069,5.5245,20820,3812
2005-03-28,5.5156,5.5419,5.472,5.4807,69784,3812
2005-03-29,5.4196,5.4546,5.2971,5.3059,64179,3812
2005-03-30,5.2884,5.3671,5.2884,5.3409,43816,3812
2005-03-31,5.3758,5.3758,5.3322,5.3322,36838,3812
2005-04-01,5.3584,5.4196,5.3584,5.3758,34891,3812
2005-04-04,5.3758,5.3758,5.3322,5.3758,30887,3812
2005-04-05,5.4458,5.4458,5.3933,5.437,36609,3812
2005-04-06,5.472,5.472,5.4108,5.4458,7321,3812
2005-04-07,5.437,5.4546,5.4108,5.4458,21850,3812
2005-04-08,5.4458,5.4633,5.4283,5.437,63493,3812
2005-04-11,5.4196,5.4546,5.4108,5.4196,25055,3812
2005-04-12,5.4108,5.4196,5.3409,5.3846,29401,3812
2005-04-13,5.3933,5.4546,5.3671,5.3671,45418,3812
2005-04-14,5.3933,5.402,5.2797,5.2797,64635,3812
2005-04-15,5.2535,5.3147,5.1399,5.1572,55829,3812
2005-04-18,5.0261,5.1137,5.0088,5.0612,87517,3812
2005-04-19,5.0786,5.1137,5.0524,5.105,88318,3812
