Date,Open,High,Low,Close,Volume,stock_id
2015-11-13,9.0266,9.0798,9.0266,9.0361,521524,267
2015-11-16,9.0798,9.0798,9.0266,9.0798,125976,267
2015-11-17,9.0722,9.1972,9.0722,9.1332,75452,267
2015-11-18,9.1149,9.1332,9.0798,9.0885,88414,267
2015-11-19,9.0798,9.1972,9.0798,9.1778,52184,267
2015-11-20,9.168,9.2068,9.1149,9.2068,81436,267
2015-11-23,9.1425,9.2068,9.1234,9.1604,88636,267
2015-11-24,9.1604,9.2068,9.1149,9.2068,126197,267
2015-11-25,9.2068,9.2068,9.1425,9.1425,105589,267
2015-11-27,9.1604,9.1604,9.1234,9.1604,15626,267
2015-11-30,9.1604,9.1604,9.0798,9.1604,127638,267
2015-12-01,9.1332,9.1972,9.1234,9.1425,28848,267
2015-12-02,9.1874,9.1972,9.1332,9.1874,90585,267
2015-12-03,9.1972,9.477,9.1604,9.2605,112618,267
2015-12-04,9.2068,9.2068,9.0266,9.0722,367402,267
2015-12-07,9.1149,9.1874,9.0266,9.0627,126309,267
2015-12-08,9.1062,9.1332,9.0627,9.0798,101174,267
2015-12-09,9.1234,9.1874,9.0798,9.1149,61158,267
2015-12-10,9.0361,9.1604,9.0361,9.1508,22495,267
2015-12-11,9.097,9.1149,9.0541,9.0722,86753,267
2015-12-14,9.0885,9.0885,8.8551,9.0266,273415,267
2015-12-15,9.0722,9.0722,9.0266,9.0447,112460,267
2015-12-16,9.0266,9.0722,9.0266,9.0361,47087,267
2015-12-17,9.0266,9.0361,9.0266,9.0361,72240,267
2015-12-18,9.0722,9.1149,9.0266,9.0266,77447,267
2015-12-21,9.0078,9.0722,9.0078,9.0266,95951,267
2015-12-22,9.0627,9.1604,9.0361,9.0541,73671,267
2015-12-23,9.0541,9.1149,9.0266,9.0361,93513,267
2015-12-24,9.0391,9.0722,9.0391,9.0627,19445,267
2015-12-28,9.0447,9.0885,8.9343,8.9343,74279,267
2015-12-29,9.0266,9.2068,9.0266,9.1062,85712,267
2015-12-30,9.0798,9.1508,9.0361,9.0571,87554,267
2015-12-31,9.0361,9.1332,8.9843,9.0951,73037,267
2016-01-04,9.1149,9.1332,8.9794,9.112,51335,267
2016-01-05,9.2068,9.2527,9.0391,9.0428,86276,267
2016-01-06,9.0712,9.477,8.9984,9.097,91131,267
2016-01-07,9.1874,9.1874,8.9889,9.0172,48966,267
2016-01-08,9.1874,9.1874,8.9437,9.0447,63688,267
2016-01-11,9.097,9.1604,9.0798,9.1149,59868,267
2016-01-12,9.1778,9.1778,9.0266,9.0875,44260,267
2016-01-13,9.0722,9.2078,9.0523,9.0722,57087,267
2016-01-14,9.0172,9.1787,9.0172,9.0722,107671,267
2016-01-15,9.1614,9.1614,9.0266,9.0447,38647,267
2016-01-19,9.0172,9.0722,8.9984,9.0266,55672,267
2016-01-20,8.9794,9.1159,8.8819,8.926,161564,267
2016-01-21,8.926,9.0266,8.8728,8.9794,83964,267
2016-01-22,9.1342,9.1342,8.9889,9.0722,91236,267
2016-01-25,9.0722,9.1342,8.9794,9.0361,65924,267
2016-01-26,9.0447,9.0722,8.8446,8.8632,135456,267
2016-01-27,8.9708,9.0722,8.9073,8.9935,42902,267
2016-01-28,8.9984,9.0722,8.9889,9.0447,29054,267
2016-01-29,9.0343,9.0722,9.0266,9.0361,39696,267
2016-02-01,9.1518,9.1518,9.0627,9.0722,59017,267
2016-02-02,9.098,9.1159,9.0494,9.0712,54777,267
2016-02-03,9.0541,9.1435,9.0541,9.0722,88457,267
2016-02-04,9.0798,9.1614,9.0722,9.0798,47798,267
2016-02-05,9.1614,9.2078,9.0722,9.1159,105621,267
2016-02-08,9.1062,9.2078,9.0722,9.0895,131845,267
2016-02-09,9.1614,9.1982,9.0627,9.1062,33238,267
2016-02-10,9.2372,9.2372,9.0627,9.0627,69814,267
2016-02-11,9.0722,9.1111,8.9708,8.9794,136345,267
2016-02-12,9.0895,9.0895,8.9708,9.0266,75497,267
2016-02-16,8.9974,9.2088,8.9794,9.0895,78162,267
2016-02-17,9.0951,9.1445,9.0941,9.1445,79310,267
2016-02-18,9.0895,9.1893,8.9889,9.135,58837,267
2016-02-19,9.1254,9.1992,9.0722,9.1893,109229,267
2016-02-22,9.1527,9.1992,9.098,9.1254,46952,267
2016-02-23,9.1527,9.1623,9.1167,9.1623,38188,267
2016-02-24,9.1167,9.1623,9.1167,9.1623,21613,267
2016-02-25,9.1623,9.1992,9.1167,9.1167,95701,267
2016-02-26,9.1167,9.1623,9.0895,9.1167,41238,267
2016-02-29,9.1167,9.1167,9.0722,9.1167,109844,267
2016-03-01,9.1167,9.1992,9.0627,9.1445,99684,267
2016-03-02,9.1623,9.1623,9.0722,9.098,105766,267
2016-03-03,9.135,9.135,9.0447,9.1254,89064,267
2016-03-04,9.1017,9.1445,9.1017,9.1167,66925,267
2016-03-07,9.1263,9.1445,9.1042,9.1167,45315,267
2016-03-08,9.1445,9.1992,9.1167,9.1254,49001,267
2016-03-09,9.1167,9.1893,9.0798,9.1072,181120,267
2016-03-10,9.1234,9.1623,9.0722,9.0722,70206,267
2016-03-11,9.1359,9.171,9.1177,9.1623,80957,267
2016-03-14,9.1623,9.1806,9.1263,9.1263,65852,267
2016-03-15,9.1359,9.1623,9.1263,9.1537,72114,267
2016-03-16,9.1388,9.2098,9.1388,9.2098,58852,267
2016-03-17,9.1952,9.2098,9.1904,9.2098,47941,267
2016-03-18,9.2382,9.2382,9.2002,9.2098,86998,267
2016-03-21,9.2098,9.2382,9.2002,9.2382,62915,267
2016-03-22,9.229,9.2382,9.1806,9.2098,207287,267
2016-03-23,9.1904,9.229,9.1806,9.2098,52140,267
2016-03-24,9.2382,9.2382,9.171,9.2002,150930,267
2016-03-28,9.1904,9.2382,9.1904,9.2382,113657,267
2016-03-29,9.2382,9.2382,9.2002,9.2382,126703,267
2016-03-30,9.2194,9.2382,9.2002,9.2382,177668,267
2016-03-31,9.2098,9.2902,9.2002,9.2002,382285,267
2016-04-01,9.2645,9.2746,9.2271,9.2479,60581,267
2016-04-04,9.2479,9.2902,9.2479,9.2902,64929,267
2016-04-05,9.2902,9.2902,9.2098,9.2194,51953,267
2016-04-06,9.2098,9.2098,9.2002,9.2002,83944,267
2016-04-07,9.2194,9.2902,9.2002,9.2645,74545,267
2016-04-08,9.244,9.2645,9.2271,9.229,37002,267
2016-04-11,9.2479,9.2902,9.2194,9.2479,54318,267
2016-04-12,9.229,9.2736,9.2194,9.2566,26658,267
2016-04-13,9.2655,9.3382,9.2655,9.3382,91366,267
2016-04-14,9.347,9.3742,9.3107,9.3382,85262,267
2016-04-15,9.3742,9.4215,9.347,9.347,58344,267
2016-04-18,9.347,9.4037,9.2824,9.3008,102351,267
2016-04-19,9.3293,9.347,9.2824,9.3107,67200,267
2016-04-20,9.3382,9.4215,9.3205,9.347,91885,267
2016-04-21,9.347,9.4215,9.3293,9.4126,69330,267
2016-04-22,9.3938,9.3938,9.3293,9.347,10367,267
2016-04-25,9.384,9.384,9.2655,9.2655,133137,267
2016-04-26,9.2746,9.3107,9.2566,9.3107,146218,267
2016-04-27,9.3,9.3742,9.292,9.3293,62696,267
2016-04-28,9.3544,9.3643,9.2479,9.3008,135131,267
2016-04-29,9.3293,9.3938,9.2764,9.3008,168355,267
2016-05-02,9.4126,9.4869,9.3653,9.4037,142226,267
2016-05-03,9.4313,9.4313,9.3107,9.3643,74055,267
2016-05-04,9.3928,9.3928,9.3107,9.3195,125104,267
2016-05-05,9.3195,9.3643,9.3195,9.3382,51631,267
2016-05-06,9.347,9.459,9.3195,9.3544,223790,267
2016-05-09,9.4067,9.4401,9.3195,9.3293,51220,267
2016-05-10,9.3195,9.4126,9.3195,9.347,62518,267
2016-05-11,9.375,9.4323,9.3554,9.4136,49694,267
2016-05-12,9.4047,9.4879,9.3554,9.47,100904,267
2016-05-13,9.4879,9.4879,9.4323,9.479,46926,267
2016-05-16,9.47,9.524,9.46,9.524,51639,267
2016-05-17,9.51,9.524,9.506,9.524,61555,267
2016-05-18,9.524,9.533,9.3653,9.4511,124044,267
2016-05-19,9.4969,9.524,9.4225,9.46,53457,267
2016-05-20,9.4362,9.533,9.4323,9.531,49478,267
2016-05-23,9.4959,9.533,9.47,9.524,33074,267
2016-05-24,9.51,9.51,9.3948,9.4047,137739,267
2016-05-25,9.4047,9.4411,9.3948,9.4136,83791,267
2016-05-26,9.3948,9.479,9.3948,9.3948,114917,267
2016-05-27,9.46,9.524,9.4411,9.514,83012,267
2016-05-31,9.533,9.533,9.4401,9.533,57539,267
2016-06-01,9.533,9.533,9.46,9.46,84638,267
2016-06-02,9.479,9.4919,9.4047,9.4047,45992,267
2016-06-03,9.4411,9.4879,9.4411,9.47,53346,267
2016-06-06,9.479,9.524,9.47,9.4879,52251,267
2016-06-07,9.524,9.524,9.47,9.47,56267,267
2016-06-08,9.47,9.4879,9.47,9.47,23640,267
2016-06-09,9.524,9.533,9.47,9.47,87641,267
2016-06-10,9.4969,9.524,9.47,9.47,54600,267
2016-06-13,9.479,9.58,9.479,9.543,17112,267
2016-06-14,9.572,9.572,9.4889,9.543,58683,267
2016-06-15,9.525,9.58,9.4889,9.58,85474,267
2016-06-16,9.533,9.58,9.4979,9.4979,65545,267
2016-06-17,9.515,9.552,9.4889,9.533,33103,267
2016-06-20,9.552,9.58,9.534,9.552,53404,267
2016-06-21,9.572,9.58,9.4889,9.515,148725,267
2016-06-22,9.4979,9.552,9.4979,9.543,54601,267
2016-06-23,9.562,9.58,9.515,9.534,48034,267
2016-06-24,9.4889,9.534,9.4511,9.4969,52947,267
2016-06-27,9.515,9.572,9.4889,9.543,32211,267
2016-06-28,9.543,9.58,9.515,9.515,66351,267
2016-06-29,9.58,9.58,9.4889,9.543,93327,267
2016-06-30,9.543,9.712,9.525,9.645,164305,267
2016-07-01,9.712,9.712,9.525,9.552,47222,267
2016-07-05,9.57,9.57,9.506,9.525,29766,267
2016-07-06,9.544,9.552,9.506,9.506,37107,267
2016-07-07,9.525,9.543,9.517,9.534,30538,267
2016-07-08,9.562,9.562,9.525,9.525,63078,267
2016-07-11,9.562,9.562,9.515,9.525,70539,267
2016-07-12,9.525,9.552,9.525,9.525,65202,267
2016-07-13,9.553,9.628,9.534,9.573,36110,267
2016-07-14,9.581,9.618,9.563,9.563,41565,267
2016-07-15,9.608,9.628,9.534,9.553,60884,267
2016-07-18,9.573,9.59,9.553,9.589,38784,267
2016-07-19,9.618,9.618,9.563,9.563,65566,267
2016-07-20,9.599,9.618,9.544,9.608,66008,267
2016-07-21,9.599,9.646,9.581,9.599,64171,267
2016-07-22,9.59,9.636,9.563,9.573,130922,267
2016-07-25,9.608,9.608,9.563,9.573,63768,267
2016-07-26,9.573,9.602,9.554,9.563,93531,267
2016-07-27,9.599,9.628,9.573,9.59,86467,267
2016-07-28,9.563,9.608,9.553,9.573,75645,267
2016-07-29,9.59,9.608,9.573,9.581,67136,267
2016-08-01,9.628,9.646,9.581,9.6,44476,267
2016-08-02,9.59,9.636,9.581,9.599,68202,267
2016-08-03,9.626,9.634,9.563,9.573,65606,267
2016-08-04,9.608,9.608,9.563,9.581,75560,267
2016-08-05,9.599,9.599,9.563,9.563,67101,267
2016-08-08,9.608,9.608,9.553,9.553,75846,267
2016-08-09,9.563,9.599,9.563,9.581,58255,267
2016-08-10,9.599,9.628,9.573,9.608,85717,267
2016-08-11,9.647,9.696,9.637,9.687,65524,267
2016-08-12,9.666,9.676,9.647,9.656,36163,267
2016-08-15,9.647,9.696,9.628,9.637,67187,267
2016-08-16,9.628,9.666,9.59,9.619,102868,267
2016-08-17,9.599,9.609,9.544,9.581,101771,267
2016-08-18,9.563,9.599,9.553,9.59,106165,267
2016-08-19,9.59,9.609,9.553,9.599,85966,267
2016-08-22,9.599,9.647,9.599,9.637,33213,267
2016-08-23,9.637,9.714,9.607,9.696,122635,267
2016-08-24,9.647,9.731,9.647,9.696,86094,267
2016-08-25,9.647,9.686,9.647,9.686,36361,267
2016-08-26,9.679,9.696,9.648,9.696,35707,267
2016-08-29,9.619,9.696,9.619,9.696,89884,267
2016-08-30,9.696,9.704,9.662,9.676,47434,267
2016-08-31,9.676,9.809,9.676,9.723,115926,267
2016-09-01,9.723,9.844,9.707,9.751,61558,267
2016-09-02,9.714,9.759,9.704,9.75,12036,267
2016-09-06,9.723,9.809,9.712,9.74,42929,267
2016-09-07,9.799,9.809,9.75,9.769,34303,267
2016-09-08,9.749,9.819,9.676,9.759,42166,267
2016-09-09,9.769,9.769,9.525,9.59,84240,267
2016-09-12,9.581,9.809,9.563,9.628,73907,267
2016-09-13,9.668,9.817,9.629,9.635,59652,267
2016-09-14,9.638,9.793,9.506,9.573,65624,267
2016-09-15,9.599,9.743,9.59,9.657,27824,267
2016-09-16,9.714,9.724,9.629,9.629,29012,267
2016-09-19,9.638,9.732,9.544,9.59,40830,267
2016-09-20,9.609,9.705,9.599,9.629,60811,267
2016-09-21,9.629,9.724,9.629,9.705,60620,267
2016-09-22,9.705,9.714,9.687,9.714,46266,267
2016-09-23,9.677,9.719,9.667,9.705,24584,267
2016-09-26,9.696,9.724,9.667,9.687,48542,267
2016-09-27,9.677,9.75,9.629,9.716,98251,267
2016-09-28,9.733,9.893,9.687,9.81,176840,267
2016-09-29,9.884,9.884,9.732,9.76,55604,267
2016-09-30,9.732,9.884,9.732,9.82,83982,267
2016-10-03,9.77,9.884,9.741,9.84,26606,267
2016-10-04,9.788,9.79,9.732,9.741,13317,267
2016-10-05,9.751,9.8,9.732,9.751,34844,267
2016-10-06,9.77,9.854,9.76,9.837,51144,267
2016-10-07,9.814,9.893,9.77,9.77,77497,267
2016-10-10,9.79,9.845,9.79,9.82,33896,267
2016-10-11,9.826,9.826,9.687,9.696,57398,267
2016-10-12,9.724,9.791,9.724,9.742,28942,267
2016-10-13,9.752,9.791,9.742,9.752,29336,267
2016-10-14,9.742,9.781,9.742,9.752,35812,267
2016-10-17,9.771,9.811,9.761,9.791,24380,267
2016-10-18,9.811,9.855,9.811,9.829,62138,267
2016-10-19,9.782,9.846,9.781,9.846,26111,267
2016-10-20,9.838,9.865,9.821,9.865,13873,267
2016-10-21,9.865,9.865,9.781,9.791,31984,267
2016-10-24,9.826,9.855,9.761,9.838,52417,267
2016-10-25,9.791,9.864,9.742,9.791,62758,267
2016-10-26,9.865,9.885,9.791,9.801,80465,267
2016-10-27,9.801,9.855,9.801,9.821,25863,267
2016-10-28,9.771,9.801,9.761,9.784,54779,267
2016-10-31,9.791,9.803,9.724,9.742,49621,267
2016-11-01,9.742,9.801,9.667,9.677,50948,267
2016-11-02,9.648,9.724,9.629,9.629,55928,267
2016-11-03,9.665,9.724,9.638,9.706,32902,267
2016-11-04,9.657,9.692,9.648,9.648,30416,267
2016-11-07,9.648,9.737,9.581,9.623,98990,267
2016-11-08,9.609,9.667,9.581,9.609,65745,267
2016-11-09,9.59,9.609,9.534,9.544,78081,267
2016-11-10,9.574,9.688,9.534,9.616,72621,267
2016-11-11,9.63,9.887,9.63,9.63,80946,267
2016-11-14,9.668,9.716,9.6,9.6,52783,267
2016-11-15,9.6,9.826,9.6,9.678,91752,267
2016-11-16,9.659,9.813,9.614,9.813,87923,267
2016-11-17,9.813,9.813,9.639,9.668,60505,267
2016-11-18,9.678,9.803,9.63,9.803,81107,267
2016-11-21,9.813,9.813,9.6,9.63,134542,267
2016-11-22,9.63,9.678,9.63,9.678,74387,267
2016-11-23,9.707,9.707,9.649,9.688,61429,267
2016-11-25,9.658,9.697,9.658,9.688,18477,267
2016-11-28,9.813,9.813,9.63,9.63,75687,267
2016-11-29,9.63,9.688,9.63,9.678,44981,267
2016-11-30,9.684,9.754,9.668,9.725,90660,267
2016-12-01,9.754,9.763,9.544,9.554,96641,267
2016-12-02,9.574,9.714,9.574,9.658,43960,267
2016-12-05,9.62,9.695,9.6,9.62,51378,267
2016-12-06,9.653,9.707,9.62,9.707,78679,267
2016-12-07,9.649,9.745,9.649,9.688,55351,267
2016-12-08,9.744,9.744,9.639,9.658,44283,267
2016-12-09,9.658,9.697,9.61,9.639,75332,267
2016-12-12,9.678,9.678,9.62,9.649,22477,267
2016-12-13,9.689,9.717,9.639,9.649,80845,267
2016-12-14,9.659,9.679,9.635,9.659,47067,267
2016-12-15,9.659,9.698,9.63,9.689,56634,267
2016-12-16,9.689,9.726,9.639,9.649,69002,267
2016-12-19,9.649,9.698,9.649,9.689,29844,267
2016-12-20,9.669,9.707,9.649,9.659,51241,267
2016-12-21,9.659,9.745,9.659,9.679,58696,267
2016-12-22,9.669,9.698,9.639,9.679,61655,267
2016-12-23,9.659,9.698,9.659,9.689,85381,267
2016-12-27,9.689,9.713,9.679,9.698,43390,267
2016-12-28,9.698,9.708,9.659,9.689,86198,267
2016-12-29,9.679,9.689,9.639,9.669,83785,267
2016-12-30,9.689,9.703,9.61,9.639,91688,267
2017-01-03,9.679,9.698,9.639,9.669,54722,267
2017-01-04,9.708,9.708,9.662,9.662,48594,267
2017-01-05,9.679,9.69,9.659,9.679,91902,267
2017-01-06,9.708,9.726,9.659,9.679,108335,267
2017-01-09,9.669,9.717,9.669,9.708,77601,267
2017-01-10,9.717,9.726,9.702,9.726,45600,267
2017-01-11,9.746,9.87,9.736,9.756,79458,267
2017-01-12,9.736,9.825,9.717,9.785,97399,267
2017-01-13,9.825,9.86,9.805,9.842,45478,267
2017-01-17,9.805,9.851,9.775,9.851,72489,267
2017-01-18,9.825,9.87,9.775,9.815,44952,267
2017-01-19,9.851,9.87,9.805,9.86,32339,267
2017-01-20,9.87,9.87,9.765,9.786,86844,267
2017-01-23,9.815,9.842,9.765,9.842,39269,267
2017-01-24,9.795,9.833,9.795,9.815,18548,267
2017-01-25,9.775,9.851,9.775,9.833,63764,267
2017-01-26,9.833,9.851,9.795,9.825,60930,267
2017-01-27,9.825,9.842,9.775,9.805,48672,267
2017-01-30,9.833,9.842,9.785,9.842,73308,267
2017-01-31,9.833,9.88,9.805,9.851,76804,267
2017-02-01,9.89,9.91,9.851,9.91,52022,267
2017-02-02,9.86,9.967,9.86,9.947,63593,267
2017-02-03,9.967,9.967,9.91,9.951,44295,267
2017-02-06,9.967,9.967,9.842,9.86,39378,267
2017-02-07,9.875,9.967,9.842,9.851,86840,267
2017-02-08,9.86,9.9,9.795,9.833,71886,267
2017-02-09,9.833,9.86,9.805,9.842,35215,267
2017-02-10,9.842,9.851,9.825,9.825,25536,267
2017-02-13,9.846,9.934,9.828,9.837,50632,267
2017-02-14,9.82,9.828,9.751,9.8,113128,267
2017-02-15,9.8,9.846,9.8,9.82,71344,267
2017-02-16,9.82,9.82,9.78,9.81,31409,267
2017-02-17,9.82,9.828,9.78,9.81,86896,267
2017-02-21,9.8,9.828,9.78,9.82,77525,267
2017-02-22,9.82,9.846,9.8,9.837,145295,267
2017-02-23,9.82,9.846,9.81,9.828,95394,267
2017-02-24,9.82,9.846,9.81,9.846,94538,267
2017-02-27,9.846,9.846,9.81,9.837,172618,267
2017-02-28,9.846,9.846,9.81,9.837,107831,267
2017-03-01,9.837,9.846,9.828,9.846,52325,267
2017-03-02,9.846,9.885,9.837,9.846,89145,267
2017-03-03,9.846,9.846,9.81,9.828,99776,267
2017-03-06,9.82,9.837,9.81,9.828,102718,267
2017-03-07,9.82,9.837,9.81,9.81,112881,267
2017-03-08,9.82,9.828,9.8,9.828,83246,267
2017-03-09,9.81,9.82,9.77,9.77,84332,267
2017-03-10,9.79,9.81,9.781,9.806,43170,267
2017-03-13,9.825,9.88,9.805,9.851,108005,267
2017-03-14,9.815,9.851,9.815,9.825,31337,267
2017-03-15,9.815,9.842,9.794,9.805,95170,267
2017-03-16,9.825,9.825,9.775,9.795,105186,267
2017-03-17,9.805,9.805,9.769,9.785,73210,267
2017-03-20,9.795,9.825,9.765,9.795,81988,267
2017-03-21,9.775,9.795,9.756,9.785,80893,267
2017-03-22,9.765,9.805,9.765,9.805,60564,267
2017-03-23,9.805,9.815,9.746,9.765,99573,267
2017-03-24,9.765,9.805,9.746,9.775,111474,267
2017-03-27,9.765,9.795,9.758,9.775,84609,267
2017-03-28,9.765,9.795,9.765,9.795,72979,267
2017-03-29,9.795,9.815,9.787,9.815,52555,267
2017-03-30,9.825,9.86,9.825,9.86,81971,267
2017-03-31,9.815,9.89,9.815,9.89,96719,267
2017-04-03,9.89,9.89,9.825,9.825,37894,267
2017-04-04,9.815,9.87,9.815,9.86,56972,267
2017-04-05,9.89,9.89,9.775,9.805,72683,267
2017-04-06,9.825,9.86,9.823,9.86,67937,267
2017-04-07,9.851,9.86,9.785,9.825,57126,267
2017-04-10,9.825,9.842,9.805,9.833,85722,267
2017-04-11,9.846,9.846,9.81,9.828,65420,267
2017-04-12,9.828,9.855,9.82,9.82,54068,267
2017-04-13,9.828,9.865,9.82,9.837,73025,267
2017-04-17,9.846,9.865,9.82,9.846,76818,267
2017-04-18,9.828,9.895,9.828,9.895,43709,267
2017-04-19,9.905,9.905,9.837,9.865,75591,267
2017-04-20,9.875,9.885,9.855,9.865,79925,267
2017-04-21,9.865,9.935,9.855,9.935,77340,267
2017-04-24,9.915,9.935,9.865,9.895,97716,267
2017-04-25,9.915,9.935,9.875,9.935,70858,267
2017-04-26,9.925,9.925,9.895,9.915,50518,267
2017-04-27,9.909,9.925,9.895,9.895,65775,267
2017-04-28,9.915,9.92,9.895,9.905,40545,267
2017-05-01,9.935,9.935,9.892,9.905,69659,267
2017-05-02,9.905,9.925,9.905,9.925,52397,267
2017-05-03,9.915,9.935,9.905,9.905,55294,267
2017-05-04,9.925,10.024,9.905,10.024,102651,267
2017-05-05,10.005,10.005,9.914,9.915,110738,267
2017-05-08,10.005,10.005,9.94,9.945,26288,267
2017-05-09,9.985,10.005,9.925,10.005,87996,267
2017-05-10,10.005,10.005,9.955,9.965,59458,267
2017-05-11,9.98,10.039,9.98,9.99,85062,267
2017-05-12,10.019,10.019,9.96,9.99,69510,267
2017-05-15,9.98,10.009,9.98,10.0,34861,267
2017-05-16,9.99,10.0,9.98,9.99,16881,267
2017-05-17,9.98,10.0,9.9,9.92,113366,267
2017-05-18,9.94,9.96,9.92,9.95,36701,267
2017-05-19,9.93,9.97,9.93,9.97,41437,267
2017-05-22,9.98,9.98,9.94,9.96,38164,267
2017-05-23,9.94,9.98,9.93,9.97,52510,267
2017-05-24,9.95,9.975,9.93,9.95,79499,267
2017-05-25,9.96,9.98,9.94,9.94,73566,267
2017-05-26,9.94,9.955,9.93,9.94,53355,267
2017-05-30,9.94,9.96,9.93,9.95,46236,267
2017-05-31,9.95,9.96,9.93,9.96,58209,267
2017-06-01,9.96,9.97,9.92,9.92,57758,267
2017-06-02,9.935,9.94,9.913,9.913,36926,267
