Date,Open,High,Low,Close,Volume,stock_id
2016-05-11,9.2545,9.3879,9.2545,9.2739,994837,3385
2016-05-12,9.349,9.349,9.2643,9.2739,223073,3385
2016-05-13,9.3589,9.3879,9.2643,9.2739,271318,3385
2016-05-16,9.3127,9.3403,9.2739,9.2837,94407,3385
2016-05-17,9.3029,9.3403,9.2739,9.3312,49098,3385
2016-05-18,9.3312,9.3687,9.3234,9.349,79638,3385
2016-05-19,9.349,9.349,9.3029,9.3403,30129,3385
2016-05-20,9.3312,9.3403,9.3029,9.3029,40841,3385
2016-05-23,9.3029,9.4136,9.293,9.4136,179353,3385
2016-05-24,9.3785,9.3879,9.3224,9.3224,103688,3385
2016-05-25,9.3312,9.3687,9.3224,9.349,55355,3385
2016-05-26,9.3312,9.4037,9.3312,9.3958,75540,3385
2016-05-27,9.3765,9.4136,9.349,9.349,48997,3385
2016-05-31,9.3958,9.4136,9.3687,9.3687,58958,3385
2016-06-01,9.3958,9.4136,9.3687,9.3687,39691,3385
2016-06-02,9.3958,9.4391,9.3785,9.4311,50887,3385
2016-06-03,9.4391,9.4391,9.4214,9.4391,24286,3385
2016-06-06,9.4391,9.4391,9.4037,9.4391,27753,3385
2016-06-07,9.4311,9.4391,9.4037,9.4037,15563,3385
2016-06-08,9.3958,9.4391,9.3958,9.4391,54236,3385
2016-06-09,9.4341,9.4341,9.3958,9.3958,53780,3385
2016-06-10,9.3958,9.4311,9.3958,9.4037,18496,3385
2016-06-13,9.4037,9.4205,9.3958,9.3958,7775,3385
2016-06-14,9.3958,9.3958,9.349,9.3589,109816,3385
2016-06-15,9.3589,9.3879,9.3224,9.349,162801,3385
2016-06-16,9.3127,9.3879,9.3029,9.349,56422,3385
2016-06-17,9.3785,9.3785,9.3224,9.3403,50964,3385
2016-06-20,9.3785,9.3879,9.3029,9.3127,43239,3385
2016-06-21,9.3224,9.3451,9.3029,9.3403,100557,3385
2016-06-22,9.3312,9.349,9.3029,9.3224,87260,3385
2016-06-23,9.3403,9.3569,9.3029,9.3127,40616,3385
2016-06-24,9.3127,9.3785,9.2739,9.293,109005,3385
2016-06-27,9.2837,9.3589,9.2739,9.3029,76330,3385
2016-06-28,9.3312,9.3687,9.3029,9.349,124807,3385
2016-06-29,9.3785,9.568,9.3029,9.3958,140883,3385
2016-06-30,9.4311,9.72,9.3687,9.564,278752,3385
2016-07-01,9.702,9.72,9.4291,9.4391,45782,3385
2016-07-05,9.4176,9.4195,9.349,9.3889,32958,3385
2016-07-06,9.3879,9.4311,9.349,9.4261,65361,3385
