Date,Open,High,Low,Close,Volume,stock_id
2016-11-18,25.355,25.355,25.185,25.185,300,1464
2016-11-21,25.345,25.345,25.345,25.345,100,1464
2016-11-22,25.624,25.624,25.505,25.505,388,1464
2016-11-23,25.634,25.634,25.634,25.634,160,1464
2016-11-28,25.774,25.774,25.664,25.664,601,1464
2016-11-29,25.754,25.754,25.639,25.639,504,1464
2016-11-30,25.494,25.494,25.459,25.459,411,1464
2016-12-01,25.255,25.255,25.19,25.19,501,1464
2016-12-02,25.235,25.235,25.205,25.227,621,1464
2016-12-05,25.517,25.614,25.517,25.614,3827,1464
2016-12-07,25.844,25.844,25.844,25.844,100,1464
2016-12-08,26.153,26.553,26.153,26.543,950019,1464
2016-12-09,26.623,26.623,26.562,26.573,7110,1464
2016-12-12,26.583,26.583,26.338,26.338,2234,1464
2016-12-13,26.468,26.493,26.408,26.408,970,1464
2016-12-14,26.107,26.107,26.054,26.054,524,1464
2016-12-15,26.333,26.333,26.333,26.333,628,1464
2016-12-16,26.383,26.513,26.313,26.313,2703,1464
2016-12-19,26.403,26.463,26.263,26.443,1452,1464
2016-12-20,26.613,26.613,26.473,26.563,536,1464
2016-12-21,26.603,26.603,26.523,26.523,511,1464
2016-12-22,26.403,26.403,26.213,26.213,461,1464
2016-12-23,26.25,26.25,26.2499,26.2499,741,1464
2016-12-30,26.1699,26.1699,26.14,26.14,39219,1464
2017-01-03,26.27,26.27,26.09,26.15,1631,1464
2017-01-04,26.422,26.62,26.422,26.5801,573,1464
2017-01-06,26.3579,26.38,26.24,26.24,3531,1464
2017-01-09,26.0104,26.0878,25.9335,25.9478,1948,1464
2017-01-10,26.1395,26.16,26.0692,26.15,7261,1464
2017-01-11,26.1448,26.25,26.09,26.09,3315,1464
2017-01-12,26.059,26.059,25.7899,25.81,1505,1464
2017-01-13,26.2394,26.2394,26.23,26.23,233,1464
2017-01-17,26.25,26.25,25.95,25.9608,4898,1464
2017-01-18,26.17,26.17,25.98,26.07,10479,1464
2017-01-19,25.8199,25.8199,25.746,25.7699,1550,1464
2017-01-23,25.74,25.7899,25.7015,25.7899,736,1464
2017-01-24,26.2062,26.2096,26.2062,26.2096,280,1464
2017-01-25,26.4043,26.4715,26.3911,26.46,1190,1464
2017-01-26,26.43,26.4353,26.268,26.29,3748,1464
2017-01-27,26.3,26.3,26.15,26.17,673,1464
2017-01-30,25.8,25.8,25.7214,25.76,1778,1464
2017-01-31,25.77,25.77,25.77,25.77,100,1464
2017-02-01,26.1199,26.1199,26.1199,26.1199,102,1464
2017-02-02,25.93,25.9599,25.93,25.9599,1704,1464
2017-02-07,26.16,26.16,26.0161,26.0161,532,1464
2017-02-08,25.92,25.92,25.92,25.92,100,1464
2017-02-10,26.54,26.54,26.54,26.54,358,1464
2017-02-17,26.52,26.5699,26.5199,26.5699,910,1464
2017-02-21,26.7236,26.7236,26.7236,26.7236,220,1464
2017-02-22,26.93,26.93,26.93,26.93,366,1464
2017-02-24,26.5264,26.6,26.52,26.5575,18076,1464
2017-02-27,26.76,26.78,26.68,26.777,8443,1464
2017-02-28,26.65,26.67,26.49,26.49,2361,1464
2017-03-01,26.9,26.9395,26.88,26.92,612,1464
2017-03-02,26.8512,26.89,26.85,26.85,3442,1464
2017-03-03,26.5799,26.66,26.5799,26.66,621,1464
2017-03-06,26.5,26.5175,26.42,26.51,3642,1464
2017-03-07,26.47,26.47,26.33,26.33,3522,1464
2017-03-08,26.35,26.35,26.19,26.19,9321,1464
2017-03-09,26.1347,26.22,26.06,26.07,2445,1464
2017-03-10,26.19,26.19,26.08,26.08,695,1464
2017-03-13,26.21,26.28,26.1915,26.28,3507,1464
2017-03-14,26.06,26.18,26.06,26.18,3942,1464
2017-03-15,26.41,26.64,26.3836,26.64,4684,1464
2017-03-16,26.66,26.68,26.5978,26.67,1141,1464
2017-03-17,26.67,26.67,26.67,26.67,165,1464
2017-03-20,26.737,26.74,26.63,26.6533,30170,1464
2017-03-21,26.75,26.75,26.2168,26.23,12869,1464
2017-03-22,26.09,26.18,25.98,25.98,2559,1464
2017-03-23,26.2736,26.38,26.2736,26.38,371,1464
2017-03-27,26.26,26.26,25.98,25.9906,8009,1464
2017-03-28,26.3348,26.3536,26.3348,26.3536,1127,1464
2017-03-29,26.6,26.6,26.6,26.6,243,1464
2017-03-30,26.6399,26.7,26.6078,26.6799,4248,1464
2017-03-31,26.7,26.85,26.66,26.76,1487,1464
2017-04-03,26.56,26.56,26.48,26.48,17781,1464
2017-04-04,26.46,26.47,26.37,26.37,731,1464
2017-04-05,26.51,26.51,26.4941,26.4941,3226,1464
2017-04-06,26.32,26.41,26.2048,26.41,7624,1464
2017-04-07,26.42,26.42,26.4,26.4,240,1464
2017-04-10,26.473,26.52,26.44,26.493,9493,1464
2017-04-11,26.5699,26.59,26.539,26.59,1677,1464
2017-04-12,26.56,26.57,26.42,26.42,8136,1464
2017-04-13,26.3,26.38,26.13,26.13,13160,1464
2017-04-17,26.24,26.26,26.18,26.25,4417,1464
2017-04-18,26.44,26.44,26.27,26.39,14751,1464
2017-04-19,26.55,26.66,26.49,26.49,4131,1464
2017-04-20,26.81,26.824,26.77,26.77,1337,1464
2017-04-21,26.7498,26.84,26.7498,26.84,483,1464
2017-04-24,27.0792,27.0792,27.0792,27.0792,290,1464
2017-04-25,27.34,27.4,27.34,27.34,1819,1464
2017-04-26,27.41,27.58,27.3,27.5599,2455,1464
2017-04-27,27.59,27.59,27.44,27.48,84696,1464
2017-04-28,27.44,27.44,27.21,27.24,25729,1464
2017-05-01,27.13,27.2647,27.13,27.2647,1152,1464
2017-05-02,27.25,27.25,27.17,27.18,4830,1464
2017-05-03,27.07,27.07,26.8798,26.9999,4642,1464
2017-05-04,26.99,26.99,26.8399,26.9,4341,1464
2017-05-05,27.13,27.13,26.8931,26.8931,6635,1464
2017-05-08,27.12,27.12,26.95,26.9984,1827,1464
2017-05-09,26.81,27.0629,26.81,26.95,6280,1464
2017-05-10,27.1,27.18,27.01,27.18,5653,1464
2017-05-11,27.06,27.07,26.79,27.01,7114,1464
2017-05-12,26.88,26.94,26.83,26.83,1553,1464
2017-05-15,27.12,27.12,27.0399,27.0399,895,1464
2017-05-16,27.2,27.2,26.899,26.9499,2926,1464
2017-05-17,26.53,26.53,26.53,26.53,273,1464
2017-05-18,26.48,26.48,26.37,26.41,6958,1464
2017-05-19,26.495,26.63,26.495,26.58,4464,1464
2017-05-22,26.74,26.74,26.6545,26.71,646,1464
2017-05-23,26.73,26.87,26.7,26.81,5120,1464
2017-05-24,26.85,26.86,26.75,26.83,5364,1464
2017-05-25,26.87,27.01,26.73,26.84,112482,1464
2017-05-26,26.82,26.899,26.77,26.84,14439,1464
2017-05-30,26.94,26.94,26.7922,26.7922,384,1464
2017-05-31,26.71,26.73,26.6975,26.73,926,1464
2017-06-01,26.71,27.1245,26.71,27.0926,3539,1464
2017-06-02,27.49,27.638,27.485,27.49,9446,1464
2017-06-05,27.4,27.41,27.26,27.31,6050,1464
2017-06-06,27.1648,27.1648,27.11,27.16,679,1464
2017-06-07,27.24,27.24,27.17,27.2,1575,1464
2017-06-08,27.16,27.5,27.16,27.48,6511,1464
2017-06-09,27.68,27.68,27.66,27.66,204,1464
2017-06-12,27.51,27.54,27.51,27.54,1363,1464
2017-06-13,27.62,27.62,27.5599,27.5684,1541,1464
2017-06-14,27.5564,27.5564,27.41,27.41,8028,1464
2017-06-15,27.232,27.36,27.223,27.33,2609,1464
2017-06-16,27.19,27.2,27.135,27.18,2292,1464
2017-06-19,27.47,27.47,27.34,27.38,2179,1464
2017-06-20,27.28,27.28,27.09,27.13,11388,1464
2017-06-21,27.13,27.24,26.99,27.03,11689,1464
2017-06-22,26.99,27.0989,26.99,27.08,2873,1464
2017-06-23,27.21,27.24,27.1872,27.206,33901,1464
2017-06-26,27.3,27.3,27.16,27.26,1959,1464
2017-06-27,27.2,27.28,27.05,27.05,5123,1464
2017-06-28,27.18,27.43,27.18,27.37,6103,1464
2017-06-29,27.31,27.31,26.95,27.1594,6515,1464
2017-06-30,27.26,27.3,27.19,27.29,7478,1464
2017-07-03,27.34,27.38,27.29,27.29,5085,1464
2017-07-05,27.115,27.15,27.1,27.1,789,1464
2017-07-06,26.94,26.94,26.94,26.94,275,1464
2017-07-07,26.93,26.93,26.93,26.93,977,1464
2017-07-10,27.0018,27.01,26.972,26.972,685,1464
2017-07-11,26.975,26.9865,26.975,26.9865,2001,1464
2017-07-12,27.23,27.24,27.21,27.2272,8069,1464
2017-07-13,27.06,27.22,27.06,27.22,29665,1464
2017-07-14,27.25,27.3175,27.25,27.3175,5120,1464
2017-07-17,27.38,27.44,27.38,27.4125,4561,1464
2017-07-18,27.31,27.36,27.25,27.35,11357,1464
2017-07-19,27.57,27.64,27.57,27.605,3610,1464
