Date,Open,High,Low,Close,Volume,stock_id
2006-11-15,15.488,15.488,15.488,15.488,0,4679
2006-11-16,19.131,19.589,18.677,18.902,24531826,4679
2006-11-17,18.902,20.179,18.859,19.997,5788734,4679
2006-11-20,20.134,20.79,20.106,20.379,2296813,4679
2006-11-21,20.562,20.68,19.589,19.871,1423748,4679
2006-11-22,19.707,19.897,19.087,19.406,1653157,4679
2006-11-24,19.268,20.162,19.186,20.044,738383,4679
2006-11-27,20.071,20.499,19.707,19.997,1940081,4679
2006-11-28,20.016,20.089,19.506,19.997,821691,4679
2006-11-29,20.179,20.179,19.77,20.124,1136277,4679
2006-11-30,20.061,20.27,19.915,20.17,503489,4679
2006-12-01,20.179,20.243,19.943,20.08,615778,4679
2006-12-04,20.053,20.089,19.851,19.981,522477,4679
2006-12-05,19.861,19.889,19.532,19.632,741349,4679
2006-12-06,19.515,19.761,19.14,19.689,435982,4679
2006-12-07,19.725,20.044,19.679,19.906,221504,4679
2006-12-08,19.833,20.17,19.77,20.044,981401,4679
2006-12-11,20.034,20.47,19.814,20.426,488996,4679
2006-12-12,20.48,21.117,20.27,21.046,725763,4679
2006-12-13,21.082,21.646,20.589,20.68,973827,4679
2006-12-14,20.827,20.954,20.508,20.855,572857,4679
2006-12-15,20.724,21.774,20.589,21.593,1009721,4679
2006-12-18,21.363,21.822,21.136,21.745,817963,4679
2006-12-19,21.745,23.232,20.936,22.694,1205319,4679
2006-12-20,23.05,24.782,22.913,23.67,1664351,4679
2006-12-21,23.896,24.095,23.367,23.689,559249,4679
2006-12-22,23.696,24.598,23.551,24.598,537737,4679
2006-12-26,24.598,25.171,24.399,24.406,487793,4679
2006-12-27,24.052,24.608,23.787,24.608,246969,4679
2006-12-28,24.38,24.45,24.279,24.327,99777,4679
2006-12-29,24.007,24.269,23.325,23.833,404150,4679
2007-01-03,23.689,23.689,21.692,22.732,1186551,4679
2007-01-04,22.322,22.786,22.148,22.467,508319,4679
2007-01-05,22.376,22.41,21.783,22.175,307998,4679
2007-01-08,22.175,22.313,22.056,22.256,818183,4679
2007-01-09,22.229,22.322,22.093,22.256,231162,4679
2007-01-10,22.229,22.704,22.093,22.457,300530,4679
2007-01-11,22.593,23.06,22.457,22.813,681087,4679
2007-01-12,22.894,23.778,22.593,22.667,335221,4679
2007-01-16,23.097,23.097,21.519,21.664,873503,4679
2007-01-17,21.692,21.822,21.108,21.427,1156255,4679
2007-01-18,21.519,22.066,21.318,21.783,596897,4679
2007-01-19,21.593,22.138,21.41,22.02,336757,4679
2007-01-22,22.229,22.514,21.866,21.937,993256,4679
2007-01-23,21.574,23.212,21.473,23.068,916308,4679
2007-01-24,22.84,22.84,22.43,22.475,1029585,4679
2007-01-25,22.138,22.229,21.181,21.181,1409263,4679
2007-01-26,21.875,22.075,20.846,21.363,2227111,4679
2007-01-29,20.964,21.646,20.964,21.036,416886,4679
2007-01-30,21.501,21.829,21.256,21.437,1045395,4679
2007-01-31,21.437,21.483,21.046,21.345,556396,4679
2007-02-01,21.246,21.812,21.181,21.683,1177657,4679
2007-02-02,21.683,22.011,21.473,21.822,829598,4679
2007-02-05,21.846,21.846,21.238,21.382,520721,4679
2007-02-06,21.292,21.574,21.046,21.108,648377,4679
2007-02-07,21.018,21.09,20.771,20.936,293839,4679
2007-02-08,20.954,21.208,20.189,20.261,377261,4679
2007-02-09,20.436,20.436,19.861,20.226,1182487,4679
2007-02-12,19.953,20.954,19.733,20.734,841976,4679
2007-02-13,20.673,21.745,20.673,21.427,1498248,4679
2007-02-14,21.363,21.427,21.018,21.328,1059028,4679
2007-02-15,20.998,21.164,20.964,21.046,941445,4679
2007-02-16,20.989,21.028,20.68,20.846,421823,4679
2007-02-20,20.663,20.781,20.47,20.781,231492,4679
2007-02-21,20.771,21.056,19.987,20.808,1520778,4679
2007-02-22,20.724,21.09,20.645,20.771,702929,4679
2007-02-23,20.68,20.862,20.319,20.543,565173,4679
2007-02-26,20.543,22.002,20.319,21.974,970448,4679
2007-02-27,21.638,21.683,20.27,20.452,1283144,4679
2007-02-28,20.408,21.136,20.179,20.68,704575,4679
2007-03-01,20.581,20.954,19.871,20.645,906203,4679
2007-03-02,20.645,20.818,19.833,19.841,825203,4679
2007-03-05,19.359,20.335,19.359,20.28,789312,4679
2007-03-06,20.508,21.046,20.442,20.998,865598,4679
2007-03-07,20.862,21.61,20.734,21.228,2035576,4679
2007-03-08,21.455,21.866,21.455,21.683,5030050,4679
2007-03-09,21.866,21.884,21.145,21.218,4741917,4679
2007-03-12,21.228,21.238,19.88,20.508,4643238,4679
2007-03-13,20.226,20.645,19.963,20.006,1838220,4679
2007-03-14,20.499,20.499,19.559,19.725,1318045,4679
2007-03-15,19.997,19.997,19.559,19.569,1085676,4679
2007-03-16,19.506,19.699,19.105,19.287,892163,4679
2007-03-19,19.268,19.751,19.268,19.632,2185733,4679
2007-03-20,19.131,19.542,18.222,18.495,7210399,4679
2007-03-21,18.45,18.767,18.138,18.222,6484092,4679
2007-03-22,18.212,18.703,17.911,18.441,6653569,4679
2007-03-23,18.658,18.814,18.45,18.54,4934444,4679
2007-03-26,18.631,18.867,18.23,18.53,4501423,4679
2007-03-27,18.403,18.495,18.129,18.267,11679114,4679
2007-03-28,18.276,18.503,18.222,18.45,8324615,4679
2007-03-29,18.432,19.087,18.403,18.877,15537211,4679
2007-03-30,19.131,19.131,18.468,18.54,6946308,4679
2007-04-02,18.585,18.859,18.459,18.849,13593289,4679
2007-04-03,19.224,19.268,18.767,18.849,39963911,4679
2007-04-04,18.894,18.902,18.339,18.731,11650212,4679
2007-04-05,18.741,18.94,18.54,18.713,5494415,4679
2007-04-09,18.859,18.894,18.403,18.722,4572656,4679
2007-04-10,18.796,19.441,18.759,19.406,6719537,4679
2007-04-11,19.496,20.08,19.406,20.08,7099068,4679
2007-04-12,19.934,20.034,19.733,19.934,3807492,4679
2007-04-13,19.934,20.207,19.823,20.006,6160618,4679
2007-04-16,20.006,20.27,19.788,19.953,9644640,4679
2007-04-17,19.761,20.335,19.416,19.515,7129173,4679
2007-04-18,19.324,19.487,19.131,19.333,3875173,4679
2007-04-19,19.112,19.788,19.013,19.342,5086810,4679
2007-04-20,19.579,19.589,19.177,19.525,3561759,4679
2007-04-23,19.632,19.751,19.224,19.277,2163778,4679
2007-04-24,19.342,19.378,18.403,18.796,3152222,4679
2007-04-25,19.814,20.044,18.751,18.978,3785214,4679
2007-04-26,19.013,19.14,18.594,19.087,3293801,4679
2007-04-27,18.95,19.468,18.859,19.195,2038759,4679
2007-04-30,19.406,19.478,18.722,18.821,4311641,4679
2007-05-01,18.821,19.078,18.631,19.004,2499986,4679
2007-05-02,19.041,19.715,18.894,19.525,2723740,4679
2007-05-03,19.67,20.417,19.342,20.299,6884511,4679
2007-05-04,19.997,21.391,19.814,19.88,7383443,4679
2007-05-07,19.981,19.981,19.496,19.906,1588676,4679
2007-05-08,19.814,20.408,19.589,20.379,3424309,4679
2007-05-09,20.452,21.765,20.344,21.683,5920124,4679
2007-05-10,21.692,22.467,21.483,22.348,6042059,4679
2007-05-11,22.448,22.638,21.638,22.011,3463678,4679
2007-05-14,21.983,22.029,21.437,21.584,2190010,4679
2007-05-15,21.683,22.976,21.683,22.786,3879611,4679
2007-05-16,22.867,23.203,22.804,22.966,3154291,4679
2007-05-17,23.003,23.642,22.722,23.603,2824885,4679
2007-05-18,23.603,24.598,23.594,24.399,3617818,4679
2007-05-21,24.37,24.79,24.142,24.746,3006328,4679
2007-05-22,24.79,25.7,24.764,25.51,4156107,4679
2007-05-23,25.51,25.883,24.608,24.67,5456808,4679
2007-05-24,24.782,24.782,23.696,23.85,3638676,4679
2007-05-25,23.887,24.052,23.496,23.568,2550476,4679
2007-05-29,23.689,24.772,23.642,24.269,2933227,4679
2007-05-30,24.105,24.973,24.007,24.973,1243626,4679
2007-05-31,25.108,25.563,24.65,25.08,1501683,4679
2007-06-01,25.501,25.555,24.918,25.052,1387417,4679
2007-06-04,25.282,25.801,25.227,25.782,1559308,4679
2007-06-05,25.656,25.782,25.237,25.353,1362719,4679
2007-06-06,25.491,25.491,24.527,24.826,1568419,4679
2007-06-07,25.145,25.155,23.542,23.586,2294067,4679
2007-06-08,23.689,24.46,23.478,24.424,1839315,4679
2007-06-11,24.253,24.588,23.878,24.58,1362689,4679
2007-06-12,24.527,24.755,23.85,23.887,1419467,4679
2007-06-13,24.37,25.017,24.362,24.709,1896202,4679
2007-06-14,24.826,25.591,24.826,25.51,1686258,4679
2007-06-15,25.527,25.829,24.964,25.08,1516720,4679
2007-06-18,25.227,25.674,25.045,25.563,1674297,4679
2007-06-19,25.465,26.713,25.291,26.346,2359960,4679
2007-06-20,26.628,26.731,25.136,25.227,2094407,4679
2007-06-21,25.282,25.491,24.598,25.237,1454594,4679
2007-06-22,25.127,25.619,24.689,25.563,1628021,4679
2007-06-25,25.491,25.501,24.334,24.488,1220160,4679
2007-06-26,24.546,24.764,23.742,23.878,1561174,4679
2007-06-27,23.689,24.279,23.06,24.052,1988924,4679
2007-06-28,24.87,25.052,23.896,23.923,1562491,4679
2007-06-29,23.97,24.546,23.632,23.896,2012490,4679
2007-07-02,24.207,24.478,23.97,24.362,1399163,4679
2007-07-03,24.517,24.598,24.17,24.317,657488,4679
2007-07-05,24.415,24.833,24.39,24.689,1571092,4679
2007-07-06,24.736,25.328,24.498,25.145,830144,4679
2007-07-09,26.685,29.071,26.402,28.452,5395559,4679
2007-07-10,28.833,28.852,27.797,28.18,2401933,4679
2007-07-11,28.262,28.661,28.188,28.561,1530990,4679
2007-07-12,29.338,32.287,29.272,32.142,6560348,4679
2007-07-13,32.223,33.116,31.506,31.612,4816117,4679
2007-07-16,31.45,32.469,31.212,31.258,2076081,4679
2007-07-17,31.542,31.704,31.022,31.393,1095223,4679
2007-07-18,31.075,31.479,30.474,30.984,1877625,4679
2007-07-19,31.331,31.714,30.465,30.482,1310473,4679
2007-07-20,30.43,30.509,29.365,30.119,2005253,4679
2007-07-23,30.293,31.421,30.154,30.71,1022342,4679
2007-07-24,30.691,30.691,29.163,29.365,1504101,4679
2007-07-25,29.52,29.918,27.84,28.515,2425240,4679
2007-07-26,27.878,28.435,26.512,27.085,3589494,4679
2007-07-27,26.667,27.77,26.057,26.355,3292154,4679
2007-07-30,26.694,28.79,26.694,28.599,4832692,4679
2007-07-31,29.836,30.787,28.917,29.236,4235982,4679
2007-08-01,29.38,29.608,28.061,28.781,3673911,4679
2007-08-02,30.519,30.519,29.244,29.855,3925416,4679
2007-08-03,31.296,31.296,29.064,29.088,2980312,4679
2007-08-06,29.088,29.7,28.379,29.599,3588942,4679
2007-08-07,29.444,31.842,28.943,31.048,3415584,4679
2007-08-08,31.075,33.226,30.221,31.557,4010011,4679
2007-08-09,30.975,31.704,28.699,29.154,2792242,4679
2007-08-10,27.848,28.852,26.758,28.452,3683669,4679
2007-08-13,29.098,29.547,28.733,28.934,1513975,4679
2007-08-14,29.154,29.355,27.805,28.061,1808017,4679
2007-08-15,28.061,28.715,26.985,27.168,1601930,4679
2007-08-16,26.767,27.239,24.269,27.04,5597684,4679
2007-08-17,28.043,28.561,25.875,27.23,2398902,4679
2007-08-20,27.286,27.541,26.212,26.932,1617265,4679
2007-08-21,26.647,29.252,26.61,28.761,2188696,4679
2007-08-22,29.136,29.481,28.443,29.189,1145059,4679
2007-08-23,29.328,29.974,28.589,29.745,2208342,4679
2007-08-24,29.654,30.795,29.5,30.758,1316621,4679
2007-08-27,30.538,31.421,30.11,30.673,1280230,4679
2007-08-28,30.248,30.5,29.198,29.372,1165475,4679
2007-08-29,29.252,30.393,29.252,29.836,1162952,4679
2007-08-30,29.471,30.066,29.064,29.3,1078102,4679
2007-08-31,29.328,30.135,29.328,29.918,1063285,4679
2007-09-04,29.964,31.085,29.964,30.656,1290827,4679
2007-09-05,30.402,30.847,30.09,30.719,1175679,4679
2007-09-06,30.795,31.331,30.621,31.221,1168108,4679
2007-09-07,30.884,31.65,30.614,31.148,1724609,4679
2007-09-10,31.479,31.842,30.43,31.113,1431871,4679
2007-09-11,31.375,31.885,31.203,31.688,1232541,4679
2007-09-12,31.66,33.42,31.65,32.736,2206588,4679
2007-09-13,33.801,34.174,33.38,34.002,2344230,4679
2007-09-14,33.754,34.118,33.254,33.871,1820875,4679
2007-09-17,33.718,33.88,32.563,32.745,2112848,4679
2007-09-18,33.035,34.099,32.763,33.992,1764128,4679
2007-09-19,34.574,35.395,33.992,34.839,1989585,4679
2007-09-20,34.755,35.032,34.256,34.3,1184028,4679
2007-09-21,34.658,35.522,34.545,35.476,1550197,4679
2007-09-24,35.639,35.914,35.195,35.44,1965874,4679
2007-09-25,35.138,35.413,34.2,35.04,1632961,4679
2007-09-26,35.292,35.839,35.002,35.431,1032661,4679
2007-09-27,35.422,36.789,35.367,36.376,1724393,4679
2007-09-28,36.479,36.624,35.195,35.319,1314753,4679
2007-10-01,35.431,36.851,35.195,35.648,1714954,4679
2007-10-02,36.606,36.825,35.804,36.116,1350100,4679
2007-10-03,36.06,36.524,35.985,36.332,1466448,4679
2007-10-04,36.442,36.461,35.985,36.279,1385113,4679
2007-10-05,36.442,37.508,36.442,37.28,1660181,4679
2007-10-08,37.271,39.632,37.08,37.644,1917359,4679
2007-10-09,37.916,38.073,37.206,37.717,1879928,4679
2007-10-10,38.356,39.345,38.264,39.174,2252577,4679
2007-10-11,39.603,41.214,38.783,39.402,2504923,4679
2007-10-12,39.512,40.498,38.719,40.093,1130180,4679
2007-10-15,40.139,40.87,39.121,39.747,1324305,4679
2007-10-16,39.529,39.632,38.082,38.419,2063673,4679
2007-10-17,39.23,39.402,37.916,38.566,997643,4679
2007-10-18,38.791,38.828,37.025,37.599,1344059,4679
2007-10-19,37.461,37.571,36.186,36.67,1621544,4679
2007-10-22,36.031,37.28,35.347,35.959,1408488,4679
2007-10-23,36.442,36.816,36.003,36.652,755834,4679
2007-10-24,36.451,37.561,35.55,36.895,1361736,4679
