Date,Open,High,Low,Close,Volume,stock_id
2006-09-20,15.003,15.003,15.003,15.003,0,3398
2006-09-21,14.967,14.975,14.403,14.403,4401584,3398
2006-09-22,14.403,14.524,14.403,14.403,499525,3398
2006-09-25,14.403,14.494,14.403,14.435,364399,3398
2006-09-26,14.403,14.435,14.105,14.17,643983,3398
2006-09-27,14.105,14.11,13.805,14.105,770616,3398
2006-09-28,14.074,14.254,13.534,13.854,378893,3398
2006-09-29,13.805,13.805,13.384,13.744,491027,3398
2006-10-02,13.805,13.805,13.336,13.384,306583,3398
2006-10-03,13.384,13.384,13.08,13.234,579668,3398
2006-10-04,13.096,13.421,12.94,13.205,374559,3398
2006-10-05,13.294,13.552,13.257,13.421,354231,3398
2006-10-06,13.449,13.564,13.413,13.539,127128,3398
2006-10-09,13.564,13.725,13.564,13.564,93972,3398
2006-10-10,13.635,13.648,13.51,13.582,106305,3398
2006-10-11,13.624,13.648,13.444,13.503,110468,3398
2006-10-12,13.564,13.738,13.539,13.715,142123,3398
2006-10-13,13.738,13.805,13.564,13.798,116968,3398
2006-10-16,13.84,13.84,13.653,13.827,62150,3398
2006-10-17,13.854,13.854,13.629,13.667,124297,3398
2006-10-18,13.564,13.798,13.545,13.66,96304,3398
2006-10-19,13.779,13.798,13.653,13.763,63480,3398
2006-10-20,13.798,13.798,13.534,13.588,96304,3398
2006-10-23,13.564,13.57,13.456,13.564,172453,3398
2006-10-24,13.57,13.643,13.413,13.421,194610,3398
2006-10-25,13.473,13.559,13.353,13.559,123297,3398
2006-10-26,13.593,13.779,13.564,13.744,144459,3398
2006-10-27,13.715,13.786,13.66,13.696,103635,3398
2006-10-30,13.593,13.756,13.564,13.678,120463,3398
2006-10-31,13.564,13.738,13.51,13.624,149457,3398
2006-11-01,13.715,13.744,13.444,13.545,158123,3398
2006-11-02,13.425,13.779,13.294,13.653,266757,3398
2006-11-03,13.653,13.653,13.449,13.539,46820,3398
2006-11-06,13.503,13.696,13.503,13.564,70145,3398
2006-11-07,13.51,13.57,13.312,13.388,146123,3398
2006-11-08,13.353,13.643,13.353,13.425,332075,3398
2006-11-09,13.413,13.612,13.353,13.564,145792,3398
2006-11-10,13.564,13.564,13.449,13.493,79643,3398
2006-11-13,13.431,13.444,13.143,13.21,219772,3398
2006-11-14,13.096,13.205,13.096,13.164,272759,3398
2006-11-15,13.101,13.47,13.053,13.353,199443,3398
2006-11-16,13.353,13.353,13.116,13.257,294748,3398
2006-11-17,13.168,13.353,13.164,13.317,190442,3398
2006-11-20,13.247,13.353,13.205,13.264,240099,3398
2006-11-21,13.185,13.342,13.053,13.157,347398,3398
2006-11-22,13.082,13.336,13.053,13.191,210106,3398
2006-11-24,13.121,13.276,13.121,13.215,87643,3398
2006-11-27,13.157,13.253,13.053,13.116,326741,3398
2006-11-28,13.082,13.198,13.053,13.131,334240,3398
2006-11-29,13.143,13.439,13.082,13.294,461371,3398
2006-11-30,13.276,13.421,13.205,13.396,157953,3398
2006-12-01,13.384,13.503,13.353,13.473,308912,3398
2006-12-04,13.47,13.635,13.234,13.456,260260,3398
2006-12-05,13.449,13.521,13.384,13.479,413547,3398
2006-12-06,13.6,13.619,13.421,13.444,210106,3398
2006-12-07,13.444,13.619,13.444,13.498,272924,3398
2006-12-08,13.444,13.624,13.403,13.479,309913,3398
2006-12-11,13.479,13.479,13.384,13.413,249761,3398
2006-12-12,13.444,13.559,13.359,13.503,334570,3398
2006-12-13,13.421,13.552,13.421,13.493,387389,3398
2006-12-14,13.449,13.57,13.413,13.47,288085,3398
2006-12-15,13.493,13.516,13.388,13.498,218271,3398
2006-12-18,13.486,13.648,13.403,13.51,307585,3398
2006-12-19,13.486,13.529,13.431,13.529,187279,3398
2006-12-20,13.521,13.725,13.486,13.498,312743,3398
2006-12-21,13.498,13.564,13.408,13.493,344402,3398
2006-12-22,13.51,13.534,13.413,13.529,193944,3398
2006-12-26,13.545,13.559,13.378,13.444,252093,3398
2006-12-27,13.384,13.564,13.373,13.516,365563,3398
2006-12-28,13.635,14.105,13.635,13.863,512854,3398
2006-12-29,13.894,14.368,13.827,14.368,466034,3398
2007-01-03,14.368,14.601,14.244,14.478,286755,3398
2007-01-04,14.445,14.597,14.445,14.584,151123,3398
