Date,Open,High,Low,Close,Volume,stock_id
2005-02-25,13.905,14.143,13.905,14.064,412179,6339
2005-02-28,14.133,14.133,13.885,13.885,445855,6339
2005-03-01,13.935,14.272,13.895,14.252,565032,6339
2005-03-02,13.955,14.034,13.915,14.034,699132,6339
2005-03-03,13.984,14.014,13.925,13.955,618874,6339
2005-03-04,13.974,14.242,13.935,14.034,632283,6339
2005-03-07,13.885,14.084,13.865,13.994,725750,6339
2005-03-08,13.935,13.984,13.895,13.955,533574,6339
2005-03-09,14.976,14.976,14.55,14.758,1186830,6339
2005-03-10,14.381,14.46,14.292,14.361,576728,6339
2005-03-11,14.728,14.857,14.57,14.669,560596,6339
2005-03-14,14.53,14.609,14.49,14.53,408146,6339
2005-03-15,14.451,14.451,14.103,14.113,518753,6339
2005-03-16,14.054,14.064,13.796,13.905,402903,6339
2005-03-17,13.846,14.222,13.836,14.183,420749,6339
2005-03-18,14.084,14.312,14.084,14.183,595784,6339
2005-03-21,14.153,14.163,13.994,14.084,341701,6339
2005-03-22,14.123,14.183,13.836,13.846,277475,6339
2005-03-23,13.677,13.677,13.399,13.449,578240,6339
2005-03-24,13.389,13.419,13.28,13.369,779490,6339
2005-03-28,13.379,13.469,13.34,13.419,365093,6339
2005-03-29,13.181,13.241,13.012,13.052,732404,6339
2005-03-30,13.052,13.171,13.042,13.151,555756,6339
2005-03-31,13.161,13.35,13.151,13.33,449082,6339
2005-04-01,13.439,13.627,13.28,13.35,528230,6339
2005-04-04,13.786,13.826,13.439,13.806,1024801,6339
2005-04-05,13.736,13.806,13.617,13.707,450292,6339
2005-04-06,13.855,13.965,13.776,13.885,567049,6339
2005-04-07,13.836,13.846,13.746,13.796,595482,6339
2005-04-08,13.727,13.865,13.697,13.736,453820,6339
2005-04-11,13.905,14.123,13.846,14.034,298346,6339
2005-04-12,14.014,14.173,13.846,14.064,280197,6339
2005-04-13,14.282,14.292,14.103,14.103,401794,6339
2005-04-14,13.984,14.014,13.786,13.786,287154,6339
2005-04-15,13.736,13.756,13.489,13.489,439604,6339
2005-04-18,13.528,13.965,13.528,13.727,566040,6339
2005-04-19,13.727,14.014,13.717,13.895,510485,6339
2005-04-20,13.974,13.974,13.647,13.667,625125,6339
2005-04-21,13.935,14.113,13.865,14.024,389291,6339
2005-04-22,14.064,14.292,14.064,14.163,283020,6339
2005-04-25,14.599,14.728,14.56,14.649,656381,6339
2005-04-26,14.986,14.986,14.659,14.679,652046,6339
2005-04-27,14.619,14.619,14.252,14.371,597398,6339
2005-04-28,14.5,14.55,14.282,14.302,557168,6339
