Date,Open,High,Low,Close,Volume,stock_id
2012-12-13,21.971,21.971,21.69,21.706,133716,3686
2012-12-14,21.751,21.751,21.628,21.706,64982,3686
2012-12-17,21.715,21.715,21.645,21.671,32367,3686
2012-12-18,21.751,21.751,21.663,21.733,504082,3686
2012-12-19,21.751,21.751,21.671,21.706,35279,3686
2012-12-20,21.751,21.794,21.671,21.671,43890,3686
2012-12-21,21.706,21.706,21.671,21.69,97536,3686
2012-12-24,21.706,21.725,21.671,21.706,21681,3686
2012-12-26,21.751,21.751,21.68,21.68,71389,3686
2012-12-27,21.706,21.741,21.663,21.741,47417,3686
2012-12-28,21.706,21.751,21.663,21.741,65059,3686
2012-12-31,21.741,21.812,21.706,21.812,31439,3686
2013-01-02,21.812,21.961,21.812,21.926,62534,3686
2013-01-03,21.926,22.075,21.909,21.952,97437,3686
2013-01-04,21.988,22.049,21.926,22.049,87392,3686
2013-01-07,22.084,22.093,22.013,22.041,110923,3686
2013-01-08,22.056,22.065,21.979,22.056,60233,3686
2013-01-09,22.056,22.127,22.032,22.119,131233,3686
2013-01-10,22.119,22.224,22.093,22.224,39162,3686
2013-01-11,22.216,22.312,22.188,22.295,58400,3686
2013-01-14,22.268,22.268,22.172,22.206,49415,3686
2013-01-15,22.224,22.224,22.084,22.127,57858,3686
2013-01-16,22.111,22.216,22.056,22.216,101908,3686
2013-01-17,22.188,22.188,22.103,22.136,201458,3686
2013-01-18,22.163,22.172,22.041,22.172,129000,3686
2013-01-22,22.065,22.136,22.013,22.056,35817,3686
2013-01-23,22.013,22.103,21.952,21.971,35348,3686
2013-01-24,21.995,22.023,21.918,21.918,37941,3686
2013-01-25,21.971,21.988,21.882,21.926,91218,3686
2013-01-28,21.971,21.979,21.838,21.918,44548,3686
2013-01-29,21.882,21.9,21.794,21.882,47518,3686
2013-01-30,21.918,21.918,21.812,21.838,21229,3686
2013-01-31,21.82,21.926,21.803,21.803,39176,3686
2013-02-01,21.882,21.971,21.83,21.961,33715,3686
2013-02-04,21.979,21.979,21.857,21.891,30681,3686
2013-02-05,21.926,22.075,21.872,22.013,74020,3686
2013-02-06,22.013,22.013,21.82,21.882,82949,3686
2013-02-07,21.918,21.979,21.882,21.961,59072,3686
2013-02-08,22.004,22.004,21.943,21.995,41044,3686
2013-02-11,21.995,22.056,21.926,21.926,64248,3686
