Date,Open,High,Low,Close,Volume,stock_id
2015-11-05,8.0,8.25,7.5,7.84,789300,7112
2015-11-06,7.8,8.3,7.8,8.07,69200,7112
2015-11-09,8.23,8.99,8.2,8.7,81655,7112
2015-11-10,8.71,9.06,8.06,8.35,35100,7112
2015-11-11,8.2,8.65,8.15,8.65,33900,7112
2015-11-12,8.54,8.79,8.26,8.69,19200,7112
2015-11-13,8.79,8.79,8.25,8.33,29300,7112
2015-11-16,8.4,8.45,8.1,8.16,32100,7112
2015-11-17,8.35,8.35,7.33,7.56,65400,7112
2015-11-18,7.6,8.35,7.6,7.75,20000,7112
2015-11-19,7.47,7.85,7.47,7.83,9900,7112
2015-11-20,7.72,8.25,7.4,8.25,11200,7112
2015-11-23,7.98,8.2,7.65,8.1,37500,7112
2015-11-24,8.0,8.01,7.96,8.0,14000,7112
2015-11-25,8.0,8.0,7.81,8.0,27000,7112
2015-11-27,7.96,8.05,7.96,8.0,4300,7112
2015-11-30,7.99,7.99,7.5,7.77,3900,7112
2015-12-01,7.5001,8.0,7.5001,8.0,36021,7112
2015-12-02,7.9,7.98,7.8406,7.98,2459,7112
2015-12-03,7.75,7.98,7.71,7.9799,7378,7112
2015-12-04,7.95,8.0,7.5,7.77,21600,7112
2015-12-07,7.98,7.98,6.72,7.36,40000,7112
2015-12-08,7.2511,7.665,7.1501,7.3,27467,7112
2015-12-09,7.47,7.95,7.05,7.95,15100,7112
2015-12-10,7.63,8.0,7.36,8.0,18600,7112
2015-12-11,7.37,8.0,7.37,7.93,19800,7112
2015-12-14,7.85,8.42,7.65,8.25,67542,7112
2015-12-15,8.36,8.7,7.97,8.21,42200,7112
2015-12-16,8.7,8.86,7.8,8.13,64700,7112
2015-12-17,8.11,8.4,7.53,8.01,42400,7112
2015-12-18,8.01,8.39,7.14,7.72,219900,7112
2015-12-21,7.54,7.75,7.24,7.33,15200,7112
2015-12-22,7.57,7.57,7.01,7.29,15297,7112
2015-12-23,7.33,7.41,7.01,7.19,15200,7112
2015-12-24,7.22,7.254,6.9611,6.9611,7936,7112
2015-12-28,7.01,7.26,6.86,6.86,11291,7112
2015-12-29,6.96,7.22,6.91,7.01,15684,7112
2015-12-30,7.26,7.4,7.17,7.28,62959,7112
2015-12-31,7.75,8.4,7.47,8.4,134982,7112
2016-01-04,8.58,8.85,8.24,8.6,81406,7112
2016-01-05,8.9,8.9,8.04,8.15,25149,7112
2016-01-06,8.15,8.15,6.91,7.09,43459,7112
2016-01-07,7.02,7.105,6.68,6.93,25532,7112
2016-01-08,6.89,7.8899,6.7,6.98,29600,7112
2016-01-11,7.02,7.71,6.7499,6.98,74457,7112
2016-01-12,7.08,7.48,6.97,7.09,15231,7112
2016-01-13,7.1,7.18,6.73,6.79,17939,7112
2016-01-14,6.767,6.767,5.9599,6.47,27082,7112
2016-01-15,6.5,6.65,5.7599,5.97,106488,7112
2016-01-19,6.55,6.55,5.31,5.6,108800,7112
2016-01-20,5.7,5.97,4.68,4.86,121063,7112
2016-01-21,4.66,5.08,4.57,4.67,26614,7112
2016-01-22,5.35,5.7112,5.05,5.2,87341,7112
2016-01-25,5.3,5.6713,5.1,5.27,21495,7112
2016-01-26,5.22,5.72,4.88,5.37,32783,7112
2016-01-27,5.16,5.52,4.7501,4.77,43925,7112
2016-01-28,4.78,5.25,4.524,4.67,38423,7112
2016-01-29,4.61,5.21,4.61,4.8,22785,7112
2016-02-01,5.18,5.18,4.52,4.53,37132,7112
2016-02-02,4.59,4.99,4.51,4.51,14644,7112
2016-02-03,4.52,4.99,4.22,4.22,87153,7112
2016-02-04,4.3,4.3,4.0,4.0,9607,7112
2016-02-05,4.0,4.2,3.23,3.92,47212,7112
2016-02-08,3.61,4.3001,3.61,3.69,16617,7112
2016-02-09,3.6,4.05,3.22,3.26,7439,7112
2016-02-10,3.66,3.96,3.25,3.48,215992,7112
2016-02-11,3.61,3.75,3.47,3.53,19648,7112
2016-02-12,3.52,3.6,3.23,3.59,79752,7112
2016-02-16,3.6,3.71,3.53,3.59,6713,7112
2016-02-17,3.7299,4.15,3.51,4.01,24811,7112
2016-02-18,4.0,4.14,4.0,4.1,3515,7112
2016-02-19,4.05,4.54,4.05,4.2,6963,7112
2016-02-22,4.31,4.72,4.2,4.71,13539,7112
2016-02-23,4.78,5.0,4.4,4.48,8101,7112
2016-02-24,4.51,4.86,4.51,4.59,9450,7112
2016-02-25,4.72,4.97,4.51,4.85,16566,7112
2016-02-26,4.89,5.2,4.2,4.45,21068,7112
2016-02-29,4.5301,4.9689,3.62,4.1,49628,7112
2016-03-01,4.15,4.98,4.15,4.15,12740,7112
2016-03-02,4.18,4.67,4.08,4.12,8185,7112
2016-03-03,4.2,4.8094,4.15,4.2,18934,7112
2016-03-04,4.26,4.72,4.17,4.58,12634,7112
2016-03-07,4.67,4.84,4.24,4.38,9679,7112
2016-03-08,4.43,4.6,4.21,4.38,11839,7112
2016-03-09,4.47,4.59,4.17,4.37,4877,7112
2016-03-10,4.43,4.7,4.07,4.26,10154,7112
2016-03-11,4.37,4.57,4.01,4.24,4598,7112
2016-03-14,4.23,4.6027,3.77,3.82,20886,7112
2016-03-15,3.84,4.31,3.84,4.05,7107,7112
2016-03-16,4.07,4.49,4.05,4.32,11428,7112
2016-03-17,4.37,4.5,4.176,4.45,24067,7112
2016-03-18,4.49,4.49,4.0001,4.34,17982,7112
2016-03-21,4.38,4.43,3.95,4.28,11460,7112
2016-03-22,4.3,4.42,4.01,4.31,2569,7112
2016-03-23,3.95,4.44,3.8,3.93,33690,7112
2016-03-24,3.81,3.9805,3.68,3.72,8140,7112
2016-03-28,3.68,4.0,3.67,4.0,1868,7112
2016-03-29,4.03,4.03,3.61,3.63,24510,7112
2016-03-30,3.7,3.99,3.7,3.85,8097,7112
2016-03-31,3.89,4.15,3.89,4.05,4435,7112
2016-04-01,4.07,4.32,3.52,3.55,132158,7112
2016-04-04,3.97,3.97,3.5501,3.57,29195,7112
2016-04-05,3.57,3.6599,3.56,3.58,6830,7112
2016-04-06,3.56,3.73,3.41,3.62,11551,7112
2016-04-07,3.64,3.72,3.57,3.71,11963,7112
2016-04-08,3.81,3.91,3.5701,3.65,48083,7112
2016-04-11,3.73,3.73,3.63,3.73,8893,7112
2016-04-12,3.79,3.79,3.51,3.51,9365,7112
2016-04-13,3.72,3.72,3.51,3.5101,7752,7112
2016-04-14,3.5,3.63,3.39,3.49,19212,7112
2016-04-15,3.5,3.51,3.37,3.37,33076,7112
2016-04-18,3.35,3.545,3.315,3.37,53402,7112
2016-04-19,3.3,3.46,3.3,3.3,10186,7112
2016-04-20,3.31,3.5501,3.28,3.28,11420,7112
2016-04-21,3.39,3.4394,3.3205,3.4,14765,7112
2016-04-22,3.44,3.45,3.33,3.33,17553,7112
2016-04-25,3.37,3.485,3.33,3.33,33379,7112
2016-04-26,3.3,3.3899,3.22,3.31,12355,7112
2016-04-27,3.38,3.38,3.2,3.25,27932,7112
2016-04-28,3.25,3.4799,3.15,3.29,202683,7112
2016-04-29,3.48,3.48,3.2,3.295,41140,7112
2016-05-02,3.32,3.49,3.17,3.28,32610,7112
2016-05-03,3.16,3.246,3.08,3.08,178732,7112
2016-05-04,3.0101,3.0836,2.68,2.829,58457,7112
2016-05-05,2.88,2.89,2.56,2.79,27888,7112
2016-05-06,2.81,2.81,2.61,2.765,11585,7112
2016-05-09,2.79,2.79,2.65,2.7,18014,7112
2016-05-10,2.75,2.85,2.63,2.81,33710,7112
2016-05-11,2.84,3.0899,2.8,3.0899,16620,7112
2016-05-12,3.1,3.3,3.0459,3.2,32008,7112
2016-05-13,3.29,3.43,2.96,3.09,68928,7112
2016-05-16,3.09,3.28,3.09,3.15,8223,7112
2016-05-17,3.22,3.3899,2.97,3.0,10373,7112
2016-05-18,3.0387,3.0599,3.0387,3.0599,605,7112
2016-05-19,3.07,3.16,3.07,3.1,1300,7112
2016-05-20,3.2299,3.2299,3.11,3.18,3754,7112
2016-05-23,3.24,3.24,3.15,3.17,600,7112
2016-05-24,3.11,3.2016,2.98,3.06,24913,7112
2016-05-25,3.07,3.115,2.91,3.01,36154,7112
2016-05-26,3.06,3.14,2.93,2.93,25675,7112
2016-05-27,2.97,3.1299,2.97,3.08,6779,7112
2016-05-31,2.92,3.09,2.92,3.0001,23681,7112
2016-06-01,2.91,3.05,2.89,2.92,31583,7112
2016-06-02,2.96,3.08,2.9,2.99,9295,7112
2016-06-03,2.9899,2.99,2.93,2.99,16573,7112
2016-06-06,3.02,3.13,2.92,3.09,23627,7112
2016-06-07,3.12,3.22,2.95,3.0899,30241,7112
2016-06-08,3.05,3.2,2.93,3.06,22487,7112
2016-06-09,2.95,3.17,2.93,3.07,19467,7112
2016-06-10,3.1178,3.45,2.931,2.99,263173,7112
2016-06-13,2.92,3.1,2.86,2.92,56444,7112
2016-06-14,2.86,2.99,2.74,2.74,65743,7112
2016-06-15,2.85,2.98,2.74,2.78,27218,7112
2016-06-16,2.77,2.985,2.75,2.9,99424,7112
2016-06-17,2.9,3.1399,2.78,2.83,332098,7112
2016-06-20,3.0,3.39,2.9203,2.94,180600,7112
2016-06-21,3.0,3.0,2.8,2.82,132872,7112
2016-06-22,2.98,2.98,2.61,2.7,203119,7112
2016-06-23,2.72,2.8692,2.62,2.69,168843,7112
2016-06-24,2.54,2.86,2.54,2.69,93443,7112
2016-06-27,2.63,2.78,2.61,2.69,38166,7112
2016-06-28,2.71,2.89,2.6836,2.83,46182,7112
2016-06-29,2.89,3.22,2.7201,2.89,64338,7112
2016-06-30,2.85,3.06,2.7,2.71,106842,7112
2016-07-01,2.62,2.8244,2.55,2.68,47342,7112
2016-07-05,2.65,2.7,2.5,2.57,103168,7112
2016-07-06,2.7,2.8,2.5,2.6,120317,7112
2016-07-07,2.64,2.8786,2.61,2.74,121736,7112
2016-07-08,2.82,3.01,2.8,2.89,130052,7112
2016-07-11,3.0,3.3699,2.9505,3.15,217177,7112
2016-07-12,3.19,3.4899,3.18,3.3,201625,7112
2016-07-13,3.33,4.1375,3.3188,3.72,477233,7112
2016-07-14,3.78,5.63,3.72,5.26,2183441,7112
2016-07-15,5.2,6.5,4.91,5.19,3164082,7112
2016-07-18,4.94,5.19,4.2,4.39,651235,7112
2016-07-19,4.42,4.69,4.05,4.15,277920,7112
2016-07-20,4.21,4.95,4.1466,4.35,908529,7112
2016-07-21,4.4,4.67,4.2,4.38,137954,7112
2016-07-22,4.35,4.44,4.2601,4.32,52872,7112
