Date,Open,High,Low,Close,Volume,stock_id
2014-11-14,14.806,15.075,14.212,15.075,767027,2962
2014-11-17,14.931,15.154,14.704,15.044,59574,2962
2014-11-18,14.901,15.05,14.727,15.005,60928,2962
2014-11-19,15.035,15.202,14.743,15.202,41949,2962
2014-11-20,14.813,15.035,14.616,15.035,74309,2962
2014-11-21,14.782,15.083,14.727,15.044,26726,2962
2014-11-24,15.005,15.044,14.813,15.005,43109,2962
2014-11-25,15.005,15.005,14.845,15.005,40375,2962
2014-11-26,15.005,15.044,14.939,15.035,37580,2962
2014-11-28,15.005,15.026,14.813,15.005,11327,2962
2014-12-01,14.965,15.027,14.568,15.027,95783,2962
2014-12-02,15.005,15.005,14.411,14.625,19753,2962
2014-12-03,14.751,15.005,14.646,14.806,25504,2962
2014-12-04,14.956,14.956,14.616,14.8,8555,2962
2014-12-05,14.656,14.839,14.608,14.656,9594,2962
2014-12-08,14.608,15.005,14.608,14.646,46420,2962
2014-12-09,14.656,14.774,14.608,14.608,22271,2962
2014-12-10,14.845,14.845,14.474,14.766,41308,2962
2014-12-11,14.656,14.766,14.411,14.595,54103,2962
2014-12-12,14.766,14.766,14.221,14.581,21519,2962
2014-12-15,14.925,14.939,14.498,14.8,29286,2962
2014-12-16,15.005,15.005,14.608,14.727,38090,2962
2014-12-17,14.625,14.779,14.49,14.766,21204,2962
2014-12-18,14.656,14.847,14.529,14.554,33985,2962
2014-12-19,14.498,14.704,14.212,14.608,102029,2962
2014-12-22,14.845,14.871,14.451,14.534,28184,2962
2014-12-23,14.348,14.595,13.962,14.224,36925,2962
2014-12-24,14.191,14.294,13.922,14.016,30108,2962
2014-12-26,14.096,14.182,14.016,14.16,14111,2962
2014-12-29,14.221,14.221,13.795,13.819,37799,2962
2014-12-30,13.897,13.902,12.916,13.14,197837,2962
2014-12-31,13.147,13.416,12.416,13.361,180470,2962
2015-01-02,15.005,15.005,12.367,13.7,32043,2962
2015-01-05,13.7,13.81,13.594,13.7,16704,2962
2015-01-06,14.001,14.001,13.512,13.512,8809,2962
2015-01-07,13.622,13.696,13.061,13.188,25391,2962
2015-01-08,13.614,13.874,13.061,13.488,118581,2962
2015-01-09,13.551,13.976,13.39,13.969,46649,2962
2015-01-12,13.976,14.179,13.897,13.897,21518,2962
2015-01-13,13.976,14.041,13.346,13.346,71006,2962
2015-01-14,13.493,13.567,12.486,13.1,77259,2962
2015-01-15,12.854,13.897,12.833,13.897,64309,2962
2015-01-16,14.056,14.056,13.236,13.322,20559,2962
2015-01-20,13.52,13.541,13.244,13.541,16337,2962
2015-01-21,13.236,14.032,12.642,12.825,368152,2962
2015-01-22,13.021,13.282,12.88,13.275,41430,2962
2015-01-23,12.973,13.18,12.793,12.973,49255,2962
2015-01-26,13.329,13.757,12.973,13.589,68808,2962
2015-01-27,13.424,13.583,12.973,13.228,101080,2962
2015-01-28,13.068,13.447,13.068,13.424,24194,2962
2015-01-29,13.726,13.795,13.228,13.622,35274,2962
2015-01-30,13.56,13.795,13.56,13.795,20304,2962
2015-02-02,13.757,14.199,13.583,14.12,26615,2962
2015-02-03,13.748,14.212,13.748,14.081,14726,2962
2015-02-04,13.726,14.116,13.606,13.701,16315,2962
2015-02-05,13.583,14.06,13.445,13.597,24936,2962
2015-02-06,13.391,13.788,13.193,13.726,42003,2962
2015-02-09,13.622,13.957,13.606,13.78,27719,2962
2015-02-10,13.74,14.433,13.344,13.788,126635,2962
2015-02-11,14.147,14.204,13.493,13.692,54225,2962
2015-02-12,14.189,14.189,13.54,13.567,59740,2962
