Date,Open,High,Low,Close,Volume,stock_id
1982-01-04,3.68,3.7,3.65,3.68,15100,4434
1982-01-05,3.68,3.68,3.65,3.68,18600,4434
1982-01-06,3.68,3.7,3.63,3.65,29500,4434
1982-01-07,3.7,3.72,3.65,3.7,24200,4434
1982-01-08,3.65,3.7,3.58,3.61,93600,4434
1982-01-11,3.56,3.61,3.49,3.53,35500,4434
1982-01-12,3.42,3.49,3.35,3.39,33200,4434
1982-01-13,3.3,3.37,3.2,3.25,37800,4434
1982-01-14,3.32,3.37,3.25,3.32,27400,4434
1982-01-15,3.37,3.39,3.35,3.37,66300,4434
1982-01-18,3.35,3.37,3.3,3.37,33600,4434
1982-01-19,3.37,3.37,3.35,3.37,71700,4434
1982-01-20,3.37,3.37,3.35,3.37,18800,4434
1982-01-21,3.37,3.37,3.35,3.37,64100,4434
1982-01-22,3.35,3.37,3.32,3.35,84300,4434
1982-01-25,3.32,3.35,3.3,3.35,16800,4434
1982-01-26,3.32,3.35,3.28,3.3,67800,4434
1982-01-27,3.25,3.3,3.2,3.2,41200,4434
1982-01-28,3.25,3.32,3.18,3.32,56000,4434
1982-01-29,3.39,3.46,3.3,3.46,42000,4434
1982-02-01,3.46,3.53,3.39,3.44,22100,4434
1982-02-02,3.53,3.65,3.42,3.58,22200,4434
1982-02-03,3.53,3.58,3.49,3.49,25600,4434
1982-02-04,3.51,3.53,3.49,3.51,91000,4434
1982-02-05,3.53,3.56,3.51,3.53,48500,4434
1982-02-08,3.49,3.53,3.42,3.44,25800,4434
1982-02-09,3.44,3.49,3.39,3.39,23300,4434
1982-02-10,3.36,3.38,3.31,3.36,12000,4434
1982-02-11,3.38,3.41,3.36,3.41,18200,4434
1982-02-12,3.38,3.41,3.36,3.36,13600,4434
1982-02-16,3.36,3.38,3.31,3.36,19400,4434
1982-02-17,3.34,3.36,3.29,3.36,35900,4434
1982-02-18,3.34,3.36,3.31,3.36,11000,4434
1982-02-19,3.34,3.34,3.31,3.31,10000,4434
1982-02-22,3.34,3.38,3.29,3.29,46500,4434
1982-02-23,3.29,3.31,3.24,3.29,36500,4434
1982-02-24,3.31,3.34,3.26,3.34,12300,4434
1982-02-25,3.41,3.48,3.31,3.36,23400,4434
1982-02-26,3.36,3.38,3.31,3.31,13100,4434
1982-03-01,3.38,3.41,3.34,3.36,20200,4434
1982-03-02,3.46,3.53,3.36,3.5,25500,4434
1982-03-03,3.46,3.48,3.41,3.48,43800,4434
1982-03-04,3.43,3.46,3.38,3.46,50900,4434
1982-03-05,3.48,3.5,3.43,3.48,58000,4434
1982-03-08,3.53,3.55,3.48,3.5,11500,4434
1982-03-09,3.43,3.48,3.38,3.38,31900,4434
1982-03-10,3.41,3.41,3.38,3.38,13100,4434
1982-03-11,3.43,3.43,3.41,3.43,13700,4434
1982-03-12,3.41,3.43,3.38,3.38,11200,4434
1982-03-15,3.29,3.36,3.22,3.22,21300,4434
1982-03-16,3.26,3.29,3.22,3.22,31500,4434
1982-03-17,3.17,3.24,3.07,3.07,17400,4434
1982-03-18,3.12,3.17,3.07,3.15,29800,4434
1982-03-19,3.19,3.24,3.12,3.24,41500,4434
1982-03-22,3.24,3.26,3.19,3.24,18200,4434
1982-03-23,3.22,3.24,3.19,3.24,19100,4434
1982-03-24,3.19,3.24,3.15,3.15,31800,4434
1982-03-25,3.19,3.22,3.15,3.19,7300,4434
1982-03-26,3.17,3.22,3.12,3.22,11100,4434
1982-03-29,3.15,3.19,3.1,3.17,19600,4434
1982-03-30,3.19,3.22,3.15,3.17,12800,4434
1982-03-31,3.22,3.26,3.17,3.19,19200,4434
1982-04-01,3.38,3.53,3.24,3.5,41600,4434
1982-04-02,3.41,3.55,3.26,3.41,42500,4434
1982-04-05,3.41,3.43,3.36,3.41,23800,4434
1982-04-06,3.36,3.41,3.29,3.38,25600,4434
1982-04-07,3.38,3.41,3.34,3.36,10600,4434
1982-04-08,3.34,3.38,3.29,3.36,10700,4434
1982-04-12,3.38,3.46,3.31,3.36,16600,4434
1982-04-13,3.43,3.46,3.38,3.41,11200,4434
1982-04-14,3.29,3.31,3.26,3.26,13600,4434
1982-04-15,3.26,3.29,3.24,3.29,7000,4434
1982-04-16,3.34,3.41,3.26,3.36,33200,4434
1982-04-19,3.41,3.46,3.34,3.41,17700,4434
1982-04-20,3.5,3.6,3.41,3.53,33500,4434
1982-04-21,3.53,3.57,3.48,3.53,13000,4434
1982-04-22,3.55,3.62,3.46,3.48,119700,4434
1982-04-23,3.62,3.74,3.48,3.74,219000,4434
1982-04-26,3.81,3.88,3.74,3.86,56100,4434
1982-04-27,3.84,3.86,3.79,3.84,52000,4434
1982-04-28,3.81,3.81,3.79,3.79,38100,4434
1982-04-29,3.72,3.76,3.67,3.69,53600,4434
1982-04-30,3.69,3.74,3.65,3.67,27400,4434
1982-05-03,3.6,3.67,3.53,3.65,35300,4434
1982-05-04,3.76,3.81,3.69,3.76,54200,4434
1982-05-05,3.76,3.79,3.72,3.74,23000,4434
1982-05-06,3.72,3.79,3.65,3.79,57900,4434
1982-05-07,3.79,3.81,3.74,3.81,12500,4434
1982-05-10,3.79,3.81,3.74,3.74,53100,4434
1982-05-11,3.76,3.81,3.69,3.79,32500,4434
1982-05-12,3.79,3.81,3.74,3.81,23300,4434
1982-05-13,3.79,3.84,3.74,3.74,38700,4434
1982-05-14,3.72,3.76,3.67,3.74,39900,4434
1982-05-17,3.72,3.79,3.62,3.62,27400,4434
1982-05-18,3.6,3.62,3.55,3.57,20600,4434
1982-05-19,3.55,3.57,3.53,3.53,10500,4434
1982-05-20,3.5,3.55,3.46,3.46,19600,4434
1982-05-21,3.47,3.52,3.42,3.47,158700,4434
1982-05-24,3.54,3.59,3.49,3.49,19600,4434
1982-05-25,3.37,3.4,3.35,3.4,29700,4434
1982-05-26,3.35,3.37,3.3,3.33,16800,4434
1982-05-27,3.23,3.3,3.13,3.16,64400,4434
1982-05-28,3.2,3.25,3.13,3.25,26700,4434
1982-06-01,3.18,3.23,3.13,3.13,19200,4434
1982-06-02,3.13,3.16,3.08,3.08,61700,4434
1982-06-03,3.08,3.11,3.06,3.06,21000,4434
1982-06-04,2.99,3.08,2.89,2.94,36900,4434
1982-06-07,2.87,2.89,2.84,2.89,51700,4434
1982-06-08,2.84,2.94,2.75,2.75,57100,4434
1982-06-09,2.75,2.79,2.67,2.75,63600,4434
1982-06-10,2.84,2.92,2.77,2.82,134800,4434
1982-06-11,3.06,3.18,2.94,3.11,79800,4434
1982-06-14,3.08,3.11,3.04,3.08,34600,4434
1982-06-15,3.06,3.08,3.04,3.06,41500,4434
1982-06-16,3.04,3.06,3.01,3.04,28200,4434
1982-06-17,3.04,3.06,3.01,3.01,19900,4434
1982-06-18,3.01,3.04,2.96,2.96,31100,4434
1982-06-21,2.96,3.04,2.89,2.94,46000,4434
1982-06-22,2.92,2.94,2.89,2.94,15000,4434
1982-06-23,2.99,3.04,2.94,3.01,20600,4434
1982-06-24,3.08,3.13,3.04,3.06,23500,4434
1982-06-25,3.08,3.11,3.04,3.08,19000,4434
1982-06-28,3.11,3.13,3.06,3.13,29700,4434
1982-06-29,3.16,3.18,3.13,3.16,21800,4434
1982-06-30,3.23,3.3,3.16,3.28,17800,4434
1982-07-01,3.28,3.33,3.23,3.25,12800,4434
1982-07-02,3.25,3.28,3.23,3.28,11600,4434
1982-07-06,3.28,3.28,3.25,3.25,15300,4434
1982-07-07,3.28,3.3,3.25,3.28,50000,4434
1982-07-08,3.23,3.28,3.16,3.23,19000,4434
1982-07-09,3.25,3.28,3.2,3.23,14100,4434
1982-07-12,3.28,3.3,3.23,3.25,9600,4434
1982-07-13,3.23,3.25,3.2,3.2,6000,4434
1982-07-14,3.2,3.23,3.18,3.18,20100,4434
1982-07-15,3.18,3.2,3.13,3.13,15300,4434
1982-07-16,3.2,3.25,3.13,3.23,28200,4434
1982-07-19,3.25,3.28,3.23,3.23,41900,4434
1982-07-20,3.2,3.25,3.13,3.23,48600,4434
1982-07-21,3.28,3.33,3.23,3.23,23900,4434
1982-07-22,3.35,3.45,3.23,3.45,19500,4434
1982-07-23,3.4,3.49,3.28,3.3,44000,4434
1982-07-26,3.33,3.35,3.28,3.3,7900,4434
1982-07-27,3.33,3.35,3.28,3.28,14200,4434
1982-07-28,3.2,3.28,3.13,3.13,16000,4434
1982-07-29,3.18,3.2,3.16,3.2,9500,4434
1982-07-30,3.18,3.2,3.13,3.13,22300,4434
1982-08-02,3.23,3.28,3.18,3.28,65000,4434
1982-08-03,3.28,3.3,3.23,3.3,10700,4434
1982-08-04,3.28,3.3,3.25,3.28,16200,4434
1982-08-05,3.28,3.3,3.25,3.25,20800,4434
1982-08-06,3.28,3.3,3.25,3.28,24600,4434
1982-08-09,3.29,3.32,3.27,3.29,37400,4434
1982-08-10,3.32,3.34,3.29,3.29,15700,4434
1982-08-11,3.32,3.32,3.32,3.32,8800,4434
1982-08-12,3.34,3.34,3.32,3.32,151400,4434
1982-08-13,3.32,3.34,3.27,3.32,12000,4434
1982-08-16,3.36,3.39,3.34,3.34,27800,4434
1982-08-17,3.49,3.61,3.34,3.61,33500,4434
1982-08-18,3.73,3.8,3.63,3.63,71800,4434
1982-08-19,3.66,3.71,3.61,3.66,33400,4434
1982-08-20,3.8,3.88,3.71,3.85,103700,4434
1982-08-23,3.83,3.88,3.75,3.83,71000,4434
1982-08-24,3.85,3.9,3.78,3.88,77600,4434
1982-08-25,3.93,3.97,3.85,3.9,43100,4434
1982-08-26,4.0,4.1,3.9,3.97,127300,4434
1982-08-27,3.88,3.97,3.78,3.83,107400,4434
1982-08-30,3.75,3.85,3.66,3.68,97300,4434
1982-08-31,3.73,3.78,3.66,3.71,92700,4434
1982-09-01,3.75,3.78,3.71,3.78,106100,4434
1982-09-02,3.78,3.85,3.71,3.83,60000,4434
1982-09-03,3.88,3.93,3.8,3.85,54800,4434
1982-09-07,3.85,3.9,3.8,3.9,38700,4434
1982-09-08,3.9,3.95,3.85,3.9,64100,4434
1982-09-09,3.9,3.95,3.85,3.93,95800,4434
1982-09-10,3.85,3.9,3.8,3.83,48000,4434
1982-09-13,3.9,3.95,3.83,3.95,114700,4434
1982-09-14,4.02,4.07,3.95,4.02,136900,4434
1982-09-15,3.95,4.0,3.88,3.95,30900,4434
1982-09-16,3.97,4.0,3.95,3.97,31300,4434
1982-09-17,4.02,4.07,3.95,4.02,113300,4434
1982-09-20,3.93,3.97,3.85,3.9,33100,4434
1982-09-21,3.93,4.0,3.85,3.97,23100,4434
1982-09-22,3.97,4.02,3.9,3.93,73000,4434
1982-09-23,3.9,3.95,3.83,3.85,117100,4434
1982-09-24,3.88,3.9,3.85,3.85,27900,4434
1982-09-27,3.85,3.88,3.8,3.85,15700,4434
1982-09-28,3.85,3.9,3.8,3.85,49400,4434
1982-09-29,3.83,3.85,3.78,3.8,21000,4434
1982-09-30,3.75,3.8,3.71,3.71,32000,4434
