Date,Open,High,Low,Close,Volume,stock_id
2016-09-14,10.0,10.05,10.0,10.0,474690,393
2016-09-15,10.04,10.0999,10.02,10.08,6700,393
2016-09-16,10.02,10.03,10.0,10.01,24125,393
2016-09-19,10.0,10.04,10.0,10.04,8213,393
2016-09-20,10.01,10.05,10.01,10.05,4900,393
2016-09-21,10.0,10.03,10.0,10.0,100700,393
2016-09-22,10.01,10.01,10.01,10.01,100,393
2016-09-23,10.0,10.02,10.0,10.01,116900,393
2016-09-26,10.02,10.02,10.02,10.02,100,393
2016-09-27,10.01,10.01,10.0,10.01,17822,393
2016-09-28,10.0,10.0,10.0,10.0,23003,393
2016-09-29,10.01,10.05,10.01,10.02,7236,393
2016-09-30,10.02,10.02,10.02,10.02,13900,393
2016-10-03,10.0,10.0,10.0,10.0,237,393
2016-10-04,10.0,10.0,10.0,10.0,269,393
2016-10-05,10.0,10.0,10.0,10.0,787,393
2016-10-06,10.01,10.01,10.01,10.01,300,393
2016-10-07,10.01,10.01,10.0,10.0,558,393
2016-10-12,9.97,10.01,9.97,10.01,300,393
2016-10-14,10.02,10.02,10.02,10.02,900,393
2016-10-17,10.02,10.02,10.01,10.02,601,393
2016-10-18,10.02,10.02,10.02,10.02,696,393
2016-10-19,10.02,10.02,10.02,10.02,657,393
2016-10-20,10.02,10.02,10.02,10.02,267,393
2016-10-21,10.03,10.03,10.02,10.02,5000,393
2016-10-25,10.02,10.02,10.01,10.02,8083,393
2016-10-27,10.0,10.01,10.0,10.01,6138,393
2016-11-01,10.01,10.01,10.0,10.0,1501,393
2016-11-02,10.02,10.02,10.02,10.02,249,393
2016-11-03,10.0001,10.02,10.0,10.0,2600,393
2016-11-09,10.04,10.04,10.0,10.0,2282,393
2016-11-16,10.0,10.0,10.0,10.0,444,393
2016-11-22,10.02,10.02,10.02,10.02,215,393
2016-11-23,10.02,10.02,10.02,10.02,100,393
2016-11-25,10.02,10.02,10.02,10.02,857,393
2016-11-28,10.02,10.02,10.02,10.02,580,393
2016-11-29,10.0201,10.0201,10.0201,10.0201,100,393
2016-12-02,10.02,10.02,10.02,10.02,577,393
2016-12-07,10.03,10.03,10.03,10.03,833,393
2016-12-19,10.0599,10.06,10.05,10.0592,900,393
2016-12-22,10.07,10.2112,10.07,10.1917,2600,393
2016-12-30,10.1,10.16,10.1,10.1599,4550,393
2017-01-18,10.18,10.18,10.18,10.18,546,393
2017-01-19,10.24,10.24,10.24,10.24,100,393
2017-01-23,10.24,10.24,10.15,10.18,252754,393
2017-01-26,10.2,10.25,10.2,10.25,1161,393
2017-01-30,10.2,10.2,10.18,10.18,815,393
2017-02-07,10.18,10.18,10.18,10.18,1000,393
2017-02-09,10.18,10.18,10.18,10.18,558,393
2017-02-13,10.2,10.2,10.2,10.2,239,393
2017-02-15,10.2,10.2,10.2,10.2,151,393
2017-02-22,10.22,10.22,10.22,10.22,277,393
2017-02-28,10.28,10.28,10.28,10.28,100,393
2017-03-02,10.22,10.22,10.22,10.22,529,393
2017-03-09,10.22,10.22,10.22,10.22,317,393
2017-03-14,10.32,10.32,10.2,10.21,27759,393
2017-03-15,10.2001,10.2001,10.2001,10.2001,120,393
2017-03-17,10.22,10.22,10.22,10.22,560,393
2017-03-21,10.24,10.24,10.24,10.24,129,393
2017-03-24,10.22,10.22,10.22,10.22,1376,393
2017-03-27,10.22,10.22,10.22,10.22,203,393
2017-03-28,10.22,10.22,10.22,10.22,292,393
2017-03-29,10.22,10.22,10.22,10.22,586,393
2017-04-03,10.22,10.22,10.22,10.22,633,393
2017-04-06,10.22,10.3,10.2,10.25,7251,393
2017-04-13,10.48,10.5,10.48,10.5,1623,393
2017-04-19,10.24,10.4,10.23,10.4,736,393
2017-05-09,10.26,10.26,10.26,10.26,284,393
2017-05-11,10.22,10.22,10.22,10.22,179,393
