Date,Open,High,Low,Close,Volume,stock_id
2005-02-25,2.55,2.9,2.55,2.87,73310,3983
2005-02-28,2.9,2.9,2.73,2.85,36713,3983
2005-03-01,2.85,3.0,2.85,2.88,30550,3983
2005-03-02,2.87,3.0,2.87,2.95,27150,3983
2005-03-03,2.9,3.08,2.85,3.08,38700,3983
2005-03-04,3.09,3.1,3.05,3.1,50491,3983
2005-03-07,3.03,3.03,3.01,3.01,1078,3983
2005-03-08,3.01,3.03,2.98,2.98,3100,3983
2005-03-09,2.97,2.98,2.97,2.97,3345,3983
2005-03-10,2.96,2.96,2.9,2.95,5300,3983
2005-03-11,2.9,2.9,2.86,2.86,2500,3983
2005-03-14,2.85,2.85,2.75,2.78,12146,3983
2005-03-15,2.75,2.75,2.7,2.7,25500,3983
2005-03-16,2.7,2.72,2.65,2.66,21857,3983
2005-03-17,2.6,2.6,2.53,2.6,4150,3983
2005-03-21,2.55,2.6,2.15,2.15,65475,3983
2005-03-22,2.15,2.25,1.95,2.05,133765,3983
2005-03-23,2.03,2.03,1.94,1.94,54601,3983
2005-03-24,1.95,2.03,1.95,2.0,20855,3983
2005-03-28,1.95,2.01,1.91,1.99,23554,3983
2005-03-29,1.94,1.97,1.94,1.97,4400,3983
2005-03-30,1.96,2.03,1.96,1.97,8900,3983
2005-03-31,1.97,2.15,1.97,2.02,53650,3983
2005-04-01,2.03,2.06,2.03,2.05,5913,3983
2005-04-04,2.07,2.07,1.85,1.9,16390,3983
2005-04-05,1.9,2.05,1.9,2.05,20830,3983
2005-04-06,2.02,2.02,1.9,1.96,17200,3983
2005-04-07,1.95,1.96,1.95,1.96,7100,3983
2005-04-08,1.99,1.99,1.95,1.95,1400,3983
2005-04-11,1.91,2.0,1.91,1.95,14700,3983
2005-04-12,1.93,1.93,1.9,1.9,6625,3983
2005-04-13,1.9,2.0,1.7,1.8,39467,3983
2005-04-14,1.7,1.7,1.59,1.59,15524,3983
2005-04-15,1.63,1.63,1.6,1.6,6640,3983
2005-04-18,1.56,1.56,1.35,1.35,20000,3983
2005-04-19,1.37,1.53,1.37,1.44,18000,3983
2005-04-20,1.53,1.63,1.53,1.6,11171,3983
2005-04-21,1.63,1.65,1.61,1.61,7597,3983
2005-04-22,1.51,1.6,1.51,1.6,9950,3983
2005-04-25,1.51,1.51,1.5,1.5,3250,3983
2005-04-26,1.46,1.5,1.46,1.46,2486,3983
2005-04-27,1.41,1.41,1.41,1.41,2750,3983
2005-04-28,1.41,1.41,1.41,1.41,2000,3983
2005-04-29,1.41,1.41,1.41,1.41,450,3983
2005-05-02,1.41,1.41,1.35,1.4,4300,3983
2005-05-03,1.39,1.39,1.39,1.39,100,3983
2005-05-04,1.39,1.39,0.91,1.05,84552,3983
2005-05-05,1.05,1.25,1.05,1.25,24977,3983
2005-05-09,1.19,1.19,1.07,1.07,1738,3983
2005-05-10,1.2,1.2,1.05,1.1,9833,3983
2005-05-11,1.1,1.1,1.1,1.1,1050,3983
2005-05-12,1.2,1.2,1.2,1.2,2000,3983
2005-05-13,1.15,1.2,1.15,1.2,4800,3983
2005-05-16,1.25,1.45,1.25,1.45,34900,3983
2005-05-17,1.45,1.5,1.4,1.4,15004,3983
2005-05-18,1.4,1.4,1.4,1.4,500,3983
2005-05-19,1.4,1.4,1.4,1.4,2500,3983
2005-05-20,1.4,1.4,1.4,1.4,4000,3983
2005-05-23,1.38,1.39,1.35,1.39,3000,3983
2005-05-24,1.3,1.31,1.3,1.31,3500,3983
2005-05-25,1.37,1.55,1.37,1.55,30225,3983
2005-05-26,1.55,1.75,1.55,1.73,53859,3983
2005-05-27,1.65,1.7,1.65,1.7,4050,3983
2005-05-31,1.65,1.65,1.6,1.65,2751,3983
2005-06-01,1.6,1.6,1.6,1.6,500,3983
2005-06-02,1.67,1.75,1.67,1.7,13255,3983
2005-06-03,1.6,1.68,1.6,1.68,1200,3983
2005-06-06,1.56,1.75,1.56,1.75,12385,3983
2005-06-07,1.75,1.75,1.73,1.75,7500,3983
2005-06-08,1.73,1.9,1.73,1.85,36200,3983
2005-06-09,1.85,1.85,1.82,1.82,27522,3983
2005-06-10,1.84,1.85,1.84,1.85,6200,3983
2005-06-13,1.85,1.85,1.85,1.85,5700,3983
2005-06-14,1.8,1.8,1.8,1.8,3500,3983
2005-06-15,1.7,1.8,1.7,1.8,11220,3983
2005-06-16,1.8,1.8,1.78,1.78,19500,3983
2005-06-17,1.78,2.05,1.78,2.05,61855,3983
2005-06-20,2.1,2.25,2.1,2.18,32192,3983
2005-06-21,2.24,2.33,2.21,2.21,25400,3983
2005-06-22,2.21,2.3,2.14,2.25,23417,3983
2005-06-23,2.25,2.25,2.14,2.14,17800,3983
2005-06-24,2.1,2.1,1.7,1.9,27830,3983
2005-06-27,1.9,1.95,1.8,1.95,21800,3983
2005-06-28,1.9,1.9,1.75,1.75,10000,3983
2005-06-29,1.8,1.8,1.8,1.8,7445,3983
2005-06-30,1.8,2.08,1.8,2.05,146196,3983
2005-07-01,2.05,2.05,2.03,2.05,31850,3983
2005-07-05,2.05,2.26,2.0,2.26,32943,3983
2005-07-06,2.25,2.7,2.25,2.4,127020,3983
2005-07-07,2.35,2.7,2.35,2.5,27176,3983
2005-07-08,2.6,2.7,2.55,2.7,38750,3983
2005-07-11,2.71,2.75,2.55,2.6,35050,3983
2005-07-12,2.58,2.85,2.58,2.76,87857,3983
2005-07-13,2.8,2.85,2.75,2.85,33143,3983
2005-07-14,2.8,3.05,2.8,3.0,105273,3983
2005-07-15,3.01,3.03,2.96,2.96,55799,3983
2005-07-18,2.96,2.96,2.8,2.82,33840,3983
2005-07-19,2.81,2.81,2.57,2.63,19805,3983
2005-07-20,2.6,2.6,2.5,2.58,25303,3983
2005-07-21,2.55,2.75,2.55,2.6,16132,3983
2005-07-22,2.72,2.72,2.6,2.6,2800,3983
2005-07-25,2.72,2.9,2.61,2.75,35400,3983
2005-07-26,2.7,2.7,2.6,2.6,9925,3983
2005-07-27,2.56,2.65,2.55,2.55,13050,3983
2005-07-28,2.6,2.65,2.5,2.65,13844,3983
2005-07-29,2.65,2.65,2.5,2.51,9500,3983
2005-08-01,2.5,2.6,2.5,2.6,16850,3983
2005-08-02,2.55,2.6,2.47,2.6,51860,3983
2005-08-03,2.62,2.63,2.55,2.63,6900,3983
2005-08-04,2.55,2.55,2.2,2.35,36953,3983
2005-08-05,2.5,2.89,2.5,2.85,83538,3983
2005-08-08,2.87,2.95,2.75,2.9,26200,3983
2005-08-09,2.9,2.95,2.86,2.86,10230,3983
2005-08-10,2.81,2.81,2.76,2.76,20750,3983
2005-08-11,2.79,2.79,2.76,2.76,13500,3983
2005-08-12,2.7,2.78,2.62,2.78,14800,3983
2005-08-15,2.78,2.95,2.78,2.78,19838,3983
2005-08-16,2.78,2.93,2.78,2.84,76850,3983
2005-08-17,2.83,2.89,2.7,2.7,43525,3983
2005-08-18,2.72,2.85,2.6,2.6,21000,3983
2005-08-19,2.62,2.62,2.29,2.5,69746,3983
2005-08-22,2.5,2.55,2.5,2.5,3100,3983
2005-08-23,2.6,2.7,2.6,2.65,24000,3983
2005-08-24,2.75,2.83,2.75,2.81,21350,3983
2005-08-25,2.84,2.84,2.5,2.5,92190,3983
2005-08-26,2.45,2.45,2.39,2.45,29650,3983
2005-08-29,2.55,2.75,2.55,2.65,8500,3983
2005-08-30,2.55,2.77,2.55,2.77,8800,3983
2005-08-31,2.76,2.84,2.76,2.8,35136,3983
2005-09-01,2.76,2.84,2.7,2.83,39776,3983
2005-09-02,2.75,2.82,2.7,2.82,11177,3983
2005-09-06,2.82,2.93,2.82,2.9,44180,3983
2005-09-07,2.9,3.6,2.88,3.6,170305,3983
2005-09-08,3.4,3.4,3.1,3.15,60299,3983
2005-09-09,3.1,3.35,3.1,3.27,24800,3983
2005-09-12,3.25,3.45,3.25,3.3,13648,3983
2005-09-13,3.3,3.55,3.3,3.5,22811,3983
2005-09-14,3.41,3.5,3.4,3.4,8750,3983
2005-09-15,3.5,3.5,3.35,3.45,16550,3983
2005-09-16,3.45,3.65,3.45,3.65,29457,3983
2005-09-19,3.65,3.9,3.65,3.8,97093,3983
2005-09-20,3.82,4.09,3.6,3.75,78200,3983
2005-09-21,3.75,3.75,3.4,3.5,44940,3983
2005-09-22,3.5,3.5,3.05,3.4,51686,3983
2005-09-23,3.65,3.8,3.45,3.5,81230,3983
2005-09-26,3.45,3.7,3.45,3.65,72050,3983
2005-09-27,3.6,3.78,3.6,3.75,89695,3983
2005-09-28,3.7,3.72,3.5,3.54,42160,3983
2005-09-29,3.5,3.55,3.4,3.4,14870,3983
2005-09-30,3.45,3.55,3.45,3.55,13400,3983
2005-10-03,3.55,3.65,3.5,3.65,41185,3983
2005-10-04,3.65,3.7,3.65,3.66,10500,3983
2005-10-05,3.66,3.75,3.66,3.75,52075,3983
2005-10-06,3.75,3.9,3.72,3.9,154612,3983
2005-10-07,3.94,4.05,3.85,3.9,115510,3983
2005-10-10,3.85,3.85,3.6,3.6,36929,3983
2005-10-11,3.6,3.6,3.49,3.49,52607,3983
2005-10-12,3.5,3.5,3.2,3.33,57395,3983
2005-10-13,3.33,3.38,3.2,3.29,23798,3983
