Date,Open,High,Low,Close,Volume,stock_id
2010-08-23,20.335,20.546,20.274,20.492,296604,4140
2010-08-24,20.414,20.607,20.369,20.607,168433,4140
2010-08-25,20.529,20.554,20.378,20.546,332565,4140
2010-08-26,20.563,20.625,20.501,20.581,99706,4140
2010-08-27,20.529,20.669,20.431,20.511,100138,4140
2010-08-30,20.492,20.607,20.484,20.591,101588,4140
2010-08-31,20.591,20.678,20.511,20.678,153557,4140
2010-09-01,20.669,20.801,20.634,20.801,130434,4140
2010-09-02,20.809,20.871,20.766,20.871,106780,4140
2010-09-03,20.871,21.178,20.871,21.135,104796,4140
2010-09-07,21.178,21.178,20.951,21.099,131486,4140
2010-09-08,21.09,21.311,20.932,21.311,292795,4140
2010-09-09,21.302,21.302,21.09,21.258,153783,4140
2010-09-10,20.994,20.994,20.739,20.766,160325,4140
2010-09-13,20.775,20.906,20.748,20.757,155433,4140
2010-09-14,20.757,20.792,20.607,20.66,145828,4140
2010-09-15,20.66,20.775,20.625,20.625,128862,4140
2010-09-16,20.818,20.818,20.678,20.73,132300,4140
2010-09-17,20.748,20.985,20.678,20.678,193033,4140
2010-09-20,20.88,20.985,20.809,20.871,182565,4140
2010-09-21,20.792,21.345,20.775,20.906,228357,4140
2010-09-22,20.782,21.003,20.782,20.871,169662,4140
2010-09-23,20.906,20.941,20.836,20.836,154638,4140
2010-09-24,20.915,21.09,20.871,21.02,196626,4140
2010-09-27,21.02,21.09,21.003,21.064,104864,4140
2010-09-28,21.082,21.178,21.012,21.029,155580,4140
2010-09-29,21.099,21.109,20.941,20.994,106959,4140
2010-09-30,21.003,21.109,20.906,21.109,117644,4140
2010-10-01,21.135,21.143,20.924,20.959,117705,4140
2010-10-04,20.915,21.064,20.871,20.976,151442,4140
2010-10-05,20.924,21.126,20.924,21.109,196347,4140
2010-10-06,21.064,21.275,21.055,21.275,97156,4140
2010-10-07,21.222,21.266,21.09,21.249,112198,4140
2010-10-08,21.222,21.24,21.099,21.109,73718,4140
2010-10-11,21.109,21.161,21.09,21.09,53320,4140
2010-10-12,21.09,21.187,21.055,21.117,132660,4140
2010-10-13,21.213,21.266,21.109,21.187,243494,4140
2010-10-14,21.187,21.275,20.669,20.924,263902,4140
2010-10-15,21.09,21.09,19.597,20.194,483817,4140
2010-10-18,19.948,20.361,19.772,19.984,272684,4140
2010-10-19,20.037,20.423,19.763,19.772,248606,4140
2010-10-20,19.659,19.763,19.289,19.465,208557,4140
2010-10-21,19.483,19.782,19.447,19.483,217707,4140
2010-10-22,19.579,19.692,19.536,19.579,179423,4140
2010-10-25,19.905,19.905,19.422,19.422,172768,4140
2010-10-26,19.422,19.711,19.333,19.684,280076,4140
2010-10-27,19.157,19.984,19.157,19.895,705358,4140
2010-10-28,20.062,20.299,20.019,20.212,173853,4140
2010-10-29,20.283,20.397,20.212,20.255,116433,4140
2010-11-01,20.308,20.468,20.299,20.353,79299,4140
2010-11-02,20.44,20.475,20.212,20.212,106827,4140
2010-11-03,20.274,20.423,20.255,20.406,314976,4140
2010-11-04,20.607,20.625,20.388,20.501,150735,4140
2010-11-05,20.501,20.598,20.378,20.501,65591,4140
2010-11-08,20.468,20.572,20.378,20.511,91801,4140
2010-11-09,20.563,20.643,20.431,20.591,70105,4140
