Date,Open,High,Low,Close,Volume,stock_id
2005-02-25,9.879,9.982,9.865,9.961,27918,6791
2005-02-28,9.967,10.045,9.967,9.994,11713,6791
2005-03-01,10.011,10.011,9.982,10.011,7805,6791
2005-03-02,10.038,10.038,9.994,10.011,6757,6791
2005-03-03,10.032,10.038,9.999,10.032,9303,6791
2005-03-04,10.071,10.096,10.071,10.096,8857,6791
2005-03-07,10.051,10.105,10.045,10.105,3605,6791
2005-03-08,10.118,10.173,10.105,10.161,16516,6791
2005-03-09,10.148,10.148,10.011,10.026,15607,6791
2005-03-10,10.011,10.018,9.954,9.994,23115,6791
2005-03-11,9.967,9.982,9.846,9.879,5700,6791
2005-03-14,9.781,9.905,9.747,9.795,30779,6791
2005-03-15,9.747,9.769,9.646,9.646,12315,6791
2005-03-16,9.65,9.693,9.601,9.657,25070,6791
2005-03-17,9.678,9.698,9.606,9.606,24765,6791
2005-03-18,9.601,9.631,9.581,9.613,16071,6791
2005-03-21,9.613,9.657,9.606,9.606,22066,6791
2005-03-22,9.601,9.601,9.601,9.601,1066,6791
2005-03-23,9.567,9.616,9.4821,9.4891,15165,6791
2005-03-24,9.4592,9.511,9.3946,9.4772,18016,6791
2005-03-28,9.511,9.606,9.4403,9.511,16516,6791
2005-03-29,9.4891,9.527,9.4472,9.4522,24023,6791
2005-03-30,9.4472,9.527,9.4324,9.511,9152,6791
2005-03-31,9.581,9.706,9.567,9.613,23266,6791
2005-04-01,9.623,9.734,9.59,9.646,14565,6791
2005-04-04,9.59,9.706,9.59,9.678,11415,6791
2005-04-05,9.712,9.838,9.712,9.838,2554,6791
2005-04-06,9.846,9.846,9.804,9.83,12456,6791
2005-04-07,9.8,9.873,9.8,9.873,13809,6791
2005-04-08,9.905,9.905,9.804,9.822,12608,6791
2005-04-11,9.846,9.873,9.822,9.852,3454,6791
2005-04-12,9.865,9.865,9.734,9.818,23715,6791
2005-04-13,9.83,9.905,9.781,9.781,6156,6791
2005-04-14,9.781,9.8,9.712,9.74,13357,6791
2005-04-15,9.788,9.795,9.678,9.712,19666,6791
2005-04-18,9.74,9.74,9.712,9.72,3903,6791
2005-04-19,9.726,9.74,9.693,9.698,9152,6791
2005-04-20,9.678,9.706,9.65,9.706,11713,6791
2005-04-21,9.693,9.693,9.606,9.663,17412,6791
2005-04-22,9.678,9.678,9.646,9.678,4803,6791
2005-04-25,9.678,9.706,9.657,9.706,14565,6791
2005-04-26,9.663,9.74,9.65,9.678,28073,6791
2005-04-27,9.693,9.706,9.663,9.693,20122,6791
2005-04-28,9.706,9.74,9.693,9.712,20265,6791
2005-04-29,9.712,9.74,9.712,9.734,18162,6791
2005-05-02,9.726,9.734,9.663,9.698,22972,6791
2005-05-03,9.698,9.72,9.698,9.712,8557,6791
2005-05-04,9.712,9.72,9.698,9.72,11110,6791
2005-05-05,9.698,9.72,9.693,9.72,6757,6791
2005-05-06,9.698,9.698,9.657,9.698,14865,6791
2005-05-09,9.693,9.755,9.693,9.755,22667,6791
