Date,Open,High,Low,Close,Volume,stock_id
2017-04-20,100.06,100.06,100.06,100.06,300,1230
2017-04-28,100.1,100.1,100.1,100.1,2240,1230
2017-05-04,100.1,100.1,100.1,100.1,1000,1230
2017-05-05,100.1,100.1,100.1,100.1,1000,1230
2017-06-09,100.1,100.1,100.1,100.1,6900,1230
2017-06-15,99.95,99.95,99.95,99.95,300,1230
2017-06-21,99.9,99.9,99.9,99.9,100,1230
2017-06-23,100.1,100.1,100.1,100.1,1850,1230
2017-06-29,99.95,99.95,99.95,99.95,10444,1230
2017-07-06,99.9,99.9,99.9,99.9,990,1230
2017-07-25,100.1,100.1,100.1,100.1,10000,1230
2017-07-26,99.9,99.9,99.9,99.9,100,1230
2017-08-02,99.9,99.9,99.9,99.9,1189,1230
2017-08-16,100.1,100.1,100.1,100.1,500,1230
2017-09-08,100.04,100.04,100.04,100.04,100,1230
2017-09-18,100.04,100.04,100.04,100.04,19300,1230
2017-09-27,99.99,99.99,99.99,99.99,429,1230
2017-10-04,100.04,100.04,100.04,100.04,1000,1230
