Date,Open,High,Low,Close,Volume,stock_id
2005-02-25,8.5423,8.6464,8.5328,8.6085,1497797,5715
2005-02-28,8.6652,8.7882,8.6559,8.6747,953394,5715
2005-03-01,8.6841,8.6935,8.6085,8.6369,529709,5715
2005-03-02,8.599,8.6464,8.5612,8.6369,657408,5715
2005-03-03,8.599,8.6275,8.5518,8.5801,742503,5715
2005-03-04,8.618,8.6747,8.599,8.6559,891447,5715
2005-03-07,8.6464,8.6559,8.6085,8.6275,446305,5715
2005-03-08,8.618,8.618,8.5328,8.5612,595460,5715
2005-03-09,8.703,8.7692,8.6559,8.7409,556983,5715
2005-03-10,8.6747,8.7692,8.6652,8.7504,574213,5715
2005-03-11,8.9207,8.9586,8.8071,8.8071,1064706,5715
2005-03-14,8.8355,8.8734,8.7787,8.826,1439550,5715
2005-03-15,8.8071,8.8071,8.722,8.7409,558569,5715
2005-03-16,8.7409,8.7409,8.599,8.6275,567025,5715
2005-03-17,8.618,8.7125,8.5896,8.7125,1321156,5715
2005-03-18,8.703,8.7314,8.6652,8.703,458461,5715
2005-03-21,8.6747,8.6935,8.618,8.6841,1315659,5715
2005-03-22,8.6559,8.722,8.6085,8.6369,1950762,5715
2005-03-23,8.5896,8.5896,8.5044,8.5328,1278555,5715
2005-03-24,8.2964,8.4571,8.2869,8.4382,1177709,5715
2005-03-28,8.4288,8.4288,8.3436,8.3436,695462,5715
2005-03-29,8.2869,8.2869,8.1544,8.2302,1090815,5715
2005-03-30,8.1828,8.2775,8.1828,8.2491,583200,5715
2005-03-31,8.2302,8.2396,8.1355,8.1828,922843,5715
2005-04-01,8.1734,8.3531,8.1734,8.3248,650641,5715
2005-04-04,8.2586,8.2586,8.0882,8.1639,877389,5715
2005-04-05,8.1923,8.2018,8.1449,8.1734,413429,5715
2005-04-06,8.1923,8.3058,8.1923,8.2586,406559,5715
2005-04-07,8.3436,8.3436,8.2302,8.2491,452013,5715
2005-04-08,8.2586,8.3058,8.2112,8.2586,429180,5715
2005-04-11,8.2964,8.3436,8.2869,8.3153,438483,5715
2005-04-12,8.2491,8.3436,8.1923,8.3343,440174,5715
2005-04-13,8.3248,8.3343,8.1923,8.2396,401906,5715
2005-04-14,8.1639,8.2302,8.1355,8.1734,378441,5715
2005-04-15,8.0787,8.1449,8.0125,8.0125,502860,5715
2005-04-18,7.7287,7.9273,7.7193,7.7856,1221790,5715
2005-04-19,7.9557,8.0977,7.9557,8.0882,683835,5715
2005-04-20,8.1639,8.2018,8.0125,8.0409,414803,5715
2005-04-21,8.0787,8.2396,8.0787,8.2018,398630,5715
2005-04-22,8.2302,8.2396,8.1166,8.1355,339961,5715
2005-04-25,8.1734,8.3343,8.1734,8.3343,329813,5715
2005-04-26,8.2302,8.2491,8.0977,8.1449,726859,5715
2005-04-27,8.1261,8.1734,8.0503,8.1355,213215,5715
2005-04-28,8.0125,8.1544,8.0125,8.0409,401273,5715
2005-04-29,8.0882,8.2018,8.0503,8.1828,412372,5715
2005-05-02,8.2681,8.2775,8.1828,8.2681,527913,5715
2005-05-03,8.2869,8.2869,8.0882,8.1734,716921,5715
2005-05-04,8.1923,8.3153,8.1923,8.2681,499265,5715
2005-05-05,8.3436,8.3814,8.2775,8.3343,384783,5715
2005-05-06,8.3058,8.4004,8.3058,8.3719,223047,5715
2005-05-09,8.2586,8.2586,8.2018,8.2302,270828,5715
2005-05-10,8.1355,8.1544,8.0409,8.0787,291018,5715
2005-05-11,8.0598,8.1355,8.0314,8.0977,268292,5715
2005-05-12,8.0125,8.0409,7.8517,7.9178,645462,5715
2005-05-13,7.9085,7.9273,7.7856,7.8707,1749597,5715
2005-05-16,7.8328,7.9085,7.8233,7.8896,625060,5715
2005-05-17,7.8045,7.8707,7.7761,7.8423,872419,5715
2005-05-18,7.8045,7.8707,7.7666,7.8423,821786,5715
2005-05-19,7.8991,7.9841,7.8802,7.9652,1190288,5715
2005-05-20,7.9273,7.9273,7.8517,7.8707,495567,5715
2005-05-23,7.8517,7.9841,7.8517,7.9273,1080986,5715
2005-05-24,7.9273,7.9936,7.9178,7.9747,515016,5715
2005-05-25,7.9463,7.9557,7.8612,7.9273,456136,5715
2005-05-26,7.8707,7.8707,7.8139,7.8233,701171,5715
2005-05-27,7.795,7.795,7.7193,7.7571,613749,5715
2005-05-31,7.8328,7.9178,7.8328,7.8517,633304,5715
2005-06-01,7.9085,8.022,7.8612,7.9747,1045466,5715
2005-06-02,7.9463,7.9936,7.9178,7.9368,365437,5715
2005-06-03,7.9085,8.0125,7.8896,7.9273,324633,5715
2005-06-06,7.9463,8.0314,7.9463,8.0125,357932,5715
2005-06-07,7.9841,8.0977,7.9841,8.0503,233829,5715
2005-06-08,8.1261,8.1261,7.9936,8.0125,379920,5715
2005-06-09,7.9557,8.0409,7.9463,8.0031,277065,5715
2005-06-10,7.9652,8.0409,7.8991,7.9085,504550,5715
2005-06-13,7.8991,7.9085,7.8517,7.8802,218080,5715
2005-06-14,7.8896,7.9178,7.8707,7.9085,409413,5715
2005-06-15,7.9747,8.0882,7.9747,8.0598,843562,5715
2005-06-16,8.1355,8.2302,8.1072,8.1923,691339,5715
2005-06-17,8.2491,8.2775,8.2112,8.2396,401906,5715
2005-06-20,8.2112,8.2112,8.0882,8.1355,335944,5715
2005-06-21,8.1544,8.2964,8.1544,8.2491,536053,5715
2005-06-22,8.2775,8.3058,8.0977,8.1734,554340,5715
2005-06-23,8.2964,8.2964,8.1355,8.1449,290701,5715
2005-06-24,8.0977,8.1544,8.0314,8.0882,819459,5715
2005-06-27,7.9368,8.0787,7.9368,8.0409,488695,5715
2005-06-28,7.9747,8.0787,7.9652,8.022,489856,5715
2005-06-29,8.0409,8.1166,8.022,8.0409,356135,5715
2005-06-30,8.0977,8.1072,8.0031,8.022,440702,5715
2005-07-01,7.9368,8.022,7.9368,7.9936,748423,5715
2005-07-05,8.0125,8.0693,7.9463,8.0503,554445,5715
