Date,Open,High,Low,Close,Volume,stock_id
2015-09-18,11.39,17.48,10.8,13.24,1906600,5693
2015-09-21,14.26,14.82,12.58,12.62,489400,5693
2015-09-22,12.35,12.89,10.62,10.81,354200,5693
2015-09-23,10.93,11.2,10.7,10.79,68100,5693
2015-09-24,10.54,10.715,9.629,9.67,176522,5693
2015-09-25,9.83,10.35,9.65,9.73,136000,5693
2015-09-28,9.68,9.99,9.51,9.77,25566,5693
2015-09-29,9.52,9.8,9.22,9.3,18900,5693
2015-09-30,9.45,10.65,8.75,9.5,96500,5693
2015-10-01,9.25,9.52,9.02,9.23,82800,5693
2015-10-02,9.5,9.5,9.0,9.01,43500,5693
2015-10-05,9.16,9.979,9.16,9.75,59295,5693
2015-10-06,10.18,10.36,9.95,10.27,61100,5693
2015-10-07,10.02,10.54,9.81,10.27,126600,5693
2015-10-08,10.08,10.08,9.56,9.77,20200,5693
2015-10-09,9.6,9.99,9.6,9.86,11900,5693
2015-10-12,9.61,10.0,9.61,10.0,15320,5693
2015-10-13,9.94,10.33,9.81,10.06,34600,5693
2015-10-14,9.96,10.43,9.96,10.24,12800,5693
2015-10-15,10.04,10.25,10.0,10.0,14000,5693
2015-10-16,10.35,10.52,9.89,10.24,127300,5693
2015-10-19,10.28,10.28,9.92,9.92,11700,5693
2015-10-20,9.71,10.23,9.5,10.23,8467,5693
2015-10-21,10.27,10.27,9.5,10.04,14000,5693
2015-10-22,9.72,10.13,9.01,9.53,21400,5693
2015-10-23,9.76,10.16,8.92,9.57,29500,5693
2015-10-26,9.66,10.12,9.62,9.87,12100,5693
2015-10-27,9.8,10.16,9.52,9.83,10000,5693
2015-10-28,9.3,10.2,9.11,10.15,9800,5693
2015-10-29,9.99,10.16,9.96,9.96,3100,5693
2015-10-30,10.2,10.2,9.73,9.95,6500,5693
2015-11-02,10.11,10.2,9.99,10.087,4108,5693
2015-11-03,10.09,10.1,10.0,10.03,2000,5693
2015-11-04,10.03,10.149,10.0,10.0,3111,5693
2015-11-05,10.1,10.1,10.0,10.0,900,5693
2015-11-06,10.0,10.08,9.92,10.01,4200,5693
2015-11-09,10.09,10.19,9.99,10.045,9959,5693
2015-11-10,10.0,10.19,9.99,10.11,3400,5693
2015-11-11,10.24,10.24,9.49,9.99,11800,5693
2015-11-12,9.99,10.0,9.52,9.52,24700,5693
2015-11-13,9.86,9.95,9.34,9.68,332100,5693
2015-11-16,9.61,9.99,9.29,9.65,18500,5693
2015-11-17,9.78,9.98,9.75,9.87,10900,5693
2015-11-18,9.89,9.99,9.2,9.92,24800,5693
2015-11-19,9.91,9.98,9.81,9.98,25300,5693
2015-11-20,9.97,10.34,9.97,10.34,12700,5693
2015-11-23,10.15,10.26,10.0,10.23,12500,5693
2015-11-24,9.8,10.34,9.8,10.2,2000,5693
2015-11-25,9.99,10.24,9.99,10.01,6600,5693
2015-11-27,10.17,10.17,10.06,10.06,400,5693
2015-11-30,9.66,10.25,9.66,10.19,8300,5693
2015-12-01,10.2,10.25,9.93,9.93,13505,5693
2015-12-02,10.2,10.22,10.069,10.21,8790,5693
2015-12-03,10.3,10.69,10.08,10.239,9755,5693
2015-12-04,9.95,10.25,9.52,10.23,18100,5693
2015-12-07,10.09,10.09,9.53,9.67,24400,5693
2015-12-08,9.95,10.055,9.91,10.0,1881,5693
2015-12-09,9.74,10.11,9.54,9.67,17000,5693
2015-12-10,9.51,9.98,9.05,9.5,42500,5693
2015-12-11,9.32,9.7,9.04,9.17,24300,5693
2015-12-14,9.16,9.7,8.92,9.13,21208,5693
2015-12-15,9.39,9.64,8.79,9.04,42900,5693
2015-12-16,9.39,9.94,8.83,8.83,30500,5693
2015-12-17,8.51,9.33,8.51,8.66,46600,5693
2015-12-18,8.76,9.4,8.61,8.82,45200,5693
2015-12-21,9.07,9.35,8.99,9.19,14000,5693
2015-12-22,9.3,9.34,8.97,9.16,44371,5693
2015-12-23,9.03,9.41,8.89,9.18,54900,5693
2015-12-24,9.09,9.59,9.08,9.26,11560,5693
2015-12-28,9.2995,9.45,9.01,9.06,8788,5693
2015-12-29,9.3,9.69,8.74,9.235,14843,5693
2015-12-30,9.37,9.51,8.88,9.005,29893,5693
2015-12-31,9.08,9.62,8.9001,9.62,12557,5693
2016-01-04,9.55,9.8,8.7,9.515,6946,5693
2016-01-05,9.55,9.65,9.14,9.29,5405,5693
2016-01-06,8.9,9.23,8.9,9.09,31308,5693
2016-01-07,9.1,9.28,8.61,9.0112,20233,5693
2016-01-08,9.1,9.28,8.72,9.28,20779,5693
2016-01-11,9.36,9.48,9.04,9.35,5574,5693
2016-01-12,9.405,9.57,9.0,9.11,17953,5693
2016-01-13,9.27,9.4,7.48,7.93,122083,5693
2016-01-14,8.01,8.97,7.69,7.86,20353,5693
2016-01-15,7.74,7.97,6.75,7.4,71249,5693
2016-01-19,7.47,8.0,7.05,7.29,37000,5693
2016-01-20,7.11,7.4,6.91,7.25,29871,5693
2016-01-21,7.78,8.2499,7.15,7.15,26186,5693
2016-01-22,7.29,8.3138,7.15,7.8,35846,5693
2016-01-25,7.75,7.995,7.32,7.32,16298,5693
2016-01-26,7.46,7.91,6.74,6.83,33059,5693
2016-01-27,7.12,7.2435,6.61,6.845,19346,5693
2016-01-28,6.96,8.3,6.95,8.3,9270,5693
2016-01-29,8.5,8.6499,8.4,8.47,134339,5693
2016-02-01,8.62,8.62,7.59,8.37,99061,5693
2016-02-02,8.37,8.38,8.05,8.31,15329,5693
2016-02-03,8.31,8.37,8.02,8.11,23085,5693
2016-02-04,8.24,8.5,8.0397,8.3,17850,5693
2016-02-05,8.35,8.35,8.062,8.34,5962,5693
2016-02-08,8.5,8.5,8.05,8.25,16672,5693
2016-02-09,8.35,8.46,8.35,8.46,1606,5693
2016-02-10,8.41,8.5,8.25,8.25,29921,5693
2016-02-11,8.47,8.52,8.3,8.52,14376,5693
2016-02-12,8.52,8.52,8.4,8.52,11334,5693
