Date,Open,High,Low,Close,Volume,stock_id
2005-02-25,8.7303,9.619,8.6212,9.529,726044,6886
2005-02-28,9.529,9.719,9.3737,9.565,439654,6886
2005-03-01,9.719,9.866,9.2646,9.639,275557,6886
2005-03-02,9.519,10.144,9.3737,9.857,528945,6886
2005-03-03,9.892,10.246,9.619,9.774,481117,6886
2005-03-04,9.765,9.882,9.585,9.709,251217,6886
2005-03-07,10.236,10.236,9.857,9.917,1090442,6886
2005-03-08,9.892,10.119,9.619,9.709,583253,6886
2005-03-09,9.592,9.673,9.3008,9.3648,618365,6886
2005-03-10,9.3471,9.519,9.1202,9.2215,270779,6886
2005-03-11,9.1383,9.4025,9.0295,9.3372,548887,6886
2005-03-14,9.529,9.575,9.1105,9.4825,544664,6886
2005-03-15,9.592,9.936,9.565,9.774,1180803,6886
2005-03-16,9.755,9.982,9.619,9.954,264522,6886
2005-03-17,9.973,10.111,9.746,10.047,282521,6886
2005-03-18,10.047,10.363,9.992,10.31,469889,6886
2005-03-21,10.21,10.763,10.028,10.418,829982,6886
2005-03-22,10.427,10.427,9.946,10.028,490613,6886
2005-03-23,10.075,10.075,9.719,9.811,239979,6886
2005-03-24,9.973,10.21,9.801,10.075,358186,6886
2005-03-28,9.963,10.246,9.801,10.119,298771,6886
2005-03-29,10.075,10.075,9.882,9.926,381641,6886
2005-03-30,10.009,10.047,9.639,9.746,334927,6886
2005-03-31,9.801,9.982,9.629,9.709,457717,6886
2005-04-01,9.963,9.963,9.3372,9.4905,626300,6886
2005-04-04,9.4213,9.849,9.4025,9.755,331585,6886
2005-04-05,9.575,9.839,9.575,9.738,222916,6886
2005-04-06,9.899,10.0,9.69,9.783,184801,6886
2005-04-07,9.829,9.954,9.709,9.866,90638,6886
2005-04-08,9.774,10.0,9.774,9.882,183770,6886
2005-04-11,9.982,10.009,9.3925,9.556,144114,6886
2005-04-12,9.4123,9.874,9.4123,9.738,226977,6886
2005-04-13,9.783,9.811,9.529,9.639,198731,6886
2005-04-14,9.639,9.801,9.529,9.575,326913,6886
2005-04-15,9.3008,9.801,8.9026,9.4905,1183565,6886
2005-04-18,9.4825,9.892,9.4213,9.657,551192,6886
2005-04-19,9.665,9.849,9.665,9.829,372906,6886
2005-04-20,9.849,9.936,9.3925,9.4401,320912,6886
2005-04-21,9.4825,9.982,9.0747,9.665,1526062,6886
2005-04-22,10.065,12.841,10.057,12.188,8409435,6886
2005-04-25,12.06,13.36,12.034,13.14,3310842,6886
2005-04-26,12.996,13.222,12.595,12.785,2272773,6886
2005-04-27,12.66,13.43,12.297,13.077,928329,6886
2005-04-28,13.159,13.796,13.159,13.613,1380303,6886
2005-04-29,13.36,14.064,13.36,13.604,802233,6886
2005-05-02,13.613,13.796,13.43,13.604,676076,6886
2005-05-03,13.613,14.047,13.43,13.578,1030684,6886
2005-05-04,13.658,13.758,13.477,13.749,321570,6886
