Date,Open,High,Low,Close,Volume,stock_id
2015-10-21,25.03,25.05,24.91,24.91,84542,2559
2015-10-22,24.99,25.0,24.61,24.94,52259,2559
2015-10-23,24.94,25.0,24.94,24.95,38600,2559
2015-10-26,24.91,24.98,24.85,24.95,21430,2559
2015-10-27,25.0,25.02,24.76,24.84,46642,2559
2015-10-28,24.82,24.82,24.51,24.75,33030,2559
2015-10-29,24.93,24.93,24.795,24.85,18524,2559
2015-10-30,24.9,24.9,24.71,24.84,38149,2559
2015-11-02,24.93,24.93,24.75,24.86,40055,2559
2015-11-03,24.95,25.05,24.77,24.94,45698,2559
2015-11-04,24.93,24.93,24.78,24.83,66780,2559
2015-11-05,24.92,24.95,24.82,24.85,30589,2559
2015-11-06,24.85,24.93,24.7,24.86,21225,2559
2015-11-09,24.9,24.9,24.78,24.81,37469,2559
2015-11-10,24.75,24.8,24.13,24.27,47230,2559
2015-11-11,24.08,24.19,22.69,22.9,56018,2559
2015-11-12,22.01,22.34,21.13,21.71,242046,2559
2015-11-13,21.56,22.59,21.22,22.56,38334,2559
2015-11-16,22.609,22.769,22.59,22.68,15730,2559
2015-11-17,22.5,22.748,22.25,22.62,34672,2559
2015-11-18,22.33,22.6,20.77,21.0,140459,2559
2015-11-19,20.84,21.51,20.46,21.497,99193,2559
2015-11-20,21.12,21.475,20.983,21.03,46736,2559
2015-11-23,21.05,21.43,21.0,21.34,32524,2559
2015-11-24,21.45,22.17,21.25,21.85,29075,2559
2015-11-25,21.54,22.3,21.42,22.02,75201,2559
2015-11-27,22.072,22.304,21.968,22.12,8427,2559
2015-11-30,22.2,22.9,22.2,22.886,37327,2559
2015-12-01,22.8,22.8,22.1,22.44,19058,2559
2015-12-02,22.13,22.15,21.31,21.64,56597,2559
2015-12-03,21.45,21.7,21.07,21.25,27139,2559
2015-12-04,21.0,21.0,19.08,19.32,77334,2559
2015-12-07,18.55,18.55,15.93,16.57,182851,2559
2015-12-08,15.75,17.48,15.3,17.32,113022,2559
2015-12-09,17.5,18.99,17.5,18.89,76454,2559
2015-12-10,18.9,18.9,17.85,18.4,39288,2559
2015-12-11,18.4,18.51,16.65,16.84,119569,2559
2015-12-14,16.84,16.84,16.2,16.6,81064,2559
2015-12-15,16.491,17.229,16.21,16.85,86869,2559
2015-12-16,16.9,17.4,16.34,17.4,45112,2559
2015-12-17,17.25,17.534,16.65,17.06,56544,2559
2015-12-18,16.6,16.99,15.7,16.2,85522,2559
2015-12-21,16.2,18.15,15.9,17.69,126996,2559
2015-12-22,17.52,19.489,17.35,18.84,57865,2559
2015-12-23,19.34,19.85,19.1,19.542,65170,2559
2015-12-24,19.84,19.84,19.104,19.35,14996,2559
2015-12-28,19.0,19.35,18.16,18.65,62382,2559
2015-12-29,18.93,19.68,18.405,19.36,84965,2559
2015-12-30,19.25,19.566,18.78,19.05,54034,2559
2015-12-31,19.1475,19.85,19.05,19.74,64965,2559
2016-01-04,19.26,19.7162,19.09,19.67,21228,2559
2016-01-05,19.542,20.19,19.3001,19.85,42950,2559
2016-01-06,19.37,19.76,18.831,19.17,39657,2559
2016-01-07,18.69,19.4251,18.34,18.8,64137,2559
2016-01-08,18.52,19.43,18.52,19.1,31098,2559
2016-01-11,19.2,19.2625,18.06,18.55,67923,2559
2016-01-12,18.79,19.1,17.33,17.93,79729,2559
2016-01-13,18.2799,18.2799,16.64,16.99,90145,2559
2016-01-14,17.1,18.2399,16.73,17.86,71338,2559
2016-01-15,16.75,18.336,16.75,18.1,135309,2559
2016-01-19,17.9,17.9,17.9,17.9,0,2559
2016-01-20,17.8,18.96,17.15,18.61,84305,2559
2016-01-21,18.95,19.4704,18.63,19.08,38309,2559
2016-01-22,19.49,20.4,19.49,20.05,74566,2559
2016-01-25,20.29,20.81,19.01,19.07,89964,2559
2016-01-26,19.44,19.95,19.1,19.62,72907,2559
2016-01-27,19.37,20.23,19.37,19.88,14802,2559
2016-01-28,20.25,20.44,19.5,19.53,54111,2559
2016-01-29,19.6,19.9099,19.5,19.75,34542,2559
2016-02-01,19.5,19.8,19.25,19.69,30103,2559
2016-02-02,19.3,19.9,19.261,19.52,9234,2559
2016-02-03,19.7,20.55,19.6,20.4,15510,2559
2016-02-04,20.52,21.1,20.35,20.5,22176,2559
2016-02-05,20.7,21.74,20.5,21.45,59205,2559
2016-02-08,21.16,21.16,18.4986,18.53,96592,2559
2016-02-09,18.16,18.26,17.5,18.06,80150,2559
2016-02-10,18.44,18.4899,17.05,17.4,85326,2559
2016-02-11,17.3,17.806,17.15,17.34,47488,2559
2016-02-12,17.889,18.3,17.25,18.05,31008,2559
2016-02-16,18.3768,18.49,17.11,17.36,42788,2559
2016-02-17,18.21,18.85,18.1,18.75,31283,2559
2016-02-18,18.85,19.29,18.7,18.76,55193,2559
2016-02-19,18.7784,19.29,18.66,19.0283,17033,2559
2016-02-22,19.061,19.76,19.061,19.76,50206,2559
2016-02-23,19.96,20.38,19.575,20.2104,27941,2559
2016-02-24,20.16,20.55,19.47,20.24,66042,2559
2016-02-25,19.918,20.3,19.8,20.29,11204,2559
2016-02-26,20.168,20.6,20.168,20.6,24537,2559
2016-02-29,20.6,20.98,20.51,20.9,23941,2559
2016-03-01,20.99,21.4,20.735,21.2,45470,2559
2016-03-02,21.1,21.37,20.5344,21.15,22603,2559
2016-03-03,21.246,21.3815,20.802,21.35,55869,2559
2016-03-04,21.45,22.35,21.26,21.45,45014,2559
2016-03-07,21.6392,22.4,21.599,22.0,55245,2559
2016-03-08,21.9999,22.0,21.51,21.73,19745,2559
2016-03-09,21.99,21.99,21.06,21.3082,11064,2559
2016-03-10,21.5,21.72,21.45,21.5254,17492,2559
2016-03-11,21.0201,22.43,21.0201,22.429,20769,2559
2016-03-14,22.4099,22.73,22.0015,22.279,22535,2559
2016-03-15,22.01,22.5,21.75,21.75,13561,2559
2016-03-16,21.9756,22.5,21.9756,22.43,42318,2559
2016-03-17,22.43,22.895,22.22,22.78,46108,2559
2016-03-18,22.98,23.616,22.88,23.25,26931,2559
2016-03-21,23.338,23.338,22.8,23.09,18306,2559
2016-03-22,23.0299,23.0299,22.71,22.9028,11414,2559
2016-03-23,23.0,23.1,22.8,22.8,27099,2559
2016-03-24,22.58,22.752,22.24,22.5,17358,2559
2016-03-28,22.63,22.76,22.32,22.58,18407,2559
2016-03-29,22.36,22.97,22.33,22.8014,12482,2559
2016-03-30,23.0,23.0,22.66,22.8927,13216,2559
2016-03-31,22.95,23.7272,22.6045,23.7272,45844,2559
2016-04-01,23.37,23.68,23.16,23.58,30303,2559
2016-04-04,23.8,24.37,23.79,23.93,97715,2559
2016-04-05,23.78,24.09,23.68,24.08,57291,2559
