Date,Open,High,Low,Close,Volume,stock_id
2006-11-29,7.0,7.0,7.0,7.0,0,6517
2006-11-30,7.5,9.42,7.45,8.1,2167195,6517
2006-12-01,8.27,8.35,7.81,8.0,350009,6517
2006-12-04,8.05,8.1,7.8,7.96,159680,6517
2006-12-05,7.9,8.08,7.5,8.08,110134,6517
2006-12-06,7.98,9.5,7.95,9.5,534658,6517
2006-12-07,9.5,11.04,9.5,9.8,600807,6517
2006-12-08,10.05,10.2,9.22,9.88,153812,6517
2006-12-11,9.88,9.88,9.41,9.59,49880,6517
2006-12-12,9.46,9.46,8.75,9.15,191235,6517
2006-12-13,9.26,9.26,8.52,8.65,112684,6517
2006-12-14,8.6,9.56,8.25,9.38,201408,6517
2006-12-15,9.32,9.73,9.02,9.73,60100,6517
2006-12-18,9.73,9.73,9.04,9.3,20628,6517
2006-12-19,9.17,9.46,8.95,9.38,23617,6517
2006-12-20,9.44,9.77,9.39,9.5,44399,6517
2006-12-21,9.49,9.83,9.25,9.66,43431,6517
2006-12-22,9.74,9.74,9.35,9.35,152409,6517
2006-12-26,9.73,9.85,9.45,9.6,15158,6517
2006-12-27,10.01,10.01,9.35,9.58,46030,6517
2006-12-28,9.48,9.75,9.48,9.75,3354,6517
2006-12-29,9.48,9.75,9.47,9.72,17756,6517
2007-01-03,9.94,9.97,9.41,9.41,283057,6517
2007-01-04,9.41,9.5,9.25,9.35,297268,6517
2007-01-05,9.33,9.42,9.32,9.39,10833,6517
2007-01-08,9.19,9.52,9.1,9.5,29454,6517
2007-01-09,9.66,10.19,9.52,10.18,207875,6517
2007-01-10,10.24,10.24,9.95,10.01,56554,6517
2007-01-11,10.1,10.49,9.85,10.49,71207,6517
2007-01-12,10.39,10.84,10.37,10.84,70282,6517
2007-01-16,11.48,12.64,10.85,12.4,351438,6517
2007-01-17,12.41,12.5,11.8,11.86,368226,6517
2007-01-18,11.86,11.86,10.92,11.1,169016,6517
2007-01-19,10.95,11.19,10.25,11.13,152454,6517
2007-01-22,11.15,11.15,10.38,10.7,25477,6517
2007-01-23,10.87,11.08,10.76,11.07,25745,6517
2007-01-24,11.19,11.19,10.55,10.64,43870,6517
2007-01-25,10.56,10.56,9.88,9.99,73526,6517
2007-01-26,9.99,10.24,9.64,9.92,104078,6517
2007-01-29,9.99,10.14,9.81,10.01,42874,6517
2007-01-30,10.15,10.15,8.87,9.13,241979,6517
2007-01-31,9.03,9.59,8.33,9.42,166699,6517
2007-02-01,9.54,9.97,9.54,9.82,252414,6517
2007-02-02,9.84,9.84,9.01,9.23,225525,6517
2007-02-05,9.25,9.33,8.92,9.0,103317,6517
2007-02-06,9.0,9.39,9.0,9.15,189978,6517
2007-02-07,9.11,9.21,9.03,9.05,46093,6517
2007-02-08,9.11,9.11,8.79,8.9,126327,6517
2007-02-09,8.96,8.99,8.36,8.57,56439,6517
2007-02-12,8.51,8.8,8.4,8.61,90613,6517
2007-02-13,8.7,8.75,8.5,8.55,72168,6517
2007-02-14,8.59,8.64,8.29,8.35,95488,6517
2007-02-15,8.35,8.46,8.08,8.15,123748,6517
2007-02-16,8.25,8.48,8.1,8.18,69534,6517
2007-02-20,8.16,8.32,7.93,8.01,297971,6517
2007-02-21,7.92,8.05,7.8,7.91,142334,6517
2007-02-22,8.26,8.26,7.71,7.72,312510,6517
2007-02-23,7.7,7.97,7.62,7.95,50439,6517
2007-02-26,8.03,8.64,7.96,8.43,186719,6517
2007-02-27,8.3,8.37,8.1,8.25,102098,6517
2007-02-28,8.16,8.79,8.09,8.7,107220,6517
2007-03-01,8.7,8.7,8.36,8.45,71154,6517
2007-03-02,8.43,8.44,7.47,7.47,303741,6517
2007-03-05,7.22,7.42,6.72,6.84,313334,6517
2007-03-06,7.05,7.42,6.95,7.3,103644,6517
2007-03-07,7.38,7.65,7.21,7.45,110024,6517
2007-03-08,7.5,7.69,7.4,7.48,45318,6517
2007-03-09,7.51,7.51,7.2,7.26,18275,6517
2007-03-12,7.19,8.14,7.19,8.01,86330,6517
2007-03-13,8.07,8.08,7.42,7.42,45455,6517
2007-03-14,7.48,7.56,7.14,7.36,33308,6517
2007-03-15,7.69,7.69,7.43,7.46,37247,6517
2007-03-16,7.41,7.63,7.26,7.58,26662,6517
2007-03-19,7.67,7.98,7.41,7.67,19883,6517
2007-03-20,7.67,7.86,7.67,7.73,17955,6517
2007-03-21,7.8,7.98,7.8,7.85,54306,6517
2007-03-22,7.91,8.07,7.0,7.37,195644,6517
2007-03-23,7.31,7.66,7.01,7.44,57653,6517
2007-03-26,7.39,7.6,7.11,7.11,86637,6517
2007-03-27,7.06,7.2,7.0,7.06,53142,6517
2007-03-28,7.11,7.12,6.86,7.03,53569,6517
2007-03-29,7.13,7.13,6.78,6.93,48206,6517
2007-03-30,6.96,7.04,6.75,6.96,90625,6517
2007-04-02,6.95,7.0,6.83,6.94,229017,6517
2007-04-03,7.0,7.06,6.79,7.0,51515,6517
2007-04-04,6.87,7.02,6.8,6.87,88745,6517
2007-04-05,6.92,6.97,6.79,6.82,68980,6517
2007-04-09,7.0,7.0,6.9,6.96,28079,6517
2007-04-10,7.0,7.0,6.81,6.84,126842,6517
2007-04-11,6.9,6.9,6.3,6.31,181483,6517
2007-04-12,6.33,6.65,5.93,6.01,506202,6517
2007-04-13,6.06,6.21,5.86,5.89,172576,6517
2007-04-16,6.14,6.17,5.9,5.97,190784,6517
2007-04-17,4.85,4.85,4.21,4.29,1783262,6517
2007-04-18,4.29,4.44,4.21,4.34,636605,6517
2007-04-19,4.3,4.34,4.22,4.27,218857,6517
2007-04-20,4.35,4.35,4.0,4.0,324578,6517
2007-04-23,4.0,4.05,3.91,3.98,106562,6517
2007-04-24,4.02,4.04,3.76,3.81,168843,6517
2007-04-25,3.83,4.0,3.83,3.98,96669,6517
2007-04-26,4.01,4.06,3.98,4.0,156530,6517
2007-04-27,4.01,4.03,3.97,4.0,158306,6517
