Date,Open,High,Low,Close,Volume,stock_id
2005-02-25,8.19,8.3637,8.074,8.1569,30311,7050
2005-02-28,8.1569,8.7366,8.1072,8.5134,4423442,7050
2005-03-01,8.6126,9.068,8.6126,9.0014,125588,7050
2005-03-02,8.9839,8.9839,8.6784,8.8113,35985,7050
2005-03-03,8.8603,9.275,8.8603,9.1099,68228,7050
2005-03-04,9.1915,9.789,9.1915,9.755,84771,7050
2005-03-07,9.747,10.062,9.681,9.937,55670,7050
2005-03-08,9.855,10.145,9.829,10.103,54099,7050
2005-03-09,10.145,10.226,9.706,9.937,1983310,7050
2005-03-10,9.937,9.945,8.2149,8.3559,334255,7050
2005-03-11,8.314,8.6957,7.9415,8.0825,64484,7050
2005-03-14,8.0906,8.1735,8.0906,8.1238,22824,7050
2005-03-15,8.1238,8.1238,7.867,7.9002,532054,7050
2005-03-16,7.867,7.867,7.7013,7.7097,287401,7050
2005-03-17,7.7013,8.1983,7.6683,8.1156,15458,7050
2005-03-18,8.1156,8.1156,7.8835,7.9583,11228,7050
2005-03-21,7.95,7.9664,7.6518,7.8007,332201,7050
2005-03-22,7.7844,7.9086,7.7844,7.8256,9419,7050
2005-03-23,7.8256,7.8256,7.5772,7.6104,16424,7050
2005-03-24,7.5359,7.6601,7.5359,7.6187,23669,7050
2005-03-28,7.6187,7.6601,7.5524,7.5524,6039,7050
2005-03-29,7.5524,7.5772,7.4943,7.5359,39246,7050
2005-03-30,7.5524,7.7844,7.5359,7.6931,34657,7050
2005-03-31,7.6931,7.9086,7.6683,7.867,33330,7050
2005-04-01,7.95,7.9664,7.7097,7.7926,22461,7050
2005-04-04,7.7593,7.809,7.4529,7.5359,15819,7050
2005-04-05,7.5359,7.7429,7.5359,7.7263,10506,7050
2005-04-06,7.6435,7.8173,7.6104,7.6187,42748,7050
2005-04-07,7.6187,7.6187,7.3785,7.4448,447402,7050
2005-04-08,7.3702,7.4199,7.3287,7.3702,348504,7050
2005-04-11,7.3287,7.3702,7.1216,7.13,17871,7050
2005-04-12,7.1216,7.188,7.039,7.0887,71972,7050
2005-04-13,7.039,7.0805,6.9562,7.0058,16424,7050
2005-04-14,6.9562,6.9892,6.7904,6.8402,8331,7050
2005-04-15,6.832,6.832,6.7408,6.7408,1327,7050
2005-04-18,6.7077,6.7077,6.5007,6.5753,36589,7050
2005-04-19,6.5753,6.8816,6.4757,6.8816,7971,7050
2005-04-20,6.923,6.9562,6.7904,6.7988,136335,7050
2005-04-21,6.7904,6.832,6.7822,6.8235,67019,7050
2005-04-22,6.832,6.832,6.7658,6.832,9662,7050
2005-04-25,6.8235,6.8235,6.7491,6.7491,1449,7050
2005-04-26,6.7822,6.7822,6.7822,6.7822,120,7050
2005-04-27,6.7491,6.8733,6.7491,6.7904,50597,7050
2005-04-28,6.7904,6.832,6.6579,6.832,74869,7050
2005-04-29,6.8651,6.8651,6.7904,6.832,64484,7050
2005-05-02,6.7988,6.7988,6.7491,6.7904,2898,7050
2005-05-03,6.7904,6.9811,6.7904,6.9811,108803,7050
2005-05-04,7.0224,7.2543,7.0224,7.2543,140803,7050
2005-05-05,7.2957,7.2957,7.2708,7.279,61344,7050
2005-05-06,7.2874,7.304,7.279,7.279,15216,7050
2005-05-09,7.304,7.3371,7.2293,7.3371,64363,7050
2005-05-10,7.3287,7.4117,7.2459,7.3785,89722,7050
2005-05-11,7.3618,7.3618,7.2293,7.2376,5916,7050
2005-05-12,7.2376,7.3287,7.2376,7.3287,103367,7050
2005-05-13,7.2459,7.2459,7.2047,7.2459,1931,7050
2005-05-16,7.2626,7.3536,7.2047,7.3536,3866,7050
2005-05-17,7.3536,7.3785,7.3287,7.3702,62311,7050
2005-05-18,7.3702,7.4529,7.3702,7.4117,268079,7050
2005-05-19,7.4199,7.5359,7.4199,7.5276,156862,7050
2005-05-20,7.5276,7.5441,7.5111,7.5359,2658,7050
2005-05-23,7.5359,7.5938,7.5359,7.5938,1692,7050
2005-05-24,7.6187,7.6518,7.6187,7.6518,2174,7050
2005-05-25,7.6518,7.6601,7.6187,7.6435,3501,7050
2005-05-26,7.6518,7.6601,7.6518,7.6601,1086,7050
2005-05-27,7.7013,7.7263,7.5772,7.6601,54702,7050
2005-05-31,7.5772,7.867,7.4529,7.867,17510,7050
2005-06-01,7.8588,7.8588,7.6683,7.6683,131384,7050
2005-06-02,7.7429,8.2315,7.7263,8.2232,98659,7050
2005-06-03,8.1983,8.2812,8.1072,8.1072,6520,7050
2005-06-06,8.1156,8.1156,8.074,8.074,1812,7050
2005-06-07,8.0492,8.0492,7.9086,7.9086,18598,7050
2005-06-08,7.867,7.867,7.7097,7.7429,22342,7050
2005-06-09,7.7429,7.7429,7.7013,7.7013,30553,7050
2005-06-10,7.7013,7.867,7.7013,7.867,32726,7050
2005-06-13,7.8588,7.867,7.7676,7.7844,40574,7050
2005-06-14,7.7844,7.9914,7.6848,7.9664,46613,7050
2005-06-15,7.9583,8.1403,7.9415,8.1319,117255,7050
2005-06-16,8.2149,8.389,8.2149,8.2812,46733,7050
2005-06-17,8.2812,8.3559,8.1569,8.1569,17390,7050
2005-06-20,8.2315,8.3637,8.2315,8.3637,31639,7050
2005-06-21,8.306,8.306,8.2728,8.2894,37434,7050
2005-06-22,8.2812,8.4466,8.2812,8.3637,34535,7050
2005-06-23,8.3226,8.3637,8.2812,8.3304,7971,7050
2005-06-24,8.3559,8.3559,8.1983,8.2644,5434,7050
2005-06-27,8.2232,8.2562,8.1651,8.1651,966,7050
2005-06-28,8.1238,8.1651,7.9914,8.1569,76680,7050
2005-06-29,8.1983,8.2728,8.1983,8.1983,16181,7050
2005-06-30,8.2397,8.2397,7.983,8.1486,35261,7050
2005-07-01,8.1569,8.1983,8.1156,8.1156,30311,7050
2005-07-05,8.1072,8.1072,8.0327,8.0825,1812,7050
2005-07-06,8.0906,8.0906,8.0825,8.0825,483,7050
2005-07-07,8.0825,8.0825,8.0327,8.0327,166524,7050
2005-07-08,7.95,8.1072,7.95,8.0492,3985,7050
2005-07-11,8.0575,8.0575,8.0575,8.0575,120,7050
2005-07-13,8.0575,8.1156,7.9914,8.0327,13647,7050
2005-07-14,8.074,8.1983,8.074,8.1983,3260,7050
2005-07-15,8.2149,8.2812,8.1735,8.2812,35985,7050
2005-07-18,8.2812,8.2977,8.2397,8.2397,3622,7050
2005-07-19,8.2315,8.2315,8.2065,8.2065,1086,7050
2005-07-20,8.1238,8.1983,7.9996,8.1319,244291,7050
2005-07-21,8.1819,8.2065,8.1819,8.1819,1207,7050
2005-07-22,8.2149,8.2812,8.1983,8.2562,121965,7050
2005-07-25,8.0658,8.2065,8.0658,8.1819,4227,7050
2005-07-26,8.2065,8.248,8.2065,8.248,1931,7050
2005-07-27,8.2812,8.5296,8.2812,8.4056,45766,7050
2005-07-28,8.5296,8.5296,8.2812,8.314,187899,7050
2005-07-29,8.2315,8.4466,8.1569,8.4466,27895,7050
2005-08-01,8.4632,8.6126,8.4632,8.6126,23548,7050
2005-08-02,8.6957,8.9021,8.5707,8.6957,10385,7050
2005-08-03,8.6126,8.7276,8.4885,8.6957,56031,7050
2005-08-04,8.6957,8.6957,8.4134,8.5207,4830,7050
2005-08-05,7.7429,8.4056,7.7429,8.248,37674,7050
