Date,Open,High,Low,Close,Volume,stock_id
2005-02-25,9.913,9.952,9.865,9.927,47727,5915
2005-02-28,10.001,10.001,9.888,9.898,94414,5915
2005-03-01,9.92,9.92,9.873,9.888,56176,5915
2005-03-02,9.898,9.898,9.865,9.888,44459,5915
2005-03-03,9.888,9.927,9.848,9.865,80781,5915
2005-03-04,9.848,9.92,9.848,9.888,35275,5915
2005-03-07,9.848,9.92,9.848,9.913,28307,5915
2005-03-08,9.88,9.92,9.819,9.873,64773,5915
2005-03-09,9.898,9.898,9.709,9.774,99761,5915
2005-03-10,9.75,9.786,9.716,9.77,73518,5915
2005-03-11,9.75,9.75,9.646,9.653,40617,5915
2005-03-14,9.653,9.653,9.541,9.541,43727,5915
2005-03-15,9.574,9.574,9.488,9.514,69217,5915
2005-03-16,9.4518,9.4959,9.4066,9.43,94414,5915
2005-03-17,9.43,9.4959,9.43,9.4601,43871,5915
2005-03-18,9.481,9.4959,9.4145,9.4145,69368,5915
2005-03-21,9.4145,9.4681,9.3516,9.377,83598,5915
2005-03-22,9.382,9.4007,9.3187,9.338,39728,5915
2005-03-23,9.3098,9.3098,9.122,9.1704,58107,5915
2005-03-24,9.1373,9.18,9.1154,9.1512,56176,5915
2005-03-28,9.1512,9.1704,9.0888,9.1298,75449,5915
2005-03-29,9.1579,9.1637,9.0942,9.0942,40466,5915
2005-03-30,9.1009,9.1637,9.1009,9.1637,60769,5915
2005-03-31,9.2119,9.3458,9.2119,9.3458,56771,5915
2005-04-01,9.581,9.581,9.377,9.4145,65369,5915
2005-04-04,9.4145,9.474,9.3516,9.4222,57809,5915
2005-04-05,9.4145,9.4959,9.4145,9.4518,41951,5915
2005-04-06,9.474,9.52,9.4518,9.52,22829,5915
2005-04-07,9.52,9.56,9.488,9.488,20753,5915
2005-04-08,9.507,9.507,9.3721,9.3721,46686,5915
2005-04-11,9.3898,9.3937,9.3458,9.3644,45956,5915
2005-04-12,9.3721,9.3937,9.338,9.3937,25492,5915
2005-04-13,9.3721,9.4145,9.3596,9.4066,40173,5915
2005-04-14,9.4145,9.4222,9.3644,9.3644,34538,5915
2005-04-15,9.3644,9.4518,9.3596,9.4066,33353,5915
2005-04-18,9.4066,9.4681,9.382,9.4681,44618,5915
2005-04-19,9.43,9.528,9.4145,9.528,56922,5915
2005-04-20,9.528,9.528,9.43,9.488,23566,5915
2005-04-21,9.4601,9.507,9.4518,9.4518,39869,5915
2005-04-22,9.488,9.502,9.4518,9.502,46248,5915
2005-04-25,9.502,9.502,9.4518,9.474,26984,5915
2005-04-26,9.4601,9.502,9.4518,9.4959,32756,5915
2005-04-27,9.502,9.541,9.474,9.541,39728,5915
2005-04-28,9.507,9.578,9.507,9.567,22973,5915
2005-04-29,9.574,9.632,9.574,9.616,29048,5915
2005-05-02,9.639,9.653,9.581,9.653,70411,5915
2005-05-03,9.653,9.685,9.616,9.662,32756,5915
2005-05-04,9.662,9.704,9.653,9.677,26984,5915
2005-05-05,9.677,9.696,9.646,9.677,52320,5915
2005-05-06,9.581,9.632,9.567,9.624,40907,5915
2005-05-09,9.578,9.646,9.52,9.646,61369,5915
2005-05-10,9.616,9.704,9.616,9.653,117094,5915
2005-05-11,9.632,9.653,9.547,9.588,65369,5915
2005-05-12,9.632,9.639,9.578,9.632,44758,5915
2005-05-13,9.662,9.677,9.632,9.677,40173,5915
2005-05-16,9.685,9.704,9.639,9.677,51729,5915
2005-05-17,9.685,9.709,9.624,9.704,62550,5915
2005-05-18,9.709,9.723,9.685,9.716,71152,5915
2005-05-19,9.716,9.731,9.696,9.731,25645,5915
2005-05-20,9.731,9.744,9.685,9.685,41063,5915
2005-05-23,9.709,9.781,9.709,9.716,50996,5915
2005-05-24,9.716,9.88,9.685,9.75,115331,5915
2005-05-25,9.774,9.813,9.731,9.75,132220,5915
2005-05-26,9.75,9.781,9.704,9.709,39728,5915
2005-05-27,9.731,9.781,9.716,9.77,40466,5915
2005-05-31,9.848,9.856,9.763,9.856,89082,5915
2005-06-01,9.888,9.982,9.848,9.963,76191,5915
2005-06-02,9.963,10.016,9.92,9.974,49212,5915
2005-06-03,9.947,10.024,9.947,10.016,67002,5915
2005-06-06,10.016,10.024,9.952,10.024,35135,5915
2005-06-07,9.952,10.024,9.952,10.016,50102,5915
2005-06-08,10.016,10.016,9.952,9.982,55737,5915
2005-06-09,9.947,9.952,9.873,9.92,56469,5915
2005-06-10,9.873,9.873,9.763,9.834,57064,5915
2005-06-13,9.731,9.77,9.704,9.716,58399,5915
2005-06-14,9.696,9.744,9.653,9.716,62700,5915
2005-06-15,9.716,9.744,9.677,9.731,41800,5915
2005-06-16,9.744,9.826,9.704,9.826,48175,5915
2005-06-17,9.865,9.898,9.826,9.898,49953,5915
2005-06-20,9.88,9.888,9.848,9.88,23124,5915
2005-06-21,9.848,9.947,9.826,9.907,48768,5915
2005-06-22,9.92,9.952,9.894,9.94,46097,5915
2005-06-23,9.947,9.947,9.898,9.898,26086,5915
2005-06-24,9.913,9.933,9.888,9.888,34093,5915
2005-06-27,9.888,9.94,9.888,9.907,56629,5915
2005-06-28,9.894,9.933,9.888,9.898,45208,5915
2005-06-29,9.913,9.947,9.894,9.947,11558,5915
2005-06-30,9.974,9.974,9.907,9.92,57953,5915
2005-07-01,9.974,9.974,9.898,9.933,45359,5915
2005-07-05,9.952,9.959,9.92,9.947,31576,5915
2005-07-06,9.933,9.982,9.92,9.982,51886,5915
2005-07-07,10.016,10.016,9.94,9.974,38540,5915
2005-07-08,9.969,10.061,9.969,10.016,40617,5915
2005-07-11,9.988,10.016,9.974,10.016,38681,5915
2005-07-12,10.053,10.053,9.974,10.044,44322,5915
2005-07-13,10.001,10.016,9.92,9.969,49656,5915
2005-07-14,9.974,9.974,9.952,9.974,17640,5915
2005-07-15,9.963,9.982,9.963,9.982,21342,5915
2005-07-18,10.001,10.001,9.92,9.927,29048,5915
2005-07-19,9.927,9.963,9.92,9.963,28753,5915
2005-07-20,9.963,9.988,9.92,9.963,55292,5915
2005-07-21,9.963,9.974,9.865,9.913,49357,5915
2005-07-22,9.913,9.92,9.888,9.894,53809,5915
2005-07-25,9.88,9.92,9.88,9.888,25790,5915
2005-07-26,9.92,9.947,9.888,9.947,39277,5915
2005-07-27,9.963,10.009,9.927,9.994,37654,5915
2005-07-28,9.982,10.044,9.974,10.044,14074,5915
2005-07-29,10.075,10.075,9.952,10.024,56028,5915
2005-08-01,10.075,10.075,9.959,10.001,43727,5915
2005-08-02,9.988,10.044,9.927,9.947,60923,5915
2005-08-03,9.974,10.001,9.927,9.969,42839,5915
2005-08-04,10.001,10.016,9.94,10.001,42393,5915
2005-08-05,10.036,10.036,9.92,9.963,32756,5915
2005-08-08,9.982,9.982,9.933,9.963,40907,5915
2005-08-09,9.982,9.988,9.952,9.988,31128,5915
2005-08-10,9.974,9.988,9.933,9.952,46097,5915
2005-08-11,9.952,9.952,9.913,9.94,25941,5915
2005-08-12,9.952,9.982,9.888,9.913,40765,5915
2005-08-15,9.894,9.969,9.88,9.888,45506,5915
2005-08-16,9.92,9.94,9.88,9.913,29792,5915
2005-08-17,9.913,9.92,9.888,9.907,31576,5915
2005-08-18,9.888,9.92,9.88,9.88,34983,5915
2005-08-19,9.888,9.888,9.848,9.873,22087,5915
2005-08-22,9.88,9.888,9.826,9.84,26535,5915
2005-08-23,9.819,9.894,9.792,9.865,46838,5915
2005-08-24,9.792,9.888,9.792,9.856,54250,5915
2005-08-25,9.834,9.898,9.813,9.888,38248,5915
2005-08-26,9.888,9.888,9.806,9.873,49656,5915
2005-08-29,9.888,9.898,9.856,9.888,28601,5915
2005-08-30,9.888,9.92,9.865,9.907,58107,5915
2005-08-31,9.913,9.927,9.865,9.898,53215,5915
2005-09-01,9.92,9.94,9.873,9.907,35135,5915
2005-09-02,9.927,9.988,9.873,9.988,44758,5915
2005-09-06,9.963,9.988,9.927,9.959,25049,5915
2005-09-07,9.959,10.009,9.959,9.982,26237,5915
2005-09-08,9.994,10.009,9.969,10.001,39869,5915
2005-09-09,10.001,10.031,9.994,10.031,40907,5915
2005-09-12,10.009,10.053,10.009,10.053,38681,5915
2005-09-13,9.988,10.016,9.982,10.009,17787,5915
2005-09-14,10.016,10.031,9.982,9.994,40173,5915
2005-09-15,9.982,9.988,9.865,9.873,72337,5915
2005-09-16,9.84,9.865,9.781,9.781,77222,5915
2005-09-19,9.826,9.834,9.799,9.799,8154,5915
2005-09-20,9.826,9.826,9.709,9.723,52177,5915
2005-09-21,9.744,9.781,9.704,9.781,70411,5915
2005-09-22,9.75,9.756,9.646,9.723,67002,5915
2005-09-23,9.723,9.731,9.685,9.731,34238,5915
2005-09-26,9.731,9.75,9.692,9.744,31720,5915
2005-09-27,9.75,9.75,9.685,9.704,64624,5915
2005-09-28,9.685,9.781,9.685,9.781,49511,5915
2005-09-29,9.781,9.781,9.685,9.716,62108,5915
2005-09-30,9.75,9.75,9.704,9.723,41063,5915
2005-10-03,9.756,9.77,9.716,9.763,49805,5915
2005-10-04,9.781,9.781,9.716,9.75,42982,5915
2005-10-05,9.716,9.781,9.716,9.75,48473,5915
2005-10-06,9.716,9.756,9.696,9.704,33647,5915
2005-10-07,9.723,9.75,9.696,9.75,29792,5915
2005-10-10,9.709,9.756,9.709,9.75,10082,5915
2005-10-11,9.781,9.907,9.756,9.774,30388,5915
2005-10-12,9.692,9.692,9.653,9.662,20158,5915
2005-10-13,9.662,9.677,9.514,9.541,20903,5915
2005-10-14,9.502,9.609,9.502,9.514,61369,5915
2005-10-17,9.507,9.578,9.4681,9.488,43727,5915
2005-10-18,9.4601,9.488,9.43,9.4681,53506,5915
2005-10-19,9.43,9.4959,9.3898,9.3898,89082,5915
