Date,Open,High,Low,Close,Volume,stock_id
2012-01-05,9.68,10.2,9.68,10.2,110,6537
2012-01-06,9.92,10.0,9.28,9.32,680,6537
2012-01-09,9.04,9.04,8.48,9.0,4371,6537
2012-01-10,8.8,9.08,8.76,8.8,2694,6537
2012-01-11,8.84,9.08,8.84,9.08,1658,6537
2012-01-12,9.12,9.32,9.0,9.28,483,6537
2012-01-13,9.4,10.32,9.4,9.64,718,6537
2012-01-18,10.2,10.2,9.8,9.92,402,6537
2012-01-19,10.16,10.2,9.36,9.36,1951,6537
2012-01-20,9.8,10.36,9.8,10.36,1736,6537
2012-01-23,10.2,11.16,10.0,10.6,476,6537
2012-01-24,10.04,11.2,9.32,9.32,1246,6537
2012-01-25,9.28,10.16,8.8,8.8,2026,6537
2012-01-26,9.76,11.0,8.96,10.4,2760,6537
2012-01-27,11.2,11.2,9.88,10.8,2903,6537
2012-01-30,10.2,11.2,9.88,10.32,1147,6537
2012-01-31,10.6,10.64,10.04,10.12,500,6537
2012-02-01,10.6,10.6,10.12,10.12,959,6537
2012-02-02,10.48,10.48,10.08,10.12,479,6537
2012-02-03,10.12,10.36,9.12,9.4,2447,6537
2012-02-06,9.4,9.8,9.04,9.28,1971,6537
2012-02-07,10.2,11.2,9.4,11.2,4484,6537
2012-02-08,10.84,11.0,9.0,10.88,5907,6537
2012-02-09,10.12,10.72,9.56,10.4,3979,6537
2012-02-10,9.72,10.72,9.0,9.4,2501,6537
2012-02-13,9.8,10.72,9.28,9.44,1714,6537
2012-02-14,9.44,9.96,9.44,9.96,436,6537
2012-02-15,9.12,10.04,9.0,10.04,1013,6537
2012-02-16,9.36,10.04,9.36,9.96,972,6537
2012-02-17,9.28,10.52,9.28,10.08,241,6537
2012-02-21,10.12,10.36,9.0,9.96,1239,6537
2012-02-22,10.08,10.44,9.52,9.52,202,6537
2012-02-23,9.32,9.4,9.0,9.2,650,6537
2012-02-24,9.2,9.36,9.2,9.36,1653,6537
2012-02-27,8.68,9.76,8.64,9.04,1370,6537
2012-02-28,9.16,9.56,8.84,8.88,1883,6537
2012-02-29,8.96,9.28,8.96,9.24,250,6537
2012-03-01,9.08,9.12,8.12,8.92,778,6537
2012-03-02,8.84,8.92,8.52,8.72,781,6537
2012-03-05,8.68,9.4,8.52,9.04,649,6537
2012-03-06,9.2,9.2,8.32,8.44,1682,6537
2012-03-08,8.84,10.36,8.48,9.36,2175,6537
2012-03-09,9.68,9.68,8.92,8.92,84,6537
2012-03-12,9.28,9.6,8.92,9.04,1330,6537
2012-03-13,9.48,9.88,9.48,9.48,465,6537
2012-03-14,9.0,9.72,9.0,9.72,594,6537
2012-03-15,9.24,9.24,9.08,9.24,561,6537
2012-03-16,9.28,9.88,9.24,9.28,713,6537
2012-03-19,9.24,9.48,9.2,9.24,750,6537
2012-03-20,9.28,9.32,9.2,9.24,5563,6537
2012-03-21,9.28,9.4,9.2,9.24,1780,6537
2012-03-22,9.24,9.8,9.2,9.8,743,6537
2012-03-23,9.56,9.76,9.52,9.52,384,6537
2012-03-26,9.52,9.8,9.24,9.6,764,6537
2012-03-27,9.56,9.76,9.56,9.6,239,6537
2012-03-28,9.64,9.84,9.6,9.6,900,6537
2012-03-29,9.68,9.68,9.4,9.4,185,6537
2012-03-30,9.6,9.76,9.2,9.76,350,6537
