Date,Open,High,Low,Close,Volume,stock_id
2005-02-25,16.9,17.09,16.9,17.0,251900,3205
2005-02-28,17.1,17.71,17.05,17.6,67300,3205
2005-03-01,17.8,19.45,17.8,19.42,299700,3205
2005-03-02,19.47,20.0,19.25,19.99,132100,3205
2005-03-03,20.85,20.85,19.96,20.43,279200,3205
2005-03-04,20.6,20.76,20.25,20.46,165800,3205
2005-03-07,20.45,20.52,20.24,20.45,63800,3205
2005-03-08,20.45,20.5,20.17,20.18,218000,3205
2005-03-09,20.13,20.15,19.59,19.95,69100,3205
2005-03-10,19.85,19.85,19.16,19.16,64300,3205
2005-03-11,19.21,19.21,18.92,19.16,48800,3205
2005-03-14,19.1,19.53,19.05,19.28,35200,3205
2005-03-15,19.35,19.35,19.03,19.25,80900,3205
2005-03-16,19.25,19.84,19.17,19.57,80500,3205
2005-03-17,19.65,20.65,19.5,20.21,165400,3205
2005-03-18,20.3,20.3,19.33,19.59,128600,3205
2005-03-21,19.59,19.6,19.04,19.05,233700,3205
2005-03-22,19.15,19.17,18.75,18.9,111800,3205
2005-03-23,18.93,19.4,18.93,19.27,104200,3205
2005-03-24,19.35,19.75,19.25,19.54,53600,3205
2005-03-28,19.52,19.96,19.52,19.96,26300,3205
2005-03-29,19.8,19.8,18.75,18.8,97100,3205
2005-03-30,19.0,19.2,18.8,19.1,84300,3205
2005-03-31,18.95,20.85,18.62,20.07,226000,3205
2005-04-01,20.01,20.1,19.5,19.64,98300,3205
2005-04-04,19.75,19.75,19.25,19.34,34800,3205
2005-04-05,19.35,19.8,19.3,19.49,33400,3205
2005-04-06,19.65,19.8,18.98,19.58,106800,3205
2005-04-07,19.75,19.75,19.1,19.55,52400,3205
2005-04-08,19.7,19.7,18.68,18.68,88200,3205
2005-04-11,18.72,18.75,18.32,18.5,90200,3205
2005-04-12,18.5,18.77,18.32,18.77,225200,3205
2005-04-13,18.65,18.8,18.36,18.38,66700,3205
2005-04-14,18.3,18.35,17.65,17.65,96200,3205
2005-04-15,17.63,17.86,17.38,17.39,56500,3205
2005-04-18,17.39,18.08,17.39,18.02,52100,3205
2005-04-19,18.02,18.15,17.85,18.03,40200,3205
2005-04-20,18.04,18.08,17.15,17.15,85200,3205
2005-04-21,17.4,18.15,17.4,17.89,164700,3205
2005-04-22,17.95,18.06,16.41,17.35,72700,3205
2005-04-25,17.43,18.0,17.43,17.7,46200,3205
2005-04-26,17.75,17.85,16.77,16.78,92300,3205
2005-04-27,16.88,17.82,16.88,17.64,84700,3205
2005-04-28,17.63,20.0,17.56,18.63,205300,3205
2005-04-29,18.8,19.5,18.29,19.18,75900,3205
2005-05-02,19.43,19.98,19.35,19.53,47800,3205
2005-05-03,19.78,19.79,19.52,19.53,36400,3205
2005-05-04,19.76,19.76,19.41,19.41,43000,3205
2005-05-05,18.25,18.8,18.15,18.41,234700,3205
2005-05-06,18.66,19.12,18.56,19.12,73600,3205
2005-05-09,19.39,19.5,19.14,19.25,76000,3205
2005-05-10,19.27,19.32,18.76,18.85,60900,3205
2005-05-11,18.85,19.06,18.75,18.98,25400,3205
2005-05-12,19.0,19.0,18.35,18.5,112200,3205
2005-05-13,18.65,18.69,17.8,18.09,117000,3205
2005-05-16,18.33,18.64,18.3,18.56,126300,3205
2005-05-17,18.56,18.65,18.28,18.39,85400,3205
2005-05-18,18.45,18.91,18.4,18.8,289800,3205
2005-05-19,18.8,19.75,18.48,18.7,305400,3205
2005-05-20,18.8,18.83,18.6,18.8,88700,3205
2005-05-23,18.8,18.84,18.54,18.54,114600,3205
2005-05-24,18.62,18.95,18.5,18.69,68800,3205
2005-05-25,18.79,18.87,18.35,18.4,55500,3205
2005-05-26,18.38,18.76,18.38,18.5,58800,3205
2005-05-27,18.51,18.53,18.24,18.31,59600,3205
2005-05-31,18.3,18.3,17.9,18.2,209900,3205
2005-06-01,18.22,18.45,17.9,18.19,65400,3205
2005-06-02,18.25,19.1,18.25,18.65,159500,3205
2005-06-03,18.65,19.0,18.48,18.74,27500,3205
2005-06-06,18.74,19.0,18.6,18.96,197000,3205
2005-06-07,19.0,19.2,18.83,18.95,407800,3205
2005-06-08,18.75,18.78,18.2,18.45,161600,3205
2005-06-09,18.35,18.55,18.19,18.55,55200,3205
2005-06-10,18.5,18.5,18.3,18.43,32500,3205
2005-06-13,18.43,19.38,18.4,19.1,154500,3205
2005-06-14,19.35,19.35,19.01,19.09,77300,3205
2005-06-15,19.16,19.6,18.9,19.6,217400,3205
2005-06-16,19.6,19.85,19.27,19.48,43100,3205
2005-06-17,19.48,19.7,19.2,19.69,66400,3205
2005-06-20,19.5,19.5,18.78,19.38,110900,3205
2005-06-21,19.48,19.5,19.26,19.5,32100,3205
2005-06-22,19.5,19.84,19.46,19.84,78500,3205
2005-06-23,19.89,20.23,19.77,19.95,188400,3205
2005-06-24,19.8,20.21,19.18,20.17,214100,3205
2005-06-27,19.93,19.99,19.6,19.69,57500,3205
2005-06-28,19.69,20.87,19.69,20.86,86100,3205
2005-06-29,20.61,20.9,20.2,20.7,130700,3205
2005-06-30,20.71,22.0,20.71,21.06,286300,3205
2005-07-01,21.12,21.85,21.12,21.37,100700,3205
2005-07-05,21.35,22.0,21.31,21.83,131200,3205
2005-07-06,21.95,22.59,21.86,22.29,169900,3205
2005-07-07,21.79,22.13,21.42,22.13,122400,3205
2005-07-08,22.28,22.99,22.2,22.92,76500,3205
2005-07-11,22.92,23.25,21.45,21.98,106300,3205
2005-07-12,22.02,22.7,21.88,22.41,188800,3205
2005-07-13,22.47,22.65,22.4,22.43,138200,3205
2005-07-14,22.25,22.55,22.25,22.5,303000,3205
2005-07-15,22.45,22.5,22.0,22.42,94000,3205
2005-07-18,22.3,22.64,22.1,22.64,183500,3205
2005-07-19,22.84,23.23,22.76,23.0,205800,3205
2005-07-20,23.0,23.48,22.95,23.45,209600,3205
2005-07-21,23.55,24.13,23.55,24.05,306200,3205
2005-07-22,24.05,24.24,23.86,24.24,90800,3205
2005-07-25,24.28,24.28,23.91,24.1,169100,3205
2005-07-26,24.15,24.15,23.36,23.76,204900,3205
2005-07-27,23.78,23.96,23.68,23.9,106100,3205
2005-07-28,23.9,23.99,23.77,23.9,244100,3205
2005-07-29,23.9,23.9,23.33,23.54,165600,3205
2005-08-01,23.5,23.5,22.27,22.9,330000,3205
2005-08-02,22.95,22.96,21.98,22.69,310600,3205
2005-08-03,22.34,23.1,22.25,23.1,87400,3205
2005-08-04,22.77,22.77,21.5,22.0,370700,3205
2005-08-05,21.85,21.85,21.15,21.27,110100,3205
2005-08-08,21.31,21.6,20.84,21.08,102200,3205
2005-08-09,21.18,21.4,20.63,20.95,67500,3205
2005-08-10,21.05,21.45,21.05,21.2,52800,3205
2005-08-11,21.27,21.56,21.22,21.35,33400,3205
2005-08-12,21.25,21.25,20.85,21.11,29900,3205
2005-08-15,21.0,21.05,20.07,20.31,217600,3205
2005-08-16,20.22,20.75,19.85,20.12,88600,3205
2005-08-17,20.25,20.54,20.02,20.11,34500,3205
2005-08-18,18.8,19.37,18.77,19.07,183800,3205
2005-08-19,19.1,19.15,18.8,18.95,56000,3205
2005-08-22,18.92,18.97,18.25,18.57,114800,3205
2005-08-23,18.5,18.56,18.19,18.25,41900,3205
2005-08-24,18.25,18.5,18.0,18.1,84900,3205
2005-08-25,18.2,18.27,17.61,17.98,63400,3205
2005-08-26,18.0,18.0,17.51,17.54,38700,3205
2005-08-29,17.4,17.4,17.07,17.21,85700,3205
2005-08-30,17.2,17.26,16.77,17.21,180100,3205
2005-08-31,17.21,17.26,16.62,16.88,177800,3205
2005-09-01,16.8,16.85,15.7,16.0,289900,3205
2005-09-02,15.85,16.04,15.76,15.95,116600,3205
2005-09-06,16.0,16.05,15.53,15.89,270100,3205
2005-09-07,15.85,15.88,15.46,15.67,470500,3205
2005-09-08,15.63,15.66,15.15,15.32,272600,3205
2005-09-09,15.35,15.57,15.1,15.48,65300,3205
2005-09-12,15.54,15.59,15.4,15.47,96200,3205
2005-09-13,15.45,15.55,15.25,15.29,380800,3205
