Date,Open,High,Low,Close,Volume,stock_id
2005-02-25,10.403,10.497,10.403,10.497,5620,2487
2005-02-28,10.272,10.491,10.272,10.419,48264,2487
2005-03-01,10.346,10.491,10.346,10.444,26738,2487
2005-03-02,10.444,10.491,10.427,10.427,17376,2487
2005-03-03,10.375,10.458,10.375,10.458,11371,2487
2005-03-04,10.475,10.491,10.436,10.444,13104,2487
2005-03-07,10.444,10.458,10.375,10.403,17244,2487
2005-03-08,10.419,10.484,10.419,10.484,17111,2487
2005-03-09,10.458,10.497,10.411,10.458,11896,2487
2005-03-10,10.451,10.451,10.382,10.419,12833,2487
2005-03-11,10.331,10.427,10.322,10.427,17510,2487
2005-03-14,10.419,10.419,10.346,10.358,23926,2487
2005-03-15,10.403,10.403,10.287,10.358,19245,2487
2005-03-16,10.353,10.375,10.322,10.358,13908,2487
2005-03-17,10.382,10.382,10.295,10.309,7883,2487
2005-03-18,10.317,10.367,10.279,10.339,15106,2487
2005-03-21,10.358,10.367,10.239,10.264,13499,2487
2005-03-22,10.224,10.272,10.191,10.196,17782,2487
2005-03-23,10.151,10.151,10.039,10.114,26467,2487
2005-03-24,10.16,10.191,10.047,10.047,11630,2487
2005-03-28,10.047,10.217,10.03,10.069,26339,2487
2005-03-29,10.1,10.144,10.022,10.084,10020,2487
2005-03-30,10.03,10.203,10.03,10.16,21120,2487
2005-03-31,10.224,10.287,10.084,10.084,43441,2487
2005-04-01,10.232,10.264,10.137,10.175,22054,2487
2005-04-04,10.129,10.217,10.107,10.144,5620,2487
2005-04-05,10.144,10.16,10.1,10.129,16714,2487
2005-04-06,10.151,10.151,10.092,10.151,10557,2487
2005-04-07,10.224,10.256,10.123,10.239,22326,2487
2005-04-08,10.287,10.427,10.232,10.339,32618,2487
2005-04-11,10.264,10.346,10.16,10.248,21789,2487
2005-04-12,10.232,10.475,10.217,10.458,23795,2487
2005-04-13,10.382,10.475,10.331,10.475,18851,2487
2005-04-14,10.475,10.475,10.353,10.367,14171,2487
2005-04-15,10.339,10.358,10.331,10.353,8824,2487
2005-04-18,10.331,10.331,10.303,10.303,18851,2487
2005-04-19,10.353,10.367,10.256,10.309,16175,2487
2005-04-20,10.232,10.309,10.211,10.211,16310,2487
2005-04-21,10.264,10.451,10.211,10.394,32352,2487
2005-04-22,10.403,10.451,10.403,10.451,6814,2487
2005-04-25,10.382,10.491,10.382,10.411,11371,2487
2005-04-26,10.458,10.504,10.382,10.382,7626,2487
2005-04-27,10.353,10.558,10.353,10.358,14703,2487
2005-04-28,10.358,10.451,10.346,10.451,7626,2487
2005-04-29,10.525,10.533,10.419,10.419,6951,2487
2005-05-02,10.389,10.394,10.353,10.358,12565,2487
2005-05-03,10.382,10.458,10.375,10.444,8417,2487
2005-05-04,10.504,10.628,10.458,10.484,35694,2487
2005-05-05,10.497,10.589,10.497,10.589,12166,2487
2005-05-06,10.62,10.62,10.541,10.549,13635,2487
2005-05-09,10.601,10.628,10.541,10.628,29807,2487
2005-05-10,10.595,10.759,10.573,10.616,23926,2487
2005-05-11,10.558,10.607,10.558,10.607,17111,2487
2005-05-12,10.616,10.616,10.427,10.475,29677,2487
2005-05-13,10.484,10.484,10.419,10.419,15639,2487
2005-05-16,10.419,10.513,10.419,10.513,24728,2487
2005-05-17,10.458,10.62,10.444,10.565,20446,2487
2005-05-18,10.58,10.633,10.549,10.607,11103,2487
2005-05-19,10.68,10.759,10.475,10.541,45714,2487
2005-05-20,10.541,10.565,10.436,10.466,30474,2487
2005-05-23,10.458,10.513,10.427,10.497,19118,2487
2005-05-24,10.491,10.607,10.491,10.541,26603,2487
2005-05-25,10.497,10.616,10.497,10.595,31145,2487
2005-05-26,10.595,10.72,10.52,10.595,21388,2487
2005-05-27,10.62,10.705,10.607,10.607,19914,2487
2005-05-31,10.595,10.633,10.58,10.58,37435,2487
2005-06-01,10.628,10.713,10.62,10.656,54267,2487
2005-06-02,10.689,10.697,10.607,10.65,32756,2487
2005-06-03,10.672,10.713,10.641,10.689,15508,2487
2005-06-06,10.689,10.705,10.573,10.641,17244,2487
2005-06-07,10.641,10.697,10.641,10.672,4145,2487
2005-06-08,10.672,10.697,10.589,10.656,13366,2487
2005-06-09,10.656,10.656,10.558,10.573,17376,2487
2005-06-10,10.565,10.595,10.497,10.525,36627,2487
2005-06-13,10.504,10.549,10.484,10.513,15106,2487
2005-06-14,10.513,10.525,10.451,10.451,28068,2487
2005-06-15,10.451,10.513,10.436,10.458,22054,2487
2005-06-16,10.458,10.504,10.411,10.427,28207,2487
2005-06-17,10.403,10.475,10.403,10.475,13499,2487
2005-06-20,10.458,10.484,10.436,10.451,14835,2487
2005-06-21,10.451,10.558,10.451,10.52,24999,2487
2005-06-22,10.497,10.549,10.475,10.52,31946,2487
2005-06-23,10.52,10.533,10.484,10.533,30744,2487
2005-06-24,10.558,10.558,10.403,10.458,59753,2487
2005-06-27,10.466,10.525,10.427,10.475,49860,2487
2005-06-28,10.513,10.565,10.484,10.491,30079,2487
2005-06-29,10.451,10.549,10.444,10.466,39035,2487
2005-06-30,10.52,10.533,10.484,10.497,45853,2487
2005-07-01,10.541,10.541,10.444,10.444,35954,2487
2005-07-05,10.436,10.497,10.411,10.419,37162,2487
2005-07-06,10.419,10.484,10.411,10.466,23926,2487
2005-07-07,10.484,10.491,10.419,10.444,30613,2487
2005-07-08,10.504,10.52,10.491,10.513,27804,2487
2005-07-11,10.458,10.513,10.458,10.466,21388,2487
2005-07-12,10.466,10.558,10.458,10.52,20852,2487
2005-07-13,10.513,10.533,10.458,10.504,30213,2487
2005-07-14,10.504,10.52,10.466,10.497,14835,2487
2005-07-15,10.497,10.549,10.497,10.504,18044,2487
2005-07-18,10.504,10.558,10.497,10.504,9496,2487
2005-07-19,10.525,10.558,10.427,10.466,46789,2487
2005-07-20,10.444,10.58,10.444,10.58,26072,2487
2005-07-21,10.601,10.601,10.573,10.589,11371,2487
2005-07-22,10.607,10.607,10.541,10.595,18311,2487
2005-07-25,10.607,10.607,10.513,10.525,7883,2487
2005-07-26,10.558,10.558,10.458,10.458,45319,2487
2005-07-27,10.497,10.504,10.466,10.497,11225,2487
2005-07-28,10.513,10.58,10.475,10.58,21120,2487
2005-07-29,10.589,10.595,10.58,10.595,21923,2487
2005-08-01,10.607,10.65,10.525,10.607,40768,2487
2005-08-02,10.616,10.72,10.607,10.713,35290,2487
2005-08-03,10.72,10.829,10.713,10.751,22724,2487
2005-08-04,10.705,10.806,10.705,10.759,13233,2487
2005-08-05,10.705,10.743,10.601,10.601,38899,2487
2005-08-08,10.616,10.616,10.525,10.549,15508,2487
2005-08-09,10.58,10.616,10.444,10.533,30880,2487
2005-08-10,10.491,10.541,10.466,10.491,17915,2487
2005-08-11,10.458,10.458,10.375,10.394,49860,2487
2005-08-12,10.394,10.394,10.331,10.382,50401,2487
2005-08-15,10.382,10.403,10.331,10.403,25264,2487
2005-08-16,10.411,10.444,10.339,10.436,16839,2487
2005-08-17,10.358,10.558,10.358,10.475,33953,2487
2005-08-18,10.541,10.573,10.475,10.573,10434,2487
2005-08-19,10.58,10.607,10.491,10.497,16310,2487
2005-08-22,10.475,10.713,10.475,10.713,23656,2487
2005-08-23,10.641,10.72,10.589,10.72,45447,2487
2005-08-24,10.65,10.735,10.65,10.72,22724,2487
2005-08-25,10.72,10.735,10.65,10.65,17510,2487
2005-08-26,10.656,10.72,10.641,10.72,23795,2487
2005-08-29,10.726,10.759,10.65,10.759,22724,2487
2005-08-30,10.759,10.759,10.689,10.689,15241,2487
2005-08-31,10.743,10.751,10.616,10.633,24329,2487
2005-09-01,10.713,10.72,10.65,10.72,33820,2487
2005-09-02,10.664,10.735,10.65,10.735,32756,2487
2005-09-06,10.759,10.855,10.726,10.726,28873,2487
2005-09-07,10.774,10.855,10.735,10.735,16042,2487
2005-09-08,10.814,10.837,10.759,10.814,21923,2487
2005-09-09,10.759,10.829,10.759,10.822,23258,2487
2005-09-12,10.837,10.837,10.726,10.798,21656,2487
2005-09-13,10.829,10.862,10.656,10.672,38899,2487
2005-09-14,10.68,10.829,10.533,10.58,73392,2487
2005-09-15,10.58,10.595,10.436,10.573,58154,2487
2005-09-16,10.573,10.573,10.427,10.436,27276,2487
2005-09-19,10.484,10.743,10.484,10.689,50528,2487
2005-09-20,10.726,10.726,10.641,10.65,6551,2487
2005-09-21,10.616,10.798,10.58,10.726,21923,2487
2005-09-22,10.656,10.766,10.656,10.705,13499,2487
2005-09-23,10.664,10.743,10.633,10.705,25665,2487
2005-09-26,10.689,10.743,10.628,10.628,15639,2487
2005-09-27,10.62,10.855,10.62,10.62,32756,2487
2005-09-28,10.68,10.781,10.664,10.781,29807,2487
2005-09-29,10.855,10.885,10.822,10.862,8153,2487
2005-09-30,10.878,10.918,10.839,10.87,31679,2487
2005-10-03,10.941,10.973,10.855,10.87,20852,2487
2005-10-04,10.837,10.87,10.837,10.847,18184,2487
2005-10-05,10.855,10.912,10.839,10.839,31549,2487
2005-10-06,10.839,10.965,10.781,10.814,18851,2487
2005-10-07,10.798,10.847,10.751,10.751,9496,2487
2005-10-10,10.743,10.814,10.743,10.814,9761,2487
2005-10-11,10.814,10.878,10.814,10.829,23393,2487
2005-10-12,10.837,10.87,10.743,10.743,17915,2487
2005-10-13,10.713,10.759,10.713,10.735,5620,2487
2005-10-14,10.735,10.806,10.607,10.641,23258,2487
2005-10-17,10.595,10.822,10.595,10.697,30613,2487
2005-10-18,10.62,10.713,10.565,10.565,19118,2487
2005-10-19,10.565,10.633,10.541,10.62,13233,2487
2005-10-20,10.633,10.633,10.475,10.541,16714,2487
2005-10-21,10.497,10.697,10.497,10.697,18714,2487
2005-10-24,10.735,10.735,10.558,10.558,12031,2487
2005-10-25,10.68,10.72,10.595,10.628,14303,2487
2005-10-26,10.558,10.601,10.358,10.484,26738,2487
2005-10-27,10.573,10.65,10.382,10.475,23926,2487
2005-10-28,10.403,10.513,10.403,10.458,16310,2487
2005-10-31,10.533,10.58,10.497,10.58,28068,2487
2005-11-01,10.616,10.713,10.52,10.628,32352,2487
2005-11-02,10.633,10.72,10.607,10.713,8153,2487
2005-11-03,10.72,10.781,10.641,10.641,16448,2487
2005-11-04,10.68,10.774,10.68,10.774,5747,2487
2005-11-07,10.72,10.759,10.641,10.713,26467,2487
2005-11-08,10.743,10.743,10.68,10.697,12966,2487
2005-11-09,10.641,10.65,10.484,10.484,15639,2487
2005-11-10,10.419,10.475,10.322,10.382,48264,2487
2005-11-11,10.375,10.375,10.309,10.309,15639,2487
2005-11-14,10.339,10.389,10.303,10.389,25135,2487
2005-11-15,10.346,10.394,10.217,10.248,27007,2487
2005-11-16,10.239,10.411,10.239,10.317,22593,2487
2005-11-17,10.303,10.309,10.287,10.303,31145,2487
2005-11-18,10.309,10.353,10.272,10.353,38636,2487
2005-11-21,10.346,10.419,10.339,10.382,20446,2487
2005-11-22,10.309,10.491,10.256,10.491,31946,2487
2005-11-23,10.504,10.504,10.427,10.475,9228,2487
2005-11-25,10.458,10.458,10.331,10.353,7358,2487
2005-11-28,10.279,10.358,10.232,10.303,37963,2487
2005-11-29,10.303,10.331,10.248,10.287,18044,2487
2005-11-30,10.331,10.491,10.287,10.427,29276,2487
2005-12-01,10.475,10.541,10.466,10.541,14171,2487
2005-12-02,10.558,10.565,10.497,10.533,13233,2487
2005-12-05,10.497,10.68,10.491,10.616,27276,2487
2005-12-06,10.549,10.726,10.513,10.633,31284,2487
2005-12-07,10.607,10.726,10.504,10.726,26197,2487
2005-12-08,10.705,10.743,10.595,10.743,20990,2487
2005-12-09,10.751,10.847,10.72,10.847,10020,2487
2005-12-12,10.798,11.011,10.798,10.837,24999,2487
2005-12-13,10.713,10.79,10.607,10.607,29276,2487
2005-12-14,10.607,10.766,10.525,10.766,41442,2487
2005-12-15,10.743,10.79,10.656,10.656,17647,2487
2005-12-16,10.664,10.806,10.641,10.72,24862,2487
2005-12-19,10.759,10.759,10.672,10.68,13233,2487
2005-12-20,10.607,10.814,10.607,10.743,20056,2487
2005-12-21,10.68,10.759,10.68,10.759,10831,2487
2005-12-22,10.759,10.759,10.533,10.68,28207,2487
2005-12-23,10.72,10.934,10.705,10.934,22593,2487
2005-12-27,10.781,10.87,10.533,10.65,51066,2487
2005-12-28,10.419,10.713,10.419,10.713,51066,2487
2005-12-29,10.458,10.72,10.458,10.62,44111,2487
2005-12-30,10.628,10.628,10.475,10.601,18450,2487
2006-01-03,10.525,10.589,10.525,10.533,17647,2487
2006-01-04,10.513,10.656,10.513,10.656,21120,2487
2006-01-05,10.607,10.837,10.607,10.672,32352,2487
2006-01-06,10.62,10.759,10.616,10.759,21789,2487
2006-01-09,10.837,10.941,10.774,10.87,19782,2487
2006-01-10,10.941,10.941,10.774,10.774,14303,2487
2006-01-11,10.72,10.743,10.573,10.616,19782,2487
2006-01-12,10.616,10.656,10.58,10.601,19653,2487
2006-01-13,10.601,10.633,10.601,10.62,5747,2487
2006-01-17,10.616,10.87,10.616,10.672,29410,2487
2006-01-18,10.58,10.906,10.58,10.906,37693,2487
2006-01-19,10.9,11.019,10.855,10.926,48391,2487
2006-01-20,10.941,11.058,10.759,10.912,14572,2487
2006-01-23,10.839,11.011,10.72,10.72,24728,2487
2006-01-24,10.759,10.995,10.759,10.878,38636,2487
2006-01-25,10.918,10.918,10.697,10.766,22326,2487
2006-01-26,10.814,10.837,10.689,10.713,20990,2487
2006-01-27,10.759,10.766,10.705,10.705,13499,2487
2006-01-30,10.705,10.798,10.68,10.798,5477,2487
2006-01-31,10.87,10.892,10.664,10.814,52537,2487
2006-02-01,10.87,10.885,10.759,10.759,6686,2487
2006-02-02,10.713,10.735,10.65,10.735,11225,2487
2006-02-03,10.656,10.68,10.62,10.65,19245,2487
2006-02-06,10.68,10.941,10.68,10.814,48794,2487
2006-02-07,10.87,10.918,10.743,10.743,20056,2487
2006-02-08,10.697,10.878,10.641,10.798,41442,2487
2006-02-09,10.713,10.798,10.697,10.713,9351,2487
2006-02-10,10.79,10.79,10.68,10.751,23656,2487
2006-02-13,10.656,10.713,10.62,10.62,19653,2487
2006-02-14,10.68,10.68,10.601,10.601,10557,2487
