Date,Open,High,Low,Close,Volume,stock_id
2005-02-25,9.69,9.719,9.663,9.697,82710,7191
2005-02-28,9.719,9.719,9.663,9.704,83009,7191
2005-03-01,9.712,9.74,9.663,9.697,60367,7191
2005-03-02,9.704,9.745,9.697,9.74,60226,7191
2005-03-03,9.745,9.768,9.704,9.761,95734,7191
2005-03-04,9.774,9.801,9.733,9.801,98544,7191
2005-03-07,9.74,9.855,9.74,9.855,56072,7191
2005-03-08,9.855,9.855,9.733,9.768,132134,7191
2005-03-09,9.774,9.782,9.656,9.704,165864,7191
2005-03-10,9.712,9.712,9.65,9.697,126513,7191
2005-03-11,9.599,9.65,9.563,9.599,127848,7191
2005-03-14,9.599,9.599,9.523,9.523,83756,7191
2005-03-15,9.563,9.563,9.502,9.502,75019,7191
2005-03-16,9.502,9.539,9.495,9.515,60075,7191
2005-03-17,9.495,9.563,9.495,9.544,73387,7191
2005-03-18,9.531,9.555,9.502,9.515,80350,7191
2005-03-21,9.515,9.548,9.4274,9.4413,120594,7191
2005-03-22,9.4682,9.4741,9.3331,9.3331,108612,7191
2005-03-23,9.3195,9.3895,9.1503,9.1715,205819,7191
2005-03-24,9.1907,9.2589,9.1224,9.2512,172523,7191
2005-03-28,9.1763,9.2589,9.129,9.2589,154478,7191
2005-03-29,9.2657,9.2657,9.1456,9.2512,81823,7191
2005-03-30,9.2512,9.3596,9.1907,9.3596,101944,7191
2005-03-31,9.4333,9.4612,9.3596,9.4612,104758,7191
2005-04-01,9.531,9.531,9.4741,9.4881,100025,7191
2005-04-04,9.4811,9.515,9.4741,9.4741,25310,7191
2005-04-05,9.4741,9.539,9.4741,9.495,30918,7191
2005-04-06,9.4811,9.548,9.4811,9.548,34918,7191
2005-04-07,9.495,9.531,9.4881,9.495,83891,7191
2005-04-08,9.495,9.523,9.4741,9.502,70291,7191
2005-04-11,9.495,9.544,9.4741,9.4811,63624,7191
2005-04-12,9.502,9.544,9.4741,9.539,62442,7191
2005-04-13,9.4811,9.515,9.4333,9.4541,67620,7191
2005-04-14,9.4413,9.4881,9.4333,9.4413,52232,7191
2005-04-15,9.508,9.508,9.4274,9.4413,54008,7191
2005-04-18,9.495,9.508,9.4492,9.4492,62294,7191
2005-04-19,9.4741,9.515,9.4541,9.515,58301,7191
2005-04-20,9.4682,9.508,9.4413,9.502,93954,7191
2005-04-21,9.4492,9.4741,9.4274,9.4741,103719,7191
2005-04-22,9.4741,9.515,9.4492,9.4612,53266,7191
2005-04-25,9.4541,9.515,9.4541,9.495,55929,7191
2005-04-26,9.4741,9.544,9.4741,9.515,51486,7191
2005-04-27,9.523,9.571,9.495,9.571,73541,7191
2005-04-28,9.599,9.645,9.563,9.632,73682,7191
2005-04-29,9.623,9.645,9.605,9.612,45869,7191
2005-05-02,9.64,9.64,9.616,9.632,104758,7191
2005-05-03,9.65,9.69,9.616,9.69,144707,7191
2005-05-04,9.64,9.69,9.64,9.69,91885,7191
2005-05-05,9.69,9.697,9.663,9.67,70585,7191
2005-05-06,9.645,9.65,9.563,9.599,131096,7191
2005-05-09,9.599,9.67,9.571,9.656,49563,7191
2005-05-10,9.656,9.725,9.656,9.712,81679,7191
2005-05-11,9.683,9.697,9.616,9.632,79167,7191
2005-05-12,9.64,9.67,9.612,9.67,40839,7191
2005-05-13,9.64,9.712,9.632,9.67,69839,7191
2005-05-16,9.663,9.725,9.663,9.719,59628,7191
2005-05-17,9.683,9.725,9.677,9.697,94552,7191
2005-05-18,9.719,9.745,9.69,9.719,63624,7191
2005-05-19,9.656,9.74,9.65,9.719,119700,7191
2005-05-20,9.719,9.725,9.677,9.712,92032,7191
2005-05-23,9.719,9.761,9.69,9.725,93367,7191
2005-05-24,9.733,9.768,9.725,9.745,87299,7191
2005-05-25,9.774,9.789,9.745,9.774,84781,7191
2005-05-26,9.774,9.808,9.768,9.774,63774,7191
2005-05-27,9.801,9.815,9.774,9.808,27966,7191
2005-05-31,9.815,9.84,9.815,9.84,81227,7191
2005-06-01,9.855,9.894,9.822,9.855,110082,7191
2005-06-02,9.86,9.913,9.86,9.913,96619,7191
2005-06-03,9.963,9.978,9.899,9.906,146924,7191
2005-06-06,9.906,9.956,9.873,9.913,79607,7191
2005-06-07,9.956,10.029,9.956,9.963,93808,7191
2005-06-08,9.943,10.016,9.943,9.963,60226,7191
2005-06-09,9.963,10.023,9.95,9.996,97656,7191
2005-06-10,9.963,10.023,9.963,10.001,122365,7191
2005-06-13,9.996,9.996,9.886,9.906,109198,7191
2005-06-14,9.906,9.956,9.886,9.899,97514,7191
2005-06-15,9.873,9.978,9.867,9.867,79167,7191
2005-06-16,9.86,9.906,9.86,9.894,97806,7191
2005-06-17,9.894,9.906,9.84,9.847,128880,7191
2005-06-20,9.86,9.906,9.855,9.873,59188,7191
2005-06-21,9.93,9.93,9.873,9.894,53414,7191
2005-06-22,9.913,9.963,9.899,9.943,76794,7191
2005-06-23,9.943,9.988,9.93,9.971,90111,7191
2005-06-24,9.988,10.016,9.971,10.009,54446,7191
2005-06-27,9.996,10.023,9.971,9.971,90111,7191
2005-06-28,9.996,10.036,9.943,9.943,89372,7191
2005-06-29,9.963,10.036,9.93,9.996,112897,7191
2005-06-30,10.029,10.061,9.996,10.054,106825,7191
2005-07-01,10.061,10.096,10.029,10.061,126809,7191
2005-07-05,10.049,10.096,10.029,10.096,70426,7191
2005-07-06,10.119,10.173,10.103,10.152,116152,7191
2005-07-07,10.152,10.199,10.096,10.165,96619,7191
2005-07-08,10.152,10.211,10.152,10.192,69096,7191
2005-07-11,10.199,10.279,10.178,10.24,78270,7191
2005-07-12,10.271,10.279,10.233,10.271,99141,7191
2005-07-13,10.211,10.233,10.185,10.233,137461,7191
2005-07-14,10.225,10.253,10.219,10.225,101507,7191
2005-07-15,10.263,10.263,10.185,10.185,132433,7191
2005-07-18,10.159,10.185,10.029,10.029,106384,7191
2005-07-19,10.081,10.096,10.036,10.089,96035,7191
2005-07-20,10.103,10.132,10.009,10.029,114521,7191
2005-07-21,10.054,10.054,10.023,10.023,91590,7191
2005-07-22,10.016,10.054,10.016,10.049,101357,7191
2005-07-25,10.049,10.054,10.023,10.049,70876,7191
2005-07-26,10.054,10.054,10.023,10.049,127548,7191
2005-07-27,10.054,10.075,10.023,10.061,251540,7191
2005-07-28,10.075,10.096,10.036,10.096,101207,7191
2005-07-29,10.263,10.263,10.075,10.132,91739,7191
2005-08-01,10.159,10.199,10.103,10.159,60226,7191
2005-08-02,10.185,10.185,10.132,10.152,137608,7191
2005-08-03,10.165,10.165,10.132,10.145,69839,7191
2005-08-04,10.165,10.185,10.119,10.139,48977,7191
2005-08-05,10.132,10.165,10.081,10.081,85380,7191
2005-08-08,10.096,10.111,10.061,10.061,67920,7191
2005-08-09,10.061,10.089,10.049,10.081,75019,7191
2005-08-10,10.089,10.132,10.075,10.126,109646,7191
2005-08-11,10.089,10.119,10.075,10.096,43806,7191
2005-08-12,10.096,10.152,10.075,10.103,61556,7191
2005-08-15,10.145,10.152,10.103,10.119,83600,7191
2005-08-16,10.096,10.145,10.089,10.145,66440,7191
2005-08-17,10.165,10.165,10.096,10.103,64958,7191
2005-08-18,10.096,10.152,10.096,10.139,62735,7191
2005-08-19,10.132,10.178,10.111,10.178,86842,7191
2005-08-22,10.192,10.199,10.145,10.152,62587,7191
2005-08-23,10.145,10.199,10.089,10.103,100763,7191
2005-08-24,10.111,10.145,10.111,10.119,64661,7191
2005-08-25,10.165,10.173,10.132,10.152,64808,7191
2005-08-26,10.178,10.178,10.119,10.178,57263,7191
2005-08-29,10.145,10.203,10.145,10.185,88631,7191
2005-08-30,10.185,10.24,10.165,10.199,104017,7191
2005-08-31,10.24,10.24,10.203,10.24,86715,7191
2005-09-01,10.263,10.309,10.219,10.301,107423,7191
2005-09-02,10.309,10.393,10.24,10.348,103870,7191
2005-09-06,10.367,10.381,10.301,10.381,112601,7191
2005-09-07,10.348,10.415,10.263,10.263,113191,7191
2005-09-08,10.271,10.334,10.253,10.279,81823,7191
2005-09-09,10.258,10.367,10.258,10.342,66440,7191
2005-09-12,10.355,10.362,10.271,10.334,84646,7191
2005-09-13,10.271,10.271,10.199,10.203,105349,7191
2005-09-14,10.233,10.24,10.119,10.119,89520,7191
2005-09-15,10.152,10.159,10.001,10.001,153438,7191
2005-09-16,10.023,10.049,9.983,9.996,75611,7191
2005-09-19,10.049,10.089,9.996,10.001,65695,7191
2005-09-20,10.029,10.061,9.988,10.023,113191,7191
2005-09-21,10.029,10.029,9.963,10.016,110970,7191
2005-09-22,10.001,10.023,9.768,9.774,326117,7191
2005-09-23,9.774,9.789,9.632,9.712,200491,7191
2005-09-26,9.65,9.719,9.623,9.663,262932,7191
2005-09-27,9.632,9.656,9.539,9.632,258198,7191
2005-09-28,9.599,9.774,9.599,9.74,191907,7191
2005-09-29,9.733,9.789,9.719,9.733,128581,7191
2005-09-30,9.789,9.815,9.74,9.753,129324,7191
2005-10-03,9.815,9.822,9.719,9.733,143231,7191
2005-10-04,9.753,9.768,9.712,9.733,127548,7191
2005-10-05,9.733,9.745,9.697,9.697,82118,7191
2005-10-06,9.719,9.725,9.69,9.725,78718,7191
2005-10-07,9.697,9.725,9.677,9.719,60960,7191
2005-10-10,9.733,9.768,9.67,9.697,93065,7191
2005-10-11,9.677,9.761,9.67,9.753,123257,7191
2005-10-12,9.733,9.733,9.616,9.616,118076,7191
2005-10-13,9.599,9.599,9.4131,9.4492,162313,7191
2005-10-14,9.4741,9.523,9.4274,9.4612,126070,7191
2005-10-17,9.4811,9.495,9.4131,9.4612,86112,7191
2005-10-18,9.4741,9.4741,9.4131,9.4274,121031,7191
2005-10-19,9.4413,9.4612,9.4023,9.4541,158021,7191
2005-10-20,9.4682,9.4881,9.4274,9.4541,79607,7191
2005-10-21,9.4131,9.632,9.4131,9.616,92623,7191
2005-10-24,9.656,9.761,9.539,9.632,82563,7191
2005-10-25,9.697,9.725,9.599,9.65,83303,7191
2005-10-26,9.632,9.663,9.599,9.599,93808,7191
2005-10-27,9.65,9.656,9.605,9.64,40683,7191
2005-10-28,9.656,9.663,9.605,9.645,49122,7191
2005-10-31,9.645,9.733,9.64,9.67,87299,7191
2005-11-01,9.725,9.768,9.69,9.733,88486,7191
2005-11-02,9.733,9.795,9.704,9.745,79607,7191
2005-11-03,9.745,9.768,9.725,9.745,89664,7191
2005-11-04,9.745,9.801,9.745,9.768,99586,7191
2005-11-07,9.768,9.84,9.768,9.834,60663,7191
2005-11-08,9.834,9.847,9.808,9.808,58596,7191
2005-11-09,9.828,9.847,9.828,9.84,56372,7191
2005-11-10,9.795,9.822,9.719,9.753,47348,7191
2005-11-11,9.789,9.801,9.753,9.753,17754,7191
2005-11-14,9.753,9.782,9.677,9.725,65695,7191
2005-11-15,9.65,9.745,9.612,9.645,89664,7191
2005-11-16,9.733,9.761,9.656,9.761,31517,7191
2005-11-17,9.663,9.774,9.663,9.697,69096,7191
2005-11-18,9.632,9.753,9.579,9.733,56372,7191
2005-11-21,9.663,9.768,9.599,9.67,59628,7191
2005-11-22,9.656,9.69,9.632,9.683,78864,7191
2005-11-23,9.683,9.74,9.663,9.69,41130,7191
2005-11-25,9.774,9.782,9.677,9.677,15977,7191
2005-11-28,9.768,9.782,9.69,9.761,57116,7191
2005-11-29,9.704,9.774,9.697,9.745,41722,7191
2005-11-30,9.753,9.761,9.677,9.683,75019,7191
2005-12-01,9.761,9.768,9.704,9.704,79167,7191
2005-12-02,9.704,9.782,9.704,9.719,80789,7191
2005-12-05,9.712,9.768,9.704,9.768,41429,7191
2005-12-06,9.74,9.815,9.712,9.808,59036,7191
2005-12-07,9.828,9.847,9.719,9.719,72505,7191
2005-12-08,9.719,9.795,9.719,9.733,44537,7191
2005-12-09,9.768,9.834,9.753,9.834,94995,7191
2005-12-12,9.855,9.86,9.768,9.855,77682,7191
2005-12-13,9.768,9.86,9.69,9.704,138496,7191
2005-12-14,9.697,9.86,9.677,9.712,69700,7191
2005-12-15,9.697,9.789,9.656,9.663,104465,7191
2005-12-16,9.656,9.774,9.656,9.663,179337,7191
2005-12-19,9.697,9.733,9.632,9.656,66876,7191
2005-12-20,9.632,9.69,9.612,9.67,145593,7191
2005-12-21,9.663,9.69,9.65,9.677,87299,7191
2005-12-22,9.69,9.725,9.65,9.725,71018,7191
2005-12-23,9.725,9.808,9.677,9.808,67760,7191
2005-12-27,9.834,9.86,9.719,9.745,123106,7191
2005-12-28,9.855,9.873,9.733,9.867,76642,7191
2005-12-29,9.886,9.963,9.867,9.943,106245,7191
2005-12-30,9.988,10.016,9.95,10.001,117186,7191
2006-01-03,9.963,10.054,9.95,10.054,79458,7191
2006-01-04,10.054,10.075,10.036,10.068,56072,7191
2006-01-05,10.089,10.165,10.089,10.165,103280,7191
2006-01-06,10.126,10.263,10.126,10.263,87891,7191
2006-01-09,10.258,10.292,10.178,10.263,109646,7191
2006-01-10,10.263,10.393,10.199,10.334,140123,7191
2006-01-11,10.199,10.263,10.061,10.233,64808,7191
2006-01-12,10.233,10.301,10.219,10.301,86842,7191
2006-01-13,10.301,10.321,10.173,10.24,68953,7191
2006-01-17,10.233,10.233,10.165,10.199,102832,7191
2006-01-18,10.132,10.199,10.081,10.173,56372,7191
2006-01-19,10.132,10.253,10.103,10.225,85677,7191
2006-01-20,10.225,10.292,10.225,10.253,81679,7191
2006-01-23,10.334,10.334,10.24,10.258,53266,7191
2006-01-24,10.279,10.348,10.279,10.321,58301,7191
2006-01-25,10.362,10.362,10.301,10.321,79901,7191
2006-01-26,10.334,10.334,10.271,10.271,60075,7191
2006-01-27,10.362,10.362,10.263,10.316,56675,7191
2006-01-30,10.342,10.362,10.286,10.334,126946,7191
2006-01-31,10.362,10.393,10.309,10.393,124438,7191
2006-02-01,10.393,10.393,10.355,10.367,76502,7191
2006-02-02,10.367,10.393,10.334,10.334,79167,7191
2006-02-03,10.393,10.393,10.321,10.321,63916,7191
2006-02-06,10.334,10.334,10.301,10.316,47199,7191
2006-02-07,10.334,10.348,10.292,10.334,51486,7191
2006-02-08,10.334,10.342,10.301,10.334,75761,7191
2006-02-09,10.334,10.355,10.316,10.342,44390,7191
2006-02-10,10.309,10.367,10.292,10.355,92623,7191
2006-02-13,10.334,10.342,10.271,10.301,65101,7191
2006-02-14,10.271,10.301,10.253,10.279,58891,7191
2006-02-15,10.258,10.334,10.253,10.286,48977,7191
2006-02-16,10.301,10.393,10.286,10.334,79901,7191
2006-02-17,10.327,10.342,10.292,10.301,76341,7191
2006-02-21,10.301,10.321,10.246,10.292,92923,7191
2006-02-22,10.24,10.279,10.103,10.165,138496,7191
2006-02-23,10.152,10.178,10.111,10.132,72352,7191
2006-02-24,10.165,10.199,10.145,10.165,64958,7191
2006-02-27,10.139,10.199,10.139,10.199,76502,7191
2006-02-28,10.233,10.263,10.178,10.203,111266,7191
2006-03-01,10.301,10.301,10.199,10.225,76051,7191
2006-03-02,10.185,10.219,10.132,10.165,72207,7191
2006-03-03,10.199,10.219,10.145,10.152,56968,7191
2006-03-06,10.192,10.192,10.159,10.178,79753,7191
2006-03-07,10.192,10.192,10.132,10.132,113047,7191
2006-03-08,10.185,10.203,10.132,10.145,18201,7191
2006-03-09,10.159,10.199,10.145,10.152,44240,7191
2006-03-10,10.173,10.263,10.145,10.192,67469,7191
2006-03-13,10.152,10.263,10.132,10.178,62147,7191
2006-03-14,10.185,10.258,10.173,10.192,66291,7191
2006-03-15,10.192,10.263,10.165,10.263,134794,7191
2006-03-16,10.203,10.301,10.203,10.292,55043,7191
2006-03-17,10.301,10.301,10.271,10.279,48832,7191
2006-03-20,10.271,10.301,10.271,10.286,57998,7191
2006-03-21,10.286,10.301,10.246,10.258,77980,7191
2006-03-22,10.253,10.301,10.233,10.301,67325,7191
2006-03-23,10.301,10.393,10.301,10.393,146195,7191
2006-03-24,10.362,10.393,10.334,10.367,86112,7191
2006-03-27,10.348,10.401,10.342,10.387,69250,7191
2006-03-28,10.367,10.367,10.292,10.367,82118,7191
2006-03-29,10.393,10.393,10.263,10.334,89520,7191
2006-03-30,10.263,10.342,10.233,10.253,73682,7191
2006-03-31,10.271,10.334,10.24,10.24,46901,7191
2006-04-03,10.362,10.362,10.203,10.301,65695,7191
2006-04-04,10.271,10.348,10.271,10.301,71463,7191
2006-04-05,10.362,10.367,10.279,10.334,63034,7191
2006-04-06,10.321,10.367,10.246,10.321,50157,7191
2006-04-07,10.334,10.342,10.233,10.279,50456,7191
2006-04-10,10.263,10.292,10.225,10.24,89069,7191
2006-04-11,10.233,10.279,10.225,10.258,65255,7191
2006-04-12,10.233,10.263,10.185,10.199,79607,7191
2006-04-13,10.192,10.253,10.165,10.233,56675,7191
2006-04-17,10.165,10.233,10.061,10.075,144857,7191
2006-04-18,10.075,10.126,10.061,10.119,98401,7191
2006-04-19,10.061,10.132,10.061,10.126,54743,7191
2006-04-20,10.061,10.132,10.036,10.096,71326,7191
2006-04-21,10.061,10.119,9.93,10.029,163649,7191
2006-04-24,10.029,10.103,9.963,10.061,113342,7191
2006-04-25,10.075,10.089,10.016,10.081,112601,7191
2006-04-26,10.103,10.111,10.029,10.061,53861,7191
2006-04-27,10.119,10.199,10.096,10.165,48531,7191
2006-04-28,10.199,10.286,10.132,10.132,56675,7191
2006-05-01,10.301,10.309,10.185,10.263,93808,7191
2006-05-02,10.263,10.327,10.263,10.279,71463,7191
2006-05-03,10.292,10.334,10.271,10.316,37581,7191
2006-05-04,10.316,10.348,10.301,10.348,60663,7191
2006-05-05,10.355,10.381,10.327,10.381,101507,7191
2006-05-08,10.355,10.387,10.342,10.342,64221,7191
2006-05-09,10.342,10.401,10.342,10.348,61257,7191
2006-05-10,10.348,10.393,10.321,10.375,49277,7191
2006-05-11,10.355,10.362,10.321,10.334,84347,7191
2006-05-12,10.334,10.387,10.321,10.334,65255,7191
2006-05-15,10.263,10.453,10.263,10.453,93221,7191
2006-05-16,10.334,10.469,10.301,10.415,106679,7191
2006-05-17,10.401,10.453,10.316,10.316,75910,7191
2006-05-18,10.309,10.438,10.263,10.292,135384,7191
2006-05-19,10.393,10.393,10.316,10.348,53414,7191
2006-05-22,10.301,10.348,10.301,10.327,50012,7191
2006-05-23,10.316,10.381,10.301,10.334,112449,7191
2006-05-24,10.334,10.453,10.301,10.316,64661,7191
2006-05-25,10.316,10.348,10.309,10.327,116887,7191
2006-05-26,10.334,10.401,10.334,10.401,95879,7191
2006-05-30,10.367,10.422,10.342,10.348,72650,7191
2006-05-31,10.401,10.453,10.355,10.401,76051,7191
2006-06-01,10.469,10.469,10.393,10.448,62147,7191
2006-06-02,10.438,10.453,10.401,10.443,51486,7191
2006-06-05,10.422,10.448,10.355,10.355,126659,7191
2006-06-06,10.348,10.393,10.316,10.334,80789,7191
2006-06-07,10.309,10.348,10.301,10.334,71463,7191
2006-06-08,10.321,10.342,10.263,10.321,87891,7191
2006-06-09,10.301,10.334,10.271,10.301,62587,7191
2006-06-12,10.263,10.334,10.263,10.327,64221,7191
