Date,Open,High,Low,Close,Volume,stock_id
2015-03-04,25.56,25.56,25.55,25.55,1350,5835
2015-03-05,25.55,25.65,25.55,25.617,6555,5835
2015-03-06,25.5,25.502,25.45,25.47,6090,5835
2015-03-09,25.52,25.52,25.45,25.45,1980,5835
2015-03-10,25.72,25.72,25.553,25.553,1700,5835
2015-03-11,25.66,25.66,25.56,25.59,2100,5835
2015-03-12,25.31,25.66,25.31,25.4,9772,5835
2015-03-13,25.45,25.57,25.39,25.46,4399,5835
2015-03-16,25.42,25.76,25.42,25.65,9305,5835
2015-03-17,25.54,25.627,25.32,25.41,14834,5835
2015-03-18,25.4,25.57,25.4,25.57,7136,5835
2015-03-19,25.59,25.67,25.59,25.67,2099,5835
2015-03-20,25.55,25.56,25.55,25.56,950,5835
2015-03-23,25.6,25.63,25.56,25.56,3500,5835
2015-03-24,25.52,25.52,25.39,25.39,1107,5835
2015-03-25,25.5,25.5,25.5,25.5,315,5835
2015-03-26,25.46,25.47,25.45,25.47,300,5835
2015-03-27,25.59,25.62,25.52,25.6,2050,5835
2015-03-30,25.48,25.48,25.48,25.48,1013,5835
2015-03-31,25.5,25.54,25.5,25.54,6509,5835
2015-04-01,25.546,25.67,25.48,25.48,4735,5835
2015-04-02,25.516,25.58,25.46,25.515,6803,5835
2015-04-06,25.64,25.67,25.45,25.46,8301,5835
2015-04-07,25.53,25.55,25.46,25.48,10810,5835
2015-04-08,25.505,25.51,25.48,25.48,4909,5835
2015-04-09,25.52,25.54,25.48,25.518,1620,5835
2015-04-10,25.54,25.59,25.48,25.54,9200,5835
2015-04-13,25.38,25.43,25.25,25.35,5989,5835
2015-04-15,25.4,25.407,25.35,25.35,7262,5835
2015-04-16,25.37,25.45,25.35,25.35,1991,5835
2015-04-17,25.31,25.45,25.25,25.25,5564,5835
2015-04-20,25.27,25.4,25.26,25.28,12266,5835
2015-04-21,25.4,25.41,25.34,25.352,1599,5835
2015-04-22,25.3,25.355,25.3,25.301,1400,5835
2015-04-23,25.41,25.41,25.35,25.35,1600,5835
2015-04-24,25.39,25.41,25.38,25.41,2029,5835
2015-04-27,25.41,25.42,25.4,25.4,3551,5835
2015-04-28,25.38,25.38,25.26,25.26,15049,5835
2015-04-29,25.268,25.37,25.268,25.3,6525,5835
2015-04-30,25.38,25.41,25.35,25.35,1993,5835
2015-05-01,25.27,25.35,25.27,25.35,1300,5835
2015-05-04,25.41,25.41,25.3,25.3,4062,5835
2015-05-05,25.376,25.376,25.27,25.34,9675,5835
2015-05-06,25.34,25.34,25.04,25.15,13326,5835
2015-05-07,25.2,25.2,25.16,25.18,1600,5835
2015-05-08,25.24,25.32,25.2,25.25,6319,5835
2015-05-11,25.36,25.36,25.25,25.33,6190,5835
2015-05-12,25.25,25.25,25.22,25.25,3807,5835
2015-05-13,25.146,25.18,25.12,25.18,4076,5835
2015-05-14,25.2,25.22,25.15,25.15,1230,5835
2015-05-15,25.16,25.206,25.16,25.206,1428,5835
2015-05-18,25.229,25.24,25.1,25.1,20497,5835
2015-05-19,25.18,25.2,25.15,25.15,6425,5835
2015-05-20,25.17,25.34,25.169,25.25,10503,5835
2015-05-21,25.265,25.28,25.265,25.28,800,5835
2015-05-22,25.39,25.39,25.21,25.35,3630,5835
2015-05-26,25.35,25.35,25.22,25.3,2887,5835
2015-05-27,25.39,25.39,25.288,25.34,1550,5835
2015-05-28,25.3,25.3,25.3,25.3,890,5835
2015-05-29,25.33,25.35,25.3,25.31,2013,5835
2015-06-01,25.27,25.39,25.231,25.301,3300,5835
2015-06-02,25.231,25.38,25.23,25.31,3767,5835
2015-06-03,25.26,25.39,25.26,25.306,1933,5835
2015-06-04,25.377,25.377,25.17,25.17,9500,5835
2015-06-05,25.18,25.25,25.18,25.25,2375,5835
2015-06-08,25.3,25.3,25.16,25.17,1600,5835
2015-06-09,25.17,25.25,25.13,25.25,5556,5835
2015-06-10,25.18,25.299,25.18,25.29,1100,5835
2015-06-11,25.171,25.18,25.171,25.18,1200,5835
2015-06-12,25.134,25.149,25.09,25.09,7199,5835
2015-06-15,25.1,25.1,25.05,25.05,1549,5835
2015-06-16,25.05,25.05,24.58,24.85,20150,5835
2015-06-17,24.66,24.98,24.66,24.98,12635,5835
2015-06-18,24.83,24.9,24.76,24.76,4567,5835
2015-06-19,24.8,24.8,24.11,24.6,11454,5835
2015-06-22,24.61,24.8,24.4,24.44,5650,5835
2015-06-23,24.66,24.66,24.4,24.5,6265,5835
2015-06-24,24.551,24.551,24.25,24.4,5996,5835
2015-06-25,24.34,24.37,24.1,24.15,13953,5835
2015-06-26,24.15,24.15,24.15,24.15,1870,5835
2015-06-29,24.37,24.56,24.2,24.4,13483,5835
2015-06-30,24.4,24.63,24.4,24.45,5851,5835
2015-07-01,24.45,24.45,24.1,24.347,4464,5835
2015-07-02,24.4,24.45,24.35,24.45,2926,5835
2015-07-06,24.45,24.7,24.45,24.475,3026,5835
2015-07-07,24.45,24.674,24.45,24.65,5550,5835
2015-07-08,24.597,24.597,24.45,24.45,1275,5835
2015-07-09,24.6,24.8,24.54,24.7,9592,5835
2015-07-10,24.55,24.55,24.3,24.327,6050,5835
2015-07-13,24.07,24.3,24.07,24.12,5302,5835
2015-07-14,24.15,24.45,24.11,24.45,3660,5835
2015-07-15,24.44,24.55,24.019,24.1,162904,5835
2015-07-16,24.05,24.5,24.05,24.2,47218,5835
2015-07-17,24.13,24.49,23.842,24.15,50797,5835
2015-07-20,24.33,24.342,24.02,24.02,22421,5835
2015-07-21,24.28,24.28,24.0,24.05,7200,5835
2015-07-22,23.98,24.26,23.98,24.01,13685,5835
2015-07-23,24.18,24.3,23.0,23.57,23554,5835
2015-07-24,23.4,23.4,22.8,22.87,16967,5835
2015-07-27,22.7,22.7,20.73,21.11,37662,5835
2015-07-28,20.78,20.86,19.76,20.04,56740,5835
2015-07-29,20.07,21.35,20.07,21.33,17761,5835
2015-07-30,21.58,21.83,21.24,21.4,11380,5835
2015-07-31,21.2,21.93,21.2,21.93,8405,5835
2015-08-03,21.5,21.75,21.46,21.52,5000,5835
2015-08-04,21.72,21.72,21.44,21.69,3237,5835
2015-08-05,21.306,21.49,20.14,20.14,18225,5835
2015-08-06,20.31,20.68,20.31,20.5,5601,5835
2015-08-07,20.68,20.95,20.48,20.95,5025,5835
2015-08-10,20.95,20.95,20.27,20.64,16007,5835
2015-08-11,20.5,21.03,20.5,20.99,18455,5835
2015-08-12,20.9,20.9,20.5,20.75,8200,5835
2015-08-13,20.675,20.9,20.545,20.9,15025,5835
2015-08-14,20.99,21.2,20.52,20.86,17323,5835
2015-08-17,20.759,20.759,20.45,20.45,4359,5835
2015-08-18,20.28,20.35,20.1,20.18,7870,5835
2015-08-19,20.18,20.56,20.11,20.35,6955,5835
2015-08-20,20.35,20.48,20.18,20.18,4860,5835
2015-08-21,20.256,20.51,19.93,20.4,6556,5835
2015-08-24,20.0,20.0,19.06,19.32,20880,5835
2015-08-25,19.433,19.8,19.433,19.7,4835,5835
2015-08-26,19.7,19.75,19.201,19.5,10165,5835
2015-08-27,19.71,19.96,19.53,19.65,8595,5835
2015-08-28,19.26,19.88,19.239,19.53,7450,5835
2015-08-31,19.71,19.71,19.5,19.5,425,5835
2015-09-01,19.55,19.55,19.2,19.43,7900,5835
2015-09-02,19.482,19.5,19.471,19.471,810,5835
2015-09-03,19.35,19.61,19.21,19.49,6590,5835
2015-09-04,19.3,19.4,19.26,19.4,1290,5835
2015-09-08,19.38,19.78,19.38,19.77,10700,5835
2015-09-09,19.8,20.25,19.8,19.9,5000,5835
2015-09-10,20.13,20.13,19.7,19.8,3000,5835
2015-09-11,19.13,19.576,19.13,19.576,2600,5835
2015-09-14,19.39,19.454,19.39,19.44,2000,5835
2015-09-15,19.27,19.5,19.27,19.27,1450,5835
2015-09-16,19.527,19.54,19.4,19.5,3875,5835
2015-09-17,19.4,19.69,19.4,19.65,26351,5835
2015-09-18,19.63,20.64,19.622,20.5,28544,5835
2015-09-21,20.82,20.9,20.72,20.81,4425,5835
2015-09-22,20.85,21.04,20.85,20.878,7388,5835
2015-09-23,21.05,21.05,20.9,21.0,9569,5835
2015-09-24,20.866,20.99,20.76,20.99,828,5835
2015-09-25,20.869,21.0,20.869,20.946,1200,5835
2015-09-28,20.95,20.95,19.69,19.8,14348,5835
2015-09-29,19.751,20.01,19.18,19.29,8088,5835
2015-09-30,19.163,19.2,19.02,19.124,9590,5835
2015-10-01,19.06,19.2,18.457,18.9,13300,5835
2015-10-02,18.48,18.88,17.61,18.66,11924,5835
2015-10-05,18.75,19.84,18.75,19.4,10118,5835
2015-10-06,19.96,20.4,19.8,20.4,3200,5835
2015-10-07,20.23,20.4,20.156,20.37,3740,5835
2015-10-08,22.35,22.35,20.38,20.42,7319,5835
2015-10-09,20.455,20.66,20.4,20.657,3975,5835
