Date,Open,High,Low,Close,Volume,stock_id
2005-02-25,7.0626,7.2458,6.9357,7.2143,303238,2554
2005-02-28,7.2143,7.3725,7.1637,7.2777,437873,2554
2005-03-01,7.2524,7.3851,7.1828,7.3851,252515,2554
2005-03-02,7.3218,7.4292,7.2777,7.3914,226601,2554
2005-03-03,7.3914,7.4231,7.2777,7.309,129571,2554
2005-03-04,7.3788,7.5428,7.309,7.4354,173347,2554
2005-03-07,7.4737,7.5562,7.4613,7.4861,286806,2554
2005-03-08,7.5182,7.5624,7.3851,7.4231,150749,2554
2005-03-09,7.4041,7.4041,7.0182,7.1574,206689,2554
2005-03-10,7.2777,7.2777,6.9928,7.0939,184408,2554
2005-03-11,7.0626,7.1319,6.9676,7.0246,281434,2554
2005-03-14,7.0246,7.1574,6.9738,7.0688,237979,2554
2005-03-15,7.0939,7.2777,7.0939,7.1259,647567,2554
2005-03-16,7.1828,7.2081,7.113,7.1195,321254,2554
2005-03-17,7.1509,7.1509,7.0626,7.1002,210641,2554
2005-03-18,7.1002,7.1509,6.9738,7.0498,431867,2554
2005-03-21,6.9105,7.0182,6.8788,6.9295,178248,2554
2005-03-22,6.9612,6.9738,6.8473,6.8662,413064,2554
2005-03-23,6.803,6.8916,6.803,6.8157,151225,2554
2005-03-24,6.8217,7.0054,6.7965,6.7965,307033,2554
2005-03-28,6.6763,6.7716,6.5244,6.7142,819016,2554
2005-03-29,6.651,6.7271,6.6129,6.6827,415911,2554
2005-03-30,6.6447,6.8788,6.6447,6.8788,353489,2554
2005-03-31,6.8916,6.9487,6.803,6.9487,277328,2554
2005-04-01,6.9866,7.0562,6.8916,7.0246,330579,2554
2005-04-04,6.9928,7.0562,6.803,7.0116,558284,2554
2005-04-05,7.0054,7.0562,6.9105,6.9612,117249,2554
2005-04-06,6.9928,7.1382,6.9421,6.9421,176349,2554
2005-04-07,6.8788,7.0498,6.8788,7.0054,130838,2554
2005-04-08,6.9738,7.0246,6.9042,6.9042,134162,2554
2005-04-11,6.9042,6.9738,6.7522,6.8408,133686,2554
2005-04-12,6.803,7.1259,6.6954,7.075,339583,2554
2005-04-13,7.0876,7.0876,6.9357,7.0054,191363,2554
2005-04-14,6.9738,7.0308,6.8662,6.9042,371823,2554
2005-04-15,6.9105,6.9738,6.803,6.8788,202266,2554
2005-04-18,6.8662,7.0246,6.8662,6.9866,288860,2554
2005-04-19,6.9295,7.0371,6.8726,6.9612,559709,2554
2005-04-20,6.9612,7.0562,6.9357,6.9612,628285,2554
2005-04-21,7.0813,7.1509,6.9676,7.0813,290598,2554
2005-04-22,7.0498,7.1637,6.9928,7.0939,283014,2554
2005-04-25,7.1574,7.1889,7.0813,7.1509,389838,2554
2005-04-26,7.107,7.2143,7.1002,7.1828,304187,2554
2005-04-27,7.1509,7.2143,7.0939,7.1889,125307,2554
2005-04-28,7.0562,7.0939,6.9738,7.0246,2338381,2554
2005-04-29,7.0246,7.1382,7.0116,7.1002,176666,2554
2005-05-02,7.113,7.1509,6.9167,7.0246,243191,2554
2005-05-03,6.9802,7.075,6.9295,7.0246,304501,2554
2005-05-04,6.9612,7.0688,6.9421,7.0246,216644,2554
2005-05-05,7.0688,7.0876,6.9548,7.0246,214433,2554
2005-05-06,7.0435,7.0435,6.9487,6.9738,282226,2554
2005-05-09,6.9612,7.113,6.9612,7.113,303556,2554
2005-05-10,7.0876,7.0939,6.9231,7.0876,271163,2554
2005-05-11,7.0876,7.0939,6.8535,7.0939,359813,2554
2005-05-12,7.1259,7.1259,6.9487,7.0182,232292,2554
2005-05-13,6.9989,7.0371,6.9105,6.9612,219487,2554
2005-05-16,7.309,7.5309,7.1828,7.1828,1420757,2554
2005-05-17,7.2016,7.2777,7.0562,7.1449,568082,2554
2005-05-18,7.2143,7.2966,7.1637,7.2081,665736,2554
2005-05-19,7.2081,7.4105,7.2081,7.4041,847777,2554
2005-05-20,7.3979,7.4995,7.309,7.4995,885069,2554
2005-05-23,7.4995,7.5624,7.4105,7.5624,355545,2554
2005-05-24,7.5182,7.569,7.4354,7.569,231344,2554
2005-05-25,7.569,7.569,7.3851,7.4292,123884,2554
2005-05-26,7.4925,7.4925,7.3345,7.3409,167660,2554
2005-05-27,7.3914,7.512,7.3409,7.4673,201949,2554
2005-05-31,7.4292,7.5999,7.4292,7.5624,178718,2554
2005-06-01,7.5428,7.734,7.5363,7.7266,394102,2554
2005-06-02,7.7201,7.7833,7.6695,7.7704,432974,2554
2005-06-03,7.7583,7.8276,7.7201,7.7527,557334,2554
2005-06-06,7.8154,7.8605,7.734,7.8218,384624,2554
2005-06-07,7.8605,7.9292,7.8028,7.8401,242241,2554
2005-06-08,7.8967,7.9735,7.8276,7.8664,316038,2554
2005-06-09,7.8276,7.9851,7.7266,7.9784,231817,2554
2005-06-10,7.8967,7.9675,7.7972,7.9675,176196,2554
2005-06-13,7.9426,7.955,7.8276,7.9358,146958,2554
2005-06-14,7.9358,8.0998,7.8844,8.0998,264054,2554
2005-06-15,8.5111,8.639,8.0998,8.2841,780615,2554
