Date,Open,High,Low,Close,Volume,stock_id
2011-03-31,30.0,30.4,30.0,30.4,1750,1910
2011-04-01,30.4,30.4,30.4,30.4,763,1910
2011-04-05,30.4,30.4,30.4,30.4,500,1910
2011-04-07,30.4,30.4,30.4,30.4,425,1910
2011-04-08,30.2,30.2,30.2,30.2,5,1910
2011-04-13,30.2,30.4,30.2,30.4,315,1910
2011-04-14,30.4,30.8,30.4,30.8,942,1910
2011-04-15,30.8,32.8,28.0,31.0,17983,1910
2011-04-18,30.4,30.4,27.0,30.0,2481,1910
2011-04-19,29.4,29.4,22.2,27.0,4133,1910
2011-04-20,26.0,29.0,23.0,27.4,3674,1910
2011-04-21,28.2,29.0,27.4,28.2,1142,1910
2011-04-25,26.6,29.8,26.6,27.0,675,1910
2011-04-26,28.0,30.0,28.0,30.0,832,1910
2011-04-27,30.0,31.0,30.0,31.0,763,1910
2011-04-28,30.2,31.0,30.2,30.2,120,1910
2011-04-29,30.2,30.2,30.2,30.2,18,1910
2011-05-02,31.0,31.0,28.0,31.0,216,1910
2011-05-03,32.8,32.8,31.2,32.4,1949,1910
2011-05-04,32.8,32.8,32.4,32.8,3170,1910
2011-05-05,33.0,33.2,33.0,33.2,3418,1910
2011-05-06,33.4,33.4,30.0,31.6,3602,1910
2011-05-09,33.4,33.4,32.0,33.2,5463,1910
2011-05-10,33.6,33.6,32.4,33.4,7426,1910
2011-05-11,33.6,34.0,32.8,33.8,7606,1910
2011-05-12,34.0,35.4,34.0,35.2,18057,1910
2011-05-13,35.8,36.0,34.4,35.8,12835,1910
2011-05-16,36.4,39.8,36.4,37.6,12213,1910
2011-05-17,37.8,37.8,33.0,33.8,9630,1910
2011-05-18,34.2,35.0,31.0,33.6,7317,1910
2011-05-19,34.0,36.6,34.0,34.8,1756,1910
2011-05-20,36.0,36.0,34.2,35.8,1438,1910
2011-05-23,35.8,35.8,32.8,34.2,2187,1910
2011-05-24,33.4,34.0,30.0,30.0,2031,1910
2011-05-25,29.4,30.0,24.0,26.0,5241,1910
2011-05-26,24.0,26.0,22.2,26.0,5199,1910
2011-05-27,26.0,30.8,26.0,30.0,1253,1910
2011-05-31,30.6,33.0,29.2,29.6,1747,1910
2011-06-01,29.6,32.8,28.2,28.6,1480,1910
2011-06-02,30.4,31.0,29.2,29.4,12227,1910
2011-06-03,30.6,30.6,29.6,30.0,2442,1910
2011-06-06,30.6,30.6,29.6,30.0,11566,1910
2011-06-07,30.2,30.2,30.0,30.0,9373,1910
2011-06-08,30.0,30.0,29.4,29.6,3827,1910
2011-06-09,29.6,30.2,29.6,30.2,2344,1910
2011-06-10,30.2,30.2,29.8,29.8,6065,1910
2011-06-13,30.0,30.2,28.8,29.8,6394,1910
2011-06-14,30.2,30.2,25.6,27.6,15620,1910
2011-06-15,26.0,29.0,24.0,25.0,8996,1910
2011-06-16,26.0,28.6,25.4,28.0,8757,1910
2011-06-17,28.0,28.0,24.0,25.2,7491,1910
2011-06-20,25.0,26.2,21.0,25.4,5763,1910
2011-06-21,25.0,25.2,21.6,22.4,2988,1910
2011-06-22,22.4,22.4,17.0,20.0,4521,1910
2011-06-23,20.8,20.8,17.0,17.2,3580,1910
2011-06-24,15.8,16.2,13.0,15.4,6322,1910
2011-06-27,15.4,16.0,15.4,16.0,604,1910
2011-06-28,15.4,20.2,15.4,19.8,8565,1910
2011-06-29,19.6,21.0,18.8,21.0,10482,1910
2011-06-30,21.0,23.6,20.6,21.4,12215,1910
2011-07-01,21.4,21.4,19.6,20.4,3245,1910
2011-07-05,21.0,21.0,18.0,18.8,5662,1910
2011-07-06,20.0,20.0,18.0,19.6,12618,1910
2011-07-07,18.0,20.0,17.2,19.4,12025,1910
2011-07-08,19.6,20.0,17.0,18.0,1882,1910
2011-07-11,18.0,18.4,17.0,18.0,1631,1910
2011-07-12,18.0,18.6,17.0,17.8,3914,1910
2011-07-13,18.0,19.0,17.4,17.6,5852,1910
2011-07-14,19.0,20.2,18.0,19.8,23915,1910
2011-07-15,19.8,21.0,18.4,18.6,10622,1910
2011-07-18,18.6,18.6,17.2,18.4,4552,1910
2011-07-19,17.2,19.0,17.0,18.0,2214,1910
2011-07-20,18.6,20.2,17.6,18.6,7203,1910
2011-07-21,19.0,20.4,18.9,20.0,9733,1910
2011-07-22,20.0,20.0,18.7,19.6,4696,1910
2011-07-25,19.6,19.6,18.4,19.2,3927,1910
2011-07-26,18.4,20.0,18.4,19.8,1512,1910
2011-07-27,20.0,20.0,18.4,19.2,1440,1910
2011-07-28,19.3,20.0,18.8,20.0,770,1910
2011-07-29,20.0,20.0,18.4,18.6,1851,1910
2011-08-01,18.4,20.0,18.4,19.8,423,1910
2011-08-02,20.0,20.0,18.8,19.0,870,1910
2011-08-03,18.7,19.0,18.7,18.7,1297,1910
2011-08-04,18.7,20.0,17.8,19.4,2457,1910
2011-08-05,17.8,19.0,16.0,18.6,1063,1910
2011-08-08,17.1,18.0,15.0,16.6,2985,1910
2011-08-09,15.2,18.4,15.2,18.4,1997,1910
2011-08-10,17.0,18.0,16.0,17.8,887,1910
2011-08-11,16.0,18.0,15.0,16.0,3130,1910
2011-08-12,16.0,16.8,15.0,15.0,1215,1910
2011-08-15,15.0,16.0,14.0,15.0,2935,1910
2011-08-16,15.6,15.6,13.0,13.2,983,1910
2011-08-17,13.6,15.58,12.6,15.58,1725,1910
2011-08-18,14.9,15.58,13.0,14.98,1258,1910
2011-08-19,14.98,14.98,13.2,14.6,1457,1910
2011-08-22,15.0,15.0,14.0,14.4,1207,1910
2011-08-23,15.6,15.6,13.0,13.0,792,1910
2011-08-24,15.6,15.6,13.0,14.8,3060,1910
2011-08-25,15.6,15.6,14.8,15.6,1379,1910
2011-08-26,15.6,16.4,15.0,15.2,1789,1910
2011-08-29,15.8,16.0,14.8,14.8,1405,1910
2011-08-30,15.0,15.0,14.8,15.0,1846,1910
2011-08-31,14.8,15.0,14.8,14.85,2140,1910
2011-09-01,14.8,15.8,14.8,14.8,2356,1910
2011-09-02,14.8,15.2,14.8,14.8,775,1910
2011-09-06,14.4,15.0,14.4,14.6,1335,1910
2011-09-07,15.0,15.0,13.4,13.4,1859,1910
2011-09-08,13.6,14.8,13.0,13.2,1911,1910
2011-09-09,13.2,13.6,13.0,13.0,1126,1910
2011-09-12,13.0,13.8462,11.0,11.2,2459,1910
2011-09-13,11.2,13.0,10.5,11.0,1320,1910
2011-09-14,10.8,10.8,8.5,9.6,7173,1910
2011-09-15,9.8,9.8,8.5,8.5,2145,1910
2011-09-16,8.5,8.9,8.0,8.9,5140,1910
2011-09-19,8.0,8.9,8.0,8.0,392,1910
2011-09-20,8.0,8.8,8.0,8.0,1490,1910
