Date,Open,High,Low,Close,Volume,stock_id
2005-02-25,5.17,5.2,5.16,5.18,1700,4184
2005-02-28,5.14,5.28,5.13,5.18,17229,4184
2005-03-01,5.15,5.42,5.11,5.2,37914,4184
2005-03-02,5.2,5.25,5.2,5.2,6209,4184
2005-03-03,5.09,5.25,5.09,5.25,40140,4184
2005-03-04,5.48,5.48,5.2,5.27,5631,4184
2005-03-07,5.3,5.31,5.26,5.3,1090,4184
2005-03-08,5.29,5.29,5.23,5.24,3700,4184
2005-03-09,5.23,5.3,5.2,5.24,6610,4184
2005-03-10,5.2,5.25,5.13,5.25,5382,4184
2005-03-11,5.26,5.29,5.2,5.29,5600,4184
2005-03-14,5.29,5.35,5.29,5.35,1100,4184
2005-03-15,5.2,5.27,5.05,5.2,17227,4184
2005-03-16,5.07,5.2,5.07,5.2,13900,4184
2005-03-17,5.16,5.21,5.15,5.2,45329,4184
2005-03-18,5.2,5.2,5.19,5.19,3986,4184
2005-03-21,5.15,5.2,5.07,5.17,8630,4184
2005-03-22,5.09,5.19,5.06,5.15,8031,4184
2005-03-23,5.15,5.17,5.14,5.17,1931,4184
2005-03-24,4.92,5.11,4.92,5.06,4370,4184
2005-03-28,5.06,5.15,5.06,5.15,3200,4184
2005-03-29,5.07,5.15,5.06,5.1,7695,4184
2005-03-30,5.07,5.08,5.02,5.07,6250,4184
2005-03-31,5.06,5.2,5.0,5.11,5796,4184
2005-04-01,5.1,5.18,5.08,5.18,2200,4184
2005-04-04,5.2,5.2,4.95,4.99,45700,4184
2005-04-05,5.05,5.15,5.05,5.07,3899,4184
2005-04-06,5.0,5.2,5.0,5.18,13550,4184
2005-04-07,5.1,5.15,5.08,5.09,15800,4184
2005-04-08,5.1,5.1,4.91,5.01,16100,4184
2005-04-11,5.08,5.1,4.91,4.91,22987,4184
2005-04-12,4.95,4.95,4.7,4.78,39254,4184
2005-04-13,4.65,4.98,4.65,4.98,2412,4184
2005-04-14,4.88,4.88,4.51,4.74,12403,4184
2005-04-15,4.45,4.71,4.43,4.63,4510,4184
2005-04-18,4.81,4.82,4.56,4.8,20750,4184
2005-04-19,4.5,4.56,4.5,4.5,3950,4184
2005-04-20,4.5,4.72,4.44,4.72,2864,4184
2005-04-21,4.64,4.7,4.55,4.59,18700,4184
2005-04-22,4.62,4.62,4.46,4.51,16150,4184
2005-04-25,4.5,4.51,4.41,4.41,19375,4184
2005-04-26,4.41,4.44,4.17,4.25,23722,4184
2005-04-27,4.11,4.3,4.1,4.17,20816,4184
2005-04-28,4.18,4.43,4.09,4.32,16100,4184
2005-04-29,4.45,4.49,4.45,4.49,1500,4184
2005-05-02,4.32,4.48,4.31,4.47,3404,4184
2005-05-03,4.3,4.49,4.22,4.4,1050,4184
2005-05-04,4.31,4.39,4.29,4.39,4092,4184
2005-05-05,4.3,4.3,4.0,4.22,72200,4184
2005-05-06,3.92,4.12,3.9,4.12,11618,4184
2005-05-09,4.68,4.68,4.08,4.22,12509,4184
2005-05-10,4.25,4.3,4.02,4.1,3200,4184
2005-05-11,4.28,4.33,4.21,4.21,1111,4184
2005-05-12,4.24,4.29,4.22,4.29,1400,4184
2005-05-13,3.91,4.38,3.91,4.11,11992,4184
2005-05-16,3.96,4.1,3.96,4.1,3115,4184
2005-05-17,4.12,4.24,4.12,4.24,155924,4184
2005-05-18,4.34,4.34,4.12,4.3,2550,4184
2005-05-19,4.23,4.34,4.22,4.27,1466,4184
2005-05-20,4.09,4.17,4.09,4.17,5600,4184
2005-05-23,4.13,4.36,3.91,4.36,16789,4184
2005-05-24,4.34,4.38,4.18,4.37,3500,4184
2005-05-25,4.23,4.36,4.22,4.36,2199,4184
2005-05-26,4.28,4.5,4.28,4.3,901,4184
2005-05-27,4.3,4.3,4.3,4.3,200,4184
2005-05-31,4.26,4.56,4.17,4.56,17186,4184
2005-06-01,4.65,4.65,4.64,4.65,3820,4184
2005-06-02,4.66,4.66,4.5,4.5,6035,4184
2005-06-03,4.43,4.44,4.4,4.41,1347,4184
2005-06-07,4.39,4.39,4.39,4.39,100,4184
2005-06-08,4.3,4.41,4.25,4.41,6791,4184
2005-06-09,4.49,4.49,4.49,4.49,220,4184
2005-06-13,4.4,4.4,4.4,4.4,565,4184
2005-06-14,4.4,4.4,4.24,4.4,3841,4184
2005-06-15,4.45,4.47,4.17,4.47,3468,4184
2005-06-16,4.31,4.4,4.2,4.25,6464,4184
2005-06-17,4.18,4.43,4.18,4.37,4510,4184
2005-06-20,4.28,4.48,4.22,4.48,2344,4184
2005-06-22,5.0,5.0,4.46,4.77,6728,4184
2005-06-23,4.63,4.89,4.62,4.7,1600,4184
2005-06-24,4.62,4.89,4.62,4.89,2409,4184
2005-06-27,4.72,4.9,4.72,4.9,1500,4184
2005-06-28,4.68,4.96,4.64,4.84,5500,4184
2005-06-29,4.71,4.9,4.71,4.84,1669,4184
2005-06-30,4.75,4.95,4.75,4.95,2205,4184
2005-07-01,4.95,5.0,4.86,4.95,6800,4184
2005-07-05,4.9,4.9,4.8,4.9,36700,4184
2005-07-06,4.92,5.05,4.91,5.0,6531,4184
2005-07-07,5.0,5.06,5.0,5.0,14138,4184
2005-07-08,5.0,5.15,5.0,5.15,1760,4184
2005-07-11,5.0,5.0,5.0,5.0,3182,4184
2005-07-12,5.33,5.33,4.95,5.1,2800,4184
2005-07-13,4.95,5.1,4.95,5.09,2800,4184
2005-07-14,5.0,5.1,5.0,5.1,6400,4184
2005-07-15,5.0,5.1,5.0,5.09,13241,4184
2005-07-18,5.05,5.05,5.05,5.05,400,4184
2005-07-19,5.05,5.16,5.05,5.16,864,4184
2005-07-20,5.01,5.15,5.0,5.15,25386,4184
2005-07-21,5.06,5.24,5.01,5.24,11374,4184
2005-07-22,5.0,5.36,5.0,5.24,850,4184
2005-07-25,5.25,5.39,5.22,5.22,1300,4184
2005-07-26,5.01,5.22,5.0,5.22,500,4184
2005-07-27,5.02,5.27,5.01,5.27,1540,4184
2005-07-28,5.08,5.35,5.06,5.06,401,4184
2005-07-29,5.0,5.19,5.0,5.19,421,4184
2005-08-01,5.1,5.15,5.1,5.15,6540,4184
2005-08-02,5.05,5.25,5.05,5.11,3767,4184
2005-08-03,5.1,5.1,5.1,5.1,662,4184
2005-08-04,5.1,5.1,5.1,5.1,3900,4184
2005-08-05,5.01,5.1,5.0,5.1,1542,4184
2005-08-08,5.0,5.1,5.0,5.04,2102,4184
2005-08-09,5.01,5.1,5.01,5.1,1000,4184
2005-08-10,5.07,5.14,5.07,5.1,1366,4184
2005-08-11,5.09,5.1,5.07,5.1,5434,4184
2005-08-12,5.06,5.1,5.06,5.1,924,4184
2005-08-15,5.05,5.06,4.8,5.0,18627,4184
2005-08-16,4.62,5.15,4.62,5.15,38898,4184
2005-08-17,5.05,5.06,5.05,5.06,700,4184
2005-08-18,5.3,5.31,5.1,5.1,5325,4184
2005-08-19,5.2,5.41,5.2,5.32,300,4184
2005-08-22,5.18,5.23,5.18,5.23,2850,4184
2005-08-23,5.2,5.25,5.2,5.2,910,4184
2005-08-24,5.23,5.23,5.23,5.23,1250,4184
2005-08-25,5.25,5.25,5.2,5.2,26133,4184
2005-08-26,5.02,5.19,5.02,5.19,780,4184
2005-08-29,5.2,5.2,5.07,5.2,31160,4184
2005-08-30,5.17,5.2,5.15,5.15,3600,4184
2005-08-31,5.06,5.3,5.06,5.3,5854,4184
2005-09-01,5.2,5.21,5.15,5.15,5124,4184
2005-09-02,5.16,5.2,5.01,5.2,15100,4184
2005-09-06,5.2,5.2,5.08,5.08,8900,4184
2005-09-07,5.05,5.05,5.05,5.05,1059,4184
2005-09-08,5.25,5.25,5.06,5.18,18306,4184
2005-09-09,5.21,5.21,5.18,5.2,1433,4184
2005-09-12,5.2,5.25,5.2,5.24,1918,4184
2005-09-13,5.2,5.22,5.2,5.22,400,4184
2005-09-14,5.2,5.2,5.2,5.2,150,4184
2005-09-15,5.18,5.28,5.18,5.28,203734,4184
2005-09-16,5.26,5.26,5.24,5.24,942,4184
2005-09-19,5.19,5.25,5.19,5.25,780,4184
2005-09-20,5.14,5.2,5.06,5.06,8205,4184
2005-09-21,5.15,5.15,5.1,5.1,2485,4184
2005-09-22,5.15,5.15,5.1,5.1,1010,4184
2005-09-23,5.1,5.2,5.07,5.14,1700,4184
2005-09-26,5.16,5.16,5.16,5.16,100,4184
2005-09-28,5.06,5.22,5.05,5.16,4800,4184
2005-09-29,5.26,5.26,5.26,5.26,500,4184
2005-09-30,5.16,5.26,5.15,5.16,3750,4184
2005-10-03,5.15,5.22,5.14,5.22,9800,4184
2005-10-04,5.2,5.22,5.2,5.22,1900,4184
2005-10-05,5.15,5.3,5.15,5.21,22214,4184
2005-10-06,5.15,5.35,5.13,5.27,11045,4184
2005-10-07,4.76,5.2,4.76,5.15,107605,4184
2005-10-10,5.1,5.13,5.1,5.13,1400,4184
2005-10-11,5.11,5.12,5.1,5.1,3904,4184
2005-10-13,5.3,5.3,4.9,5.0,46275,4184
2005-10-14,5.0,5.25,5.0,5.1,56122,4184
2005-10-17,5.33,5.33,5.07,5.15,7400,4184
2005-10-18,5.15,5.15,5.02,5.1,7100,4184
2005-10-19,5.01,5.2,4.92,5.2,2600,4184
2005-10-20,5.32,5.32,5.1,5.15,9000,4184
2005-10-21,4.91,5.32,4.91,5.1,800,4184
2005-10-24,5.1,5.32,4.71,5.3,8400,4184
2005-10-25,4.75,5.3,4.75,5.15,10380,4184
2005-10-26,5.15,5.24,4.98,5.1,5900,4184
2005-10-27,5.1,5.17,5.1,5.17,6100,4184
2005-10-28,5.1,5.1,5.0,5.1,2634,4184
2005-10-31,4.8,5.31,4.8,5.29,15980,4184
2005-11-01,5.15,5.15,5.03,5.1,7600,4184
2005-11-02,5.15,5.17,5.15,5.15,4200,4184
2005-11-03,4.95,5.0,4.67,5.0,87430,4184
2005-11-04,4.95,5.0,4.65,5.0,281128,4184
2005-11-07,4.95,4.99,4.76,4.87,6150,4184
2005-11-08,4.75,5.0,4.66,4.86,7309,4184
2005-11-09,4.9,4.97,4.67,4.89,12450,4184
2005-11-10,4.85,4.85,4.45,4.56,35164,4184
2005-11-11,4.58,4.64,4.35,4.53,15800,4184
2005-11-14,4.48,4.61,4.38,4.55,21128,4184
2005-11-15,4.45,4.58,4.37,4.53,28327,4184
2005-11-16,4.74,4.74,4.5,4.5,1270,4184
2005-11-17,4.52,4.52,4.52,4.52,1300,4184
2005-11-18,4.51,4.78,4.5,4.73,6619,4184
2005-11-21,4.57,4.77,4.57,4.64,13494,4184
2005-11-23,4.65,4.65,4.4,4.51,2800,4184
2005-11-25,4.51,4.51,4.45,4.45,22450,4184
2005-11-28,4.45,4.5,4.45,4.47,1380,4184
2005-11-29,4.45,4.56,4.35,4.35,10450,4184
2005-11-30,4.49,4.65,4.45,4.65,6959,4184
2005-12-01,4.62,4.65,4.51,4.51,11300,4184
2005-12-02,4.5,4.6,4.4,4.54,3955,4184
2005-12-05,4.41,4.68,4.41,4.59,1460,4184
2005-12-06,4.39,4.48,4.37,4.48,12944,4184
2005-12-07,4.42,4.63,4.39,4.48,5800,4184
2005-12-08,4.42,4.51,4.42,4.51,400,4184
2005-12-09,4.36,4.54,4.35,4.45,13395,4184
2005-12-12,4.4,4.54,4.33,4.47,24871,4184
2005-12-13,4.37,4.66,4.26,4.52,5727,4184
2005-12-14,4.34,4.64,4.28,4.36,12132,4184
2005-12-15,4.25,4.4,4.25,4.3,15411,4184
2005-12-16,4.26,4.5,4.26,4.5,8043,4184
2005-12-19,4.38,4.49,4.27,4.49,9461,4184
2005-12-20,4.33,4.45,4.18,4.35,15030,4184
2005-12-21,4.3,5.5,4.17,4.28,43313,4184
2005-12-22,4.18,4.25,4.02,4.25,22930,4184
2005-12-23,4.15,4.42,4.02,4.3,31100,4184
2005-12-27,4.14,4.25,4.03,4.13,5407,4184
2005-12-28,4.06,4.18,4.06,4.14,11808,4184
2005-12-29,4.15,4.25,4.07,4.25,9650,4184
2005-12-30,4.11,4.25,4.03,4.03,15331,4184
2006-01-03,4.0,4.1,4.0,4.1,4716,4184
2006-01-04,4.05,4.19,4.02,4.17,39301,4184
2006-01-05,4.2,4.2,4.15,4.19,600,4184
2006-01-06,4.39,4.39,4.1,4.18,4261,4184
2006-01-09,4.2,4.38,4.15,4.38,6888,4184
2006-01-10,4.24,4.7,4.21,4.67,15786,4184
2006-01-11,4.67,4.69,4.5,4.68,1810,4184
2006-01-12,4.55,4.72,4.5,4.65,6192,4184
2006-01-13,4.65,4.65,4.5,4.51,2356,4184
2006-01-17,4.49,4.6,4.49,4.58,3350,4184
2006-01-18,4.49,4.52,4.48,4.49,8515,4184
2006-01-19,4.37,4.64,4.37,4.6,9480,4184
2006-01-20,4.42,4.6,4.42,4.59,12143,4184
2006-01-23,4.5,4.6,4.35,4.46,30606,4184
2006-01-24,4.41,4.42,4.36,4.42,2600,4184
2006-01-25,4.4,4.41,4.31,4.41,7715,4184
2006-01-26,4.48,4.61,4.48,4.61,10141,4184
2006-01-27,4.73,5.23,4.52,5.16,15618,4184
2006-01-30,5.25,5.56,4.93,5.19,5650,4184
2006-01-31,5.29,5.48,4.94,5.48,12503,4184
2006-02-01,5.46,5.48,5.14,5.14,3877,4184
2006-02-02,5.14,5.28,5.14,5.28,1500,4184
2006-02-03,5.06,5.58,5.06,5.58,18766,4184
2006-02-06,5.74,6.0,5.74,6.0,11941,4184
2006-02-07,5.9,5.9,5.55,5.83,4672,4184
2006-02-08,5.85,5.9,5.78,5.78,1052,4184
2006-02-09,5.95,6.15,5.84,5.9,4937,4184
2006-02-10,5.73,6.05,5.71,5.89,20867,4184
2006-02-13,5.7,5.8,5.2,5.26,13818,4184
2006-02-14,5.2,6.0,5.2,6.0,42133,4184
2006-02-15,5.89,5.98,5.88,5.88,2910,4184
2006-02-16,5.71,6.0,5.14,6.0,41346,4184
2006-02-17,5.75,5.8,5.45,5.56,2403,4184
2006-02-21,5.56,5.74,5.29,5.74,3550,4184
2006-02-22,5.5,5.69,5.5,5.55,5485,4184
2006-02-23,5.85,5.85,5.33,5.69,34425,4184
2006-02-24,5.47,5.78,5.47,5.78,6868,4184
2006-02-27,5.62,5.75,5.41,5.75,9112,4184
2006-02-28,5.85,6.2,5.75,6.13,22927,4184
2006-03-01,5.77,6.2,5.77,6.2,8139,4184
2006-03-02,6.19,6.22,6.16,6.22,11358,4184
2006-03-03,6.23,6.49,6.23,6.42,11290,4184
2006-03-06,6.43,6.43,6.2,6.2,4073,4184
2006-03-07,6.13,6.16,5.92,6.16,8223,4184
2006-03-08,6.25,6.25,6.09,6.09,3150,4184
2006-03-09,5.92,6.49,5.92,6.15,9660,4184
2006-03-10,6.15,6.59,6.15,6.3,6029,4184
2006-03-13,6.06,6.36,6.06,6.27,6840,4184
2006-03-14,6.15,6.72,5.72,6.12,32048,4184
2006-03-15,6.3,6.31,5.98,6.16,9715,4184
2006-03-16,6.1,6.32,6.1,6.19,6938,4184
2006-03-17,6.25,6.25,6.15,6.18,10630,4184
2006-03-20,5.94,6.5,5.94,6.3,7698,4184
2006-03-21,6.59,6.73,6.39,6.39,3100,4184
2006-03-22,6.26,6.4,6.04,6.2,4099,4184
2006-03-23,6.21,6.4,6.21,6.27,7356,4184
2006-03-24,6.14,6.75,6.11,6.2,2150,4184
2006-03-27,6.0,6.17,5.91,5.91,16433,4184
2006-03-28,5.9,6.16,5.66,5.83,4230,4184
2006-03-29,5.72,5.96,5.7,5.96,6404,4184
2006-03-30,6.0,6.0,5.72,5.87,962,4184
2006-03-31,5.87,6.0,5.84,6.0,2170,4184
2006-04-03,6.0,6.0,5.75,5.75,1200,4184
2006-04-04,5.98,6.0,5.78,5.78,10300,4184
2006-04-05,6.0,6.07,5.62,5.93,1200,4184
2006-04-06,5.69,5.69,5.24,5.6,13887,4184
2006-04-07,5.6,5.74,5.6,5.6,1439,4184
2006-04-11,5.5,5.52,5.41,5.41,3545,4184
2006-04-12,5.46,5.69,5.45,5.47,3970,4184
2006-04-13,5.47,5.47,5.47,5.47,400,4184
