Date,Open,High,Low,Close,Volume,stock_id
2013-05-30,10.8,10.8,9.0,9.62,35942,3345
2013-05-31,9.14,10.0,8.7,9.98,25512,3345
2013-06-03,9.73,10.52,9.65,10.251,10692,3345
2013-06-04,10.6,11.05,10.2,11.0,26699,3345
2013-06-05,11.0,11.74,10.723,11.47,28533,3345
2013-06-06,11.37,11.37,10.7,10.73,3391,3345
2013-06-07,10.66,10.66,10.01,10.28,3675,3345
2013-06-10,10.35,10.35,9.76,9.78,5446,3345
2013-06-11,9.67,10.99,9.35,10.86,12812,3345
2013-06-12,10.98,10.98,10.2,10.5,5960,3345
2013-06-13,10.5,10.5,9.834,10.05,5480,3345
2013-06-14,9.91,10.2,9.91,10.15,2492,3345
2013-06-17,9.91,9.91,9.44,9.81,18135,3345
2013-06-18,9.51,9.66,9.5,9.65,7657,3345
2013-06-19,9.5,9.63,9.25,9.28,20939,3345
2013-06-20,9.57,9.99,9.48,9.8,2854,3345
2013-06-21,9.6,12.5,9.16,9.38,71606,3345
2013-06-24,9.16,9.5,9.15,9.33,2558,3345
2013-06-25,9.45,9.5,9.3,9.35,10650,3345
2013-06-26,9.2592,9.29,9.2401,9.25,2060,3345
2013-06-27,9.25,9.25,9.2,9.2,4200,3345
2013-06-28,9.26,9.3,9.16,9.16,14426,3345
2013-07-01,9.15,9.29,9.15,9.19,5516,3345
2013-07-02,9.17,9.18,8.96,8.9801,29343,3345
2013-07-03,8.9,8.96,8.78,8.78,2524,3345
2013-07-05,8.73,8.8506,8.73,8.76,2700,3345
2013-07-08,8.7,8.76,8.7,8.705,9061,3345
2013-07-09,8.7,8.79,8.7,8.782,4512,3345
2013-07-10,8.7364,8.7507,8.3,8.611,11522,3345
2013-07-11,8.65,8.85,8.61,8.85,13260,3345
2013-07-12,8.63,8.75,8.63,8.6601,6000,3345
2013-07-15,8.66,8.87,8.66,8.67,10507,3345
2013-07-16,8.7,8.75,8.66,8.696,15171,3345
2013-07-17,8.7,8.86,8.7,8.78,1300,3345
2013-07-18,8.78,8.91,8.7,8.71,4424,3345
2013-07-19,8.7,8.899,8.7,8.77,2126,3345
2013-07-22,8.77,8.9398,8.77,8.842,7969,3345
2013-07-23,8.83,8.9399,8.83,8.831,3344,3345
2013-07-24,8.83,8.99,8.78,8.99,4990,3345
2013-07-25,8.93,9.0,8.7967,8.8101,2170,3345
2013-07-26,8.9,8.9999,8.7901,8.888,1664,3345
2013-07-29,8.8,9.0,8.8,8.811,2104,3345
2013-07-30,8.8101,8.82,8.8101,8.82,700,3345
2013-07-31,8.82,9.0,8.78,8.7999,15697,3345
2013-08-01,8.73,8.8399,8.73,8.8399,2417,3345
2013-08-02,8.8,8.85,8.78,8.84,6980,3345
2013-08-05,8.81,8.8399,8.8,8.81,12098,3345
2013-08-06,8.84,8.9,8.78,8.8,32189,3345
2013-08-07,8.79,9.0,8.78,8.78,13520,3345
2013-08-08,9.0,10.75,8.9,10.2,317427,3345
2013-08-09,10.2,10.45,9.1,9.16,78464,3345
2013-08-12,9.25,9.939,8.75,9.0668,42016,3345
2013-08-13,8.91,8.985,8.6,8.69,17373,3345
2013-08-14,8.75,8.8,8.6,8.74,20288,3345
2013-08-15,8.76,8.8699,8.7,8.71,10075,3345
2013-08-16,8.7001,8.75,8.3501,8.4,36740,3345
2013-08-19,8.38,8.4194,8.35,8.39,10220,3345
2013-08-20,8.35,8.44,8.35,8.39,7830,3345
2013-08-21,8.42,8.49,8.36,8.36,6580,3345
2013-08-23,8.351,8.4,8.35,8.361,3935,3345
2013-08-26,8.36,8.3682,8.05,8.1,4860,3345
2013-08-27,8.11,8.11,8.05,8.05,2740,3345
2013-08-28,8.05,8.075,8.05,8.075,666,3345
2013-08-29,8.14,8.4,8.118,8.13,6752,3345
2013-08-30,8.11,8.14,8.11,8.11,1179,3345
2013-09-03,8.11,8.2,7.85,8.0,8419,3345
2013-09-04,8.01,8.19,8.01,8.19,3513,3345
2013-09-05,8.02,8.1,8.01,8.1,4245,3345
2013-09-06,8.06,8.2,8.04,8.2,3731,3345
2013-09-09,8.2,8.48,8.2,8.37,6096,3345
2013-09-10,8.23,8.4,8.21,8.4,8670,3345
2013-09-11,8.24,8.24,8.06,8.1,7136,3345
2013-09-12,8.06,8.22,8.01,8.2,15622,3345
2013-09-13,7.8,8.2,7.8,8.12,2510,3345
2013-09-16,8.2,8.23,8.01,8.13,2767,3345
2013-09-17,8.08,8.16,8.04,8.16,9917,3345
2013-09-18,8.1,8.15,8.1,8.12,1166,3345
2013-09-19,8.13,8.24,8.1,8.17,4002,3345
2013-09-20,8.13,8.13,7.55,7.55,19790,3345
2013-09-23,7.54,7.69,7.54,7.65,9017,3345
2013-09-24,7.61,7.65,7.55,7.55,6970,3345
2013-09-25,7.56,7.6,7.25,7.47,13500,3345
2013-09-26,7.5,7.61,7.42,7.61,2990,3345
2013-09-27,7.46,7.52,7.45,7.46,4900,3345
2013-09-30,7.33,7.48,7.33,7.48,7200,3345
2013-10-01,7.48,7.49,7.45,7.46,13400,3345
2013-10-02,7.49,7.49,7.4,7.45,3800,3345
2013-10-03,7.45,7.64,7.43,7.64,13275,3345
2013-10-04,7.65,7.78,7.45,7.6,2155,3345
2013-10-07,7.5,7.98,7.5,7.69,5200,3345
2013-10-08,7.72,7.72,7.45,7.64,1300,3345
2013-10-09,7.8,7.98,7.5,7.85,8700,3345
2013-10-10,7.71,7.9,7.6,7.85,6300,3345
2013-10-11,7.98,8.2,7.98,8.0,9200,3345
2013-10-15,7.8,7.96,7.8,7.81,4200,3345
2013-10-16,7.8,8.14,7.8,8.14,11900,3345
2013-10-17,8.11,8.14,8.0,8.04,8900,3345
2013-10-18,8.04,8.05,7.8,7.92,5800,3345
2013-10-21,7.92,8.4,7.9,8.06,42000,3345
2013-10-22,8.06,8.16,8.0,8.16,3000,3345
2013-10-23,8.06,8.11,8.06,8.07,2300,3345
2013-10-24,8.06,8.4,8.01,8.4,5100,3345
2013-10-25,8.36,8.4,8.01,8.38,6000,3345
2013-10-28,8.3,8.45,8.03,8.43,10900,3345
2013-10-29,8.27,8.27,8.11,8.12,2200,3345
2013-10-30,8.15,8.25,8.15,8.25,3000,3345
2013-10-31,7.901,8.18,7.901,8.16,5318,3345
2013-11-01,8.1,8.2,8.1,8.11,2600,3345
2013-11-04,8.22,8.25,8.18,8.2,2500,3345
2013-11-05,8.2,8.27,8.05,8.22,5000,3345
2013-11-06,8.25,8.25,7.87,8.25,5097,3345
2013-11-07,8.25,8.47,8.25,8.47,1700,3345
2013-11-08,8.31,8.47,8.31,8.34,3042,3345
2013-11-11,8.31,8.52,8.31,8.52,10600,3345
2013-11-12,8.1,8.25,8.0,8.05,85000,3345
2013-11-13,7.75,7.89,7.41,7.5,39800,3345
2013-11-14,7.56,7.6,7.5,7.5,4500,3345
2013-11-15,7.5,7.5101,7.35,7.35,13401,3345
2013-11-18,7.32,7.32,7.01,7.15,28400,3345
2013-11-19,7.08,7.15,7.06,7.11,18300,3345
2013-11-20,7.02,7.1,7.02,7.04,8900,3345
2013-11-21,7.08,7.15,7.07,7.0701,20774,3345
2013-11-22,7.1,7.25,7.06,7.12,25800,3345
2013-11-25,7.25,7.25,7.011,7.15,7935,3345
2013-11-26,7.02,7.1,6.86,6.97,14000,3345
2013-11-27,7.0,7.0,6.86,6.9,16948,3345
2013-11-29,6.85,6.95,6.85,6.95,500,3345
2013-12-02,6.9,6.95,6.8604,6.87,22029,3345
2013-12-03,6.87,6.94,6.84,6.87,17700,3345
2013-12-04,6.83,6.89,6.83,6.84,700,3345
2013-12-05,6.83,6.91,6.36,6.71,34800,3345
2013-12-06,6.87,6.9,6.52,6.68,5300,3345
2013-12-09,6.63,6.63,6.45,6.55,9000,3345
2013-12-10,6.5,6.5,6.45,6.5,3100,3345
2013-12-11,6.5,6.5099,6.38,6.38,4339,3345
2013-12-12,6.38,6.38,6.24,6.24,6300,3345
2013-12-13,6.23,6.26,6.03,6.12,5400,3345
2013-12-16,6.09,6.15,5.8,6.01,31200,3345
2013-12-17,5.96,6.0,5.81,5.81,11800,3345
2013-12-18,5.8,5.849,5.54,5.761,10111,3345
2013-12-19,5.8,5.89,5.2701,5.4001,39869,3345
2013-12-20,5.43,5.7,5.4,5.65,12800,3345
2013-12-23,5.63,5.93,5.56,5.93,40200,3345
2013-12-24,5.91,6.04,5.61,5.82,15595,3345
2013-12-26,5.89,5.91,5.71,5.73,20900,3345
2013-12-27,5.71,5.71,5.66,5.69,6652,3345
2013-12-30,5.63,5.85,5.61,5.69,48900,3345
2013-12-31,5.68,5.85,5.6,5.63,20100,3345
2014-01-02,5.65,5.75,5.6201,5.6865,5025,3345
2014-01-03,5.7499,5.98,5.6501,5.98,8534,3345
2014-01-06,6.0,6.54,6.0,6.31,11930,3345
2014-01-07,6.25,6.5,6.25,6.4,7400,3345
2014-01-08,6.35,6.6,6.35,6.45,9900,3345
2014-01-09,6.5,6.6,6.45,6.5,16200,3345
2014-01-10,6.55,6.7,6.4,6.47,14481,3345
2014-01-13,6.56,6.66,6.01,6.57,5800,3345
2014-01-14,6.522,6.59,6.4,6.4997,10948,3345
2014-01-15,6.56,7.2,6.41,6.62,11000,3345
2014-01-16,6.58,7.06,6.58,6.7,14600,3345
2014-01-17,6.8,6.89,6.7,6.88,1100,3345
2014-01-21,6.89,6.9899,6.7513,6.9899,6519,3345
2014-01-22,6.87,7.0,6.8301,7.0,3636,3345
2014-01-23,6.99,7.1,6.71,6.9,10700,3345
2014-01-24,6.94,6.94,6.75,6.77,4300,3345
2014-01-27,6.73,6.94,6.73,6.8,5400,3345
2014-01-28,6.74,6.88,6.7,6.75,4900,3345
2014-01-29,6.62,6.75,6.6016,6.649,3950,3345
2014-01-30,6.9,6.9,6.61,6.64,1799,3345
2014-01-31,6.6,6.82,6.6,6.62,6500,3345
2014-02-03,6.6,6.7,6.55,6.55,7788,3345
2014-02-04,6.62,6.85,6.5,6.64,9355,3345
2014-02-05,6.51,6.53,6.28,6.3,5379,3345
2014-02-06,6.3,6.3,6.01,6.22,17570,3345
2014-02-07,6.3,6.3,6.02,6.06,3960,3345
2014-02-10,6.02,6.22,6.02,6.08,750,3345
2014-02-11,6.02,6.25,5.75,6.0,9017,3345
2014-02-12,5.95,6.08,5.91,5.93,4090,3345
2014-02-13,6.15,6.15,5.88,5.88,2690,3345
2014-02-14,5.86,6.14,5.75,5.75,15049,3345
2014-02-18,5.75,5.7947,5.75,5.76,1414,3345
2014-02-19,5.7925,5.7925,5.57,5.57,5712,3345
2014-02-20,5.578,5.69,5.5604,5.68,8064,3345
2014-02-21,5.57,5.65,5.57,5.65,3301,3345
2014-02-24,5.5701,5.6,5.5001,5.56,5862,3345
2014-02-25,5.52,5.66,5.5,5.62,28498,3345
2014-02-26,5.52,5.55,5.3,5.45,38239,3345
2014-02-27,5.4,5.52,5.4,5.45,4576,3345
2014-02-28,5.51,5.6299,5.4601,5.55,10393,3345
2014-03-04,5.55,5.65,5.4618,5.5996,9155,3345
2014-03-05,5.7,5.7,5.35,5.39,6297,3345
2014-03-06,5.29,5.35,5.21,5.25,24687,3345
2014-03-07,5.23,5.34,5.1,5.2,23405,3345
2014-03-10,5.11,5.18,5.0626,5.15,10307,3345
2014-03-11,5.0601,5.3596,5.0601,5.3001,17186,3345
2014-03-12,5.3101,5.3524,5.31,5.35,6387,3345
2014-03-13,5.31,5.35,5.31,5.31,9189,3345
2014-03-14,5.31,5.35,5.12,5.27,17259,3345
2014-03-17,5.32,5.37,5.25,5.2501,1059,3345
2014-03-18,5.28,5.37,5.26,5.26,3506,3345
2014-03-19,5.33,5.37,5.2708,5.31,1717,3345
2014-03-20,5.33,5.37,5.19,5.24,12475,3345
2014-03-21,5.24,5.26,5.17,5.18,2053,3345
2014-03-24,5.22,5.35,5.22,5.34,1579,3345
2014-03-25,5.29,5.3,5.01,5.1,9906,3345
2014-03-26,5.07,5.32,5.02,5.12,10500,3345
2014-03-27,5.19,5.2,5.16,5.17,1703,3345
2014-03-28,5.17,5.2,5.089,5.09,7817,3345
2014-03-31,5.05,5.16,5.01,5.05,9753,3345
2014-04-01,5.048,5.048,4.8101,4.86,16305,3345
2014-04-02,4.81,5.35,4.81,5.35,28346,3345
2014-04-03,5.08,5.249,5.08,5.18,4575,3345
2014-04-04,5.2499,5.2499,4.9001,5.15,3072,3345
2014-04-07,5.021,5.15,5.0201,5.03,12577,3345
2014-04-08,5.05,5.05,4.9,5.01,4240,3345
2014-04-09,5.02,5.2499,4.88,5.12,40034,3345
2014-04-10,5.17,5.29,5.081,5.21,12916,3345
2014-04-11,5.16,5.22,5.16,5.2098,1672,3345
2014-04-14,5.23,5.299,5.22,5.22,997,3345
2014-04-15,5.25,5.2735,5.06,5.14,17320,3345
2014-04-16,5.09,5.1509,5.09,5.1509,413,3345
2014-04-17,5.11,5.1501,5.04,5.06,2403,3345
2014-04-21,5.06,5.1873,5.06,5.09,6722,3345
2014-04-22,5.13,5.3,5.13,5.13,11139,3345
2014-04-23,5.1582,5.1582,5.0501,5.06,4855,3345
2014-04-24,5.04,5.1059,5.04,5.09,2485,3345
2014-04-25,5.08,5.0899,5.04,5.08,1189,3345
2014-04-28,5.04,5.06,5.02,5.02,3897,3345
2014-04-29,5.02,5.02,4.9901,5.0,3410,3345
2014-04-30,4.98,5.0001,4.84,5.0001,7852,3345
2014-05-02,5.05,5.14,5.05,5.14,4532,3345
2014-05-05,5.1899,5.2921,5.17,5.19,6766,3345
2014-05-06,5.24,5.24,5.191,5.2,1482,3345
2014-05-07,5.3,5.3,5.06,5.11,10872,3345
2014-05-08,5.18,5.18,5.03,5.1099,8296,3345
2014-05-09,4.88,5.1159,4.88,5.1159,950,3345
2014-05-12,5.0152,5.019,4.81,5.0,6083,3345
2014-05-13,5.0,5.03,4.88,4.95,4427,3345
2014-05-14,4.99,5.13,4.91,5.13,5673,3345
2014-05-15,5.12,5.12,4.85,4.98,6330,3345
2014-05-16,4.77,4.95,4.76,4.8876,2723,3345
2014-05-19,4.8,4.86,4.8,4.83,1633,3345
2014-05-20,4.83,4.85,4.75,4.78,11108,3345
2014-05-21,4.75,4.83,4.65,4.7,5767,3345
2014-05-22,4.69,4.95,4.69,4.94,2893,3345
2014-05-23,4.96,5.03,4.86,4.86,3326,3345
2014-05-27,4.88,4.88,4.7301,4.7301,1078,3345
2014-05-28,4.73,4.93,4.73,4.9,25403,3345
2014-05-29,4.85,4.93,4.8,4.83,3246,3345
2014-05-30,4.9714,4.9714,4.94,4.95,1690,3345
2014-06-02,4.85,4.85,4.77,4.77,2369,3345
2014-06-03,4.77,4.8394,4.77,4.8394,856,3345
2014-06-04,4.82,5.0,4.82,4.99,4319,3345
2014-06-05,4.8215,4.9337,4.82,4.93,1165,3345
2014-06-06,4.92,4.9201,4.9,4.9,2335,3345
2014-06-09,4.87,4.97,4.87,4.9,1218,3345
2014-06-10,4.87,4.98,4.87,4.98,3000,3345
2014-06-11,4.9,4.98,4.8612,4.95,6294,3345
2014-06-12,4.86,4.98,4.86,4.98,3562,3345
2014-06-13,4.9,4.97,4.9,4.95,9342,3345
2014-06-16,4.95,5.0,4.918,5.0,20171,3345
2014-06-17,5.0,5.15,4.95,5.12,23655,3345
2014-06-18,5.18,5.18,5.05,5.13,7533,3345
2014-06-19,5.1,5.1,5.07,5.09,9634,3345
2014-06-20,5.1,5.18,4.87,4.88,51016,3345
2014-06-23,4.9,4.98,4.9,4.9,7624,3345
2014-06-24,4.9,4.92,4.85,4.9,5390,3345
2014-06-25,4.999,5.0101,4.91,5.0,10665,3345
2014-06-26,4.9513,5.01,4.9297,4.99,3054,3345
2014-06-27,4.9737,5.0,4.9737,4.99,1009,3345
2014-06-30,4.95,4.95,4.8501,4.95,3011,3345
2014-07-01,4.9,4.95,4.9,4.95,6155,3345
2014-07-02,4.88,4.99,4.77,4.99,14000,3345
2014-07-03,4.99,5.0,4.84,5.0,5590,3345
2014-07-07,4.78,4.99,4.78,4.96,2091,3345
2014-07-08,4.93,4.99,4.84,4.96,1689,3345
2014-07-09,4.92,4.9799,4.86,4.96,2583,3345
2014-07-10,4.97,4.97,4.84,4.9074,2288,3345
2014-07-11,4.8433,4.9567,4.76,4.78,4405,3345
2014-07-14,4.76,4.86,4.76,4.86,742,3345
2014-07-15,4.77,4.89,4.77,4.89,3266,3345
2014-07-16,4.78,4.94,4.75,4.75,15022,3345
2014-07-18,4.8157,4.8664,4.76,4.8664,2420,3345
2014-07-21,4.89,4.95,4.71,4.78,58199,3345
2014-07-22,4.7,4.78,4.67,4.7,34300,3345
2014-07-23,4.74,4.84,4.71,4.72,39071,3345
2014-07-24,4.7,4.75,4.67,4.71,15786,3345
2014-07-25,4.67,4.74,4.67,4.7,5464,3345
2014-07-28,4.67,4.7,4.54,4.63,7840,3345
2014-07-29,4.7,4.98,4.7,4.98,8355,3345
2014-07-30,4.83,4.98,4.83,4.92,1299,3345
2014-07-31,4.74,4.9799,4.73,4.95,2302,3345
2014-08-01,4.7,4.88,4.7,4.88,1461,3345
2014-08-04,4.87,4.87,4.7501,4.7501,2861,3345
2014-08-05,4.8001,4.8001,4.75,4.8,3552,3345
2014-08-06,4.78,4.78,4.47,4.73,15833,3345
2014-08-07,4.74,4.76,4.6114,4.76,36514,3345
2014-08-08,4.705,4.9799,4.69,4.9799,1033,3345
2014-08-11,4.9151,4.9151,4.6701,4.7425,5523,3345
2014-08-12,4.8,4.94,4.75,4.94,2211,3345
2014-08-13,4.93,4.94,4.861,4.9,3618,3345
2014-08-14,4.94,4.98,4.85,4.9399,20297,3345
2014-08-15,4.97,4.98,4.83,4.8301,12074,3345
2014-08-18,4.83,4.8638,4.83,4.8638,668,3345
2014-08-19,4.86,4.9699,4.8448,4.92,6793,3345
2014-08-20,4.9001,4.9001,4.85,4.85,1650,3345
2014-08-21,4.84,4.97,4.82,4.873,12847,3345
2014-08-22,4.9186,4.9186,4.8401,4.85,4312,3345
2014-08-25,4.99,5.0,4.8501,5.0,5088,3345
2014-08-26,4.93,4.95,4.82,4.8301,4193,3345
2014-08-27,4.9,5.0,4.83,4.84,13805,3345
2014-08-28,4.84,4.8501,4.84,4.8501,756,3345
2014-08-29,4.9099,4.99,4.9099,4.92,1060,3345
2014-09-02,4.88,4.91,4.81,4.81,6012,3345
2014-09-03,4.81,4.9,4.81,4.83,5035,3345
2014-09-04,4.9,4.9043,4.9,4.9,1868,3345
2014-09-05,4.901,4.901,4.88,4.88,2144,3345
2014-09-08,4.85,4.91,4.81,4.81,3007,3345
2014-09-09,4.81,4.84,4.81,4.84,1505,3345
2014-09-10,4.81,4.87,4.81,4.83,2244,3345
2014-09-11,4.81,4.9,4.79,4.89,7061,3345
2014-09-12,4.889,4.889,4.8,4.8101,498,3345
2014-09-15,4.81,4.83,4.79,4.8,1847,3345
2014-09-16,4.9,5.0,4.78,4.8001,4635,3345
2014-09-17,4.8,4.9,4.8,4.8995,3019,3345
2014-09-18,4.9,4.92,4.811,4.92,3202,3345
2014-09-19,4.8597,5.01,4.8597,5.01,4883,3345
2014-09-23,4.8,5.0,4.8,4.97,1481,3345
2014-09-24,4.95,5.01,4.95,4.98,8669,3345
2014-09-26,4.9501,5.0,4.9501,5.0,4003,3345
2014-09-29,5.04,5.11,4.92,5.1,11590,3345
2014-09-30,5.18,5.2,5.05,5.15,3951,3345
2014-10-01,5.08,5.19,5.0262,5.07,2289,3345
2014-10-02,5.03,5.1361,5.0254,5.1,3449,3345
2014-10-03,5.12,5.15,5.1,5.1,1800,3345
2014-10-06,4.98,5.2,4.98,5.05,4095,3345
2014-10-07,5.01,5.1,5.01,5.06,2466,3345
2014-10-08,5.0,5.21,5.0,5.12,4070,3345
2014-10-09,5.01,5.01,4.89,4.9,6154,3345
2014-10-10,4.94,5.15,4.89,5.0764,1795,3345
2014-10-13,5.02,5.05,4.86,4.86,3834,3345
2014-10-14,4.89,5.03,4.78,4.78,1125,3345
2014-10-15,4.78,4.9707,4.78,4.81,3802,3345
2014-10-16,4.8,4.86,4.8,4.8561,1013,3345
2014-10-20,4.89,4.9,4.81,4.86,1353,3345
2014-10-21,4.87,4.97,4.8,4.95,8408,3345
2014-10-22,4.9612,4.9612,4.76,4.77,4838,3345
2014-10-23,4.95,4.95,4.811,4.811,880,3345
2014-10-24,4.8,4.84,4.8,4.8,1533,3345
2014-10-27,4.81,4.81,4.76,4.8,2287,3345
2014-10-28,4.76,4.87,4.76,4.87,6284,3345
2014-10-29,4.85,4.85,4.81,4.81,3748,3345
2014-10-30,4.81,4.819,4.8,4.8,617,3345
2014-10-31,4.8499,4.8499,4.801,4.84,1185,3345
2014-11-03,4.8,4.8,4.76,4.76,6047,3345
2014-11-04,4.76,4.8,4.71,4.71,14840,3345
2014-11-05,4.7499,4.7499,4.7101,4.7148,2023,3345
2014-11-06,4.7,4.9,4.7,4.9,3848,3345
2014-11-07,4.81,4.9,4.72,4.82,6759,3345
2014-11-10,4.88,4.88,4.7196,4.7201,2931,3345
2014-11-11,4.72,4.76,4.72,4.751,1396,3345
2014-11-12,4.9634,5.0065,4.9634,5.0065,4862,3345
2014-11-13,5.15,5.22,4.9,5.0,31262,3345
2014-11-14,5.1,5.1,4.99,5.0,22813,3345
2014-11-17,5.04,5.1836,5.04,5.1836,12943,3345
2014-11-18,5.2,5.2499,5.1799,5.2,21808,3345
2014-11-19,5.2499,5.2499,5.09,5.13,3887,3345
2014-11-20,5.2,5.24,5.0942,5.2399,7811,3345
2014-11-21,5.25,5.25,5.06,5.17,11669,3345
2014-11-24,5.1101,5.19,5.0647,5.19,15249,3345
2014-11-25,5.189,5.1999,5.1501,5.19,4913,3345
2014-11-26,5.24,5.36,5.16,5.296,14639,3345
2014-11-28,5.29,5.39,5.26,5.2901,8506,3345
2014-12-01,5.31,5.41,5.31,5.3145,8220,3345
2014-12-02,5.3,5.42,5.3,5.39,9177,3345
2014-12-03,5.36,5.37,5.26,5.26,10159,3345
2014-12-04,5.31,5.3918,5.2301,5.32,2992,3345
2014-12-05,5.3,5.4299,5.26,5.26,2671,3345
2014-12-08,5.26,5.34,5.15,5.2001,7032,3345
2014-12-09,5.15,5.2492,5.15,5.19,5682,3345
2014-12-10,5.2,5.241,5.2,5.2,2360,3345
2014-12-11,5.2,5.22,5.19,5.19,6879,3345
2014-12-12,5.1,5.11,5.09,5.109,4457,3345
2014-12-15,5.09,5.0901,5.09,5.0901,2611,3345
2014-12-16,5.1001,5.1362,5.05,5.05,1642,3345
2014-12-17,5.05,5.3,5.04,5.1001,2634,3345
2014-12-18,5.22,5.26,5.1,5.26,2274,3345
2014-12-19,5.25,5.25,5.1,5.11,4162,3345
2014-12-22,5.1,5.12,4.99,5.05,5300,3345
2014-12-23,5.1,5.1699,5.02,5.05,3974,3345
2014-12-24,5.05,5.15,5.041,5.1,3026,3345
2014-12-26,5.0999,5.0999,5.06,5.09,6344,3345
2014-12-29,5.07,5.09,5.07,5.08,8547,3345
2014-12-30,5.01,5.02,4.91,4.9101,13241,3345
2014-12-31,4.85,5.0899,4.85,4.87,11886,3345
2015-01-02,4.91,5.07,4.91,5.07,1500,3345
2015-01-05,5.0,5.06,4.91,5.03,4098,3345
2015-01-06,4.95,5.234,4.9,5.234,1060,3345
2015-01-07,5.13,5.21,5.13,5.16,6530,3345
2015-01-08,5.18,5.47,5.15,5.15,9165,3345
2015-01-09,5.15,5.16,4.97,5.0,4210,3345
2015-01-12,4.99,5.08,4.99,5.001,1093,3345
2015-01-13,5.06,5.06,4.9133,5.02,890,3345
2015-01-14,5.0,5.01,5.0,5.0,2880,3345
2015-01-15,5.0,5.03,5.0,5.01,2386,3345
2015-01-16,5.01,5.01,4.882,4.94,7003,3345
2015-01-20,4.9,4.97,4.88,4.97,2461,3345
2015-01-21,4.8601,4.8601,4.82,4.83,7400,3345
2015-01-22,4.81,5.0,4.81,4.85,6400,3345
2015-01-23,4.8001,4.8352,4.8001,4.8352,2280,3345
2015-01-26,4.8,4.97,4.77,4.9,4383,3345
2015-01-27,4.9,5.23,4.9,5.23,9677,3345
2015-01-28,5.16,5.19,5.03,5.05,10804,3345
2015-02-02,5.08,5.1,5.07,5.0999,5636,3345
2015-02-03,4.9855,4.99,4.961,4.99,1547,3345
2015-02-04,5.0,5.02,4.99,4.99,2900,3345
2015-02-05,5.0,5.065,5.0,5.065,1487,3345
2015-02-06,5.06,5.06,5.01,5.01,813,3345
2015-02-09,4.98,5.1032,4.98,5.1032,802,3345
2015-02-10,5.0,5.07,5.0,5.0567,2154,3345
2015-02-11,5.03,5.14,5.03,5.0401,909,3345
2015-02-12,5.05,5.0501,5.02,5.0501,2155,3345
2015-02-13,5.02,5.109,5.02,5.109,2914,3345
2015-02-17,5.03,5.03,5.01,5.01,3194,3345
2015-02-18,4.95,4.96,4.95,4.96,969,3345
2015-02-19,4.96,4.97,4.95,4.97,3060,3345
2015-02-20,4.97,5.0372,4.97,5.0372,525,3345
2015-02-23,5.02,5.07,5.02,5.03,1224,3345
2015-02-24,5.02,5.14,4.94,5.01,2248,3345
2015-02-25,4.81,5.0,4.81,4.9612,1233,3345
2015-02-26,5.0,5.4999,5.0,5.24,22166,3345
2015-02-27,5.01,5.17,4.91,5.0,15168,3345
2015-03-02,5.01,5.22,5.01,5.21,2700,3345
